,Concept_ID,hi,se
0,Auge::N,आँख,tjelmie
1,Auge::N,आँख,tjalmme
2,Auge::N,आँख,čalbmi
3,Auge::N,आँख,čalme
4,Auge::N,आँख,čâ´lmm
5,Auge::N,आँख,ча̄лльм
6,Auge::N,चक्षु,tjelmie
7,Auge::N,चक्षु,tjalmme
8,Auge::N,चक्षु,čalbmi
9,Auge::N,चक्षु,čalme
10,Auge::N,चक्षु,čâ´lmm
11,Auge::N,चक्षु,ча̄лльм
12,Ohr::N,कान,bieljie
13,Ohr::N,कान,biellje
14,Ohr::N,कान,beallji
15,Ohr::N,कान,pelji
16,Ohr::N,कान,pe´llj
17,Ohr::N,कान,пе̄лльй
18,Ohr::N,कर्ण,bieljie
19,Ohr::N,कर्ण,biellje
20,Ohr::N,कर्ण,beallji
21,Ohr::N,कर्ण,pelji
22,Ohr::N,कर्ण,pe´llj
23,Ohr::N,कर्ण,пе̄лльй
24,Nase::N,नाक,njuenie
25,Nase::N,नाक,njunnje
26,Nase::N,नाक,njunni
27,Nase::N,नाक,njuṇe
28,Nase::N,नाक,njuu´nn
29,Nase::N,नाक,нюннҍ
30,Nase::N,नासा,njuenie
31,Nase::N,नासा,njunnje
32,Nase::N,नासा,njunni
33,Nase::N,नासा,njuṇe
34,Nase::N,नासा,njuu´nn
35,Nase::N,नासा,нюннҍ
36,Mund::N,मुख,njaelmie
37,Mund::N,मुख,njálmme
38,Mund::N,मुख,njálbmi
39,Mund::N,मुख,njälmi
40,Mund::N,मुख,njä´lmm
41,Mund::N,मुख,ня̄лльм
42,Mund::N,मुँह,njaelmie
43,Mund::N,मुँह,njálmme
44,Mund::N,मुँह,njálbmi
45,Mund::N,मुँह,njälmi
46,Mund::N,मुँह,njä´lmm
47,Mund::N,मुँह,ня̄лльм
48,Zahn::N,दंत,baenie
49,Zahn::N,दंत,bádne
50,Zahn::N,दंत,bátni
51,Zahn::N,दंत,pääṇi
52,Zahn::N,दंत,pää´nn
53,Zahn::N,दंत,па̄ннҍ
54,Zahn::N,दाँत,baenie
55,Zahn::N,दाँत,bádne
56,Zahn::N,दाँत,bátni
57,Zahn::N,दाँत,pääṇi
58,Zahn::N,दाँत,pää´nn
59,Zahn::N,दाँत,па̄ннҍ
60,Zunge::N,जीभ,njoektjeme
61,Zunge::N,जीभ,njuovtjav
62,Zunge::N,जीभ,njuovčča
63,Zunge::N,जीभ,njuovčâ
64,Zunge::N,जीभ,njuhččâm
65,Zunge::N,जीभ,нюхчем
66,Zunge::N,ज़बान,njoektjeme
67,Zunge::N,ज़बान,njuovtjav
68,Zunge::N,ज़बान,njuovčča
69,Zunge::N,ज़बान,njuovčâ
70,Zunge::N,ज़बान,njuhččâm
71,Zunge::N,ज़बान,нюхчем
72,Zunge::N,जिह्वा,njoektjeme
73,Zunge::N,जिह्वा,njuovtjav
74,Zunge::N,जिह्वा,njuovčča
75,Zunge::N,जिह्वा,njuovčâ
76,Zunge::N,जिह्वा,njuhččâm
77,Zunge::N,जिह्वा,нюхчем
78,Lippe::N,ओंठ,bangseme
79,Lippe::N,ओंठ,njálmmerabdda
80,Lippe::N,ओंठ,bavssa
81,Lippe::N,ओंठ,poovsâ
82,Lippe::N,ओंठ,põõus
83,Lippe::N,ओंठ,пэ̄кс
84,Lippe::N,होंठ,bangseme
85,Lippe::N,होंठ,njálmmerabdda
86,Lippe::N,होंठ,bavssa
87,Lippe::N,होंठ,poovsâ
88,Lippe::N,होंठ,põõus
89,Lippe::N,होंठ,пэ̄кс
