,Concept_ID,zh,ca
0,Auge::N,眼睛,ull
1,Ohr::N,耳朵,orella
2,Nase::N,鼻子,nas
3,Mund::N,嘴,boca
4,Zahn::N,牙齿,dent
5,Zunge::N,舌头,llēngua
6,Lippe::N,嘴唇,llavi
7,Wange::N,面颊,galta
8,Gesicht::N,脸,cara
9,Stirn::N,额,front
10,Haar::N,头发,cabēll
11,Schnurrbart::N,髭须,bigoti
12,Bart::N,胡子,barba
13,Kinn::N,下巴,mentó
14,Kinn::N,下巴,barbeta
15,Kiefer[Anatomie]::N,颌,queix
16,Kiefer[Anatomie]::N,颌,mandíbula
17,Kehle::N,嗓子,gola
18,Kehle::N,嗓子,gorja
19,Hals::N,颈,coll
20,Genick::N,后颈,nuca
21,Kopf::N,头,cap
22,Rücken::N,背,esquena
23,Bauch::N,肚子,panxa
24,Nabel::N,肚脐,llombrígol
25,Busen::N,胸脯,pit
26,Busen::N,胸脯,mama
27,Brust::N,胸,pit
28,Schulter::N,肩膀,espatlla
29,Arm::N,臂膀,braç
30,Ellenbogen::N,肘,colze
31,Hand::N,手,mà
32,Handfläche::N,手掌,palma
33,Finger::N,手指,dit
34,Fingernagel::N,指甲,ungla
35,Nagel[Anatomie]::N,指甲,ungla
36,Zeh::N,脚趾,dit del peu
37,Fuß::N,脚,peu
38,Ferse::N,后跟,taló
39,Knie::N,膝,genoll
40,Oberschenkel::N,大腿,cuixa
41,Bein::N,腿,cama
42,Körper::N,身体,cos
43,Haut::N,皮肤,pell
44,Blut::N,血,sang
45,Ader::N,血管,vena
46,Sehne::N,腱,tendó
47,Knochen::N,骨,os
48,Gehirn::N,脑,cervell
49,Herz::N,心,cor
50,Magen::N,胃,estómac
51,Leber::N,肝,fetge
52,Atem::N,呼吸,alè
53,Atem::N,呼吸,hàlit
54,Hunger::N,饿,fam
55,Hunger::N,饿,gana
56,Träne::N,眼泪,llàgrima
57,Geschmack::N,味道,gust
58,Geschmack::N,味道,sabor
59,Geruch::N,气味,olor
60,Schlaf::N,睡眠,son
61,Traum::N,梦,somni
62,Himmel::N,天空,celm
63,Sonne::N,太阳,sol
64,Mond::N,月亮,lluna
65,Stern::N,星,estel
66,Stern::N,星,estrella
67,Luft::N,空气,aire
68,Wind::N,风,vent
69,Welle::N,波,ona
70,Wasser::N,水,āigua
71,Stein::N,石头,pedra
72,Boden::N,地面,sòl
73,Erde::N,地,terra
74,Staub::N,灰尘,pols
75,Rauch::N,烟,fum
76,Funke::N,火花,guspira
77,Funke::N,火花,centella
78,Feuer::N,火,foc
79,Licht::N,光,llum
80,Schatten::N,影子,ombra
81,Wetter::N,天气,temps
82,Nebel::N,雾,boira
83,Wolke::N,云,núvol
84,Regen::N,雨,pluja
85,Schnee::N,雪,neu
86,Eis::N,冰,gel
87,Eis::N,冰,glaç
