,Concept_ID,kv,sl
183,Wurm::N,номыр,čr̀v
184,Wurm::N,номыр,glísta
185,Spinne::N,черань,pájek
186,Ameise::N,кӧдзывкар,mrávlja
187,Laus::N,ляпа той,úš
188,Mücke::N,ном,komár
189,Fliege::N,гут,múha
190,Schmetterling::N,бабыв,metúlj
191,Beere::N,ягӧд,jágoda
192,Apfel::N,яблоко,jábolko
193,Pilz::N,тшак,góba
194,Zwiebel::N,грез,čebúla
195,Saat::N,кӧдзыс,séme
196,Korn::N,сю,zŕno
197,Heu::N,турун,senó
198,Schale::N,кыш,lupína
199,Schale::N,киль,lupína
200,Grube::N,яма,jáma
201,Falle::N,нальк,pást
202,Falle::N,кляпча,pást
203,Schlinge::N,лӧч,zánka
204,Schlinge::N,лӧч,pêtlja
205,Spur::N,туй,sléd
206,Asche::N,пӧим,pepél
207,Dreck::N,нять,bláto
208,Eisen::N,кӧрт,želézo
209,Gold::N,зарни,zlató
210,Silber::N,язісь,srebró
211,Kohle::N,шом,ógel
212,Kohle::N,уголь,ógel
213,Glas::N,стекло,stêklo
214,Lehm::N,сёй,ílo
215,Sand::N,лыа,pések
216,Mensch::N,морт,člôvek
217,Mann::N,мужик,móž
218,Mann::N,мужик,môški
219,Frau::N,инька,gospá
220,Frau::N,инька,žénska
221,Kind::N,кага,déte
222,Kind::N,кага,otròk
223,Junge::N,зонка,fànt
224,Junge::N,зонка,déček
225,Mädchen::N,нывкаок,deklè
226,Mädchen::N,нывкаок,déklica
227,Familie::N,семья,družína
228,Großvater::N,дед,dèd
229,Großvater::N,дед,dédek
230,Großmutter::N,баб,bábica
231,Eltern::N,ай-мам,stárši
232,Vater::N,ай,ôče
233,Mutter::N,мам,máma
234,Sohn::N,зон,sín
235,Tochter::N,ныв,hčí
236,Tochter::N,ныв,hčérka
237,Bruder::N,вон,bràt
238,Schwester::N,сой,sêstra
239,Onkel::N,дядь,újec
240,Onkel::N,дядь,stríc
241,Tante::N,айӧлӧн сой,têta
242,Tante::N,айӧлӧн сой,strína
243,Tante::N,ичинь,têta
244,Tante::N,ичинь,strína
245,Ehemann::N,жӧник,móž
246,Ehemann::N,жӧник,sopróg
247,Ehefrau::N,инь,žêna
248,Ehefrau::N,инь,sopróga
249,Freude::N,гаж,rádost
250,Freude::N,гаж,vesêlje
251,Freude::N,радъялӧм,rádost
252,Freude::N,радъялӧм,vesêlje
253,Gelächter::N,сералӧм,sméh
254,Gelächter::N,сералӧм,grohòt
255,Glück::N,мичлун,sréča
256,Kummer::N,шог,gorjé
257,Wunsch::N,мӧдӧм,žêlja
258,Wunsch::N,охотитӧм,žêlja
259,Lust::N,охота,poželênje
260,Geist::N,лов,dúša
261,Gedanke::N,дума,mísel
262,Gedächtnis::N,тӧдвыв,pámet
263,Verstand::N,вежӧр,
264,Sinn::N,ылӧс,pomèn
265,Sinn::N,ылӧс,smísel
266,Grund::N,мог,vzròk
267,Wahrheit::N,правда,resníca
268,Gespräch::N,сёрни,pogóvor
269,Märchen::N,сказка,právljica
270,Erzählung::N,висьт,povést
271,Nachricht::N,юӧр,sporočílo
272,Nachricht::N,висьталӧм,sporočílo
273,Neuigkeit::N,новость,novóst
274,Name::N,ним,imé
275,Rätsel::N,загадка,ugánka
276,Rede::N,сёрни,góvor
277,Sprache::N,кыв,jêzik
278,Stimme::N,голос,glás
279,Wort::N,кыв,beséda
280,Zeichen::N,пас,znák
281,Ruf::N,чуксӧм,klíc
282,Ruf::N,чукӧстӧм,klíc
283,Lärm::N,шум,hrúp
284,Lärm::N,шум,trúšč
285,Laut::N,шы,glás
286,Ton::N,гор,tón
287,Lied::N,сьыланкыв,pésem
288,Ruhe::N,спокой,pokòj
289,Leute::N,йӧз,ljudjé
290,Volk::N,йӧз,národ
291,Volk::N,народ,národ
292,Arbeit::N,удж,délo
293,Gast::N,гӧсь,gòst
294,Geschenk::N,гӧснеч,darílo
295,Geschenk::N,подарок,darílo
296,Spiel::N,орсӧм,ígra
297,Gesellschaft::N,компания,drúžba
298,Hilfe::N,отсӧт,pomóč
299,Freund::N,модз,prijátelj
300,Freund::N,дружок,prijátelj
301,Kamerad::N,тӧдса,továriš
302,Angelegenheit::N,дело,zadéva
303,Anzahl::N,лыд,števílo
304,Art::N,пӧлӧс,vŕsta
305,Stück::N,тор,kós
306,Teil::N,юкӧм,dél
307,Hälfte::N,джын,polovíca
308,Kreis::N,круг,króg
