,Concept_ID,bn,it
0,Auge::N,চক্ষু,occhio
1,Ohr::N,কর্ণ,orecchio
2,Nase::N,নাক,naso
3,Mund::N,মুখ,bocca
4,Zahn::N,দাঁত,dente
5,Zunge::N,জিহবা,lingua
6,Lippe::N,অধর,labbro
7,Wange::N,গণ্ড,guancia
8,Gesicht::N,মুখমণ্ডল,viso
9,Gesicht::N,মুখমণ্ডল,faccia
10,Stirn::N,কপাল,fronte
11,Haar::N,চুল,capello
12,Schnurrbart::N,গোঁফ,baffi
13,Schnurrbart::N,গোঁফ,mustacchi
14,Bart::N,শ্মশ্রু,barba
15,Kinn::N,চিবুক,mento
16,Kiefer[Anatomie]::N,চোয়াল,mascella
17,Kehle::N,কণ্ঠ,gola
18,Hals::N,গল,collo
19,Genick::N,ঘাড়,nuca
20,Kopf::N,মাথা,capo
21,Kopf::N,মাথা,testa
22,Rücken::N,পৃষ্ঠ,dorso
23,Rücken::N,পৃষ্ঠ,schiena
24,Bauch::N,উদর,ventre
25,Nabel::N,নাভি,ombelico
26,Busen::N,স্তন,seno
27,Brust::N,বুক,petto
28,Schulter::N,স্কন্ধ,spalla
29,Arm::N,বাহু,braccio
30,Ellenbogen::N,কনুই,gomito
31,Hand::N,হাত,mano
32,Handfläche::N,করতল,palma
33,Finger::N,আঙ্গুল,dito
34,Fingernagel::N,হাতের নখ,unghia
35,Nagel[Anatomie]::N,নখ,unghia
36,Zeh::N,আঙ্গুল,dito del piede
37,Fuß::N,পা,piede
38,Ferse::N,গোড়ালি,tallone
39,Ferse::N,গোড়ালি,calcagno
40,Knie::N,হাঁটু,ginocchio
41,Oberschenkel::N,ঊরু,fèmore
42,Bein::N,পা,gamba
43,Körper::N,দেহ,corpo
44,Haut::N,ত্বক,pelle
45,Blut::N,রক্ত,sangue
46,Ader::N,শিরা,vena
47,Sehne::N,কণ্ডরা,tèndine
48,Knochen::N,অস্থি,osso
49,Gehirn::N,মস্তিষ্ক,cervello
50,Herz::N,হৃৎপিণ্ড,cuore
51,Magen::N,পাকস্থলী,stòmaco
52,Leber::N,যকৃৎ,fegato
53,Atem::N,শ্বাস,fiato
54,Atem::N,শ্বাস,respiro
55,Hunger::N,ক্ষুধা,fame
56,Träne::N,অশ্রু,làcrima
57,Geschmack::N,স্বাদ,gusto
58,Geschmack::N,স্বাদ,sapore
59,Geruch::N,গন্ধ,odore
60,Schlaf::N,ঘুম,sonno
61,Traum::N,স্বপ্ন,sogno
62,Himmel::N,আকাশ,cielo
63,Sonne::N,সূর্য,sole
64,Mond::N,চন্দ্র,luna
65,Stern::N,নক্ষত্র,stella
66,Luft::N,বায়ু,aria
67,Wind::N,বাতাস,vento
68,Welle::N,ঢেউ,onda
69,Welle::N,তরঙ্গ,onda
70,Wasser::N,জল,acqua
71,Stein::N,ঢিল,sasso
72,Stein::N,ঢিল,pietra
73,Stein::N,প্রস্তর,sasso
74,Stein::N,প্রস্তর,pietra
75,Boden::N,ভূতল,suolo
76,Boden::N,ভূতল,terreno
77,Erde::N,ভূমি,terra
78,Staub::N,ধুলা,polvere
79,Rauch::N,ধোঁয়া,fumo
80,Funke::N,স্ফুলিঙ্গ,scintilla
81,Feuer::N,অগ্নি,fuoco
82,Licht::N,আলো,luce
83,Schatten::N,ছায়া,ombra
84,Wetter::N,আবহাওয়া,tempo
85,Nebel::N,কুহেলিকা,nebbia
86,Wolke::N,মেঘ,nube
87,Wolke::N,মেঘ,nùvola
88,Regen::N,বৃষ্টি,pioggia
89,Schnee::N,তুষার,neve
90,Eis::N,বরফ,ghiaccio
91,Frost::N,তুষার,gelo
92,Kälte::N,শৈত্য,freddo
93,Hitze::N,তাপ,caldo
94,Hitze::N,তাপ,calura
95,Raureif::N,তুহিন,brina
96,Regenbogen::N,রামধনু,arcobaleno
97,Donner::N,বজ্রধ্বনি,tuono
98,Strömung::N,স্রোত,corrente
99,Tropfen::N,ফোঁটা,goccia
100,Schaum::N,ফেনা,spuma
101,Schaum::N,ফেনা,schiuma
102,Schmutz::N,ধুলা,sudiciume
103,See::N,হ্রদ,lago
104,Sumpf::N,জলা,palude
105,Moor::N,মাঠ,torbiera
106,Wiese::N,তৃণভূমি,prato
107,Wald::N,বন,bosco
108,Wald::N,বন,foresta
109,Hügel::N,পাহাড়,colle
110,Hügel::N,পাহাড়,collina
111,Anhöhe::N,টিলা,altura
112,Berg::N,পর্বত,monte
113,Berg::N,পর্বত,montagna
114,Gipfel::N,শীর্ষ,cima
115,Höhle::N,গুহা,grotta
116,Höhle::N,গুহা,caverna
117,Abhang::N,ঢাল,pendìo
118,Quelle::N,উৎস,sorgente
119,Bach::N,ক্ষুদ্র নদী,ruscello
120,Fluss::N,নদী,fiume
121,Ufer::N,উপকূল,riva
122,Küste::N,তীর,costa
123,Festland::N,ভূমি,terraferma
