,Concept_ID,fi,br
0,Auge::N,silmä,lagad
1,Ohr::N,korva,skouarn
2,Nase::N,nenä,fri
3,Mund::N,suu,genoù
4,Zahn::N,hammas,dant
5,Zunge::N,kieli,teod
6,Lippe::N,huuli,muzell
7,Wange::N,poski,chot
8,Gesicht::N,naama,dremm
9,Gesicht::N,kasvot,dremm
10,Stirn::N,otsa,tal
11,Haar::N,hius,blev
12,Haar::N,tukka,blev
13,Schnurrbart::N,viikset,mourenn
14,Bart::N,parta,barv
15,Kinn::N,leuka,groñj
16,Kiefer[Anatomie]::N,leukaluu,javed
17,Kehle::N,kurkku,gouzoug
18,Hals::N,kaula,gouzoug
19,Genick::N,niska,choug
20,Kopf::N,pää,penn
21,Rücken::N,selkä,kein
22,Bauch::N,maha,kof
23,Bauch::N,vatsa,kof
24,Nabel::N,napa,begel
25,Busen::N,rinta,bronn
26,Brust::N,rinta,bruched
27,Schulter::N,olka,skoaz
28,Schulter::N,hartia,skoaz
29,Schulter::N,olkapää,skoaz
30,Arm::N,käsivarsi,brec'h
31,Ellenbogen::N,kyynärpää,ilin
32,Hand::N,käsi,dorn
33,Handfläche::N,kämmen,palv
34,Finger::N,sormi,biz
35,Fingernagel::N,kynsi,ivin
36,Nagel[Anatomie]::N,kynsi,ivin
37,Zeh::N,varvas,biz-troad
38,Fuß::N,jalka,troad
39,Ferse::N,kantapää,seul
40,Knie::N,polvi,glin
41,Oberschenkel::N,reisi,morzhed
42,Bein::N,jalka,gar
43,Körper::N,keho,korf
44,Körper::N,ruumis,korf
45,Haut::N,iho,kroc'hen
46,Blut::N,veri,gwad
47,Ader::N,suoni,gwazhi
48,Sehne::N,jänne,stir
49,Knochen::N,luu,askorn
50,Gehirn::N,aivot,empenn
51,Herz::N,sydän,kalon
52,Magen::N,maha,stomog
53,Magen::N,vatsa,stomog
54,Leber::N,maksa,avu
55,Atem::N,henki,anal
56,Atem::N,hengitys,anal
57,Hunger::N,nälkä,naon
58,Träne::N,kyynel,daer
59,Geschmack::N,maku,blaz
60,Geruch::N,haju,c'hwezh
61,Schlaf::N,uni,kousked
62,Traum::N,uni,hune
63,Himmel::N,taivas,oabl
64,Sonne::N,aurinko,heol
65,Mond::N,kuu,loar
66,Stern::N,tähti,steredenn
67,Luft::N,ilma,aer
68,Wind::N,tuuli,avel
69,Welle::N,aalto,houlenn
70,Wasser::N,vesi,dour
71,Stein::N,kivi,maen
72,Boden::N,maa,tachenn
73,Boden::N,maaperä,tachenn
74,Erde::N,maa,douar
75,Staub::N,pöly,poultr
76,Rauch::N,savu,moged
77,Funke::N,kipinä,ful
78,Feuer::N,tuli,tan
79,Licht::N,valo,gouloù
80,Schatten::N,varjo,disheol
81,Wetter::N,sää,amzer
82,Nebel::N,sumu,brumenn
83,Wolke::N,pilvi,koumoulenn
84,Regen::N,sade,glav
85,Schnee::N,lumi,erc'h
86,Eis::N,jää,skorn
87,Frost::N,halla,rev
88,Frost::N,pakkanen,rev
89,Kälte::N,vilu,yen
90,Kälte::N,kylmyys,yen
91,Hitze::N,helle,tommder
92,Hitze::N,kuumuus,tommder
93,Raureif::N,huurre,frim
94,Regenbogen::N,sateenkaari,gwareg-ar-glav
95,Donner::N,jyrinä,kurun
96,Strömung::N,virtaus,red
97,Tropfen::N,tippa,bannac'h
98,Tropfen::N,tippa,takenn
99,Tropfen::N,pisara,bannac'h
100,Tropfen::N,pisara,takenn
101,Schaum::N,vaahto,spoum
102,Schmutz::N,loka,fank
103,See::N,järvi,lenn
104,Sumpf::N,suo,gwern
105,Moor::N,räme,taouarc'heg
106,Wiese::N,niitty,prad
107,Wald::N,metsä,koad
108,Hügel::N,mäki,torgenn
109,Hügel::N,kumpu,torgenn
110,Hügel::N,kukkula,torgenn
111,Anhöhe::N,mäki,run
112,Anhöhe::N,kumpare,run
113,Berg::N,mäki,menez
114,Berg::N,vuori,menez
115,Gipfel::N,laki,barr
116,Gipfel::N,huippu,barr
117,Höhle::N,luola,kav
118,Abhang::N,rinne,naou
119,Quelle::N,lähde,feunteun
120,Bach::N,puro,gwazh
121,Fluss::N,joki,stêr
122,Ufer::N,ranta,ribl
123,Küste::N,rannikko,aod
124,Festland::N,manner,douar
125,Meer::N,meri,mor
126,Bucht::N,lahti,mor-bihan
127,Insel::N,saari,enez
128,Blume::N,kukka,bleunienn
129,Gras::N,ruoho,geot
