,Concept_ID,kn,ca
0,Auge::N,ಕಣ್ಣು,ull
1,Ohr::N,ಕಿವಿ,orella
2,Nase::N,ಮೂಗು,nas
3,Mund::N,ಬಾಯಿ,boca
4,Zahn::N,ಹಲ್ಲು,dent
5,Zunge::N,ನಾಲಿಗೆ,llēngua
6,Lippe::N,ತುಟಿ,llavi
7,Wange::N,ಗಲ್ಲ,galta
8,Gesicht::N,ಮುಖ,cara
9,Stirn::N,ಹಣೆ,front
10,Haar::N,ಕೂದಲು,cabēll
11,Schnurrbart::N,ಮೀಸೆ,bigoti
12,Bart::N,ಗಡ್ಡ,barba
13,Kinn::N,ಗದ್ದ,mentó
14,Kinn::N,ಗದ್ದ,barbeta
15,Kiefer[Anatomie]::N,ದವಡೆ,queix
16,Kiefer[Anatomie]::N,ದವಡೆ,mandíbula
17,Kehle::N,ಗಂಟಲು,gola
18,Kehle::N,ಗಂಟಲು,gorja
19,Hals::N,ಕೊರಳು,coll
20,Genick::N,ಹಿಂಗತ್ತು,nuca
21,Kopf::N,ತಲೆ,cap
22,Rücken::N,ಬೆನ್ನು,esquena
23,Bauch::N,ಹೊಟ್ಟೆ,panxa
24,Nabel::N,ಹೊಕ್ಕುಳು,llombrígol
25,Busen::N,ಸ್ತನ,pit
26,Busen::N,ಸ್ತನ,mama
27,Brust::N,ಎದೆ,pit
28,Schulter::N,ಭುಜ,espatlla
29,Arm::N,ತೋಳು,braç
30,Ellenbogen::N,ಮೊಣಕೈ,colze
31,Hand::N,ಕೈ,mà
32,Handfläche::N,ಅಂಗೈ,palma
33,Finger::N,ಕೈಬೆರಳು,dit
34,Fingernagel::N,ಉಗುರು,ungla
35,Nagel[Anatomie]::N,ಉಗುರು,ungla
36,Zeh::N,ಕಾಲ್ಬೆರಳು,dit del peu
37,Fuß::N,ಪಾದ,peu
38,Ferse::N,ಹಿಮ್ಮಡಿ,taló
39,Knie::N,ಮಂಡಿ,genoll
40,Oberschenkel::N,ತೊಡೆ,cuixa
41,Bein::N,ಕಾಲು,cama
42,Körper::N,ದೇಹ,cos
43,Haut::N,ಚರ್ಮ,pell
44,Blut::N,ರಕ್ತ,sang
45,Ader::N,ನರ,vena
46,Sehne::N,ನರ,tendó
47,Knochen::N,ಮೂಳೆ,os
48,Gehirn::N,ಮಿದುಳು,cervell
49,Herz::N,ಹೃದಯ,cor
50,Magen::N,ಉದರ,estómac
51,Leber::N,ಯಕೃತ್ತು,fetge
52,Atem::N,ಉಸಿರು,alè
53,Atem::N,ಉಸಿರು,hàlit
54,Hunger::N,ಹಸಿವು,fam
55,Hunger::N,ಹಸಿವು,gana
56,Träne::N,ಕಣ್ಣೀರು,llàgrima
57,Geschmack::N,ರುಚಿ,gust
58,Geschmack::N,ರುಚಿ,sabor
59,Geruch::N,ವಾಸನೆ,olor
60,Schlaf::N,ನಿದ್ರೆ,son
61,Traum::N,ಕನಸು,somni
62,Himmel::N,ಬಾನು,celm
63,Sonne::N,ಸೂರ್ಯ,sol
64,Mond::N,ಚಂದ್ರ,lluna
65,Stern::N,ಚುಕ್ಕಿ,estel
66,Stern::N,ಚುಕ್ಕಿ,estrella
67,Luft::N,ವಾಯು,aire
68,Wind::N,ಗಾಳಿ,vent
69,Welle::N,ಅಲೆ,ona
70,Wasser::N,ನೀರು,āigua
71,Stein::N,ಕಲ್ಲು,pedra
72,Boden::N,ನೆಲ,sòl
73,Erde::N,ಭೂಮಿ,terra
74,Staub::N,ದೂಳು,pols
75,Rauch::N,ಹೊಗೆ,fum
76,Funke::N,ಕಿಡಿ,guspira
77,Funke::N,ಕಿಡಿ,centella
78,Feuer::N,ಬೆಂಕಿ,foc
79,Licht::N,ಬೆಳಕು,llum
80,Schatten::N,ನೆರಳು,ombra
81,Wetter::N,ಹವ,temps
82,Nebel::N,ಮಂಜು,boira
83,Wolke::N,ಮೋಡ,núvol
84,Regen::N,ಮಳೆ,pluja
85,Schnee::N,ಹಿಮ,neu
86,Eis::N,ಮಂಜುಗಡ್ಡೆ,gel
87,Eis::N,ಮಂಜುಗಡ್ಡೆ,glaç
88,Frost::N,ಮಂಜು,glaçada
89,Kälte::N,ಹಿಮ,fred
90,Hitze::N,ಉಷ್ಣ,calor
91,Raureif::N,ಇಬ್ಬನಿ,gebre
92,Regenbogen::N,ಇಂದ್ರಚಾಪ,arc iris
93,Donner::N,ಗುಡುಗು,tro
94,Strömung::N,ಪ್ರವಾಹ,corrent
95,Tropfen::N,ತೊಟ್ಟು,gota
96,Schaum::N,ನೊರೆ,escuma
97,Schmutz::N,ಕಸ,brutícia
98,See::N,ಸರೋವರ,llac
99,Sumpf::N,ಜೌಗುಸ್ಥಳ,pantà
100,Moor::N,ಬಂಜರು ಭೂಮಿ,pantà
101,Wiese::N,ಹುಲ್ಲುಗಾವಲು,prat
102,Wiese::N,ಹುಲ್ಲುಗಾವಲು,prada
103,Wald::N,ಕಾಡು,bosc
104,Hügel::N,ಗುಡ್ಡೆ,puig
105,Hügel::N,ಗುಡ್ಡೆ,pujol
106,Anhöhe::N,ದಿಬ್ಬ,turó
107,Berg::N,ಮಲೆ,muntanya
108,Berg::N,ಪರ್ವತ,muntanya
109,Gipfel::N,ಶೃಂಗ,cim
110,Höhle::N,ಗುಹೆ,cova
111,Abhang::N,ಇಳಿಜಾರು,coster
112,Quelle::N,ಮೂಲ,font
113,Bach::N,ತೊರೆ,riera
114,Fluss::N,ನದಿ,riu
115,Ufer::N,ತೀರ,riba
116,Küste::N,ದಂಡೆ,costa
117,Festland::N,ಭೂಮಿ,terra ferma
118,Meer::N,ಕಡಲು,mar
119,Bucht::N,ಖಾರಿ,cala
120,Bucht::N,ಖಾರಿ,badia
121,Insel::N,ದ್ವೀಪ,illa
122,Blume::N,ಸುಮ,flor
123,Gras::N,ಹುಲ್ಲು,herba
124,Wurzel::N,ಬೇರು,rel
125,Wurzel::N,ಬೇರು,arrel
126,Baum::N,ಮರ,arbre
127,Stamm::N,ಕಾಂಡ,tronc
128,Rinde::N,ತೂಗಟಿ,escorça
129,Ast::N,ಶಾಖೆ,branca
130,Zweig::N,ರೆಂಬೆ,ram
131,Blatt::N,ಎಲೆ,fulla
132,Birke::N,ಬರ್ಚ್ ಮರ,bedoll
133,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,pi
134,Weide[Baum]::N,ವಿಲೋಮರ,salze
135,Tanne::N,ಭದ್ರದಾರು,avet
136,Horn::N,ಕೊಂಬು,corn
137,Horn::N,ಕೊಂಬು,banya
138,Feder::N,ಪುಕ್ಕ,ploma
139,Fell::N,ರೋಮ,pell
140,Flügel::N,ರೆಕ್ಕೆ,ala
141,Klaue::N,ಪಂಜ,urpa
142,Kralle::N,ಉಗುರು,grapa
143,Schwanz::N,ಬಾಲ,cua
144,Ei::N,ಮೊಟ್ಟೆ,ou
145,Nest::N,ಗೂಡು,niu
146,Bau::N,ಅಡಗುದಾಣ,cau
147,Tier::N,ಪ್ರಾಣಿ,animāl
148,Herde::N,ಗುಂಪು,ramat
149,Kuh::N,ಹಸು,vaca
150,Bulle::N,ಗೂಳಿ,toro
151,Pferd::N,ಕುದುರೆ,cavāll
152,Schaf::N,ಕುರಿ,be
153,Schaf::N,ಕುರಿ,ovella
154,Schwein::N,ಹಂದಿ,bacó
155,Hund::N,ನಾಯಿ,ca
156,Hund::N,ನಾಯಿ,gos
157,Katze::N,ಬೆಕ್ಕು,gat
158,Bär::N,ಕರಡಿ,ós
159,Eichhörnchen::N,ಉಡುತೆ,esquirol
160,Elch::N,ಕಡವೆ,ant
161,Fuchs::N,ನರಿ,guilla
162,Hase::N,ಮೊಲ,llebre
163,Maus::N,ಇಲಿ,ratolí
164,Wolf::N,ತೋಳ,llop
165,Vogel::N,ಪಕ್ಷಿ,au
166,Vogel::N,ಪಕ್ಷಿ,ocēll
167,Schwarm::N,ಗುಂಪು,bandada
168,Huhn::N,ಚಿಕ್,gallina
169,Hahn::N,ಹುಂಜ,gall
170,Gans::N,ವರಟೆ,oca
171,Adler::N,ಗರುಡ,àguila
172,Ente::N,ಬಾತು,ànec
173,Eule::N,ಗೂಬೆ,òliba
174,Eule::N,ಗೂಬೆ,mussol
175,Kranich::N,ಕೊಕ್ಕರ,grua
176,Krähe::N,ಕಾಗೆ,cornella
177,Kuckuck::N,ಕೋಗಿಲೆ,cucut
178,Schwan::N,ಹಂಸಪಕ್ಷಿ,cigne
179,Fisch::N,ಮೀನು,peix
180,Barsch::N,ಪರ್ಚ್ ಮೀನು,perca
181,Hecht::N,ಪೈಕ್ ಮೀನು,lluç
182,Schlange[Tier]::N,ಹಾವು,serp
183,Wurm::N,ಹುಳು,cuc
184,Spinne::N,ಊರ್ಣನಾಭ,aranya
185,Ameise::N,ಇರುವೆ,formiga
186,Laus::N,ಹೇನು,poll
187,Mücke::N,ಸೊಳ್ಳೆ,mosquit
188,Fliege::N,ನೊಣ,mosca
189,Schmetterling::N,ಪತಂಗ,papallona
190,Beere::N,ನಯವಣ್ಣು,baia
191,Apfel::N,ಸೇಬು,poma
192,Pilz::N,ಅಣಬೆ,bolet
193,Zwiebel::N,ನೀರುಳ್ಳಿ,ceba
194,Saat::N,ಬಿತ್ತ,sembra
195,Korn::N,ಬೀಜ,gra
196,Heu::N,ಕರಡ,fenc
197,Schale::N,ಹೊಟ್ಟು,closca
198,Grube::N,ಗುಂಡಿ,sot
199,Grube::N,ಗುಂಡಿ,clot
200,Falle::N,ಬೋನು,trampa
201,Schlinge::N,ಉರುಲು,baga
202,Spur::N,ಜಾಡು,traça
203,Asche::N,ಬೂದಿ,cendra
204,Dreck::N,ಹೊಲಸು,llot
205,Eisen::N,ಕಬ್ಬಿಣ,ferro
206,Gold::N,ಚಿನ್ನ,or
207,Silber::N,ಬೆಳ್ಳಿ,plata
208,Kohle::N,ಕಲ್ಲಿದ್ದಲು,carbó
209,Glas::N,ಗಾಜು,vidre
210,Lehm::N,ಜೇಡಿಮಣ್ಣು,fang
211,Lehm::N,ಜೇಡಿಮಣ್ಣು,argila
212,Sand::N,ಮರಳು,arena
213,Mensch::N,ಪುರುಷ,humà
214,Mensch::N,ಪುರುಷ,persona
215,Mann::N,ಆಳು,home
216,Frau::N,ಹೆಣ್ಣು,dona
217,Kind::N,ಮಗು,nen
218,Junge::N,ಹುಡುಗ,noi
219,Mädchen::N,ಹುಡುಗಿ,noia
220,Familie::N,ಕುಟುಂಬ,família
221,Großvater::N,ಅಜ್ಜ,avi
222,Großmutter::N,ಅಮ್ಮ,àvia
223,Eltern::N,ಹೆತ್ತವರು,pares
224,Vater::N,ತಂದೆ,pare
225,Mutter::N,ಅಮ್ಮ,mare
226,Sohn::N,ಮಗ ,fill
227,Tochter::N,ಮಗಳು,filla
228,Bruder::N,ತಮ್ಮ,germà
229,Schwester::N,ತಂಗಿ,germana
230,Onkel::N,ಸೋದರಮಾವ,oncle
231,Onkel::N,ದೊಡ್ಡಪ್ಪ,oncle
232,Tante::N,ಚಿಕ್ಕಮ್ಮ,tia
233,Ehemann::N,ಗಂಡ,espòs
234,Ehefrau::N,ಹೆಂಡತಿ,muller
235,Freude::N,ನಲಿವು,goig
236,Freude::N,ನಲಿವು,alegria
237,Gelächter::N,ನಗೆ,riallada
238,Glück::N,ಆನಂದ,felicitat
239,Kummer::N,ದುಃಖ,pena
240,Wunsch::N,ಬಯಕೆ,desig
241,Lust::N,ಇಷ್ಟ,ganes
242,Geist::N,ಆತ್ಮ,ment
243,Geist::N,ಆತ್ಮ,esperit
244,Gedanke::N,ಯೋಚನೆ,pensament
245,Gedächtnis::N,ಸ್ಮರಣೆ,memòria
246,Verstand::N,ಮನಸ್ಸು,raó
247,Verstand::N,ಮನಸ್ಸು,seny
248,Sinn::N,ಅರ್ಥ,solta
249,Sinn::N,ಅರ್ಥ,sentit
250,Grund::N,ಕಾರಣ,raó
251,Grund::N,ಕಾರಣ,causa
252,Wahrheit::N,ಸತ್ಯ,veritāt
253,Gespräch::N,ಸಂಭಾಷಣೆ,conversa
254,Märchen::N,ಸುಳ್ಳು ಕಥೆ,conte
255,Erzählung::N,ಕಥೆ,narració
256,Nachricht::N,ಸಂದೇಶ,missatge
257,Neuigkeit::N,ಸುದ್ದಿ,novetat
258,Name::N,ಹೆಸರು,nom
259,Rätsel::N,ಒಗಟು,endevinalla
260,Rede::N,ಮಾತು,discurs
261,Sprache::N,ಭಾಷೆ,llēngua
262,Stimme::N,ಧ್ವನಿ,veu
263,Wort::N,ಮಾತು,mot
264,Wort::N,ಮಾತು,paraula
265,Zeichen::N,ಗುರುತು,signe
266,Zeichen::N,ಗುರುತು,senyal
267,Ruf::N,ಕೂಗು,crida
268,Lärm::N,ಸದ್ದು,sorōll
269,Laut::N,ಶಬ್ದ,so
270,Ton::N,ನಾದ,to
271,Lied::N,ಗಾನ,cançó
272,Ruhe::N,ಶಾಂತಿ,calma
273,Ruhe::N,ಶಾಂತಿ,silenci
274,Leute::N,ಮಂದಿ,gent
275,Volk::N,ಜನಾಂಗ,poble
276,Arbeit::N,ಕೆಲಸ,labor
277,Arbeit::N,ಕೆಲಸ,treball
278,Gast::N,ಅತಿಥಿ,hoste
279,Geschenk::N,ಕಾಣಿಕೆ,regal
280,Geschenk::N,ಕಾಣಿಕೆ,obsequi
281,Spiel::N,ಆಟ,joc
282,Gesellschaft::N,ಸಂಗ,companyia
283,Hilfe::N,ಸಹಾಯ,ajut
284,Freund::N,ಸ್ನೇಹಿತ,amīc
285,Kamerad::N,ಜೊತೆಗಾರ,company
286,Kamerad::N,ಜೊತೆಗಾರ,camarada
287,Angelegenheit::N,ವಿಚಾರ,afer
288,Angelegenheit::N,ವಿಚಾರ,assumpte
289,Anzahl::N,ಎಣಿಕೆ,nombre
290,Anzahl::N,ಎಣಿಕೆ,quantitat
291,Art::N,ತರ,tipus
292,Art::N,ತರ,classe
293,Stück::N,ತುಂಡು,peça
294,Teil::N,ಭಾಗ,part
295,Hälfte::N,ಅರ್ಧ,meitat
296,Kreis::N,ವೃತ್ತ,cercle
297,Kreuz::N,ಶಿಲುಬೆ,creu
298,Linie::N,ರೀಖೆ,línia
299,Strich::N,ಗೀಟು,traç
300,Strich::N,ಗೀಟು,ratlla
301,Abstand::N,ಅಂತರ,distància
302,Entfernung::N,ದೂರ,distància
303,Gegend::N,ವಿಸ್ತೀರ್ಣ,regió
304,Gegend::N,ವಿಸ್ತೀರ್ಣ,contrada
305,Platz::N,ಅಂತರ,cabuda
306,Ort::N,ಸ್ಥಳ,lloc
307,Seite::N,ಪಕ್ಷ,banda
308,Seite::N,ಪಕ್ಷ,costāt
309,Mitte::N,ನಡು,mig
310,Mitte::N,ನಡು,centre
311,Gegenstand::N,ವಸ್ತು,objecte
312,Sache::N,ವಸ್ತು,cosa
313,Rand::N,ಅಂಚು,vora
314,Rand::N,ಅಂಚು,marge
315,Kante::N,ಅಂಚು,caire
316,Kante::N,ಅಂಚು,cantell
317,Ecke::N,ಮೂಲೆ,cantonada
318,Spitze::N,ತುದಿ,punta
319,Ende::N,ಕೊನೆ,cap
320,Loch::N,ತೂತು,forāt
321,Winkel::N,ಕೋನ,racó
322,Muster::N,ನಮೂನೆ,dibuix
323,Muster::N,ನಮೂನೆ,disseny
324,Größe::N,ಪ್ರಮಾಣ,grandària
325,Länge::N,ಉದ್ದ,longitud
326,Höhe::N,ಎತ್ತರ,altura
327,Höhe::N,ಎತ್ತರ,altitud
328,Gewicht::N,ತೂಕ,pes
329,Menge::N,ಮೊತ್ತ,quantitat
330,Haufen::N,ರಾಶಿ,pila
331,Reihe::N,ಸಾಲು,fila
332,Boot::N,ದೋಣಿ,bot
333,Boot::N,ದೋಣಿ,barca
334,Ruder::N,ಹುಟ್ಟು,rem
335,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,trineu
336,Ski::N,ಜಾರುಪಟ್ಟಿ,esquí
337,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,foc de campament
338,Last::N,ಹೊರೆ,càrrega
339,Gang::N,ತಿರುಗಾಟ,marxa
340,Schritt::N,ಹೆಜ್ಜೆ,pas
341,Norden::N,ಉತ್ತರ,nord
342,Süden::N,ದಕ್ಷಿಣ,sud
343,Westen::N,ಪಶ್ಚಿಮ,oest
344,Westen::N,ಪಶ್ಚಿಮ,occident
345,Osten::N,ಮೂಡಲು,est
346,Osten::N,ಮೂಡಲು,orient
347,Holz::N,ಚೌಬೀನೆ,fusta
348,Brett::N,ಹಲಗೆ,taula
349,Platte::N,ಹಲಗೆ,placa
350,Stütze::N,ಆಸರೆ,suport
351,Stange::N,ಕಂಬ,vara
352,Stock::N,ಕೋಲು,pal
353,Stab::N,ದೊಣ್ಣೆ,bastó
354,Rohr::N,ನಳಿಕೆ,tub
355,Haus::N,ಮನೆ,casa
356,Heim::N,ಗೃಹ,llar
357,Ofen::N,ಒಲೆ,estufa
358,Fußboden::N,ನೆಲ,terra
359,Tisch::N,ಮೇಜು,taula
360,Stuhl::N,ಕುರ್ಚಿ,cadira
361,Wiege::N,ತೊಟ್ಟಿಲು,bressol
362,Bett::N,ಹಾಸಿಗೆ,llit
363,Regal::N,ಬೀರು,prestatgeria
364,Kiste::N,ಪಟ್ಟಿಗೆ,caixa
365,Fenster::N,ಕಿಟಕಿ,finestra
366,Tür::N,ಬಾಗಿಲು,porta
367,Tor::N,ಹೆಬ್ಬಾಗಿಲು,portal
368,Zaun::N,ಬೇಲಿ,tanca
369,Dach::N,ಮಾಳಿಗೆ,teulada
370,Leiter::N,ಏಣಿ,escala
371,Leiter::N,ಏಣಿ,escala de mà
372,Besen::N,ಪೊರಕೆ,escombra
373,Spaten::N,ಗುದ್ದಲಿ,pala
374,Schaufel::N,ಸನಿಕೆ,pala
375,Gabel::N,ಕವಲು,forquilla
376,Löffel::N,ಚಮಚ,cullera
377,Messer::N,ಚಾಕು,coltell
378,Nagel::N,ಆಣಿ,clau
379,Netz::N,ಬಲೆ,filat
380,Haken::N,ಕೊಂಡಿ,ganxo
381,Griff::N,ಹಿಡಿ,puny
382,Griff::N,ಹಿಡಿ,mànec
383,Schloss::N,ವೀಗ,pany
384,Bild::N,ಚಿತ್ರ,imatge
385,Figur::N,ಆಕಾರ,figura
386,Puppe::N,ಗೊಂಬೆ,nina
387,Beutel::N,ಸಂಚಿ,bossa
388,Bündel::N,ಕಟ್ಟು,feix
389,Bündel::N,ಕಟ್ಟು,paquet
390,Tasche::N,ಚೀಲ,bossa
391,Eimer::N,ಬಾನೆ,galleda
392,Deckel::N,ಮುಚ್ಚಳ,tapa
393,Deckel::N,ಮುಚ್ಚಳ,tapadora
394,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,vaixella
395,Sack::N,ಮೂಟೆ,sac
396,Sack::N,ಮೂಟೆ,saca
397,Tasse::N,ಬಟ್ಟಲು,tassa
398,Topf::N,ಮಡಕೆ,pot
399,Topf::N,ಮಡಕೆ,olla
400,Kessel::N,ಕೆಟಲ್,caldera
401,Essen::N,ಊಟ,àpat
402,Essen::N,ಊಟ,menjada
403,Nahrung::N,ಆಹಾರ,aliment
404,Speise::N,ಊಟ,plat
405,Fleisch::N,ಮಾಂಸ,carn
406,Getreide::N,ಧಾನ್ಯ,cereals
407,Brei::N,ಗಂಜಿ,puré
408,Brot::N,ರೊಟ್ಟಿ,pa
409,Scheibe::N,ಹೋಳು,tall
410,Scheibe::N,ಹೋಳು,llesca
411,Fett::N,ಕೊಬ್ಬು,greix
412,Butter::N,ಬೆಣ್ಣೆ,mantega
413,Öl::N,ಎಣ್ಣೆ,oli
414,Salz::N,ಉಪ್ಪು,sal
415,Suppe::N,ಎಸರು,sopa
416,Honig::N,ಮಧು,mel
417,Milch::N,ಹಾಲು,llet
418,Tee::N,ಚಹ,te
419,Leder::N,ಚಕ್ಕಳ,cuir
420,Wolle::N,ಉಣ್ಣೆ,llana
421,Stoff::N,ಬಟ್ಟೆ,tela
422,Nadel::N,ಸೂಜಿ,agulla
423,Faden::N,ದಾರ,fil
424,Knopf::N,ಗುಂಡು,botó
425,Knoten::N,ಗಂಟು,nus
426,Farbe::N,ಬಣ್ಣ,pintura
427,Kleidung::N,ಅರಿವೆ,roba
428,Kleidung::N,ಅರಿವೆ,vestits
429,Hemd::N,ಅಂಗಿ,camisa
430,Kragen::N,ಕುತ್ತಿಗೆಪಟ್ಟಿ,coll
431,Ärmel::N,ತೋಳು,màniga
432,Hose::N,ಇಜಾರ,pantalōns
433,Gürtel::N,ಬೆಲ್ಟು,cinturó
434,Mütze::N,ಟೋಪಿ,gorra
435,Schuh::N,ಪಾದರಕ್ಷೆ,sabata
436,Stiefel::N,ಬೂಟು,bota
437,Ring::N,ಉಂಗುರ,anell
438,Band::N,ರಿಬ್ಬನ್,veta
439,Band::N,ರಿಬ್ಬನ್,cinta
440,Kamm::N,ಹಣಿಗೆ,pinta
441,Spiegel::N,ಕನ್ನಡಿ,mirāll
442,Riemen::N,ಬಾರು,corretja
443,Schnur::N,ಹುರಿ,corda
444,Leine::N,ಹಗ್ಗ,corretja
445,Decke::N,ಕಂಬಳಿ,manta
446,Decke::N,ಕಂಬಳಿ,flassada
447,Kissen::N,ದಿಂಬು,coixí
448,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,mocador
449,Handtuch::N,ಚೌಕ,tovallola
450,Kraft::N,ಬಲ,força
451,Stärke::N,ಶಕ್ತಿ,vigor
452,Gesundheit::N,ಆರೋಗ್ಯ,salut
453,Krankheit::N,ರೋಗ,malaltia
454,Schmerz::N,ನೋವು,dolor
455,Wunde::N,ಗಾಯ,ferida
456,Fieber::N,ಜ್ವರ,febre
457,Arznei::N,ಔಷಧ,medicament
458,Brücke::N,ಸೇತುವೆ,pont
459,Brunnen::N,ಬಾವಿ,pou
460,Weide::N,ಗೋಮಾಳ,pastura
461,Pfad::N,ದಾರಿ,senda
462,Pfad::N,ದಾರಿ,sender
463,Weg::N,ಹಾದಿ,camí
464,Straße::N,ರಸ್ತೆ,carretera
465,Dorf::N,ಹಳ್ಳಿ,poble
466,Stadt::N,ಪಟ್ಟಣ,ciutāt
467,Brief::N,ಕಾಗದ,carta
468,Buch::N,ಪುಸ್ತಕ,llibre
469,Buchstabe::N,ಅಕ್ಷರ,lletra
470,Zeitung::N,ವಾರ್ತಾಪತ್ರಿಕೆ,diāri
471,Leben::N,ಜೀವನ,vida
472,Tod::N,ಮರಣ,mort
473,Grab::N,ಗೋರಿ,tomba
474,Kirche::N,ಚರ್ಚು,església
475,Sünde::N,ಪಾಪ,pecat
476,Gott::N,ದೇವರು,déu
477,Arbeiter::N,ಕೆಲಸಗಾರ,obrer
478,Chef::N,ದಣಿ,cap
479,Meister::N,ಶಿಕ್ಷಕ,mestre
480,Arzt::N,ವೈದ್ಯ,metge
481,Lehrer::N,ಉಪಾಧ್ಯಾಯ,mestre
482,Geld::N,ಹಣ,dinērs
483,Geschäft::N,ವಾಣಿಜ್ಯ,negoci
484,Laden::N,ಅಂಗಡಿ,tenda
485,Laden::N,ಅಂಗಡಿ,botiga
486,Preis::N,ಬೆಲೆ,preu
487,Ware::N,ಸರಕು,mercaderia
488,Nutzen::N,ಲಾಭ,profit
489,Reichtum::N,ಸಂಪತ್ತು,riquesa
490,Welt::N,ಭೂಲೋಕ,món
