,Concept_ID,la,ce
0,Auge::N,oculus,бӏаьрг
1,Ohr::N,auris,лерг
2,Nase::N,nasus,мара
3,Mund::N,os,бага
4,Zahn::N,dens,церг
5,Zunge::N,lingua,мотт
6,Lippe::N,labrum,балда
7,Wange::N,gena,бесни
8,Gesicht::N,vultus,юьхь
9,Stirn::N,frons,хьаж
10,Haar::N,capillus,мас
11,Schnurrbart::N,barba labri superioris,мекх
12,Bart::N,barba,маж
13,Kinn::N,mentum,чӏениг
14,Kiefer[Anatomie]::N,mala,мочхал
15,Kehle::N,iugulums,къамкъарг
16,Hals::N,collum,ворта
17,Genick::N,cervices,кӏесаркӏаг
18,Kopf::N,caput,корта
19,Rücken::N,tergum,букъ
20,Bauch::N,venter,кийра
21,Nabel::N,umbilicus,цӏонга
22,Busen::N,sinus,зударийн накха
23,Brust::N,pectus,накха
24,Schulter::N,umerus,белш
25,Arm::N,bracchium,пхьарс
26,Ellenbogen::N,cubitum,пхьаьрсан гола
27,Hand::N,manus,куьг
28,Handfläche::N,palma,кераюкъ
29,Finger::N,digitus,пӏелг
30,Fingernagel::N,unguiculus,мӏара
31,Nagel[Anatomie]::N,unguis,мӏара
32,Zeh::N,digitus,кога пӏелг
33,Fuß::N,pes,ког
34,Ferse::N,calx,кӏажа
35,Knie::N,genu,гола
36,Oberschenkel::N,femur,варе
37,Bein::N,crus,ког
38,Körper::N,corpus,хӏума
39,Haut::N,cutis,чкъор
40,Haut::N,pellis,чкъор
41,Blut::N,sanguis,цӏий
42,Ader::N,vena,пха
43,Sehne::N,nervus,хьорзам
44,Knochen::N,os,даьӏахк
45,Gehirn::N,cerebrum,хье
46,Herz::N,cor,дог
47,Herz::N,animus,дог
48,Magen::N,stomachus,зорх
49,Leber::N,iecur,доӏах
50,Atem::N,spiritus,садеӏар
51,Hunger::N,fames,мацалла
52,Träne::N,lacrima,бӏаьрхи
53,Geschmack::N,sapor,чам
54,Geschmack::N,gustus,чам
55,Geruch::N,odor,хьожа
56,Schlaf::N,somnus,наб
57,Traum::N,somnium,гӏан
58,Himmel::N,caelum,стигал
59,Sonne::N,sol,малх
60,Mond::N,luna,бутт
61,Stern::N,sidus,седа
62,Stern::N,stella,седа
63,Luft::N,aer,xӏаваъ
