,Concept_ID,mhr,be
0,Auge::N,шинча́,вока
1,Ohr::N,пы́лыш,вуха
2,Nase::N,нер,нос
3,Mund::N,умша́,рот
4,Zahn::N,пӱй,зуб
5,Zunge::N,йы́лме,язык
6,Lippe::N,тӱ́рвӧ,губа
7,Wange::N,шӱ́ргӧ,шчака
8,Gesicht::N,чури́й,твар
9,Stirn::N,саҥга́,лоб
10,Haar::N,ӱп,волас
11,Haar::N,ӱп,валасы
12,Schnurrbart::N,ӧ́рыш,вус
13,Schnurrbart::N,ӧ́рыш,вусы
14,Bart::N,понда́ш,барада
15,Kinn::N,оҥыла́ш,падбародак
16,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,сківіца
17,Kiefer[Anatomie]::N,пӱйората́,сківіца
18,Kehle::N,лога́р,горла
19,Hals::N,шӱй,шыя
20,Genick::N,шӱйло́дыш,патыліца
21,Kopf::N,вуй,галава
22,Rücken::N,туп,спіна
23,Bauch::N,мӱ́шкыр,жывот
24,Nabel::N,кы́лымде,пупок
25,Busen::N,чы́зе,грудзі
26,Brust::N,оҥ,грудзі
27,Schulter::N,ва́че,плячо
28,Arm::N,кид,рука
29,Ellenbogen::N,кынерву́й,локаць
30,Hand::N,кид,кісць
31,Hand::N,копа́,кісць
32,Handfläche::N,со́во,далонь
33,Finger::N,парня́,палец
34,Fingernagel::N,кидкӱ́ч,ногаць
35,Fingernagel::N,парнягӱ́ч,ногаць
36,Nagel[Anatomie]::N,кӱч,ногаць
37,Zeh::N,йолварня́,палец
38,Fuß::N,йол,нага
39,Fuß::N,йолкопа́,нага
40,Ferse::N,тага́н,пята
41,Ferse::N,тага́н,пятка
42,Knie::N,пулву́й,калена
43,Oberschenkel::N,э́рде,бядро
44,Oberschenkel::N,э́рде,сцягно
45,Bein::N,йол,нага
46,Körper::N,кап,цела
47,Haut::N,кова́ште,скура
48,Blut::N,вӱр,кроў
49,Ader::N,шӧн,вена
50,Ader::N,шӧн,сасуд
51,Sehne::N,шӧн,жыла
52,Sehne::N,шӧн,цеціва
53,Sehne::N,шӧн,сухажылле
54,Sehne::N,кӱсе́н,жыла
55,Sehne::N,кӱсе́н,цеціва
56,Sehne::N,кӱсе́н,сухажылле
57,Knochen::N,лу,косць
58,Gehirn::N,вем,мозг
59,Gehirn::N,вуйве́м,мозг
60,Herz::N,шӱм,сэрца
61,Magen::N,пага́р,страўнік
62,Leber::N,мокш,печань
63,Atem::N,шӱ́лыш,дыханне
64,Hunger::N,шужыма́ш,голад
65,Träne::N,шинчавӱ́д,сляза
66,Geschmack::N,там,смак
67,Geruch::N,пуш,пах
68,Schlaf::N,о́мо,сон
69,Traum::N,йӱдо́мо,сон
70,Himmel::N,кава́,неба
71,Sonne::N,ке́че,сонца
72,Mond::N,ты́лзе,месяц
73,Stern::N,шӱ́дыр,зорка
74,Luft::N,юж,паветра
75,Wind::N,марде́ж,вецер
76,Welle::N,то́лкын,хваля
77,Wasser::N,вӱд,вада
78,Stein::N,кӱ,камень
79,Boden::N,рок,глеба
80,Erde::N,мла́нде,зямля
81,Staub::N,пура́к,пыл
82,Rauch::N,шикш,дым
83,Funke::N,сеске́м,іскра
84,Funke::N,тулйы́п,іскра
85,Feuer::N,тул,агонь
86,Licht::N,со́то,святло
87,Schatten::N,ӱ́мыл,цень
88,Wetter::N,иге́че,пагода
89,Wetter::N,иге́че,надворʼе
90,Nebel::N,тӱтыра́,туман
91,Wolke::N,пыл,воблака
92,Regen::N,йӱр,дождж
93,Schnee::N,лум,снег
94,Eis::N,ий,лёд
95,Frost::N,чатлама́,мароз
96,Kälte::N,йӱ́штӧ,холад
97,Hitze::N,шо́кшо,спёка
98,Raureif::N,пӧрш,іней
99,Raureif::N,по́кшым,іней
100,Regenbogen::N,шонанпы́л,вясёлка
101,Donner::N,кӱ́дырчӧ,гром
102,Strömung::N,йо́гын,цячэнне
103,Tropfen::N,чӱча́лтыш,кропля
104,Schaum::N,шоҥ,пена
105,Schmutz::N,лавыра́,гразь
106,See::N,ер,возера
107,Sumpf::N,лӱ́кӧ,багна
108,Moor::N,куп,балота
109,Wiese::N,о́лык,луг
110,Wald::N,чодыра́,лес
111,Hügel::N,арка́,узгорак
112,Anhöhe::N,тӧва́,узвышша
113,Anhöhe::N,кӱкшака́,узвышша
114,Berg::N,ку́рык,гара
115,Gipfel::N,чаҥга́,вяршыня
116,Gipfel::N,курыкву́й,вяршыня
117,Höhle::N,пеще́р,пячора
118,Höhle::N,курыкпо́мыш,пячора
119,Abhang::N,та́йыл,схіл
120,Quelle::N,важ,крыніца
121,Quelle::N,вӱдшинча́,крыніца
122,Bach::N,изэҥе́р,ручай
123,Fluss::N,эҥе́р,рака
124,Ufer::N,сер,бераг
125,Küste::N,вӱдтӱ́р,узбярэжжа
126,Festland::N,мла́нде,суша
127,Meer::N,те́ҥыз,мора
128,Bucht::N,икса́,бухта
129,Insel::N,отро́,востраў
130,Blume::N,пеле́дыш,кветка
131,Gras::N,шу́до,трава
132,Wurzel::N,вож,корань
133,Baum::N,пуше́ҥге,дрэва
134,Stamm::N,йы́тыр,ствол
135,Rinde::N,шӱм,кара
136,Ast::N,укш,сук
137,Zweig::N,торма́к,галіна
138,Blatt::N,лышта́ш,ліст
139,Birke::N,куэ́,бяроза
140,Kiefer[Baum]::N,пӱ́нчӧ,хвоя
141,Kiefer[Baum]::N,пӱ́нчӧ,сасна
142,Weide[Baum]::N,уа́,вярба
143,Tanne::N,кож,яліна
144,Horn::N,шур,рог
145,Feder::N,пы́стыл,пяро
146,Fell::N,кова́ште,шкура
