,Concept_ID,sah,sq
0,Auge::N,харах,sy
1,Ohr::N,кулгаах,vesh
2,Nase::N,мурун,hundë
3,Mund::N,айах,gojë
4,Zahn::N,тиис,dhëmb
5,Zunge::N,тыл,gjuhë
6,Lippe::N,уос,buzë
7,Wange::N,иэдэс,faqe
8,Wange::N,иэдэс,mollëz
9,Gesicht::N,сирэй,fytyrë
10,Stirn::N,сүүс,ballë
11,Haar::N,баттах,flokë
12,Schnurrbart::N,уос бытыга,mustaqe
13,Bart::N,сэҥийэ бытыга,mjekër
14,Kinn::N,сэҥийэ,mjekër
15,Kiefer[Anatomie]::N,сыҥаах,nofull
16,Kehle::N,тамах,fyt
17,Kehle::N,тамах,grykë
18,Kehle::N,күөмэй,fyt
19,Kehle::N,күөмэй,grykë
20,Hals::N,моой,qafë
21,Genick::N,кэтэх,arrëz
22,Kopf::N,бас,kokë
23,Rücken::N,көҕүс,kurriz
24,Bauch::N,ис,bark
25,Nabel::N,киин,kërthizë
26,Busen::N,эмиий,gji
27,Brust::N,түөс,gjoks
28,Brust::N,түөс,kraharor
29,Schulter::N,сарын,sup
30,Schulter::N,сарын,krah
31,Arm::N,илии,krah
32,Ellenbogen::N,тоҕонох,bërryl
33,Hand::N,илии,dorë
34,Handfläche::N,ытыс,pëllëmbë
35,Finger::N,тарбах,gisht
36,Fingernagel::N,тыҥырах,thua
37,Nagel[Anatomie]::N,тыҥырах,thua
38,Zeh::N,тарбах,gisht i këmbës
39,Fuß::N,уллуҥах,këmbë
40,Ferse::N,тилэх,thembër
41,Knie::N,тобук,gju
42,Knie::N,дьилбэк,gju
43,Oberschenkel::N,уллук,kofshë
44,Oberschenkel::N,өттүк,kofshë
45,Bein::N,атах,këmbë
46,Körper::N,бэйэ,trup
47,Haut::N,тирии,lëkurë
48,Blut::N,хаан,gjak
49,Ader::N,вена,venë
50,Ader::N,күөх_тымыр,venë
51,Sehne::N,иҥиир,dell
52,Knochen::N,уҥуох,asht
53,Knochen::N,уҥуох,kockë
54,Knochen::N,уҥгуох,asht
55,Knochen::N,уҥгуох,kockë
56,Gehirn::N,мэйии,tru
57,Herz::N,сүрэх,zemër
58,Magen::N,куртах,stomak
59,Leber::N,быар,mëlçi
60,Atem::N,тыын,frymë
61,Hunger::N,аас,uri
62,Träne::N,харах уута,lot
63,Geschmack::N,амтан,shije
64,Geruch::N,сыт,erë
65,Schlaf::N,утуйуу,gjumë
66,Traum::N,түүл,ëndërr
67,Himmel::N,халлаан,qiell
68,Sonne::N,күн,diell
69,Mond::N,ый,hënë
70,Stern::N,сулус,yll
71,Luft::N,салгын,ajër
72,Wind::N,тыал,erë
73,Welle::N,долгун,valë
74,Welle::N,долгун,dallgë
75,Welle::N,балхаан,valë
76,Welle::N,балхаан,dallgë
77,Wasser::N,уу,ujë
78,Stein::N,таас,gur
79,Boden::N,сир,tokë
80,Boden::N,сир,truall
81,Erde::N,буор,dhe
82,Erde::N,буор,baltë
83,Staub::N,быыл,pluhur
84,Rauch::N,буруо,tym
85,Funke::N,кыым,xixë
86,Funke::N,кыым,shkëndijë
87,Feuer::N,уот,zjarr
88,Licht::N,уот,dritë
89,Schatten::N,күлүк,hije
90,Wetter::N,күн-дьыл,mot
91,Nebel::N,туман,mjegull
92,Wolke::N,былыт,re
93,Regen::N,самыыр,shi
94,Schnee::N,хаар,borë
95,Eis::N,муус,akull
96,Frost::N,тымныы,ngricë
97,Kälte::N,тымныы,të ftohtë
98,Hitze::N,куйаас,vapë
99,Hitze::N,куйаас,nxehtësi
100,Raureif::N,кырыа,cikmë
101,Regenbogen::N,кустук,ylber
102,Donner::N,этиҥ,gjëmim
103,Donner::N,этиҥ,bubullimë
104,Strömung::N,сүүрүк,rrymë
105,Tropfen::N,таммах,pikë
106,Tropfen::N,хааппыла,pikë
107,Schaum::N,күүгэн,shkumë
108,Schmutz::N,кир,baltë
109,See::N,күөл,liqen
110,Sumpf::N,бадараан,batak
111,Moor::N,дьэбэрэ,kënetë
112,Wiese::N,ходуһа,livadh
113,Wald::N,ойуур,pyll
114,Hügel::N,булгунньах,kodër
115,Anhöhe::N,үрдэл,bregore
116,Berg::N,хайа,mal
117,Gipfel::N,чыпчаал,kulm
118,Höhle::N,хайа_хаспаҕа,shpellë
119,Höhle::N,хайа_хаспаҕа,zgafelle
120,Höhle::N,көҥүс,shpellë
121,Höhle::N,көҥүс,zgafelle
122,Abhang::N,эниэ,shpat
123,Abhang::N,эниэ,tatëpjetë
124,Quelle::N,дьүүктэ,krua
125,Quelle::N,дьүүктэ,burim
126,Bach::N,үрүйэ,virua
127,Fluss::N,өрүс,lumë
128,Ufer::N,биэрэк,breg
129,Küste::N,кытыл,anëdet
130,Küste::N,кытыл,bregdet
131,Festland::N,кураанах сир,kontinent
132,Meer::N,муора,det
133,Bucht::N,хомо,gji deti
134,Bucht::N,бухта,gji deti
135,Insel::N,арыы,ishull
136,Insel::N,арыы,ujdhesë
137,Blume::N,сибэкки,lule
138,Gras::N,от,bar
139,Wurzel::N,силис,rrënjë
140,Baum::N,мас,pemë
141,Stamm::N,умнас,trung
142,Rinde::N,хатырык,lëvore
143,Ast::N,мутук,degë
144,Zweig::N,лабаа,bisk
145,Blatt::N,сэбирдэх,fletë
146,Blatt::N,сэбирдэх,gjethe
147,Birke::N,хатыҥ,mështekën
148,Kiefer[Baum]::N,бэс,pishë
149,Weide[Baum]::N,үөт,shelg
150,Weide[Baum]::N,талах,shelg
151,Tanne::N,харыйа,bredh
152,Horn::N,муос,bri
153,Feder::N,куорсун,pupël
154,Fell::N,тирии,lëkurë
155,Flügel::N,кынат,krah
156,Flügel::N,кынат,fletë
157,Klaue::N,тыҥырах,kthetër
158,Kralle::N,баппаҕай,thua
159,Kralle::N,баппаҕай,kthetër
160,Schwanz::N,кутурук,bisht
161,Ei::N,сымыыт,vezë
162,Nest::N,уйа,fole
163,Bau::N,хороон,strofkë
164,Tier::N,кыыл,kafshë
165,Tier::N,харамай,kafshë
166,Herde::N,үөр,kope
167,Herde::N,үөр,grigjë
168,Kuh::N,ынах,lopë
169,Bulle::N,оҕус,dem
170,Pferd::N,сылгы,kalë
171,Schaf::N,овца,dele
172,Schwein::N,сибиинньэ,derr
173,Hund::N,ыт,qen
174,Katze::N,куоска,mace
175,Bär::N,эһэ,ari
176,Eichhörnchen::N,тииҥ,ketër
177,Elch::N,тайах,dre brilopatë
178,Fuchs::N,саһыл,dhelpër
179,Hase::N,куобах,lepur
180,Maus::N,кутуйах,mi
181,Wolf::N,бөрө,ujk
182,Vogel::N,көтөр,zog
183,Vogel::N,көтөр,shpend
184,Schwarm::N,бөлөх,luzmë
185,Huhn::N,куурусса,pulë
186,Hahn::N,бөтүүк,gjel
187,Hahn::N,бөтүүк,këndes
188,Gans::N,хаас,patë
189,Adler::N,хотой,shqiponjë
190,Ente::N,кус,rosë
191,Eule::N,мэкчиргэ,buf
192,Kranich::N,туруйа,lejlek
193,Kranich::N,туруйа,kurrillë
194,Krähe::N,тураах,sorrë
195,Kuckuck::N,кэҕэ,qyqe
196,Schwan::N,куба,mjellmë
197,Fisch::N,балык,peshk
198,Barsch::N,алыһар,purtekë
199,Hecht::N,сордон,mlysh
200,Schlange[Tier]::N,моҕой,gjarpër
201,Schlange[Tier]::N,эриэн үөн,gjarpër
202,Wurm::N,үөн,krimb
203,Spinne::N,ооҕуй,marimangë
204,Ameise::N,кымырдаҕас,thnegël
205,Ameise::N,кымырдаҕас,milingonë
206,Laus::N,быт,morr
207,Mücke::N,кумаар,kunup
208,Mücke::N,кумаар,mushkonjë
209,Fliege::N,сахсырҕа,mizë
210,Schmetterling::N,лыах,flutur
211,Schmetterling::N,үрүмэччи,flutur
212,Beere::N,отон,frutë
213,Beere::N,отон,manaferrë
214,Apfel::N,яблоко,mollë
215,Pilz::N,тэллэй,kërpudhë
216,Zwiebel::N,луук,qepë
217,Saat::N,сиэмэ,farë
218,Korn::N,сиэмэ,grurë
219,Korn::N,сиэмэ,kokërr
220,Heu::N,от,sanë
221,Schale::N,хах,lëkurë
222,Grube::N,дьаама,gropë
223,Falle::N,сохсо,kurth
224,Falle::N,сохсо,grackë
225,Schlinge::N,уктаа,nyjë
226,Spur::N,суол,gjurmë
227,Asche::N,күл,hi
228,Dreck::N,бадараан,baltë
229,Eisen::N,тимир,hekur
230,Gold::N,көмүс,ar
231,Gold::N,көмүс,flori
232,Gold::N,кыһыл көмүс,ar
233,Gold::N,кыһыл көмүс,flori
234,Silber::N,көмүс,argjend
235,Silber::N,үрүҥ көмүс,argjend
236,Kohle::N,чох,qymyr
237,Glas::N,өстүөкүлэ,qelq
238,Lehm::N,туой,argjilë
239,Sand::N,кумах,rërë
240,Mensch::N,киһи,njeri
241,Mann::N,эр,burrë
242,Mann::N,эр,mashkull
243,Frau::N,дьахтар,grua
244,Frau::N,дьахтар,femër
245,Kind::N,оҕо,kalama
246,Junge::N,уол,djalë
247,Mädchen::N,кыыс оҕо,gocë
248,Mädchen::N,кыыс оҕо,vajzë
249,Familie::N,кэргэн,familje
250,Großvater::N,эһэ,gjysh
251,Großmutter::N,эбэ,gjyshe
252,Eltern::N,аҕа-ийэ,prindër
253,Vater::N,аҕа,atë
254,Mutter::N,ийэ,nënë
255,Sohn::N,уол,bir
256,Tochter::N,кыыс,bijë
257,Bruder::N,убай,vëlla
258,Bruder::N,быраат,vëlla
259,Schwester::N,аҕас,motër
260,Schwester::N,балыс,motër
261,Onkel::N,таай,dajë
262,Onkel::N,таай,xhaxha
263,Onkel::N,абаҕа,dajë
264,Onkel::N,абаҕа,xhaxha
265,Tante::N,эдьиий,teze
266,Tante::N,эдьиий,hallë
267,Ehemann::N,эр,burrë
268,Ehemann::N,эр,bashkëshort
269,Ehefrau::N,ойох,grua
270,Ehefrau::N,ойох,bashkëshorte
