,Concept_ID,ko,ml
0,Auge::N,눈,കണ്ണ്
1,Ohr::N,귀,ചെവി
2,Nase::N,코,മൂക്ക്
3,Mund::N,입,വായ
4,Zahn::N,이,പല്ല്
5,Zunge::N,혀,നാക്ക്
6,Lippe::N,입술,ചുണ്ട്
7,Wange::N,뺨,കവിൾത്തടം
8,Gesicht::N,얼굴,മുഖം
9,Stirn::N,이마,നെറ്റി
10,Haar::N,털,തലമുടി
11,Schnurrbart::N,윗수몀,മീശ
12,Schnurrbart::N,코밑수염,മീശ
13,Bart::N,수엄,താടിരോമം
14,Kinn::N,아래턱,താടി
15,Kiefer[Anatomie]::N,턱,താടിയെല്ല്
16,Kehle::N,인후,കണ്ഠനാളം
17,Hals::N,목,കഴുത്ത്
18,Genick::N,먹덜이,പിടലി
19,Kopf::N,머리,തല
20,Rücken::N,든,മുതുക്
21,Bauch::N,배,നയറ്
22,Nabel::N,배꼽,നാഭി
23,Busen::N,가슴속,സ്തനം
24,Brust::N,가슴,സ്തനം
25,Schulter::N,어깨,തോൾ
26,Arm::N,팔,കൈ
27,Ellenbogen::N,팔쿰치,കൈമുട്ട്
28,Hand::N,손,കൈ
29,Handfläche::N,손바닥,ഉള്ളം കൈ
30,Finger::N,속가락,വിരൽ
31,Fingernagel::N,손톱,നഖം
32,Nagel[Anatomie]::N,손톱,നഖം
33,Zeh::N,발가락,കാൽവിരൽ
34,Fuß::N,발,കാൽപ്പാദം
35,Ferse::N,발꿈치,ഉപ്പൂറ്റി
36,Knie::N,무릎,കാൽമുട്ട്
37,Oberschenkel::N,허벅다리,തുട
38,Bein::N,다리,കാൽ
39,Körper::N,구간,ശരീരം
40,Haut::N,살갗,ചർമ്മം
41,Blut::N,피,രക്തം
42,Ader::N,정맥,ഞരമ്പ്
43,Sehne::N,현,സ്നായു
44,Knochen::N,뼈,അസ്ഥി
45,Gehirn::N,뇌,തലച്ചോറ്
46,Gehirn::N,뇌수,തലച്ചോറ്
47,Herz::N,염통,ഹൃദയം
48,Magen::N,위,വയർ
49,Leber::N,간,കരൾ
50,Atem::N,기식,ശ്വാസം
51,Hunger::N,공복,വിശപ്പ്
52,Träne::N,눈물,കണ്ണീർ
53,Geschmack::N,기호,രുചി
54,Geruch::N,냄새,ഗന്ധം
55,Schlaf::N,수면,ഉറകും
56,Traum::N,쿰,സ്വപ്നം
57,Himmel::N,하늘,ആകാശം
58,Sonne::N,해,സൂര്യൻ
59,Mond::N,달,ചന്ദ്രൻ
60,Stern::N,별,നക്ഷത്രം
61,Luft::N,동준,കാറ്റ്
62,Luft::N,가스채,കാറ്റ്
63,Wind::N,바람,കാറ്റ്
64,Welle::N,물결,തിരമാല
65,Wasser::N,물,വെള്ളം
66,Stein::N,돌,ശില
67,Stein::N,돌,കല്ല്
68,Boden::N,바닥,തറ
69,Boden::N,바닥,നിലം
70,Erde::N,흙,മണ്ണ്
71,Staub::N,먼지,പൊടി
72,Rauch::N,연기,പുക
73,Funke::N,불티,തീപ്പൊരി
74,Feuer::N,불,തീ
75,Licht::N,불,വിളക്ക്
76,Licht::N,불,സൂര്യപ്രകാശം
77,Schatten::N,어스레함,തണൽ
78,Wetter::N,기상,കാലാവസ്ഥ
79,Nebel::N,안개,മൂടൽമഞ്ഞ്
80,Wolke::N,구름,മേഘം
81,Regen::N,비,മഴ
82,Schnee::N,눈,മഞ്ഞ്
