,Concept_ID,br,uz
0,Auge::N,lagad,ko'z
1,Ohr::N,skouarn,quloq
2,Nase::N,fri,burun
3,Mund::N,genoù,og'iz
4,Zahn::N,dant,tish
5,Zunge::N,teod,til
6,Lippe::N,muzell,dudoq
7,Wange::N,chot,bet
8,Gesicht::N,dremm,yuz
9,Stirn::N,tal,manglay
10,Haar::N,blev,soch
11,Schnurrbart::N,mourenn,mo'ylov
12,Bart::N,barv,soqol
13,Kinn::N,groñj,ängak
14,Kiefer[Anatomie]::N,javed,iyak
15,Kehle::N,gouzoug,bo'g'iz
16,Hals::N,gouzoug,bo'yin
17,Genick::N,choug,gardan
18,Kopf::N,penn,bosh
19,Rücken::N,kein,orqa
20,Bauch::N,kof,qorin
21,Nabel::N,begel,kindik
22,Busen::N,bronn,ämchak
23,Brust::N,bruched,ko'krak
24,Schulter::N,skoaz,elka
25,Arm::N,brec'h,bilak
26,Ellenbogen::N,ilin,tirsak
27,Hand::N,dorn,qo'l
28,Handfläche::N,palv,kaft
29,Finger::N,biz,barmoq
30,Fingernagel::N,ivin,tirnoq
31,Nagel[Anatomie]::N,ivin,tirnoq
32,Zeh::N,biz-troad,oyoq barmog'i
33,Fuß::N,troad,oyoq
34,Ferse::N,seul,tovon
35,Knie::N,glin,tiz
36,Oberschenkel::N,morzhed,son
37,Bein::N,gar,oyoq
38,Körper::N,korf,badna
39,Haut::N,kroc'hen,teri
40,Blut::N,gwad,qon
41,Ader::N,gwazhi,qon tomir
42,Sehne::N,stir,tomir
43,Knochen::N,askorn,suyak
44,Gehirn::N,empenn,miya
45,Herz::N,kalon,qalb
46,Magen::N,stomog,oshqozon
47,Leber::N,avu,bag'ir
48,Atem::N,anal,dam
49,Hunger::N,naon,ochlik
50,Träne::N,daer,yosh
51,Geschmack::N,blaz,tam
52,Geruch::N,c'hwezh,jid
53,Schlaf::N,kousked,uyqu
54,Traum::N,hune,tush
55,Himmel::N,oabl,osmon
56,Sonne::N,heol,quyosh
57,Mond::N,loar,oy
58,Stern::N,steredenn,yulduz
59,Luft::N,aer,havo
60,Wind::N,avel,el
61,Welle::N,houlenn,to'lqin
62,Wasser::N,dour,suv
63,Stein::N,maen,tosh
64,Boden::N,tachenn,tuproq
65,Erde::N,douar,er
66,Staub::N,poultr,chang
67,Rauch::N,moged,tutun
68,Funke::N,ful,yalt
69,Feuer::N,tan,o't
70,Licht::N,gouloù,yorug'
71,Schatten::N,disheol,soya
72,Wetter::N,amzer,havo
73,Nebel::N,brumenn,tuman
74,Wolke::N,koumoulenn,bulut
75,Regen::N,glav,yomg'ir
76,Schnee::N,erc'h,qor
77,Eis::N,skorn,muz
78,Frost::N,rev,ajoz
79,Kälte::N,yen,ajoz
80,Hitze::N,tommder,issiq
81,Raureif::N,frim,qirov
82,Regenbogen::N,gwareg-ar-glav,kamalak
83,Donner::N,kurun,guldur
84,Strömung::N,red,oqim
85,Tropfen::N,bannac'h,tomchi
86,Tropfen::N,takenn,tomchi
87,Schaum::N,spoum,ko'pik
88,Schmutz::N,fank,gard
89,See::N,lenn,ko'l
90,Sumpf::N,gwern,botqoq
91,Moor::N,taouarc'heg,qir-adir
92,Wiese::N,prad,o'tzor
93,Wald::N,koad,o'rmon
94,Hügel::N,torgenn,tepa
95,Anhöhe::N,run,adir
96,Berg::N,menez,tog'
97,Gipfel::N,barr,cho'qqi
98,Höhle::N,kav,kavak
99,Abhang::N,naou,to'sh
100,Quelle::N,feunteun,buloq
101,Bach::N,gwazh,o'zan
102,Fluss::N,stêr,daryo
103,Ufer::N,ribl,sohil
104,Küste::N,aod,qirg'oq
105,Festland::N,douar,materik
106,Meer::N,mor,dengiz
107,Bucht::N,mor-bihan,qo'ltiq
108,Insel::N,enez,orol
109,Blume::N,bleunienn,gul
110,Gras::N,geot,sabza
111,Wurzel::N,gwrizienn,tub
