,Concept_ID,nl,sk
0,Auge::N,oog,oko
1,Ohr::N,oor,ucho
2,Nase::N,neus,nos
3,Mund::N,mond,ústa
4,Zahn::N,tand,zub
5,Zunge::N,tong,jazyk
6,Lippe::N,lip,pera
7,Wange::N,wang,líce
8,Gesicht::N,gelaat,tvár
9,Gesicht::N,gelaat,obličaj
10,Gesicht::N,gezicht,tvár
11,Gesicht::N,gezicht,obličaj
12,Stirn::N,voorhoofd,čelo
13,Haar::N,haar,vlas
14,Schnurrbart::N,snor,fúzy
15,Bart::N,baard,brada
16,Kinn::N,kin,brada
17,Kiefer[Anatomie]::N,kaak,čeľusť
18,Kehle::N,keel,hrdlo
19,Kehle::N,strot,hrdlo
20,Hals::N,hals,krk
21,Genick::N,nek,väzy
22,Kopf::N,hoofd,hlava
23,Rücken::N,rug,chrbát
24,Bauch::N,buik,brucho
25,Nabel::N,navel,pupok
26,Busen::N,boezem,prsia
27,Brust::N,borst,hruď
28,Schulter::N,schouder,plece
29,Arm::N,arm,rameno
30,Ellenbogen::N,elleboog,lakeť
31,Hand::N,hand,ruka
32,Handfläche::N,handpalm,dlaň
33,Finger::N,vinger,prst
34,Fingernagel::N,nagel,necht
35,Nagel[Anatomie]::N,nagel,necht
36,Zeh::N,teen,prst na nohe
37,Fuß::N,voet,noha
38,Ferse::N,hak,päta
39,Ferse::N,hiel,päta
40,Knie::N,knie,koleno
41,Oberschenkel::N,dij,stehno
42,Bein::N,been,noha
43,Körper::N,lichaam,telo
44,Haut::N,huid,koža
45,Blut::N,bloed,krv
46,Ader::N,ader,žila
47,Sehne::N,pees,šľacha
48,Knochen::N,bot,kosť
49,Knochen::N,been,kosť
50,Knochen::N,knook,kosť
51,Gehirn::N,hersenen,mozog
52,Herz::N,hart,srdce
53,Magen::N,maag,žalúdok
54,Leber::N,lever,pečeň
55,Atem::N,adem,dych
56,Hunger::N,honger,hlad
57,Träne::N,traan,slza
58,Geschmack::N,smaak,chuť
59,Geruch::N,geur,pach
60,Schlaf::N,slaap,spánok
61,Traum::N,droom,sen
62,Himmel::N,hemel,nebo
63,Sonne::N,zon,slnko
64,Mond::N,maan,mesiac
65,Stern::N,ster,hviezda
66,Luft::N,lucht,vzduch
67,Wind::N,wind,vietor
68,Welle::N,golf,vlna
69,Wasser::N,water,voda
70,Stein::N,steen,kameň
71,Boden::N,grond,zem
72,Boden::N,grond,pôda
73,Erde::N,aarde,zem
74,Staub::N,stof,prach
75,Rauch::N,rook,dym
76,Funke::N,vonk,iskra
77,Feuer::N,vuur,oheň
78,Licht::N,licht,svetlo
79,Schatten::N,schaduw,tieň
80,Wetter::N,weer,počasie
81,Nebel::N,mist,hmla
82,Nebel::N,nevel,hmla
83,Wolke::N,wolk,oblak
84,Wolke::N,wolk,mračno
85,Regen::N,regen,dážď
86,Schnee::N,sneeuw,sneh
87,Eis::N,ijs,ľad
88,Frost::N,vorst,mráz
89,Kälte::N,kou,zima
90,Kälte::N,kou,chlad
91,Kälte::N,koude,zima
92,Kälte::N,koude,chlad
93,Hitze::N,hitte,horúčava
94,Raureif::N,rijp,srieň
95,Raureif::N,rijp,inovať
96,Regenbogen::N,regenboog,dúha
97,Donner::N,donder,hrom
98,Strömung::N,stroming,prúdenie
99,Tropfen::N,druppel,kvapka
100,Schaum::N,schuim,pena
101,Schmutz::N,vuil,špina
102,Schmutz::N,vuil,nečistota
103,See::N,meer,jazero
104,Sumpf::N,moeras,bahno
105,Moor::N,veen,močiar
106,Wiese::N,wei,lúka
107,Wiese::N,weide,lúka
108,Wald::N,bos,les
109,Wald::N,bos,hora
110,Hügel::N,heuvel,vŕšok
111,Anhöhe::N,hoogte,výšina
112,Anhöhe::N,hoogte,vyvýšenina
113,Berg::N,berg,hora
114,Gipfel::N,top,vrchol
115,Höhle::N,hol,jaskyňa
116,Abhang::N,helling,úbočie
117,Quelle::N,bron,prameň
118,Bach::N,beek,potok
119,Fluss::N,stroom,rieka
120,Ufer::N,wal,breh
121,Ufer::N,oever,breh
122,Küste::N,kust,pobrežie
123,Festland::N,vasteland,pevnina
124,Meer::N,zee,more
125,Bucht::N,baai,záliv
126,Bucht::N,baai,zátoka
127,Bucht::N,inham,záliv
128,Bucht::N,inham,zátoka
129,Insel::N,eiland,ostrov
130,Blume::N,bloem,kvet
131,Blume::N,bloem,kvetina
132,Gras::N,gras,tráva
133,Wurzel::N,wortel,koreň
134,Baum::N,boom,strom
135,Stamm::N,stam,kmeň
136,Rinde::N,schors,kôra
137,Ast::N,tak,konár
138,Zweig::N,twijg,vetva
139,Blatt::N,blad,list
140,Birke::N,berk,breza
141,Kiefer[Baum]::N,den,sosna
142,Kiefer[Baum]::N,den,borovica
143,Weide[Baum]::N,wilg,vŕba
144,Tanne::N,spar,jedľa
145,Horn::N,hoorn,roh
146,Feder::N,veer,pero
147,Feder::N,pluim,pero
148,Fell::N,vel,koža
149,Fell::N,vel,kožušina
150,Flügel::N,vleugel,krídlo
151,Klaue::N,klauw,paznecht
152,Kralle::N,klauw,pazúr
153,Schwanz::N,staart,chvost
154,Ei::N,ei,vajce
155,Ei::N,ei,vajíčko
156,Nest::N,nest,hniezdo
157,Bau::N,hol,nora
158,Tier::N,dier,zviera
159,Herde::N,kudde,stádo
160,Kuh::N,koe,krava
161,Bulle::N,stier,býk
162,Pferd::N,paard,kôň
163,Schaf::N,schaap,ovca
164,Schwein::N,varken,sviňa
165,Hund::N,hond,pes
166,Katze::N,kat,mačka
167,Bär::N,beer,medveď
168,Eichhörnchen::N,eekhoorntje,veverička
169,Elch::N,eland,los
170,Fuchs::N,vos,líška
171,Hase::N,haas,zajac
172,Maus::N,muis,myš
173,Wolf::N,wolf,vlk
174,Vogel::N,vogel,vták
175,Schwarm::N,zwerm,roj
176,Huhn::N,kip,kurča
177,Huhn::N,kip,sliepka
178,Huhn::N,hoen,kurča
179,Huhn::N,hoen,sliepka
180,Hahn::N,haan,kohút
181,Gans::N,gans,hus
182,Adler::N,arend,orol
183,Ente::N,eend,kačka
184,Ente::N,eend,kačica
185,Eule::N,uil,sova
186,Kranich::N,kraanvogel,žeriav
187,Krähe::N,kraai,vrana
188,Kuckuck::N,koekoek,kukučka
189,Schwan::N,zwaan,labuť
190,Fisch::N,vis,ryba
191,Barsch::N,baars,ostriež
192,Hecht::N,snoek,šťuka
193,Schlange[Tier]::N,slang,had
