,Concept_ID,os,kl
0,Auge::N,цӕст,isi
1,Ohr::N,хъус,siut
2,Nase::N,фындз,
3,Mund::N,дзых,paaq
4,Mund::N,дзых,qaneq
5,Zahn::N,дӕндаг,kigut
6,Zunge::N,ӕвзаг,oqaq
7,Lippe::N,был,qarloq
8,Wange::N,рус,ersaq
9,Wange::N,уадул,ersaq
10,Wange::N,ӕхсӕрфарс,ersaq
11,Gesicht::N,цӕсгом,kiinaq
12,Stirn::N,ных,qaaq
13,Haar::N,хил,meqqoq
14,Schnurrbart::N,рихи,
15,Bart::N,зачъе,umik
16,Kinn::N,роцъо,talloq
17,Kiefer[Anatomie]::N,ӕфсӕр,alleroq
18,Kehle::N,хъуыр,malaq
19,Hals::N,къубал,qungaseq
20,Genick::N,къӕбут,pukusuk
21,Kopf::N,сӕр,niaqoq
22,Rücken::N,фӕсонтӕ,qimerlut
23,Bauch::N,гуыбын,naaq
24,Nabel::N,бикъ,qalaseq
25,Busen::N,дзидзи,iviangeq
26,Brust::N,риу,iviangeq
27,Schulter::N,уӕхск,ersik
28,Schulter::N,уӕхск,assaqqoq
29,Arm::N,цонг,taleq
30,Ellenbogen::N,рæмбын,ikusik
31,Hand::N,къух,assak
32,Handfläche::N,армытъӕпӕн,itumak
33,Finger::N,ӕнруылдз,inuak
34,Fingernagel::N,ных,kikiak
35,Nagel[Anatomie]::N,ных,kukik
36,Zeh::N,къух,isigak
37,Fuß::N,фад,
38,Ferse::N,зӕвӕт,kimmik
39,Knie::N,уӕраг,seeqqoq
40,Oberschenkel::N,агъд,uppat
41,Oberschenkel::N,агъд,quttoraq
42,Bein::N,зӕнг,isigak
43,Körper::N,буар,timi
44,Haut::N,царм,mattak
45,Blut::N,туг,aak
46,Ader::N,дадзин,taqaq
47,Ader::N,тугдадзин,taqaq
48,Sehne::N,хъиутæ,ujalu
49,Sehne::N,хъиутæ,ujaloq
50,Sehne::N,нуар,ujalu
51,Sehne::N,нуар,ujaloq
52,Knochen::N,стӕг,saanikut
53,Gehirn::N,магъз,qarasaq
54,Herz::N,зӕрдӕ,uummat
55,Magen::N,ахсӕн,aqajaroq
56,Leber::N,игæр,tinguk
57,Atem::N,улӕфт,anerneq
58,Hunger::N,стонг,kaanneq
59,Träne::N,цæссыг,qia
60,Träne::N,цæссыг,qiak
61,Geschmack::N,ад,qilanaartuut
62,Geruch::N,смаг,tipi
63,Geruch::N,смаг,tipik
64,Schlaf::N,хуыссӕг,
65,Traum::N,фын,sinnattoq
66,Traum::N,фын,sinnattugaq
67,Himmel::N,арв,qilak
68,Himmel::N,уӕларв,qilak
69,Sonne::N,хур,seqineq
70,Mond::N,мӕй,qaammat
71,Stern::N,стъалы,ulloriaq
72,Luft::N,уӕлдӕф,silaannaq
73,Wind::N,дымгӕ,anori
74,Wind::N,дымгӕ,anorsarik
75,Welle::N,уылӕн,aalappaa
76,Wasser::N,дон,imeq
77,Stein::N,дур,ujarak
78,Boden::N,зӕхх,nateq
79,Erde::N,сыджыт,issoq
80,Staub::N,рыг,pujualanerit
81,Staub::N,рыг,pujoralanerit
82,Rauch::N,фӕздӕг,iseq
83,Rauch::N,фӕздӕг,pujoq
84,Funke::N,цӕхӕр,illoorneq
85,Feuer::N,зынг,inneq
86,Licht::N,рухс,qaamaneq
87,Schatten::N,аууон,tarraq
88,Wetter::N,боныхъӕд,sila
89,Nebel::N,мигъ,pujoq
90,Wolke::N,ӕврагъ,nuia
91,Regen::N,уарын,sialuk
92,Schnee::N,мит,aput
93,Eis::N,их,siku
94,Frost::N,ихæн,issi
95,Frost::N,ихæн,issik
96,Kälte::N,уазал,issi
97,Hitze::N,ӕнтӕф,kianneq
98,Hitze::N,ӕнтӕф,kiassuseq
99,Raureif::N,халас,kaneq
100,Regenbogen::N,арвырон,neriusaaq
101,Regenbogen::N,арвырдын,neriusaaq
102,Donner::N,æрвнæрын,kalleq
103,Strömung::N,цыд,
104,Tropfen::N,æртах,kuseriarneq
105,Schaum::N,фынк,qapuk
106,Schmutz::N,цъыф,minguk
107,See::N,цад,taseq
108,Sumpf::N,цъыфдзаст,maqulluk
109,Moor::N,цъыфдзаст,
110,Wiese::N,уыгӕрдӕн,masarsuk
111,Wald::N,хъӕд,
112,Hügel::N,обау,qattuneq
113,Hügel::N,обау,majuariaq
114,Hügel::N,обау,majorajaaq
115,Hügel::N,обау,qaqqannguaq
116,Hügel::N,къуыбыр,qattuneq
117,Hügel::N,къуыбыр,majuariaq
118,Hügel::N,къуыбыр,majorajaaq
119,Hügel::N,къуыбыр,qaqqannguaq
120,Anhöhe::N,уæлвæз,
121,Anhöhe::N,уæлхох,
122,Berg::N,хох,qaqqaq
123,Gipfel::N,цъупп,
124,Höhle::N,лӕгӕт,qaarusuk
125,Abhang::N,къул,ippik
126,Abhang::N,къул,sivinganeq
127,Abhang::N,къул,sivingajaaq
128,Abhang::N,къул,kussangajaaq
129,Quelle::N,суадон,
130,Bach::N,мӕсчъыдон,kuunnguaq
131,Fluss::N,дон,kuuk
132,Fluss::N,цӕугӕдон,kuuk
133,Ufer::N,был,sissap sinaa
134,Küste::N,донбыл,sineriak
135,Festland::N,сурзæхх,
136,Meer::N,денджыз,imaq
137,Bucht::N,донбакæлæн,ikeq
138,Bucht::N,донбакæлæн,kangerluk
139,Bucht::N,донбакæлæн,kangerliumaneq
140,Insel::N,сакъадах,qeqertaq
141,Blume::N,дидинӕг,naasoq
142,Gras::N,кӕрдӕг,ivigaq
143,Wurzel::N,уидаг,niulutaq
144,Baum::N,бӕлас,orpik
145,Stamm::N,хӕтӕл,kanaartaq
146,Rinde::N,цъар,ameraq
147,Ast::N,арх,avalequt
148,Zweig::N,къалиу,avalequt
149,Blatt::N,сыф,pilutaq
150,Birke::N,бæрз,patitsit
151,Kiefer[Baum]::N,нӕзы,
152,Weide[Baum]::N,хӕрис,palleq
153,Tanne::N,наз,orsuerneq
154,Horn::N,сыкъа,nassuk
155,Feder::N,сис,suluk
156,Fell::N,царм,ameq
157,Flügel::N,базыр,suluk
158,Flügel::N,базыр,isaroq
159,Klaue::N,ных,kukik
160,Kralle::N,дзӕмбы,kukik
161,Schwanz::N,къӕдзил,pamioq
162,Schwanz::N,къӕдзил,paperuusaq
163,Ei::N,айк,mannik
164,Nest::N,ахстон,ullut
165,Bau::N,хуынкъ,ini
166,Tier::N,сырд,uumasoq
167,Tier::N,цӕрӕгой,uumasoq
168,Herde::N,дзуг,unguukkat
169,Herde::N,рӕгъау,unguukkat
170,Kuh::N,хъуг,ussik
171,Bulle::N,гал,angukulak
172,Bulle::N,гал,anguteralak
173,Bulle::N,гал,angutikulooq
174,Pferd::N,бӕх,
175,Schaf::N,фыс,sava
176,Schwein::N,хуы,puuluki
177,Hund::N,куыдз,qimmeq
178,Katze::N,гӕды,puisaaq
179,Bär::N,арс,allaq
180,Eichhörnchen::N,æхсæрæг,sissinnguaq
181,Elch::N,цæгатаг саг,
182,Fuchs::N,рувас,terianniaq
183,Hase::N,тæрхъус,ukaleq
184,Maus::N,мыст,teriannguaq
185,Wolf::N,бирӕгъ,amaroq
186,Vogel::N,цъиу,timmiaq
187,Vogel::N,маргъ,timmiaq
188,Schwarm::N,бал,
189,Huhn::N,карк,kukkukooq
190,Huhn::N,карк,marloraaqaaq
191,Hahn::N,уасӕг,kiasiusaq
192,Gans::N,хъаз,nerleq
193,Adler::N,цӕргӕс,nattoralik
194,Ente::N,ацц,
195,Eule::N, уыг,uppik
196,Eule::N,сидахъ,uppik
197,Kranich::N,зырнæг,qorlorfik
198,Kranich::N,хърихъупп,qorlorfik
199,Krähe::N,халон,tuluatsiaq
200,Kuckuck::N,гаккук,kukkooq
201,Schwan::N,доныхъаз,qussuk
202,Fisch::N,кӕсаг,aalisagaq
203,Barsch::N,окунь,
204,Hecht::N,хихор кӕсаг,
205,Schlange[Tier]::N,калм,pulateriarsuk
206,Schlange[Tier]::N,калм,pulateriaarsuk
207,Wurm::N,зулкъ,
208,Wurm::N,къуыдыргалм,
209,Spinne::N,хӕлуарӕг,aasiaq
210,Spinne::N,хӕлуарӕг,nissavaarsuk
211,Ameise::N,мæлдзыг,uniaaluk
212,Laus::N,сыст,kumak
213,Mücke::N,къогъо,ippernaq
214,Fliege::N,бындз,ippernaq
215,Schmetterling::N,гæлæбу,paluaq
216,Schmetterling::N,гæлæбу,pakkaluaq
217,Schmetterling::N,гæлæбу,utsuppaluaq
218,Schmetterling::N,гæлæбу,taqaleqisaaq
219,Beere::N,гагадыргъ,paarmaq
220,Beere::N,гагадыргъ,paarngaq
221,Apfel::N,фӕткъуы,iipili
222,Pilz::N,зокъо,anngiusaq
223,Pilz::N,къозо,anngiusaq
224,Zwiebel::N,хъӕдындз,uanitsoq
225,Saat::N,тауинаг,naatsiiassaq
226,Saat::N,мыггаг,naatsiiassaq
227,Korn::N,мыггаг,maannineq
228,Korn::N,тауинаг,maannineq
229,Heu::N,хос,
230,Schale::N,цъар,niutsivik
231,Schale::N,цъар,ilulissaq qaartussaq
232,Grube::N,урм,itersaq
233,Grube::N,къахт,itersaq
234,Grube::N,дзыхъхъ,itersaq
235,Falle::N,цъысым,pualavoq
236,Falle::N,къӕппӕг,pualavoq
237,Schlinge::N,цасм,orseq
238,Schlinge::N,цасм,norloq
239,Spur::N,фæд,tumaa
240,Asche::N,фӕнык,arsat
241,Asche::N,ӕртхутӕг,arsat
242,Dreck::N,цъыф,minguk
243,Eisen::N,ӕфсӕйнаг,savimineq
244,Eisen::N,ӕфсӕйнаг,saffiugassaq
