,Concept_ID,lbe,ba
0,Auge::N,я,күҙ
1,Ohr::N,вичӏи,ҡолаҡ
2,Nase::N,май,танау
3,Mund::N,кьацӏ,ауыҙ
4,Zahn::N,ккарччи,теш
5,Zunge::N,маз,тел
6,Lippe::N,мурччи,ирен
7,Wange::N,чӏав,яцаҡтар
8,Gesicht::N,лажин,бит
9,Stirn::N,ненттабакӏ,маңлай
10,Haar::N,чӏара,сәс
11,Schnurrbart::N,ссирссилтту,мылтыҡ
12,Bart::N,чӏири,һаҡал
13,Kinn::N,лунттубакӏ,эйэк
14,Kiefer[Anatomie]::N,ххинчулул,яңаҡ һөйәге
15,Kehle::N,кьакьари,тамаҡ
16,Hals::N,ссурссу,муйын
17,Genick::N,махъабакӏ,соңҡа
18,Kopf::N,бакӏ,баш
19,Rücken::N,ттиликӏ,арҡа
20,Bauch::N,лякьа,ҡорһаҡ
21,Nabel::N,цӏумуккутӏ,кендек
22,Busen::N,ккукку,күкрәк
23,Brust::N,хъазам,түш
24,Schulter::N,хъачӏ,яурын
25,Arm::N,ка,ҡул
26,Ellenbogen::N,ссюрхъ,терһәк
27,Hand::N,бартка,ҡул
28,Hand::N,бартка,ҡул суғы
29,Handfläche::N,хъат,ус төбө
30,Handfläche::N,битӏянхъ,ус төбө
31,Finger::N,кӏисса,бармаҡ
32,Fingernagel::N,михь,тырнаҡ
33,Nagel[Anatomie]::N,михь,тырнаҡ
34,Zeh::N,кӏисса,бармаҡ
35,Fuß::N,чӏанччан,табан
36,Ferse::N,никъа,үксә
37,Knie::N,ник,тубыҡ
38,Oberschenkel::N,жира,сандыр
39,Bein::N,ччан,аяҡ
40,Körper::N,чурх,тән
41,Haut::N,бурчу,тире
42,Blut::N,оь,ҡан
43,Ader::N,тунну,тамыр
44,Sehne::N,хьхьа,һеңер
45,Sehne::N,хьхьа,тарамыш
46,Knochen::N,ттаркӏ,һойәк
47,Gehirn::N,ня,мейе
48,Herz::N,дакӏ,йорәк
49,Herz::N,къюкӏ,йорәк
50,Magen::N,лякьа,ашҡаҙан
51,Atem::N,ссихӏ ласаву,һулыш
52,Atem::N,ссихӏ бигьаву,һулыш
53,Hunger::N,ккаши,аслыҡ
54,Träne::N,макь,күҙ иәше
55,Geschmack::N,тӏин,тәм
56,Geschmack::N,тӏааьн,тәм
57,Geruch::N,кьанкь,еҫ
58,Schlaf::N,шану,йоҡлау
59,Traum::N,макӏру,төш
60,Himmel::N,ссав,күк
61,Sonne::N,баргъ,ҡояш
62,Mond::N,барз,ай
63,Stern::N,цӏуку,йондоҙ
64,Luft::N,гьава,һауа
65,Wind::N,марч,ел
66,Welle::N,щатӏи,тулҡын
67,Wasser::N,щин,һыу
68,Stein::N,чару,таш
69,Boden::N,аьрщи,тупраҡ
70,Erde::N,аьрщи,балсҡ
71,Staub::N,ххит,туҙан
