,Concept_ID,zh,udm
74,Feuer::N,火,тыл
75,Licht::N,光,тыл
76,Schatten::N,影子,вужер
77,Wetter::N,天气,куазь
78,Nebel::N,雾,бус
79,Wolke::N,云,пилем
80,Regen::N,雨,зор
81,Schnee::N,雪,лымы
82,Eis::N,冰,йӧ
83,Frost::N,霜冻,кезьыт
84,Kälte::N,寒冷,кезьыт
85,Hitze::N,炎热,пӧсь
86,Raureif::N,霜,гӧр
87,Regenbogen::N,虹,вуюись
88,Donner::N,雷,гудыри
89,Strömung::N,水流,бызён
90,Tropfen::N,滴,шапык
91,Schaum::N,泡沫,шукы
92,Schmutz::N,赃物,нӧд
93,Schmutz::N,赃物,дэри
94,See::N,湖,ты
95,Sumpf::N,沼泽,нюр
96,Moor::N,沼泽,нюр
97,Wiese::N,草地,возь
98,Wiese::N,草地,возьвыл
99,Wald::N,森林,сик
100,Wald::N,森林,нюлэс
101,Hügel::N,丘陵,выр
102,Hügel::N,丘陵,вырйыл
103,Anhöhe::N,山丘,выр
104,Anhöhe::N,山丘,вырйыл
105,Berg::N,山,гурезь
106,Gipfel::N,峰,йыл
107,Höhle::N,洞穴,гу
108,Abhang::N,斜坡,бам
109,Quelle::N,泉,ошмес
110,Bach::N,溪,пичи шур
111,Fluss::N,河流,шур
112,Ufer::N,岸,ярдур
113,Küste::N,海岸,вудур
114,Festland::N,大陆,мувыр
115,Meer::N,海,зарезь
116,Bucht::N,海湾,вукож
117,Insel::N,岛,вумуӵ
118,Insel::N,岛,шормуӵ
119,Blume::N,花,сяська
120,Gras::N,草,турын
121,Wurzel::N,根,выжы
122,Baum::N,树,пу
123,Stamm::N,树干,модос
124,Rinde::N,树皮,сул
125,Ast::N,树枝,ул
126,Zweig::N,树枝,вай
127,Blatt::N,叶子,куар
128,Birke::N,桦木,кызьпу
129,Kiefer[Baum]::N,松树,пужым
130,Weide[Baum]::N,柳树,бадьпу
131,Tanne::N,冷杉,кыз
132,Horn::N,角,сюр
133,Feder::N,羽毛,тылы
134,Fell::N,皮毛,ку
135,Flügel::N,翅膀,бурд
136,Klaue::N,爪子,гижы
137,Kralle::N,爪子,пыд
138,Schwanz::N,尾巴,быж
139,Ei::N,蛋,пуз
140,Ei::N,蛋,кукей
141,Nest::N,巢,кар
142,Nest::N,巢,пузкар
143,Bau::N,穴,кар
144,Bau::N,穴,гу
145,Tier::N,动物,пӧйшур
146,Herde::N,群,уллё
147,Kuh::N,母牛,скал
148,Bulle::N,公牛,ош
149,Bulle::N,公牛,пороз
150,Pferd::N,马,вал
151,Schaf::N,羊,ыж
152,Schwein::N,猪,парсь
153,Hund::N,狗,пуны
154,Katze::N,猫,коӵыш
155,Bär::N,熊,гондыр
156,Eichhörnchen::N,松鼠,коньы
157,Elch::N,麋鹿,койык
158,Fuchs::N,狐狸,ӟичы
159,Hase::N,兔子,кеч
160,Maus::N,老鼠,шыр
161,Wolf::N,狼,кион
162,Vogel::N,鸟,тылобурдо
163,Schwarm::N,群,уллё
164,Huhn::N,鸡,курег
165,Hahn::N,公鸡,атас
166,Gans::N,鹅,ӟазег
167,Adler::N,鹰,ӧрзи
168,Ente::N,鸭,ӵӧж
169,Eule::N,猫头鹰,кучыран
170,Kranich::N,鹤,тури
171,Krähe::N,乌鸦,куака
172,Kuckuck::N,布谷鸟,кикы
173,Schwan::N,天鹅,юсь
174,Fisch::N,鱼,чорыг
175,Barsch::N,鲈鱼,юш
176,Hecht::N,狗鱼,чипей
177,Schlange[Tier]::N,蛇,кый
178,Wurm::N,蠕虫,нумыр
179,Spinne::N,蜘蛛,чонари
180,Ameise::N,蚂蚁,кузьыли
181,Laus::N,虱子,тэй
182,Mücke::N,蚊子,нымы
183,Mücke::N,蚊子,чибинь
184,Fliege::N,苍蝇,кут
185,Schmetterling::N,蝴蝶,бубыли
186,Beere::N,将果,узы-боры
187,Apfel::N,苹果,яблок
188,Pilz::N,蘑菇,губи
189,Zwiebel::N,洋葱,сугон
190,Saat::N,种子,кидыс
191,Korn::N,谷粒,тысь
192,Heu::N,干草,турын
193,Schale::N,壳,кыд
194,Grube::N,坑,гу
195,Grube::N,坑,гоп
196,Falle::N,圈套,налик
197,Schlinge::N,活扣,гиӟ
198,Schlinge::N,活扣,герд
199,Spur::N,踪迹,пытьы
200,Spur::N,踪迹,бервыл
201,Asche::N,灰烬,пень
202,Dreck::N,污垢,дэри
203,Eisen::N,铁,корт
204,Gold::N,金子,зарни
205,Silber::N,银,азвесь
206,Kohle::N,煤,эгыр
207,Glas::N,玻璃,стекло
208,Glas::N,玻璃,пияла
209,Lehm::N,粘土,сюй
210,Sand::N,沙,луо
211,Mensch::N,人,мурт
212,Mensch::N,人,адями
213,Mann::N,男子,воргорон
214,Frau::N,妇女,кышномурт
215,Kind::N,小孩,нуны
216,Kind::N,小孩,пинал
217,Junge::N,男孩,пи
218,Mädchen::N,女孩,ныл
219,Familie::N,家庭,семья
220,Großvater::N,祖父,песятай
221,Großvater::N,祖父,пересь атай
222,Großmutter::N,祖母,песянай
223,Großmutter::N,祖母,пересь анай
224,Eltern::N,父母,атай-анай
225,Eltern::N,父母,бубы-мумы
226,Vater::N,父亲,айы
227,Vater::N,父亲,атай
228,Mutter::N,母亲,мумы
229,Sohn::N,儿子,пи
230,Tochter::N,女儿,ныл
231,Bruder::N,兄弟,агай
232,Schwester::N,姐妹,апа
233,Schwester::N,姐妹,сузэр
234,Onkel::N,伯父,агай
235,Tante::N,阿姨,апа
236,Tante::N,阿姨,кенак
237,Ehemann::N,丈夫,карт
238,Ehefrau::N,妻子,кышно
239,Freude::N,愉快,шумпотон
240,Gelächter::N,大笑,горем
241,Glück::N,运气,шуд
242,Kummer::N,苦恼,кайгу
243,Kummer::N,苦恼,куректон
244,Wunsch::N,愿望,мылпотон
245,Lust::N,乐趣,потон
246,Geist::N,精神,лул
247,Gedanke::N,思想,малпан
248,Gedächtnis::N,记性,йырсазь
249,Gedächtnis::N,记性,тодэваён
250,Verstand::N,理智,йырвизь
251,Sinn::N,感觉,смысл
252,Grund::N,理由,муг
