,Concept_ID,es,se
0,Auge::N,ojo,tjelmie
1,Auge::N,ojo,tjalmme
2,Auge::N,ojo,čalbmi
3,Auge::N,ojo,čalme
4,Auge::N,ojo,čâ´lmm
5,Auge::N,ojo,ча̄лльм
6,Ohr::N,oreja,bieljie
7,Ohr::N,oreja,biellje
8,Ohr::N,oreja,beallji
9,Ohr::N,oreja,pelji
10,Ohr::N,oreja,pe´llj
11,Ohr::N,oreja,пе̄лльй
12,Nase::N,nariz,njuenie
13,Nase::N,nariz,njunnje
14,Nase::N,nariz,njunni
15,Nase::N,nariz,njuṇe
16,Nase::N,nariz,njuu´nn
17,Nase::N,nariz,нюннҍ
18,Mund::N,boca,njaelmie
19,Mund::N,boca,njálmme
20,Mund::N,boca,njálbmi
21,Mund::N,boca,njälmi
22,Mund::N,boca,njä´lmm
23,Mund::N,boca,ня̄лльм
24,Zahn::N,diente,baenie
25,Zahn::N,diente,bádne
26,Zahn::N,diente,bátni
27,Zahn::N,diente,pääṇi
28,Zahn::N,diente,pää´nn
29,Zahn::N,diente,па̄ннҍ
30,Zunge::N,lengua,njoektjeme
31,Zunge::N,lengua,njuovtjav
32,Zunge::N,lengua,njuovčča
33,Zunge::N,lengua,njuovčâ
34,Zunge::N,lengua,njuhččâm
35,Zunge::N,lengua,нюхчем
36,Lippe::N,labio,bangseme
37,Lippe::N,labio,njálmmerabdda
38,Lippe::N,labio,bavssa
39,Lippe::N,labio,poovsâ
40,Lippe::N,labio,põõus
41,Lippe::N,labio,пэ̄кс
42,Wange::N,mejilla,skiehrie
43,Wange::N,mejilla,nierra
44,Wange::N,mejilla,muohtu
45,Wange::N,mejilla,nieṛâ
46,Wange::N,mejilla,njiõrr
47,Wange::N,mejilla,нӣрр
48,Gesicht::N,cara,ååredæjja
49,Gesicht::N,cara,muohto
50,Gesicht::N,cara,muođut
51,Gesicht::N,cara,ámadadju
52,Gesicht::N,cara,muáđuh
53,Gesicht::N,cara,muâđ
54,Gesicht::N,cara,ка̄ссв
55,Stirn::N,frente,gaalloe
56,Stirn::N,frente,gállo
57,Stirn::N,frente,gállu
58,Stirn::N,frente,kállu
59,Stirn::N,frente,käll
60,Stirn::N,frente,вуэххьц
61,Haar::N,cabello,voepte
62,Haar::N,cabello,vuoppta
63,Haar::N,cabello,vuokta
64,Haar::N,cabello,vuop'tâ
65,Haar::N,cabello,vuõpt
66,Haar::N,cabello,вӯппт
67,Schnurrbart::N,bigote,bijjie-skaavtjoe
68,Schnurrbart::N,bigote,njunjevuolskávttjá
69,Schnurrbart::N,bigote,seamu
70,Schnurrbart::N,bigote,siämu
71,Schnurrbart::N,bigote,ää´bben
72,Schnurrbart::N,bigote,о̄а̄бпан
73,Bart::N,barba,skaavtja
74,Bart::N,barba,skaavtjoe
75,Bart::N,barba,skávttjá
76,Bart::N,barba,seamu
77,Bart::N,barba,siämu
78,Bart::N,barba,seäm
79,Bart::N,barba,ся̄м
80,Kinn::N,barbilla,gaejpie
81,Kinn::N,barbilla,gájbbe
82,Kinn::N,barbilla,gáibi
83,Kinn::N,barbilla,käibi
84,Kinn::N,barbilla,käi´bb
85,Kinn::N,barbilla,ка̄ййп
86,Kiefer[Anatomie]::N,mandíbula,gaejpie
87,Kiefer[Anatomie]::N,mandíbula,oalol
88,Kiefer[Anatomie]::N,mandíbula,oaloldákte
89,Kiefer[Anatomie]::N,mandíbula,gáibi
90,Kiefer[Anatomie]::N,mandíbula,uá'lultähti
91,Kiefer[Anatomie]::N,mandíbula,vuâl'lõš
92,Kiefer[Anatomie]::N,mandíbula,вуаллнешш
93,Kehle::N,garganta,gealoe
94,Kehle::N,garganta,tjåttå
95,Kehle::N,garganta,njiello
96,Kehle::N,garganta,čotta
97,Kehle::N,garganta,čuudâ
98,Kehle::N,garganta,čoodd
99,Kehle::N,garganta,чонт
100,Kehle::N,garganta,кэ̄ҏс
101,Hals::N,cuello,tjeapohke
102,Hals::N,cuello,tjiebet
103,Hals::N,cuello,čeabet
104,Hals::N,cuello,čiäppát
105,Hals::N,cuello,čeäppat
106,Hals::N,cuello,ча̄пэх
107,Genick::N,nuca,tjovrese
108,Genick::N,nuca,nisske
109,Genick::N,nuca,niehkki
110,Genick::N,nuca,niski
111,Genick::N,nuca,niek'ki
112,Genick::N,nuca,nji´šǩǩmaadd
113,Genick::N,nuca,нышшькмоант
114,Genick::N,cerviz,tjovrese
115,Genick::N,cerviz,nisske
116,Genick::N,cerviz,niehkki
117,Genick::N,cerviz,niski
118,Genick::N,cerviz,niek'ki
119,Genick::N,cerviz,nji´šǩǩmaadd
120,Genick::N,cerviz,нышшькмоант
121,Kopf::N,cabeza,åejjie
122,Kopf::N,cabeza,oajvve
123,Kopf::N,cabeza,oaivi
124,Kopf::N,cabeza,uái'vi
125,Kopf::N,cabeza,vuei´vv
126,Kopf::N,cabeza,вуэййв
127,Rücken::N,espalda,rudtje
128,Rücken::N,espalda,hárddo
129,Rücken::N,espalda,tjavelk
130,Rücken::N,espalda,sealgi
131,Rücken::N,espalda,selgi
132,Rücken::N,espalda,čielgi
133,Rücken::N,espalda,seä´lǧǧ
134,Rücken::N,espalda,се̄лльк
135,Bauch::N,vientre,tjåejjie
136,Bauch::N,vientre,tjoajvve
137,Bauch::N,vientre,čoavji
138,Bauch::N,vientre,čuáv'ji
139,Bauch::N,vientre,čåu´jj
140,Bauch::N,vientre,чо̄ввьй
