,Concept_ID,mrj,el
0,Auge::N,сӹнзӓ,μάτι
1,Auge::N,сӹнзӓ,οφθαλμός
2,Ohr::N,пӹлӹш,αυτί
3,Nase::N,нер,μύτη
4,Mund::N,ышма,στόμα
5,Zahn::N,пӱ,δόντι
6,Zunge::N,йӹлмӹ,γλώσσα
7,Lippe::N,тӹрвӹ,χείλος
8,Wange::N,шӹргӹ,παρειά
9,Wange::N,шӹргӹ,μάγουλο
10,Gesicht::N,лицӓ,πρόσωπο
11,Stirn::N,лепкӓ,μέτωπο
12,Haar::N,ӱп,μαλλιά
13,Schnurrbart::N,öрш,μουστάκι
14,Bart::N,пандаш,γένια
15,Kinn::N,онгылаш,πιγούνι
16,Kiefer[Anatomie]::N,пӱ арата,σαγόνι
17,Kehle::N,логер,λαρύγγι
18,Hals::N,шӱ,λαιμός
19,Genick::N,ланга,σβέρκος
20,Kopf::N,вуй,κεφάλι
21,Rücken::N,туп,ράχη
22,Bauch::N,мӹшкӹр,κοιλιά
23,Nabel::N,кӹлӹмдӹ,αφαλός
24,Busen::N,цӹзӹ,στήθος
25,Brust::N,мел,στήθος
26,Schulter::N,ӹнгӹжӓ,ώμος
27,Arm::N,кид,χέρι
28,Arm::N,кид,μπράτςο
29,Ellenbogen::N,кӹнервуй,αγκώνας
30,Hand::N,лапа,χέρι
31,Handfläche::N,кид лапа,παλάμη
32,Finger::N,парня,δάχτυλο
33,Fingernagel::N,кӹч,νύχι
34,Nagel[Anatomie]::N,кӹч,νύχι
35,Zeh::N,парня,δάχτυλο του ποδιού
36,Fuß::N,ял лапа,πόδι
37,Ferse::N,ялгавал,φτέρνα
38,Ferse::N,ял кавал,φτέρνα
39,Knie::N,пылвуй,γόνατο
40,Oberschenkel::N,ӓрдӹ,μηρός
41,Bein::N,ял,πόδι
42,Körper::N,монгыр,σώμα
43,Körper::N,монгыр,κορμί
44,Haut::N,кавашты,πετσί
45,Blut::N,вӹр,αίμα
46,Ader::N,вӹршӓр,φλέβα
47,Sehne::N,кукшышӱн,νεύρο
48,Sehne::N,кукшышӱн,τένοντας
49,Knochen::N,лу,οστό
50,Knochen::N,лу,κόκκαλο
51,Gehirn::N,вим,μυαλό
52,Gehirn::N,вим,εγκέφαλος
53,Herz::N,шӱм,καρδιά
54,Magen::N,шӱм,στομάχι
55,Leber::N,мокш,ήπαρ
56,Leber::N,мокш,συκωτί
57,Atem::N,шӱлӹш,αναπνοή
58,Hunger::N,шужымаш,πείνα
59,Träne::N,сӹнзӓвӹд,δάκρυ
60,Geschmack::N,тот,γεύση
61,Geruch::N,пыш,οσμή
62,Geruch::N,пыш,μυρωδία
63,Schlaf::N,ом,ύπνος
64,Traum::N,ом,όνειρο
65,Himmel::N,пӹлгом,ουρανός
66,Sonne::N,кечӹ,ήλιος
67,Mond::N,тӹлзӹ,σελήνη
68,Mond::N,тӹлзӹ,φεγγάρι
69,Stern::N,шӹдӹр,άστρο
70,Stern::N,шӹдӹр,αστέρι
71,Luft::N,юж,αέρας
72,Luft::N,воздух,αέρας
73,Wind::N,мардеж,αέρας
74,Wind::N,мардеж,άνεμος
75,Welle::N,ко,κύμα
76,Welle::N,коэ,κύμα
77,Wasser::N,вӹд,νερό
78,Stein::N,кӱ,πέτρα
79,Boden::N,рок,χώμα
80,Erde::N,свет,γη
81,Staub::N,пырак,σκόνη
82,Rauch::N,шӹкш,καπνός
83,Funke::N,ип,σπίθα
84,Funke::N,ип,σπινθήρας
85,Funke::N,тылип,σπίθα
86,Funke::N,тылип,σπινθήρας
87,Feuer::N,тыл,φωτιά
88,Licht::N,соты,φως
89,Licht::N,валгыды,φως
90,Schatten::N,ӹмӹл,σκιά
91,Schatten::N,ӹмӹл,ίσκιος
92,Wetter::N,игечӹ,καιρός
93,Nebel::N,тӹтӹрӓ,ομίχλη
94,Wolke::N,пӹл,σύννεφο
