,Concept_ID,mhr,nl
0,Auge::N,шинча́,oog
1,Ohr::N,пы́лыш,oor
2,Nase::N,нер,neus
3,Mund::N,умша́,mond
4,Zahn::N,пӱй,tand
5,Zunge::N,йы́лме,tong
6,Lippe::N,тӱ́рвӧ,lip
7,Wange::N,шӱ́ргӧ,wang
8,Gesicht::N,чури́й,gelaat
9,Gesicht::N,чури́й,gezicht
10,Stirn::N,саҥга́,voorhoofd
11,Haar::N,ӱп,haar
12,Schnurrbart::N,ӧ́рыш,snor
13,Bart::N,понда́ш,baard
14,Kinn::N,оҥыла́ш,kin
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,kaak
16,Kiefer[Anatomie]::N,пӱйората́,kaak
17,Kehle::N,лога́р,keel
18,Kehle::N,лога́р,strot
19,Hals::N,шӱй,hals
20,Genick::N,шӱйло́дыш,nek
21,Kopf::N,вуй,hoofd
22,Rücken::N,туп,rug
23,Bauch::N,мӱ́шкыр,buik
24,Nabel::N,кы́лымде,navel
25,Busen::N,чы́зе,boezem
26,Brust::N,оҥ,borst
27,Schulter::N,ва́че,schouder
28,Arm::N,кид,arm
29,Ellenbogen::N,кынерву́й,elleboog
30,Hand::N,кид,hand
31,Hand::N,копа́,hand
32,Handfläche::N,со́во,handpalm
33,Finger::N,парня́,vinger
34,Fingernagel::N,кидкӱ́ч,nagel
35,Fingernagel::N,парнягӱ́ч,nagel
36,Nagel[Anatomie]::N,кӱч,nagel
37,Zeh::N,йолварня́,teen
38,Fuß::N,йол,voet
39,Fuß::N,йолкопа́,voet
40,Ferse::N,тага́н,hak
41,Ferse::N,тага́н,hiel
42,Knie::N,пулву́й,knie
43,Oberschenkel::N,э́рде,dij
44,Bein::N,йол,been
45,Körper::N,кап,lichaam
46,Haut::N,кова́ште,huid
47,Blut::N,вӱр,bloed
48,Ader::N,шӧн,ader
49,Sehne::N,шӧн,pees
50,Sehne::N,кӱсе́н,pees
51,Knochen::N,лу,bot
52,Knochen::N,лу,been
53,Knochen::N,лу,knook
54,Gehirn::N,вем,hersenen
55,Gehirn::N,вуйве́м,hersenen
56,Herz::N,шӱм,hart
57,Magen::N,пага́р,maag
58,Leber::N,мокш,lever
59,Atem::N,шӱ́лыш,adem
60,Hunger::N,шужыма́ш,honger
61,Träne::N,шинчавӱ́д,traan
62,Geschmack::N,там,smaak
63,Geruch::N,пуш,geur
64,Schlaf::N,о́мо,slaap
65,Traum::N,йӱдо́мо,droom
66,Himmel::N,кава́,hemel
67,Sonne::N,ке́че,zon
68,Mond::N,ты́лзе,maan
69,Stern::N,шӱ́дыр,ster
70,Luft::N,юж,lucht
71,Wind::N,марде́ж,wind
72,Welle::N,то́лкын,golf
73,Wasser::N,вӱд,water
74,Stein::N,кӱ,steen
75,Boden::N,рок,grond
76,Erde::N,мла́нде,aarde
77,Staub::N,пура́к,stof
78,Rauch::N,шикш,rook
79,Funke::N,сеске́м,vonk
80,Funke::N,тулйы́п,vonk
81,Feuer::N,тул,vuur
82,Licht::N,со́то,licht
83,Schatten::N,ӱ́мыл,schaduw
84,Wetter::N,иге́че,weer
85,Nebel::N,тӱтыра́,mist
86,Nebel::N,тӱтыра́,nevel
87,Wolke::N,пыл,wolk
88,Regen::N,йӱр,regen
89,Schnee::N,лум,sneeuw
90,Eis::N,ий,ijs
91,Frost::N,чатлама́,vorst
92,Kälte::N,йӱ́штӧ,kou
93,Kälte::N,йӱ́штӧ,koude
94,Hitze::N,шо́кшо,hitte
95,Raureif::N,пӧрш,rijp
96,Raureif::N,по́кшым,rijp
97,Regenbogen::N,шонанпы́л,regenboog
98,Donner::N,кӱ́дырчӧ,donder
99,Strömung::N,йо́гын,stroming
100,Tropfen::N,чӱча́лтыш,druppel
101,Schaum::N,шоҥ,schuim
102,Schmutz::N,лавыра́,vuil
103,See::N,ер,meer
104,Sumpf::N,лӱ́кӧ,moeras
105,Moor::N,куп,veen
106,Wiese::N,о́лык,wei
107,Wiese::N,о́лык,weide
108,Wald::N,чодыра́,bos
109,Hügel::N,арка́,heuvel
110,Anhöhe::N,тӧва́,hoogte
111,Anhöhe::N,кӱкшака́,hoogte
112,Berg::N,ку́рык,berg
113,Gipfel::N,чаҥга́,top
114,Gipfel::N,курыкву́й,top
115,Höhle::N,пеще́р,hol
116,Höhle::N,курыкпо́мыш,hol
117,Abhang::N,та́йыл,helling
118,Quelle::N,важ,bron
119,Quelle::N,вӱдшинча́,bron
120,Bach::N,изэҥе́р,beek
121,Fluss::N,эҥе́р,stroom
122,Ufer::N,сер,wal
123,Ufer::N,сер,oever
124,Küste::N,вӱдтӱ́р,kust
125,Festland::N,мла́нде,vasteland
126,Meer::N,те́ҥыз,zee
127,Bucht::N,икса́,baai
128,Bucht::N,икса́,inham
129,Insel::N,отро́,eiland
130,Blume::N,пеле́дыш,bloem
131,Gras::N,шу́до,gras
132,Wurzel::N,вож,wortel
133,Baum::N,пуше́ҥге,boom
134,Stamm::N,йы́тыр,stam
135,Rinde::N,шӱм,schors
136,Ast::N,укш,tak
137,Zweig::N,торма́к,twijg
138,Blatt::N,лышта́ш,blad
139,Birke::N,куэ́,berk
140,Kiefer[Baum]::N,пӱ́нчӧ,den
141,Weide[Baum]::N,уа́,wilg
142,Tanne::N,кож,spar
143,Horn::N,шур,hoorn
144,Feder::N,пы́стыл,veer
145,Feder::N,пы́стыл,pluim
146,Fell::N,кова́ште,vel
147,Flügel::N,шу́лдыр,vleugel
148,Klaue::N,кӱч,klauw
149,Kralle::N,ла́па,klauw
150,Kralle::N,копа́,klauw
151,Schwanz::N,поч,staart
152,Ei::N,му́но,ei
153,Nest::N,пыжа́ш,nest
154,Bau::N,пыжа́ш,hol
155,Tier::N,я́нлык,dier
156,Tier::N,живо́тный,dier
157,Herde::N,кӱ́тӱ,kudde
158,Herde::N,тӱшка́,kudde
159,Kuh::N,ушка́л,koe
160,Bulle::N,ӱ́шкыж,stier
161,Pferd::N,и́мне,paard
162,Schaf::N,шо́рык,schaap
163,Schwein::N,сӧсна́,varken
164,Hund::N,пий,hond
165,Katze::N,пы́рыс,kat
166,Bär::N,маска́,beer
167,Eichhörnchen::N,ур,eekhoorntje
168,Elch::N,шо́рдо,eland
169,Fuchs::N,ры́выж,vos
170,Hase::N,мера́ҥ,haas
171,Maus::N,коля́,muis
172,Wolf::N,пи́ре,wolf
173,Vogel::N,ка́йык,vogel
174,Schwarm::N,каша́к,zwerm
175,Huhn::N,чы́ве,kip
176,Huhn::N,чы́ве,hoen
177,Hahn::N,агыта́н,haan
178,Gans::N,ко́мбо,gans
179,Adler::N,карагу́ш,arend
180,Ente::N,лу́до,eend
181,Eule::N,тумна́,uil
182,Kranich::N,турня́,kraanvogel
183,Krähe::N,кора́к,kraai
184,Kuckuck::N,куку́,koekoek
185,Schwan::N,йӱ́ксӧ,zwaan
186,Fisch::N,кол,vis
187,Barsch::N,ола́ҥге,baars
188,Hecht::N,нуж,snoek
189,Hecht::N,чорта́н,snoek
190,Schlange[Tier]::N,ки́шке,slang
191,Wurm::N,шукш,worm
192,Spinne::N,эҥыре́мыш,spin
193,Ameise::N,ку́тко,mier
194,Laus::N,тий,luis
195,Mücke::N,шыҥа́,mug
196,Fliege::N,ка́рме,vlieg
197,Schmetterling::N,лы́ве,vlinder
198,Beere::N,мӧр,bes
199,Apfel::N,олма́,appel
200,Pilz::N,по́ҥго,paddestoel
201,Zwiebel::N,шога́н,ui
202,Saat::N,нӧ́шмӧ,zaad
203,Saat::N,туш,zaad
204,Korn::N,шу́рно,graan
205,Korn::N,шу́рно,korrel
206,Heu::N,шу́до,hooi
207,Schale::N,шӱм,schil
208,Grube::N,выне́м,kuil
209,Falle::N,лӧ́дӧ,val
210,Schlinge::N,о́птыш,strop
211,Schlinge::N,шӧрга́лтыш,strop
212,Spur::N,кыша́,spoor
213,Asche::N,ло́мыж,as
214,Dreck::N,лавыра́,drek
215,Eisen::N,кӱ́ртньӧ,ijzer
216,Gold::N,шӧ́ртньӧ,goud
217,Silber::N,ший,zilver
218,Kohle::N,мландышӱ́й,kool
219,Glas::N,янда́,glas
220,Lehm::N,шун,klei
221,Sand::N,ошма́,zand
222,Mensch::N,еҥ,mens
223,Mensch::N,айде́ме,mens
224,Mann::N,пӧръе́ҥ,man
225,Frau::N,ӱдырама́ш,vrouw
226,Kind::N,аза́,kind
227,Junge::N,рве́зе,jongen
228,Mädchen::N,ӱдыра́ш,meisje
229,Familie::N,еш,gezin
230,Familie::N,еш,familie
231,Großvater::N,коча́,grootvader
232,Großmutter::N,кова́,grootmoeder
233,Eltern::N,ача́-ава́,ouders
234,Vater::N,ача́,vader
