,Concept_ID,hi,br
0,Auge::N,आँख,lagad
1,Auge::N,चक्षु,lagad
2,Ohr::N,कान,skouarn
3,Ohr::N,कर्ण,skouarn
4,Nase::N,नाक,fri
5,Nase::N,नासा,fri
6,Mund::N,मुख,genoù
7,Mund::N,मुँह,genoù
8,Zahn::N,दंत,dant
9,Zahn::N,दाँत,dant
10,Zunge::N,जीभ,teod
11,Zunge::N,ज़बान,teod
12,Zunge::N,जिह्वा,teod
13,Lippe::N,ओंठ,muzell
14,Lippe::N,होंठ,muzell
15,Wange::N,गाल,chot
16,Wange::N,कपोल,chot
17,Gesicht::N,मुँह,dremm
18,Gesicht::N,चेहरा,dremm
19,Stirn::N,माथा,tal
20,Stirn::N,मस्तक,tal
21,Haar::N,बाल,blev
22,Schnurrbart::N,मूँछें,mourenn
23,Bart::N,दाढ़ी,barv
24,Kinn::N,चिबुक,groñj
25,Kiefer[Anatomie]::N,जबड़ा,javed
26,Kehle::N,गला,gouzoug
27,Hals::N,गला,gouzoug
28,Hals::N,गरदन,gouzoug
29,Genick::N,गरदन,choug
30,Genick::N,ग्रीवा,choug
31,Kopf::N,सिर,penn
32,Kopf::N,शीर्ष,penn
33,Rücken::N,पीठ,kein
34,Bauch::N,उदर,kof
35,Nabel::N,नाभि,begel
36,Nabel::N,ढोंढी,begel
37,Busen::N,कुच,bronn
38,Busen::N,स्तन,bronn
39,Brust::N,वक्ष,bruched
40,Schulter::N,कंधा,skoaz
41,Schulter::N,स्कंध,skoaz
42,Arm::N,बाँह,brec'h
43,Arm::N,बाज़ू,brec'h
44,Ellenbogen::N,कुहनी,ilin
45,Hand::N,हाथ,dorn
46,Hand::N,हस्त,dorn
47,Handfläche::N,हथेली,palv
48,Finger::N,उँगली,biz
49,Finger::N,अँगुली,biz
50,Fingernagel::N,नख,ivin
51,Fingernagel::N,नाख़ून,ivin
52,Nagel[Anatomie]::N,नख,ivin
53,Nagel[Anatomie]::N,नाख़ून,ivin
54,Zeh::N,उँगली,biz-troad
55,Zeh::N,पाँव की उँगली,biz-troad
56,Fuß::N,चरण,troad
57,Fuß::N,पाँव,troad
58,Ferse::N,एड़ी,seul
59,Knie::N,जानु,glin
60,Knie::N,घुटना,glin
61,Oberschenkel::N,उरु,morzhed
62,Bein::N,टाँग,gar
63,Körper::N,तन,korf
64,Körper::N,देह,korf
65,Körper::N,शरीर,korf
66,Haut::N,चर्म,kroc'hen
67,Haut::N,त्वचा,kroc'hen
68,Blut::N,लहू,gwad
69,Blut::N,ख़ून,gwad
70,Ader::N,रग,gwazhi
71,Ader::N,शिरा,gwazhi
72,Sehne::N,कंडरा,stir
73,Sehne::N,स्नायु,stir
74,Knochen::N,अस्थि,askorn
75,Gehirn::N,दिमाग़,empenn
76,Gehirn::N,मस्तिष्क,empenn
77,Herz::N,दिल,kalon
78,Herz::N,हृदय,kalon
79,Magen::N,मेदा,stomog
80,Magen::N,अमाशय,stomog
81,Leber::N,जिगर,avu
82,Leber::N,यकृत्,avu
83,Atem::N,दम,anal
84,Atem::N,साँस,anal
85,Atem::N,श्वास,anal
86,Hunger::N,भूख,naon
87,Hunger::N,क्षुधा,naon
88,Träne::N,आँसू,daer
89,Träne::N,अश्रु,daer
90,Geschmack::N,स्वाद,blaz
91,Geschmack::N,ज़ायक़ा,blaz
92,Geruch::N,बू,c'hwezh
93,Geruch::N,गंध,c'hwezh
94,Schlaf::N,नींद,kousked
95,Schlaf::N,निद्रा,kousked
96,Traum::N,सपना,hune
97,Traum::N,स्वप्न,hune
98,Himmel::N,आकाश,oabl
99,Himmel::N,आसमान,oabl
100,Sonne::N,रवि,heol
101,Sonne::N,सूरज,heol
102,Sonne::N,सूर्य,heol
103,Mond::N,चाँद,loar
104,Mond::N,चंद्र,loar
105,Stern::N,तारा,steredenn
106,Stern::N,सितारा,steredenn
107,Luft::N,हवा,aer
108,Luft::N,वायु,aer
109,Wind::N,पाद,avel
110,Welle::N,लहर,houlenn
111,Welle::N,तरंग,houlenn
112,Wasser::N,जल,dour
113,Wasser::N,पानी,dour
114,Stein::N,पत्थर,maen
115,Boden::N,मिट्टी,tachenn
116,Erde::N,भूमि,douar
117,Erde::N,ज़मीन,douar
118,Staub::N,धूल,poultr
119,Rauch::N,धूआँ,moged
120,Rauch::N,धुम्र,moged
121,Funke::N,चिनगारी,ful
122,Funke::N,स्फुलिंग,ful
123,Feuer::N,आग,tan
124,Feuer::N,आतिश,tan
125,Feuer::N,अग्नि,tan
126,Licht::N,रोशनी,gouloù
127,Licht::N,प्रकाश,gouloù
128,Schatten::N,छाया,disheol
129,Schatten::N,परछाई,disheol
130,Wetter::N,ऋतु,amzer
131,Wetter::N,मौसम,amzer
132,Nebel::N,धुँध,brumenn
133,Nebel::N,कुहरा,brumenn
134,Wolke::N,मेघ,koumoulenn
135,Wolke::N,अभ्र,koumoulenn
136,Regen::N,मेंह,glav
137,Regen::N,बारिश,glav
138,Schnee::N,हिम,erc'h
139,Schnee::N,बर्फ़,erc'h
140,Eis::N,हिम,skorn
141,Eis::N,बर्फ़,skorn
142,Frost::N,ठंड,rev
143,Kälte::N,सर्दी,yen
144,Kälte::N,शीतलता,yen
145,Hitze::N,ताप,tommder
146,Hitze::N,गरमी,tommder
147,Raureif::N,पाला,frim
148,Regenbogen::N,इंद्र-धनुष,gwareg-ar-glav
149,Donner::N,गरज,kurun
150,Donner::N,मेघ-गर्जन,kurun
151,Strömung::N,बहाव,red
152,Strömung::N,प्रवाह,red
153,Tropfen::N,बूँद,bannac'h
154,Tropfen::N,बूँद,takenn
155,Schaum::N,झाग,spoum
156,Schmutz::N,गंद,fank
157,Schmutz::N,कीचड़,fank
158,See::N,झील,lenn
159,See::N,सरोवर,lenn
160,Sumpf::N,दलदल,gwern
161,Sumpf::N,धँसान,gwern
162,Moor::N,झाबर,taouarc'heg
163,Moor::N,धँसान,taouarc'heg
164,Wiese::N,घास-स्थल,prad
165,Wald::N,जंगल,koad
166,Hügel::N,टीला,torgenn
167,Hügel::N,पहाड़,torgenn
168,Anhöhe::N,टीला,run
169,Anhöhe::N,पहाड़ी,run
170,Berg::N,पहाड़,menez
171,Gipfel::N,शिखर,barr
172,Höhle::N,गुहा,kav
173,Höhle::N,गुफ़ा,kav
174,Abhang::N,ढाल,naou
175,Abhang::N,ढलान,naou
176,Quelle::N,चश्मा,feunteun
177,Bach::N,सोता,gwazh
178,Bach::N,नदिका,gwazh
179,Fluss::N,नदी,stêr
180,Fluss::N,सरिता,stêr
181,Ufer::N,तट,ribl
182,Ufer::N,किनारा,ribl
