,Concept_ID,ba,mrj
0,Auge::N,күҙ,сӹнзӓ
1,Ohr::N,ҡолаҡ,пӹлӹш
2,Nase::N,танау,нер
3,Mund::N,ауыҙ,ышма
4,Zahn::N,теш,пӱ
5,Zunge::N,тел,йӹлмӹ
6,Lippe::N,ирен,тӹрвӹ
7,Wange::N,яцаҡтар,шӹргӹ
8,Gesicht::N,бит,лицӓ
9,Stirn::N,маңлай,лепкӓ
10,Haar::N,сәс,ӱп
11,Schnurrbart::N,мылтыҡ,öрш
12,Bart::N,һаҡал,пандаш
13,Kinn::N,эйэк,онгылаш
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,пӱ арата
15,Kehle::N,тамаҡ,логер
16,Hals::N,муйын,шӱ
17,Genick::N,соңҡа,ланга
18,Kopf::N,баш,вуй
19,Rücken::N,арҡа,туп
20,Bauch::N,ҡорһаҡ,мӹшкӹр
21,Nabel::N,кендек,кӹлӹмдӹ
22,Busen::N,күкрәк,цӹзӹ
23,Brust::N,түш,мел
24,Schulter::N,яурын,ӹнгӹжӓ
25,Arm::N,ҡул,кид
26,Ellenbogen::N,терһәк,кӹнервуй
27,Hand::N,ҡул,лапа
28,Hand::N,ҡул суғы,лапа
29,Handfläche::N,ус төбө,кид лапа
30,Finger::N,бармаҡ,парня
31,Fingernagel::N,тырнаҡ,кӹч
32,Nagel[Anatomie]::N,тырнаҡ,кӹч
33,Zeh::N,бармаҡ,парня
34,Fuß::N,табан,ял лапа
35,Ferse::N,үксә,ялгавал
36,Ferse::N,үксә,ял кавал
37,Knie::N,тубыҡ,пылвуй
38,Oberschenkel::N,сандыр,ӓрдӹ
39,Bein::N,аяҡ,ял
40,Körper::N,тән,монгыр
41,Haut::N,тире,кавашты
42,Blut::N,ҡан,вӹр
43,Ader::N,тамыр,вӹршӓр
44,Sehne::N,һеңер,кукшышӱн
45,Sehne::N,тарамыш,кукшышӱн
46,Knochen::N,һойәк,лу
47,Gehirn::N,мейе,вим
48,Herz::N,йорәк,шӱм
49,Magen::N,ашҡаҙан,шӱм
50,Leber::N,бауыр,мокш
51,Atem::N,һулыш,шӱлӹш
52,Hunger::N,аслыҡ,шужымаш
53,Träne::N,күҙ иәше,сӹнзӓвӹд
54,Geschmack::N,тәм,тот
55,Geruch::N,еҫ,пыш
56,Schlaf::N,йоҡлау,ом
57,Traum::N,төш,ом
58,Himmel::N,күк,пӹлгом
59,Sonne::N,ҡояш,кечӹ
60,Mond::N,ай,тӹлзӹ
61,Stern::N,йондоҙ,шӹдӹр
62,Luft::N,һауа,юж
63,Luft::N,һауа,воздух
64,Wind::N,ел,мардеж
65,Welle::N,тулҡын,ко
66,Welle::N,тулҡын,коэ
67,Wasser::N,һыу,вӹд
68,Stein::N,таш,кӱ
69,Boden::N,тупраҡ,рок
70,Erde::N,балсҡ,свет
71,Staub::N,туҙан,пырак
72,Rauch::N,төтөн,шӹкш
73,Funke::N,осҡон,ип
74,Funke::N,осҡон,тылип
75,Feuer::N,ут,тыл
76,Licht::N,яҡтылыҡ,соты
77,Licht::N,яҡтылыҡ,валгыды
78,Schatten::N,күләгә,ӹмӹл
79,Wetter::N,һауа торошо,игечӹ
80,Nebel::N,төман,тӹтӹрӓ
81,Wolke::N,болот,пӹл
82,Regen::N,ямғыр,юр
83,Schnee::N,ҡар,лым
84,Eis::N,боҙ,и
85,Frost::N,һалҡын,ӱштӹ
86,Kälte::N,һыуыҡ,ӱштӹ
87,Hitze::N,томра,шокшы
88,Hitze::N,эҫелек,шокшы
89,Raureif::N,ҡырау,пöрш
90,Regenbogen::N,йәйғор,шанавӹл
91,Donner::N,күк күкрәү,хӹдӹртӹш
92,Strömung::N,ағым,йогы
93,Tropfen::N,тамсы,капльы
94,Tropfen::N,тамсы,капльык
95,Schaum::N,күбек,шонг
96,Schmutz::N,батҡаҡ,лявӹрӓ
97,See::N,күл,йӓр
98,Sumpf::N,һаҙлык,лӱкӹ
99,Moor::N,һаҙ,куп
100,Wiese::N,болон,алык
101,Wald::N,урман,шӹргӹ
102,Hügel::N,түбә,пӱгӹрикӓ
103,Anhöhe::N,түбә,кӱкшикӓ
104,Anhöhe::N,ҡалҡыулыҡ,кӱкшикӓ
105,Berg::N,тау,кырык
106,Gipfel::N,түбә,неркӓ
107,Höhle::N,мәмерйә,ы́раж
108,Abhang::N,ипкен,полом
109,Quelle::N,шишмә,вӹдсӹнзӓ
110,Bach::N,шишмә,ӓнгӹр
111,Fluss::N,йылға,вӹд
112,Ufer::N,яр,сир
113,Küste::N,яр буйы,сир
114,Festland::N,ҡоро ер,мӱлӓндӹ
115,Meer::N,диңгез,тангыж
116,Bucht::N,бухта,вӹдъял
117,Insel::N,үтрау,острок
118,Blume::N,сәскә,пеледӹш
119,Gras::N,үлән,шуды
120,Wurzel::N,тамыр,важ
121,Baum::N,ағас,пушӓнгӹ
122,Stamm::N,олон,пушӓнгӹ тӹнг
123,Stamm::N,көбәк,пушӓнгӹ тӹнг
124,Rinde::N,ҡабыҡ,каргыж
125,Ast::N,ботаҡ,укш
126,Zweig::N,ботаҡ,укш
127,Zweig::N,тармаҡ,укш
128,Blatt::N,япраҡ,листӹ
129,Birke::N,ҡайын,куги
130,Kiefer[Baum]::N,ҡарғай,йӓктӹ
131,Weide[Baum]::N,тал,уа
132,Tanne::N,шыршы,кож
133,Horn::N,мөғөҙ,шур
134,Feder::N,ҡауырһын,пын
135,Fell::N,тире,кавашты
136,Flügel::N,ҡанат,шылдыр
137,Klaue::N,тырнаҡ,кӹч
138,Kralle::N,аяҡ,лапа
139,Schwanz::N,ҡойроҡ,пач
140,Ei::N,йомортҡа,мыны
141,Nest::N,оя,пӹжӓш
142,Bau::N,оң,ыраж
143,Tier::N,жайуан,во́льык
144,Tier::N,йыртҡыс,во́льык
145,Herde::N,көтөү,кӹтö
146,Kuh::N,һыйыр,ышкал
147,Bulle::N,үгеҙ,ӱшкӱж
148,Pferd::N,ат,имни
149,Schaf::N,һарыҡ,шарык
150,Schwein::N,сусҡа,сасна
151,Hund::N,эт,пи
152,Katze::N,бесәй,коти
153,Bär::N,айыу,мöскӓ
154,Eichhörnchen::N,тейен,ур
155,Elch::N,мышы,шарды
156,Fuchs::N,төлкө,рӹвӹж
157,Hase::N,ҡуян,морен
158,Maus::N,сысҡан,каля
159,Wolf::N,бүре,пирӹ
160,Vogel::N,ҡош,кек
161,Schwarm::N,көтөү,цуца
162,Huhn::N,тауыҡ,цӹвӹ
163,Hahn::N,әтәс,ӓптӓн
164,Gans::N,ҡаҙ,комбы
165,Adler::N,бөркөт,кучкыж
166,Ente::N,өйрәк,лыды
167,Eule::N,өкө,тымана
168,Eule::N,ябалаҡ,тымана
169,Kranich::N,торна,тырня
170,Kranich::N,торна,тыртня
171,Krähe::N,ҡарға,лудыгарак
172,Kuckuck::N,кәкүк,куку
173,Schwan::N,аҡҡош,йӱксӹ
174,Fisch::N,балыҡ,кол
175,Barsch::N,алабуға,алангы
176,Hecht::N,суртан,нуж
177,Hecht::N,суртан,нужгол
178,Schlange[Tier]::N,йылан,кӹшкы
179,Wurm::N,селяүсен,шукш
180,Spinne::N,үрмәксе,ӓнгӹремшӹ
181,Ameise::N,ҡырмыҫҡа,кыткы
182,Laus::N,бет,ти
183,Mücke::N,серәкәй,кужнер
184,Mücke::N,серәкәй,кужынер
185,Fliege::N,себен,шӹнгӓ
186,Schmetterling::N,күбәләк,лӹпӹ
187,Beere::N,еләк,мöр
188,Apfel::N,алма,олма
189,Pilz::N,бәшмәк,понгы
190,Zwiebel::N,һуган,охыра
191,Saat::N,орлоҡ,нӱшмӹ
192,Saat::N,орлоҡ,нӱшмӱ
193,Korn::N,иген,пӹрцӹ
194,Heu::N,бесән,шуды
195,Schale::N,ҡабыҡ,аваха
196,Schale::N,ҡабыҡ,карлангы
197,Grube::N,соҡор,йӓм
198,Falle::N,тоҙак,лӱдӹ
199,Falle::N,тоҙак,лӱдӹш
200,Falle::N,ҡапҡан,лӱдӹ
201,Falle::N,ҡапҡан,лӱдӹш
202,Schlinge::N,тоҙак,онгы
203,Spur::N,әҫер,кишӓ
204,Asche::N,көл,ломых
205,Asche::N,көл,ломпыж
206,Dreck::N,батҡаҡ,лявӹрӓ
207,Eisen::N,тимер,кӹртни
208,Gold::N,алтын,шöртни
209,Gold::N,алтын,шöртньӹ
210,Silber::N,көмөш,ши
211,Kohle::N,күмер,шӱ
212,Glas::N,быяла,охоница
213,Lehm::N,балсыҡ,шун
214,Sand::N,ҡом,ошма
215,Mensch::N,кеше,эдем
216,Mann::N,ир,пӱэргӹ
217,Frau::N,ҡатын,ӹдӹрӓмӓш
218,Kind::N,бала,ӓзӓ
219,Kind::N,бала,шачшы
220,Junge::N,малай,рвезӹ
221,Junge::N,малай,ӹрвезӹ
222,Mädchen::N,ҡыҙ,ӹдӹрӓш
223,Mädchen::N,ҡыҙыҡай,ӹдӹрӓш
224,Familie::N,ғаилә,йиш
225,Familie::N,ғаилә,семня
226,Großvater::N,олатай,тьоти
227,Großmutter::N,әбәй,папа
228,Eltern::N,ата-әсә,ӓтя-ӓвӓ
229,Vater::N,атай,ӓтя
230,Mutter::N,әсә,ӓвӓ
231,Sohn::N,ул,эргӹ
232,Tochter::N,ҡыҙ,ӹдӹр
233,Bruder::N,агай,ӹза
234,Schwester::N,алай,ӓкӓ
235,Schwester::N,һеңле,ӓкӓ
236,Onkel::N,ағай,кугуза
237,Tante::N,апай,куака
238,Ehemann::N,ир,мары
239,Ehefrau::N,ҡатын,вӓтӹ
240,Freude::N,шатлыҡ,ӹвӹртӹмӓш
241,Freude::N,ҡыуаныс,ӹвӹртӹмӓш
242,Gelächter::N,көлөү,ваштылмаш
243,Glück::N,бәхет,пиӓл
244,Kummer::N,ҡайғы,ясы
245,Wunsch::N,теләк,охата
246,Wunsch::N,теләк,шанымаш
247,Lust::N,әүәҫлек,шӓр
248,Lust::N,әүәҫлек,охата
249,Lust::N,әүәҫлек,шанымаш
250,Geist::N,аң,тух
251,Geist::N,рух,тух
252,Gedanke::N,уй,шанымаш
253,Gedanke::N,фекер,шанымаш
254,Gedächtnis::N,хәтер,ӓш
255,Verstand::N,аҡыл,ыш
256,Sinn::N,мәғәня,кын
257,Grund::N,сәбәп,вир
258,Wahrheit::N,дөрөҫлөк,тöр
259,Gespräch::N,әңгәмә,хытырымаш
260,Märchen::N,әкиәт,ямак
261,Erzählung::N,хикәйә,шайыштмаш
262,Nachricht::N,хәбәр,увертӓрӹмӓш
263,Neuigkeit::N,яңылыҡ,увер
264,Name::N,исем,лӹм
265,Rätsel::N,йомаҡ,тышты
266,Rede::N,телмәр,шая
267,Rede::N,телмәр,шамак
268,Sprache::N,тел,йӹлмӹ
269,Sprache::N,телмәр,йӹлмӹ
270,Stimme::N,тауыш,юк
271,Wort::N,һүҙ,шамак
272,Zeichen::N,билдә,палӹ
273,Ruf::N,саҡырыу,сӹгӹрӹмӓш
274,Lärm::N,шаулау,юкланымащ
275,Laut::N,тауыш,юк
276,Ton::N,яңғырау,юк
277,Lied::N,йыр,мыры
278,Ruhe::N,ял,тыр
279,Ruhe::N,тыныслыҡ,тыр
280,Leute::N,кешеләр,эдемвлӓ
281,Volk::N,халҡ,халык
282,Arbeit::N,эш,пӓшӓ
283,Gast::N,ҡунаҡ,хына
284,Geschenk::N,бүләк,подарка
285,Spiel::N,уйын,мадыш
286,Gesellschaft::N,йәмғиәт,йӓл
287,Gesellschaft::N,йәмғиәт,йӓлвлӓ
288,Hilfe::N,ярҙам,палшык
289,Freund::N,дуҫ,тӓнг
290,Kamerad::N,иптәш,тос
291,Angelegenheit::N,әш,дела
292,Angelegenheit::N,әш,йела
293,Angelegenheit::N,әш,йыла
294,Angelegenheit::N,әш,пӓшӓ
295,Anzahl::N,һан,шот
296,Art::N,төр,цӹре
297,Stück::N,киҫәк,лаштык
298,Teil::N,өлөш,пай
299,Teil::N,өлөш,часть
300,Hälfte::N,ярты,пел
301,Kreis::N,түңәрәк,тӹртӹш
302,Kreuz::N,тәре,крестӹ
303,Linie::N,һыҙыҡ,
304,Strich::N,һыҙат,
305,Abstand::N,ара,ло
306,Entfernung::N,алыҫлыҡ,ло
307,Gegend::N,урын,вӓр
308,Platz::N,арауыҡ,вӓр
309,Ort::N,ерҙәр,вӓр
310,Ort::N,урындар,вӓр
311,Ort::N,эш урыны,вӓр
312,Seite::N,яҡ,öрдӹж
313,Mitte::N,урталыҡ,ло
314,Gegenstand::N,нәмә,хӓдӹр
315,Sache::N,нәмә,хӓдӹр
316,Sache::N,әйбер,хӓдӹр
317,Rand::N,сит,шöр
318,Kante::N,ҡабырға,шöр
319,Kante::N,ян,шöр
320,Ecke::N,мөйөш,лык
321,Spitze::N,ос,вуй
322,Ende::N,аҙаҡ,вуй
323,Ende::N,аҙаҡ,мычаш
324,Loch::N,тишек,ыраж
325,Winkel::N,мөйөш,лык
326,Muster::N,биҙәк,тӹрлец
327,Größe::N,ҙурлыҡ,кӱкшӹц
328,Länge::N,оҙонлоҡ,кыт
329,Höhe::N,бейеклек,кӱкшӹц
330,Gewicht::N,үлсәү,нелӹц
331,Menge::N,һан,шот
332,Haufen::N,өйөм,ара
333,Reihe::N,рәт,ряд
334,Boot::N,кәмә,пыш
335,Ruder::N,ишкәк,вешлӓ
336,Schlitten::N,сана,тир
337,Ski::N,саңгы,ечӹ
338,Lagerfeuer::N,костер,тыл
339,Last::N,ауырлыҡ,нелӹц
340,Gang::N,барыу,ход
341,Schritt::N,аҙым,ашкыл
342,Norden::N,төньяҡ,йыдпелвел
343,Süden::N,көньяҡ,кечӹвӓлвел
344,Westen::N,көнбайыш,кечӹ шӹцмӹ
345,Osten::N,көнсығыш,ирвел
346,Osten::N,көнсығыш,кечӹ лӱлтмӹ
347,Holz::N,үағас,пушӓнгӹ
348,Brett::N,таҡта,ханга
349,Platte::N,плита,плитӓ
350,Stütze::N,терәк,цӓрӓк
351,Stange::N,кәртә,равы
352,Stange::N,кәртә,намаш
353,Stock::N,таяҡ,панды
354,Stab::N,ҡолға,равы
355,Rohr::N,торба,пыч
356,Haus::N,өй,пöрт
357,Haus::N,йорт,пöрт
358,Heim::N,өй,пöрт
359,Ofen::N,мейес,камака
360,Fußboden::N,енес,седӹрӓ
361,Tisch::N,өҫтәл,стöл
362,Stuhl::N,ултырғыс,пöкен
363,Wiege::N,бишек,шипкӓ
364,Bett::N,карауат,койка
365,Bett::N,карауат,кравать
366,Regal::N,кәштә,полицӓ
367,Kiste::N,йәшинк,шӱ́ндӹк
368,Fenster::N,тәҙрә,окня
369,Tür::N,ишек,амаса
370,Tor::N,ҡапҡа,хапка
371,Zaun::N,ҡойма,забор
372,Dach::N,түбә,левӓш
373,Dach::N,ҡыйыҡ,левӓш
374,Leiter::N,баҫҡыс,ташкалтыш
375,Besen::N,һепертке,сало
376,Besen::N,һепертке,салко
377,Spaten::N,көрәк,кольмы
378,Schaufel::N,көрәк,лоток
379,Gabel::N,сәнске,ви́лка
380,Löffel::N,ҡалаҡ,савала
381,Messer::N,бысаҡ,кӹзӹ
382,Nagel::N,сөй,пыда
383,Netz::N,ау,вӓпш
384,Haken::N,ыргаҡ,крӱк
385,Haken::N,ыргаҡ,кагак
386,Griff::N,тотҡа,кычем
387,Schloss::N,йоҙаҡ,замок
388,Schloss::N,йоҙаҡ,сыравач
389,Bild::N,картина,картин
390,Figur::N,һын,кӓн
391,Puppe::N,ҡурсаҡ,поханя
392,Beutel::N,тоҡ,мешӓк
393,Bündel::N,төргәк,топ
394,Bündel::N,төргәк,пидӹш
395,Bündel::N,төргәк,кӹлдӹш
396,Tasche::N,сумка,сумкы
397,Eimer::N,биҙрә,ведӹрӓ
398,Deckel::N,ҡапҡас,комдыш
399,Geschirr::N,һауыт-һаба,ӓтӹ
400,Sack::N,тоҡ,мешӓк
401,Tasse::N,сынаяҡ,цӓшкӓ
402,Topf::N,кәстрүл,ми́ска
403,Kessel::N,ҡаҙан,пад
404,Essen::N,ашау,качкыш
405,Essen::N,ашау,качкыш-йӱш
406,Nahrung::N,аҙыҡ,качкыш
407,Nahrung::N,аҙыҡ,качкыш-йӱш
408,Speise::N,аш,няня
409,Fleisch::N,ит,пай
410,Getreide::N,иген,киндӹ
411,Getreide::N,ашлыҡ,киндӹ
412,Brei::N,бутҡа,шӹрӓш
413,Brot::N,икмәк,сыкыр
414,Scheibe::N,телем,ламыт
415,Scheibe::N,телем,лаштык
416,Fett::N,май,кая
417,Butter::N,май,ӱ
418,Öl::N,май буяуы,ӱ
419,Salz::N,тоҙ,санзал
420,Suppe::N,һурпа,лем
421,Honig::N,бал,мӱ
422,Milch::N,һөт,шӹшер
423,Tee::N,сәй,чӓй
424,Leder::N,күн,шарга
425,Leder::N,күн,кавашты
426,Wolle::N,йөн,миж
427,Stoff::N,туҡыма,матер
428,Stoff::N,туҡыма,матери
429,Nadel::N,энә,им
430,Faden::N,еп,шӹртӹ
431,Knopf::N,төймә,полдыш
432,Knoten::N,төйөн,пӱкшем
