,Concept_ID,ko,et
0,Auge::N,눈,silm
1,Ohr::N,귀,kõrv
2,Nase::N,코,nina
3,Mund::N,입,suu
4,Zahn::N,이,hammas
5,Zunge::N,혀,keel
6,Lippe::N,입술,huul
7,Wange::N,뺨,põsk
8,Gesicht::N,얼굴,nägu
9,Stirn::N,이마,otsmik
10,Haar::N,털,juus
11,Schnurrbart::N,윗수몀,vurrud
12,Schnurrbart::N,윗수몀,vuntsid
13,Schnurrbart::N,코밑수염,vurrud
14,Schnurrbart::N,코밑수염,vuntsid
15,Bart::N,수엄,habe
16,Kinn::N,아래턱,lõug
17,Kiefer[Anatomie]::N,턱,lõualuu
18,Kehle::N,인후,kõri
19,Hals::N,목,kael
20,Genick::N,먹덜이,kukal
21,Kopf::N,머리,pea
22,Rücken::N,든,selg
23,Bauch::N,배,kõht
24,Nabel::N,배꼽,naba
25,Busen::N,가슴속,rind
26,Brust::N,가슴,rind
27,Schulter::N,어깨,õlg
28,Arm::N,팔,käsivars
29,Ellenbogen::N,팔쿰치,küünarnukk
30,Hand::N,손,käsi
31,Handfläche::N,손바닥,pihk
32,Finger::N,속가락,sõrm
33,Fingernagel::N,손톱,küüs
34,Nagel[Anatomie]::N,손톱,küüs
35,Zeh::N,발가락,varvas
36,Fuß::N,발,jalg
37,Ferse::N,발꿈치,kand
38,Knie::N,무릎,põlv
39,Oberschenkel::N,허벅다리,reis
40,Bein::N,다리,jalg
41,Körper::N,구간,ihu
42,Körper::N,구간,keha
43,Haut::N,살갗,nahk
44,Blut::N,피,veri
45,Ader::N,정맥,veen
46,Sehne::N,현,kõõlus
47,Knochen::N,뼈,luu
48,Gehirn::N,뇌,aju
49,Gehirn::N,뇌수,aju
50,Herz::N,염통,süda
51,Magen::N,위,magu
52,Leber::N,간,maks
53,Atem::N,기식,hingeõhk
54,Atem::N,기식,hingamine
55,Hunger::N,공복,nälg
56,Träne::N,눈물,pisar
57,Geschmack::N,기호,maitse
58,Geruch::N,냄새,lõhn
59,Schlaf::N,수면,uni
60,Traum::N,쿰,unenägu
61,Himmel::N,하늘,taevas
62,Sonne::N,해,päike
63,Mond::N,달,kuu
64,Stern::N,별,täht
65,Luft::N,동준,õhk
66,Luft::N,가스채,õhk
67,Wind::N,바람,tuul
68,Welle::N,물결,laine
69,Wasser::N,물,vesi
70,Stein::N,돌,kivi
71,Boden::N,바닥,maa
72,Boden::N,바닥,pinnas
73,Erde::N,흙,maa
74,Staub::N,먼지,põrm
75,Rauch::N,연기,suits
76,Funke::N,불티,säde
77,Feuer::N,불,tuli
78,Licht::N,불,valgus
79,Schatten::N,어스레함,vari
80,Wetter::N,기상,ilm
81,Nebel::N,안개,udu
82,Wolke::N,구름,pilv
83,Regen::N,비,sadu
84,Schnee::N,눈,lumi
85,Eis::N,얼음,jää
86,Frost::N,혹한,pakane
87,Kälte::N,추위,külm
88,Kälte::N,추위,külmus
89,Kälte::N,차가움,külm
90,Kälte::N,차가움,külmus
91,Hitze::N,고온,kuumus
92,Hitze::N,고온,palavus
93,Hitze::N,더위,kuumus
94,Hitze::N,더위,palavus
