,Concept_ID,av,ar
0,Ohr::N,гӏин,أذن
1,Nase::N,мегӏер,أنف
2,Mund::N,кӏал,فم
3,Zahn::N,гӏус,سن
4,Zunge::N,мацӏ,لسان
5,Lippe::N,кӏветӏ,شفة
6,Wange::N,гӏоно,خد
7,Wange::N,гӏоно,وجنة
8,Gesicht::N,гьумер,وجه
9,Stirn::N,нодо,جبين
10,Haar::N,рас,شعر
11,Schnurrbart::N,михъ,شارب
12,Bart::N,мегеж,لحية
13,Kinn::N,нилъу,ذقن
14,Kiefer[Anatomie]::N,чанагъ,فك
15,Kehle::N,щекъер,حلق
16,Hals::N,габур,عنق
17,Hals::N,габур,رقبة
18,Genick::N,гъванща,قفا
19,Kopf::N,бетӏер,رأس
20,Rücken::N,мугъ,ظهر
21,Bauch::N,чехь,بطن
22,Nabel::N,цӏину,سرة
23,Busen::N,керен,ثدي
24,Brust::N,керен,صدر
25,Schulter::N,гъажазубетӏер,كتف
26,Arm::N,гъеж,ذراع
27,Ellenbogen::N,гӏункӏрукь,كوع
28,Hand::N,квер,يد
29,Handfläche::N,огъохъат,كف
30,Handfläche::N,жанисахъат,كف
31,Finger::N,килищ,إصبع
32,Fingernagel::N,малъ,ظفر
33,Nagel[Anatomie]::N,малъ,ظفر
34,Zeh::N,килищ,إصبع القدم
35,Fuß::N,хӏетӏ,قدم
36,Fuß::N,хӏетӏе,قدم
37,Ferse::N,эгъе,كعب
38,Knie::N,наку,ركبة
39,Oberschenkel::N,мачӏ,فخذ
40,Bein::N,бох,ساق
41,Körper::N,къаркъала,جسم
42,Haut::N,тӏом,بشرة
43,Blut::N,би,دم
44,Ader::N,бидурихь,عرق
45,Knochen::N,ракьа,عظم
46,Gehirn::N,гӏадалнах,دماغ
47,Herz::N,ракӏ,قلب
48,Magen::N,кванирукъ,معدة
49,Leber::N,тӏул,كبد
50,Atem::N,хӏухь,نفس
51,Hunger::N,ракъи,جوع
52,Träne::N,магӏу,دمعة
53,Geschmack::N,тату,طعم
54,Geschmack::N,тату,مذاق
55,Geruch::N,махӏ,رائحة
56,Schlaf::N,макьу,نوم
57,Schlaf::N,макьу,منام
58,Traum::N,макьу,حلم
59,Himmel::N,зоб,سماء
60,Sonne::N,бакъ,شمس
61,Mond::N,моцӏ,قمر
62,Stern::N,цӏва,نجم
63,Stern::N,цӏва,كوكب
64,Luft::N,гьава,هواء
65,Wind::N,гьури,ريح
66,Welle::N,карачел,موجة
67,Wasser::N,лъим,ماء
68,Stein::N,гьецӏо,حجر
69,Boden::N,ракь,تراب
70,Erde::N,ракь,أرض
71,Erde::N,дуниял,أرض
72,Staub::N,хӏур,غبار
73,Rauch::N,кӏкӏуй,دخان
74,Feuer::N,цӏа,نار
75,Licht::N,канлъи,نور
76,Licht::N,канлъи,ضوء
77,Schatten::N,рагӏад,ظل
78,Schatten::N,рагӏад,فيء
79,Wetter::N,гьава-бакъ,جو
80,Wetter::N,гьава-бакъ,طقس
81,Nebel::N,гӏодобнакӏкӏ,ضباب
82,Wolke::N,накӏкӏ,غيمة
83,Wolke::N,накӏкӏ,سحابة
84,Regen::N,цӏад,مطر
85,Schnee::N,гӏазу,ثلج
86,Eis::N,цӏер,جليد
87,Frost::N,замгьари,صقيع
88,Kälte::N,квач,برد
89,Hitze::N,багӏари,حر
90,Hitze::N,багӏари,حرارة
91,Raureif::N,мартӏ,صقيع
92,Regenbogen::N,нур,قوس قزح
93,Regenbogen::N,чамбара,قوس قزح
94,Donner::N,гъугъай,رعد
95,Donner::N,гъугъади,رعد
96,Strömung::N,чвахи,تيار
97,Tropfen::N,резел,قطرة
98,Tropfen::N,тӏинкӏ,قطرة
99,Tropfen::N,къатӏра,قطرة
100,Tropfen::N,тӏенкӏел,قطرة
101,Schaum::N,полоп,زبد
102,Schaum::N,полоп,رغوة
103,Schmutz::N,чороклъи,وسخ
104,See::N,хӏор,بحيرة
105,Sumpf::N,хьуцӏ,مستنقع
106,Wiese::N,мегъ,مرج
107,Wiese::N,гӏурдаллъи,مرج
108,Wald::N,рохь,غابة
109,Hügel::N,гохӏ,تل
110,Anhöhe::N,сийитма,تل
111,Berg::N,мегӏер,جبل
112,Gipfel::N,тӏогь,قمة
113,Höhle::N,нохъо,كهف
114,Abhang::N,лабаллъи,منحدر
115,Quelle::N,ицц,منبع
116,Bach::N,лъар,مجرى
117,Fluss::N,гӏор,نهر
118,Ufer::N,рагӏал,ضفة
119,Küste::N,рагӏал,ساحل
120,Festland::N,ракь,بر
121,Festland::N,ракъдаллъи,بر
122,Meer::N,ралъад,بحر
123,Bucht::N,кӏветӏ,خليج
124,Insel::N,чӏинкӏиллъи,جزيرة
125,Blume::N,тӏегь,زهرة
126,Gras::N,хер,حشيش
127,Wurzel::N,кьибил,أصل
128,Baum::N,гъветӏ,شجرة
129,Stamm::N,рохти,جذع
130,Rinde::N,макъар,قشرة
131,Ast::N,ноцӏ,فرع
132,Zweig::N,гӏаркьел,غصن
133,Blatt::N,тӏамах,ورقة
134,Birke::N,мах,قضبان
135,Birke::N,махигъветӏ,قضبان
136,Kiefer[Baum]::N,накӏкӏигъветӏ,صنوبرة
137,Weide[Baum]::N,рицӏцӏ,صفصاف
138,Weide[Baum]::N,рицӏцӏигъветӏ,صفصاف
139,Tanne::N,ёлка,شوح
140,Tanne::N,ёлка,تبوب
141,Horn::N,лълъар,قرن
142,Feder::N,хӏули,ريشة
143,Fell::N,тӏом,فرو
144,Fell::N,цӏоко,فرو
145,Flügel::N,кваркьи,جناح
146,Klaue::N,галъ,مخلب
147,Kralle::N,квачӏ,مخلب
148,Kralle::N,катиквачӏ,مخلب
149,Schwanz::N,рачӏ,ذيل
150,Ei::N,хоно,بيض
151,Nest::N,бусен,عش
152,Bau::N,каратӏ,جحر
153,Tier::N,хӏайван,حيوان
154,Herde::N,рехъен,قطيع
155,Herde::N,рехъед,قطيع
156,Kuh::N,гӏака,بقرة
157,Bulle::N,оц,ثور
158,Pferd::N,чу,خيل
159,Schaf::N,чахъу,شاة
160,Schwein::N,болъон,خنزير
161,Hund::N,гьой,كلب
162,Katze::N,кету,قطة
163,Bär::N,ци,دب
164,Eichhörnchen::N,гвангва,سنجاب
165,Fuchs::N,цер,ثعلب
166,Hase::N,гӏанкӏ,أرنب
167,Maus::N,гӏункӏкӏ,فأرة
168,Wolf::N,бацӏ,ذئب
169,Vogel::N,хӏинчӏ,طير
170,Schwarm::N,тӏел,سرب
171,Huhn::N,гӏанкӏу,دجاجة
172,Hahn::N,хӏелеко,ديك
173,Gans::N,хъаз,وزة
174,Adler::N,цӏум,نسر
175,Ente::N,ордек,بطة
176,Eule::N,беццаруз,بوم
177,Kranich::N,къункъра,كركي
178,Krähe::N,гъеду,غراب
179,Kuckuck::N,гагу,وقواق
180,Schwan::N,хӏанкъва,إوز عراقي
181,Fisch::N,ччугӏа,سمك
182,Barsch::N,окунь,فرخ أوربي
183,Hecht::N,щука,سمك الكراكي
184,Schlange[Tier]::N,борохь,حية
185,Schlange[Tier]::N,борохь,ثعبان
186,Wurm::N,хӏапара,دودة
187,Spinne::N,хъанхъра,عنكبوت
188,Ameise::N,цӏунцӏра,نملة
189,Laus::N,нацӏ,قملة
190,Mücke::N,кӏкӏара,ناموسة
191,Fliege::N,тӏутӏ,ذبابة
192,Schmetterling::N,кӏалкӏучӏ,فراشة
193,Apfel::N,гӏеч,تفاح
194,Pilz::N,гӏурдахӏан,فطر
195,Zwiebel::N,кӏочӏопер,بصل
196,Saat::N,хьон,زرع
197,Korn::N,мугь,حبة
198,Heu::N,хер,دريس
199,Schale::N,хъал,قشرة
200,Grube::N,гвенд,نقرة
201,Falle::N,къор,فخ
202,Falle::N,къор,مصيدة
203,Falle::N,къотен,فخ
204,Falle::N,къотен,مصيدة
205,Schlinge::N,кӏичӏ,عروة
206,Spur::N,лъалкӏ,أثر
207,Asche::N,рахъу,رماد
208,Dreck::N,гъиз,قذر
209,Dreck::N,хӏарщ,قذر
210,Eisen::N,махх,حديد
211,Gold::N,месед,ذهب
212,Silber::N,гӏарац,فضة
213,Kohle::N,тӏурччи,فحم
214,Glas::N,цӏер,زجاج
215,Lehm::N,хӏатӏ,طين
216,Sand::N,сали,رمل
217,Mensch::N,чи,إنسان
218,Mann::N,бихьинчи,رجل
219,Frau::N,гӏадан,امرأة
220,Kind::N,лъимер,طفل
221,Junge::N,вас,ولد
222,Mädchen::N,яс,بنت
223,Familie::N,хъизан,عائلة
224,Großvater::N,кӏудада,جد
225,Großmutter::N,кӏодо,جدة
226,Eltern::N,эбел-эмен,أبوان
227,Eltern::N,эбел-эмен,والدان
228,Vater::N,эмен,أب
229,Mutter::N,эбел,أم
230,Sohn::N,вас,إبن
231,Tochter::N,яс,بنت
232,Tochter::N,яс,إبنة
233,Bruder::N,вац,أخ
234,Bruder::N,вац,شقيق
235,Schwester::N,яц,أخت
236,Onkel::N,даци,عم
237,Tante::N,ада,عمة
238,Ehemann::N,рос,زوج
239,Ehefrau::N,чӏужу,زوجة
240,Freude::N,ракӏбохи,فرح
241,Freude::N,ракӏбохи,سرور
242,Gelächter::N,релъи,قهقهة
243,Glück::N,талихӏ,سعادة
244,Glück::N,талихӏ-рохел,سعادة
245,Kummer::N,хӏалкъай,غم
246,Wunsch::N,къасд,منية
247,Lust::N,гъира,شهوة
248,Geist::N,чӏанкӏ,روح
249,Geist::N,рухӏ-жан,روح
250,Gedanke::N,пикру,فكرة
251,Verstand::N,лумалъи,عقل
252,Verstand::N,цӏодорлъи,عقل
253,Sinn::N,магӏна,معنى
254,Grund::N,багьана,سبب
255,Wahrheit::N,ритӏухълъи,حقيقة
256,Gespräch::N,накъит,محادثة
257,Märchen::N,маргьа,خرافة
258,Erzählung::N,къиса,قصة
259,Erzählung::N,къиса,حكاية
260,Nachricht::N,хабар,خبر
261,Neuigkeit::N,хабар-гӏазаб,خبر جديد
262,Name::N,цӏар,اسم
263,Rätsel::N,бицанкӏо,لغز
264,Rede::N,речь,خطبة
265,Rede::N,калам,خطبة
266,Sprache::N,мацӏ,لغة
267,Stimme::N,гьаракь,صوت
268,Wort::N,рагӏи,كلمة
269,Zeichen::N,ишара,رمز
270,Zeichen::N,ишара,إشارة
271,Zeichen::N,гӏаламат,رمز
272,Zeichen::N,гӏаламат,إشارة
273,Ruf::N,ахӏи,نداء
274,Lärm::N,хъуй,صخب
275,Lärm::N,хъуй,ضجة
276,Lärm::N,хъуди,صخب
277,Lärm::N,хъуди,ضجة
278,Laut::N,гьаракь,صوت
279,Laut::N,сас,صوت
280,Lied::N,кечӏ,أغنية
281,Ruhe::N,рахӏат,هدوء
282,Leute::N,гӏадамал,ناس
283,Volk::N,халкъ,شعب
284,Arbeit::N,хӏалтӏи,عمل
285,Gast::N,гьобол,ضيف
286,Geschenk::N,сайигъат,هدية
287,Spiel::N,хӏай,لعب
288,Spiel::N,расанди,لعب
289,Gesellschaft::N,жамагӏат,صحبة
290,Hilfe::N,кумек,عون
291,Hilfe::N,кумек,مساعدة
292,Freund::N,гьудул,صديق
293,Kamerad::N,гьалмагъ,زميل
