,Concept_ID,hi,ro
0,Auge::N,आँख,ochi
1,Auge::N,चक्षु,ochi
2,Ohr::N,कान,ureche
3,Ohr::N,कर्ण,ureche
4,Nase::N,नाक,nas
5,Nase::N,नासा,nas
6,Mund::N,मुख,gură
7,Mund::N,मुँह,gură
8,Zahn::N,दंत,dinte
9,Zahn::N,दाँत,dinte
10,Zunge::N,जीभ,limbă
11,Zunge::N,ज़बान,limbă
12,Zunge::N,जिह्वा,limbă
13,Lippe::N,ओंठ,buză
14,Lippe::N,होंठ,buză
15,Wange::N,गाल,bucă
16,Wange::N,गाल,obraz
17,Wange::N,कपोल,bucă
18,Wange::N,कपोल,obraz
19,Gesicht::N,मुँह,față
20,Gesicht::N,मुँह,figură
21,Gesicht::N,चेहरा,față
22,Gesicht::N,चेहरा,figură
23,Stirn::N,माथा,frunte
24,Stirn::N,मस्तक,frunte
25,Haar::N,बाल,păr
26,Schnurrbart::N,मूँछें,mustață
27,Bart::N,दाढ़ी,barbă
28,Kinn::N,चिबुक,bărbie
29,Kiefer[Anatomie]::N,जबड़ा,falcă
30,Kehle::N,गला,beregată
31,Hals::N,गला,gât
32,Hals::N,गरदन,gât
33,Genick::N,गरदन,ceafă
34,Genick::N,ग्रीवा,ceafă
35,Kopf::N,सिर,cap
36,Kopf::N,शीर्ष,cap
37,Rücken::N,पीठ,dos
38,Rücken::N,पीठ,spate
39,Rücken::N,पीठ,spinare
40,Bauch::N,उदर,burtă
41,Bauch::N,उदर,pântece
42,Nabel::N,नाभि,buric
43,Nabel::N,ढोंढी,buric
44,Busen::N,कुच,sân
45,Busen::N,स्तन,sân
46,Brust::N,वक्ष,piept
47,Schulter::N,कंधा,umăr
48,Schulter::N,कंधा,spate
49,Schulter::N,स्कंध,umăr
50,Schulter::N,स्कंध,spate
51,Arm::N,बाँह,braț
52,Arm::N,बाज़ू,braț
53,Ellenbogen::N,कुहनी,cot
54,Hand::N,हाथ,mână
55,Hand::N,हस्त,mână
56,Handfläche::N,हथेली,palmă
57,Finger::N,उँगली,deget
58,Finger::N,अँगुली,deget
59,Fingernagel::N,नख,unghie
60,Fingernagel::N,नाख़ून,unghie
61,Nagel[Anatomie]::N,नख,unghie
62,Nagel[Anatomie]::N,नाख़ून,unghie
63,Zeh::N,उँगली,deget de la picior
64,Zeh::N,पाँव की उँगली,deget de la picior
65,Fuß::N,चरण,picior
66,Fuß::N,पाँव,picior
67,Ferse::N,एड़ी,călcâi
68,Knie::N,जानु,genunchi
69,Knie::N,घुटना,genunchi
70,Oberschenkel::N,उरु,coapsă
71,Bein::N,टाँग,picior
72,Körper::N,तन,corp
73,Körper::N,देह,corp
74,Körper::N,शरीर,corp
75,Haut::N,चर्म,piele
76,Haut::N,त्वचा,piele
77,Blut::N,लहू,sânge
78,Blut::N,ख़ून,sânge
79,Ader::N,रग,vână
80,Ader::N,रग,arteră
81,Ader::N,शिरा,vână
82,Ader::N,शिरा,arteră
83,Sehne::N,कंडरा,tendon
