,Concept_ID,ady,sk
0,Auge::N,нэ,oko
1,Ohr::N,тхьакӏу́м,ucho
2,Nase::N,пэ,nos
3,Mund::N,жэ,ústa
4,Zahn::N,цэ,zub
5,Zunge::N,бзэгу,jazyk
6,Lippe::N,ӏупшӏэ́,pera
7,Wange::N,нэкӏу́шъу,líce
8,Gesicht::N,нэ́гу,tvár
9,Gesicht::N,нэ́гу,obličaj
10,Stirn::N,натӏэ́,čelo
11,Haar::N,шъхьацы́,vlas
12,Bart::N,жакӏэ́,brada
13,Kinn::N,жэкӏэпэпкъ,brada
14,Kiefer[Anatomie]::N,жэпкъы́,čeľusť
15,Kehle::N,чый,hrdlo
16,Hals::N,пшъэ,krk
17,Genick::N,шъхьэпхэтыку,väzy
18,Kopf::N,шъхьэ́,hlava
19,Rücken::N,кӏыбы́,chrbát
20,Bauch::N,ныбэ́,brucho
21,Busen::N,бгъэ́,prsia
22,Brust::N,бгъэ́,hruď
23,Schulter::N,блыпкъ,plece
24,Arm::N,ӏэ,rameno
25,Ellenbogen::N,ӏэнтэ́гъу,lakeť
26,Hand::N,ӏэтхьэцу,ruka
27,Handfläche::N,ӏэ́гу,dlaň
28,Finger::N,ӏэхъуа́мб,prst
29,Fingernagel::N,ӏэбжъа́н,necht
30,Nagel[Anatomie]::N,ӏэбжъа́н,necht
31,Zeh::N,ӏэхъуа́мб,prst na nohe
32,Fuß::N,лъэгу,noha
33,Ferse::N,лъэдакъэ,päta
34,Knie::N,лъагуа́ндж,koleno
35,Oberschenkel::N,ко,stehno
36,Bein::N,лъакъо́,noha
37,Körper::N,пкъышъол,telo
38,Haut::N,кӏы́шъу,koža
39,Blut::N,лъы,krv
40,Ader::N,льытф,žila
41,Sehne::N,фэ,šľacha
42,Knochen::N,къупшъхьэ́,kosť
43,Gehirn::N,куцӏы,mozog
44,Herz::N,гу,srdce
45,Magen::N,мышкӏу,žalúdok
46,Leber::N,шӏу,pečeň
47,Atem::N,къэщэныр,dych
48,Hunger::N,гъаблэ́,hlad
49,Träne::N,нэпсы,slza
50,Geschmack::N,ӏэшӏугъа́кӏ,chuť
51,Geruch::N,мэ,pach
52,Schlaf::N,пчыхьы́пӏ,spánok
53,Traum::N,пчыхьы́пӏ,sen
54,Himmel::N,уашъо́,nebo
55,Sonne::N,тыгъэ,slnko
56,Mond::N,мазэ,mesiac
57,Stern::N,жъуагъо́,hviezda
58,Luft::N,жьы,vzduch
59,Wind::N,жьыбгъэ́,vietor
60,Welle::N,ор,vlna
61,Welle::N,оры,vlna
62,Wasser::N,псы,voda
63,Stein::N,мыжъо́,kameň
64,Boden::N,чӏ́ыгу,zem
65,Boden::N,чӏ́ыгу,pôda
66,Erde::N,чӏ́ыгу,zem
67,Staub::N,сап,prach
68,Rauch::N,ӏугъо́,dym
69,Funke::N,мэшӏуа́ч,iskra
70,Feuer::N,машӏо́,oheň
71,Licht::N,нэфы,svetlo
72,Licht::N,нэфын,svetlo
73,Schatten::N,жьау́,tieň
74,Schatten::N,ныбжьыкъу,tieň
75,Nebel::N,пща́гъу,hmla
76,Wolke::N,ошъуапщэ,oblak
77,Wolke::N,ошъуапщэ,mračno
78,Regen::N,ощхы,dážď
79,Schnee::N,осы́,sneh
80,Eis::N,мылы,ľad
81,Kälte::N,чъыӏэ́,zima
82,Kälte::N,чъыӏэ́,chlad
83,Hitze::N,фэба́е,horúčava
84,Regenbogen::N, лэгъупэкъо́пс,dúha
85,Donner::N,шыблэ́,hrom
86,Strömung::N,ток,prúdenie
87,Tropfen::N,ткӏопс,kvapka
88,Tropfen::N,гъуаткӏу,kvapka
89,Schaum::N,тхъурбэ,pena
90,Schmutz::N,псынжъы,špina
91,Schmutz::N,псынжъы,nečistota
92,See::N,хыку́м,jazero
93,See::N,псыхъура́й,jazero
94,Sumpf::N,орыжъ,bahno
95,Moor::N,орыжъ,močiar
96,Wiese::N,хъупӏэ́,lúka
97,Wiese::N,мэкъупӏ,lúka
98,Wald::N,мэзы́,les
99,Wald::N,мэзы́,hora
100,Hügel::N,ӏуашъхь,vŕšok
101,Anhöhe::N,чӏыӏэтыгъ,výšina
