,Concept_ID,fi,it
0,Auge::N,silmä,occhio
1,Ohr::N,korva,orecchio
2,Nase::N,nenä,naso
3,Mund::N,suu,bocca
4,Zahn::N,hammas,dente
5,Zunge::N,kieli,lingua
6,Lippe::N,huuli,labbro
7,Wange::N,poski,guancia
8,Gesicht::N,naama,viso
9,Gesicht::N,naama,faccia
10,Gesicht::N,kasvot,viso
11,Gesicht::N,kasvot,faccia
12,Stirn::N,otsa,fronte
13,Haar::N,hius,capello
14,Haar::N,tukka,capello
15,Schnurrbart::N,viikset,baffi
16,Schnurrbart::N,viikset,mustacchi
17,Bart::N,parta,barba
18,Kinn::N,leuka,mento
19,Kiefer[Anatomie]::N,leukaluu,mascella
20,Kehle::N,kurkku,gola
21,Hals::N,kaula,collo
22,Genick::N,niska,nuca
23,Kopf::N,pää,capo
24,Kopf::N,pää,testa
25,Rücken::N,selkä,dorso
26,Rücken::N,selkä,schiena
27,Bauch::N,maha,ventre
28,Bauch::N,vatsa,ventre
29,Nabel::N,napa,ombelico
30,Busen::N,rinta,seno
31,Brust::N,rinta,petto
32,Schulter::N,olka,spalla
33,Schulter::N,hartia,spalla
34,Schulter::N,olkapää,spalla
35,Arm::N,käsivarsi,braccio
36,Ellenbogen::N,kyynärpää,gomito
37,Hand::N,käsi,mano
38,Handfläche::N,kämmen,palma
39,Finger::N,sormi,dito
40,Fingernagel::N,kynsi,unghia
41,Nagel[Anatomie]::N,kynsi,unghia
42,Zeh::N,varvas,dito del piede
43,Fuß::N,jalka,piede
44,Ferse::N,kantapää,tallone
45,Ferse::N,kantapää,calcagno
46,Knie::N,polvi,ginocchio
47,Oberschenkel::N,reisi,fèmore
48,Bein::N,jalka,gamba
49,Körper::N,keho,corpo
50,Körper::N,ruumis,corpo
51,Haut::N,iho,pelle
52,Blut::N,veri,sangue
53,Ader::N,suoni,vena
54,Sehne::N,jänne,tèndine
55,Knochen::N,luu,osso
56,Gehirn::N,aivot,cervello
57,Herz::N,sydän,cuore
58,Magen::N,maha,stòmaco
59,Magen::N,vatsa,stòmaco
60,Leber::N,maksa,fegato
61,Atem::N,henki,fiato
62,Atem::N,henki,respiro
63,Atem::N,hengitys,fiato
64,Atem::N,hengitys,respiro
65,Hunger::N,nälkä,fame
66,Träne::N,kyynel,làcrima
67,Geschmack::N,maku,gusto
68,Geschmack::N,maku,sapore
69,Geruch::N,haju,odore
70,Schlaf::N,uni,sonno
71,Traum::N,uni,sogno
72,Himmel::N,taivas,cielo
73,Sonne::N,aurinko,sole
74,Mond::N,kuu,luna
75,Stern::N,tähti,stella
76,Luft::N,ilma,aria
77,Wind::N,tuuli,vento
78,Welle::N,aalto,onda
79,Wasser::N,vesi,acqua
80,Stein::N,kivi,sasso
81,Stein::N,kivi,pietra
82,Boden::N,maa,suolo
83,Boden::N,maa,terreno
84,Boden::N,maaperä,suolo
85,Boden::N,maaperä,terreno
86,Erde::N,maa,terra
87,Staub::N,pöly,polvere
88,Rauch::N,savu,fumo
89,Funke::N,kipinä,scintilla
90,Feuer::N,tuli,fuoco
91,Licht::N,valo,luce
92,Schatten::N,varjo,ombra
93,Wetter::N,sää,tempo
94,Nebel::N,sumu,nebbia
95,Wolke::N,pilvi,nube
96,Wolke::N,pilvi,nùvola
97,Regen::N,sade,pioggia
98,Schnee::N,lumi,neve
99,Eis::N,jää,ghiaccio
100,Frost::N,halla,gelo
101,Frost::N,pakkanen,gelo
102,Kälte::N,vilu,freddo
103,Kälte::N,kylmyys,freddo
104,Hitze::N,helle,caldo
105,Hitze::N,helle,calura
106,Hitze::N,kuumuus,caldo
107,Hitze::N,kuumuus,calura
108,Raureif::N,huurre,brina
109,Regenbogen::N,sateenkaari,arcobaleno
110,Donner::N,jyrinä,tuono
111,Strömung::N,virtaus,corrente
112,Tropfen::N,tippa,goccia
113,Tropfen::N,pisara,goccia
114,Schaum::N,vaahto,spuma
115,Schaum::N,vaahto,schiuma
116,Schmutz::N,loka,sudiciume
117,See::N,järvi,lago
118,Sumpf::N,suo,palude
119,Moor::N,räme,torbiera
120,Wiese::N,niitty,prato
