,Concept_ID,mn,it
0,Auge::N,нүд,occhio
1,Ohr::N,чих,orecchio
2,Nase::N,хамар,naso
3,Mund::N,ам,bocca
4,Zahn::N,шүд,dente
5,Zunge::N,хэл,lingua
6,Lippe::N,уруул,labbro
7,Wange::N,хацар,guancia
8,Gesicht::N,царай,viso
9,Gesicht::N,царай,faccia
10,Gesicht::N,нүүр,viso
11,Gesicht::N,нүүр,faccia
12,Stirn::N,дух,fronte
13,Haar::N,үс,capello
14,Schnurrbart::N,дээд сахал,baffi
15,Schnurrbart::N,дээд сахал,mustacchi
16,Schnurrbart::N,живэр сахал,baffi
17,Schnurrbart::N,живэр сахал,mustacchi
18,Bart::N,сахал,barba
19,Kinn::N,эрүү,mento
20,Kiefer[Anatomie]::N,эрүү,mascella
21,Kehle::N,хоолой,gola
22,Hals::N,хүзүү,collo
23,Genick::N,шил,nuca
24,Genick::N,хүзүү,nuca
25,Kopf::N,толгой,capo
26,Kopf::N,толгой,testa
27,Rücken::N,ар,dorso
28,Rücken::N,ар,schiena
29,Rücken::N,нуруу,dorso
30,Rücken::N,нуруу,schiena
31,Bauch::N,хэвлий,ventre
32,Bauch::N,гэдэс,ventre
33,Nabel::N,хүйс,ombelico
34,Busen::N,хөх,seno
35,Brust::N,цээж,petto
36,Schulter::N,мөр,spalla
37,Schulter::N,бугалга,spalla
38,Arm::N,гар,braccio
39,Ellenbogen::N,тохой,gomito
40,Hand::N,гар,mano
41,Hand::N,алга,mano
42,Handfläche::N,алга,palma
43,Finger::N,хуруу,dito
44,Fingernagel::N,хурууны хумс,unghia
45,Nagel[Anatomie]::N,хумс,unghia
46,Zeh::N,хуруу,dito del piede
47,Fuß::N,хөл,piede
48,Ferse::N,өсгий,tallone
49,Ferse::N,өсгий,calcagno
50,Knie::N,өвдөг,ginocchio
51,Oberschenkel::N,гуя,fèmore
52,Bein::N,хөл,gamba
53,Körper::N,бие,corpo
54,Haut::N,арьс,pelle
55,Blut::N,цус,sangue
56,Ader::N,судас,vena
57,Sehne::N,бүлх,tèndine
58,Sehne::N,шандас,tèndine
59,Knochen::N,яс,osso
60,Gehirn::N,тархи,cervello
61,Herz::N,зүрх,cuore
62,Magen::N,ходоод,stòmaco
63,Leber::N,элэг,fegato
64,Atem::N,амьсгаа,fiato
65,Atem::N,амьсгаа,respiro
66,Hunger::N,өлсгөлөн,fame
67,Träne::N,нулимс,làcrima
68,Geschmack::N,амт,gusto
69,Geschmack::N,амт,sapore
70,Geruch::N,үнэр,odore
71,Schlaf::N,нойр,sonno
72,Traum::N,зүүд,sogno
73,Himmel::N,тэнгэр,cielo
74,Himmel::N,огторгуй,cielo
75,Sonne::N,нар,sole
76,Mond::N,сар,luna
77,Stern::N,од,stella
78,Luft::N,агаар,aria
79,Wind::N,салхи,vento
80,Welle::N,долгио,onda
81,Welle::N,давалгаа,onda
82,Wasser::N,ус,acqua
83,Stein::N,чулуу,sasso
84,Stein::N,чулуу,pietra
85,Boden::N,хөрс,suolo
86,Boden::N,хөрс,terreno
87,Erde::N,газар,terra
88,Erde::N,шороо,terra
89,Staub::N,тоос,polvere
90,Rauch::N,утаа,fumo
91,Funke::N,оч,scintilla
92,Feuer::N,гал,fuoco
93,Licht::N,гэрэл,luce
94,Licht::N,гэгээ,luce
95,Schatten::N,сүүдэр,ombra
96,Wetter::N,тэнгэр,tempo
97,Wetter::N,цаг уур,tempo
98,Nebel::N,будан,nebbia
99,Wolke::N,үүл,nube
100,Wolke::N,үүл,nùvola
101,Regen::N,бороо,pioggia
102,Schnee::N,цас,neve
103,Eis::N,мөс,ghiaccio
104,Frost::N,хүйт,gelo
105,Kälte::N,хүйт,freddo
106,Hitze::N,халуун,caldo
107,Hitze::N,халуун,calura
108,Raureif::N,цан,brina
109,Raureif::N,хяруу,brina
110,Regenbogen::N,солонго,arcobaleno
111,Donner::N,тэнгэрийн дуу,tuono
112,Strömung::N,урсгал,corrente
113,Tropfen::N,дусал,goccia
114,Schaum::N,хөөс,spuma
115,Schaum::N,хөөс,schiuma
116,Schmutz::N,хир,sudiciume
117,Schmutz::N,шавхай,sudiciume
118,See::N,нуур,lago
119,Sumpf::N,намаг,palude
120,Sumpf::N,балчиг,palude
121,Moor::N,хүлрийн намаг,torbiera
122,Wiese::N,нуга,prato
123,Wald::N,ой,bosco
124,Wald::N,ой,foresta
125,Hügel::N,болдог,colle
126,Hügel::N,болдог,collina
127,Anhöhe::N,гүвээ,altura
128,Berg::N,уул,monte
129,Berg::N,уул,montagna
130,Gipfel::N,орой,cima
131,Gipfel::N,оргил,cima
132,Höhle::N,агуй,grotta
133,Höhle::N,агуй,caverna
134,Abhang::N,хүр,pendìo
135,Quelle::N,булаг,sorgente
136,Bach::N,горхи,ruscello
137,Fluss::N,гол,fiume
138,Fluss::N,мөрөн,fiume
139,Ufer::N,эрэг,riva
140,Küste::N,эрэг,costa
141,Festland::N,хуурай газар,terraferma
142,Meer::N,далай,mare
143,Meer::N,тэнгис,mare
144,Bucht::N,булан,cala
145,Bucht::N,далайн тохой,cala
146,Insel::N,арал,ìsola
147,Blume::N,цэцэг,fiore
148,Gras::N,өвс,erba
149,Gras::N,ногоо,erba
150,Wurzel::N,үндэс,radice
151,Baum::N,мод,àlbero
152,Stamm::N,иш,tronco
153,Stamm::N,гуалин,tronco
154,Rinde::N,холтос,corteccia
155,Ast::N,гишүү,ramo
156,Zweig::N,салаа,ramo
157,Blatt::N,навч,foglia
158,Birke::N,хус,betulla
159,Kiefer[Baum]::N,нарс,pino
160,Weide[Baum]::N,уд,sàlice
161,Weide[Baum]::N,бургас,sàlice
162,Tanne::N,гачуур,abete
163,Horn::N,эвэр,corno
164,Feder::N,өд,penna
165,Fell::N,арьс,manto
166,Fell::N,арьс,pelame
167,Flügel::N,жигүүр,ala
168,Flügel::N,далавч,ala
169,Klaue::N,савар,grinfia
170,Klaue::N,хумс,grinfia
171,Kralle::N,савар,unghia
172,Kralle::N,савар,artiglio
173,Schwanz::N,сүүл,coda
174,Ei::N,өндөг,uovo
175,Nest::N,үүр,nido
176,Bau::N,нүх,covo
177,Bau::N,элүү,covo
178,Tier::N,амьтан,bestia
179,Tier::N,амьтан,animale
180,Tier::N,адгуус,bestia
181,Tier::N,адгуус,animale
182,Herde::N,сүрэг,gregge
183,Kuh::N,үнээ,vacca
184,Bulle::N,бух,toro
185,Pferd::N,морь,cavallo
186,Pferd::N,адуу,cavallo
187,Schaf::N,хонь,pècora
188,Schwein::N,гахай,porco
189,Schwein::N,гахай,maiale
190,Hund::N,нохой,cane
191,Katze::N,муур,gatta
192,Katze::N,мигуй,gatta
193,Bär::N,баавгай,orso
194,Eichhörnchen::N,хэрэм,scoiàttolo
195,Elch::N,хандгай,alce
196,Fuchs::N,үнэг,volpe
197,Hase::N,туулай,lepre
198,Maus::N,хулгана,topo
199,Maus::N,хулгана,sorcio
200,Wolf::N,чоно,lupo
201,Vogel::N,шувуу,uccello
202,Schwarm::N,сүрэг,stormo
203,Huhn::N,тахиа,gallina
204,Hahn::N,эр тахиа,gallo
205,Gans::N,галуу,oca
206,Adler::N,бүргэд,àquila
207,Ente::N,нугас,ànatra
208,Eule::N,ууль,gufo
209,Eule::N,ууль,civetta
210,Kranich::N,тогоруу,gru
211,Krähe::N,хэрээ,cornacchia
212,Kuckuck::N,хөхөө,cuccù
213,Kuckuck::N,хөхөө,cùculo
214,Schwan::N,хун,cigno
215,Fisch::N,загас,pesce
216,Barsch::N,алгана,pèrsico
217,Hecht::N,цурхай,luccio
218,Schlange[Tier]::N,могой,serpente
219,Wurm::N,өт,baco
220,Wurm::N,өт,verme
221,Wurm::N,хорхой,baco
222,Wurm::N,хорхой,verme
223,Spinne::N,аалз,ragno
224,Ameise::N,шоргоолж,formica
225,Laus::N,бөөс,pidocchio
226,Mücke::N,шумуул,zanzara
227,Fliege::N,ялаа,mosca
228,Schmetterling::N,эрвээхэй,farfalla
229,Beere::N,жимсгэнэ,bacca
230,Apfel::N,алим,mela
231,Pilz::N,мөөг,fungo
232,Zwiebel::N,сонгино,cipolla
233,Saat::N,тариа,semente
234,Korn::N,үр,grano
235,Korn::N,мөхлөг,grano
236,Heu::N,өвс,fieno
237,Schale::N,хальс,buccia
238,Grube::N,алам,cava
239,Grube::N,алам,fossa
240,Grube::N,нүх,cava
241,Grube::N,нүх,fossa
242,Falle::N,хавх,tràppola
243,Falle::N,занга,tràppola
244,Schlinge::N,урхи,laccio
245,Spur::N,мөр,traccia
246,Asche::N,үнс,cenere
247,Dreck::N,хир,fango
248,Eisen::N,төмөр,ferro
249,Gold::N,алт,oro
250,Silber::N,мөнгө,argento
251,Kohle::N,нүүрс,carbone
252,Glas::N,шил,vetro
253,Lehm::N,шавар,argilla
254,Sand::N,элс,arena
255,Sand::N,элс,sabbia
256,Mensch::N,хүн,uomo
257,Mensch::N,хүн,èssere umano
258,Mann::N,эр,uomo
259,Mann::N,эрэгтэй,uomo
260,Frau::N,эмэгтэй,donna
261,Frau::N,хатагтай,donna
262,Kind::N,хүүхэд,bambino
263,Junge::N,хүү,ragazzo
264,Mädchen::N,охин,ragazza
265,Mädchen::N,бүсгүй,ragazza
266,Familie::N,айл,famiglia
267,Großvater::N,өвгөн аав,nonno
268,Großmutter::N,эмэг эх,nonna
269,Großmutter::N,эмгээ,nonna
270,Eltern::N,эцэг эх,genitori
271,Vater::N,аав,padre
272,Vater::N,эцэг,padre
273,Mutter::N,эх,madre
274,Mutter::N,ээж,madre
275,Sohn::N,хүү,figlio
276,Tochter::N,охин,figlia
277,Bruder::N,ах,fratello
278,Bruder::N,дүү,fratello
279,Schwester::N,эгч,sorella
280,Schwester::N,охин дүү,sorella
281,Onkel::N,авга ах,zio
282,Onkel::N,нагац ах,zio
283,Tante::N,авга эгч,zia
284,Tante::N,нагац эгч,zia
285,Ehemann::N,нөхөр,marito
286,Ehefrau::N,эхнэр,moglie
287,Ehefrau::N,гэргий,moglie
288,Freude::N,баяр,gioia
289,Freude::N,баяр,piacere
290,Freude::N,баясгалан,gioia
291,Freude::N,баясгалан,piacere
292,Gelächter::N,инээдэм,risata
293,Glück::N,жаргалан,felicità
294,Kummer::N,гаслан,afflizione
295,Wunsch::N,ерөөл,desiderio
296,Lust::N,дур,voglia
297,Lust::N,хүсэл,voglia
298,Geist::N,оюун,mente
299,Geist::N,оюун,spìrito
300,Gedanke::N,сэтгэл,idea
301,Gedanke::N,сэтгэл,pensiero
302,Gedächtnis::N,ой,memoria
303,Gedächtnis::N,цээж,memoria
304,Verstand::N,ухаан,intelletto
305,Sinn::N,утга,senso
306,Sinn::N,утга,significato
307,Grund::N,учир,causa
308,Grund::N,учир,motivo
309,Grund::N,учир,ragione
310,Wahrheit::N,үнэн,verità
311,Gespräch::N,яриа,discorso
312,Gespräch::N,яриа,conversazione
313,Märchen::N,явган үлгэр,fiaba
314,Märchen::N,явган үлгэр,fàvola
315,Erzählung::N,тууж,racconto
316,Erzählung::N,тууж,narrazione
317,Nachricht::N,мэдээ,messaggio
318,Neuigkeit::N,сонин,notizia
319,Name::N,нэр,nome
320,Rätsel::N,оньсого,indovinello
321,Rede::N,хэлсэн үг,discorso
322,Sprache::N,хэл,lingua
323,Sprache::N,хэл,linguaggio
324,Stimme::N,дуу,voce
325,Wort::N,үг,parola
326,Zeichen::N,тамга,segno
327,Zeichen::N,тамга,segnale
328,Zeichen::N,тэмдэг,segno
329,Zeichen::N,тэмдэг,segnale
330,Ruf::N,дуудлага,chiamata
331,Lärm::N,шуугиан,chiasso
332,Lärm::N,шуугиан,strèpito
333,Lärm::N,чимээ,chiasso
334,Lärm::N,чимээ,strèpito
335,Laut::N,анир,suono
336,Laut::N,дуу,suono
337,Ton::N,авиа,tono
338,Ton::N,аялгуу,tono
339,Lied::N,дуу,canto
340,Lied::N,дуу,canzone
341,Ruhe::N,энх,calma
342,Ruhe::N,энх,tranquillità
343,Ruhe::N,тайван,calma
344,Ruhe::N,тайван,tranquillità
345,Leute::N,хүмүүс,gente
346,Volk::N,улс,pòpolo
347,Arbeit::N,ажил,lavoro
348,Arbeit::N,хөдөлмөр,lavoro
349,Gast::N,зочин,òspite
350,Gast::N,зочин,invitato
351,Gast::N,айлчин,òspite
352,Gast::N,айлчин,invitato
353,Geschenk::N,бэлэг,regalo
354,Spiel::N,наадам,gioco
355,Spiel::N,тоглоом,gioco
356,Gesellschaft::N,хамт байх,compagnìa
357,Hilfe::N,тусламж,aiuto
358,Hilfe::N,тусламж,soccorso
359,Freund::N,найз,amico
360,Freund::N,нөхөр,amico
361,Kamerad::N,хань,camerata
362,Kamerad::N,нөхөр,camerata
363,Angelegenheit::N,хэрэг,affare
364,Angelegenheit::N,хэрэг,faccenda
365,Anzahl::N,тоо,nùmero
366,Anzahl::N,тоо,quantità
367,Art::N,төрөл,tipo
368,Art::N,төрөл,specie
369,Art::N,янз,tipo
370,Art::N,янз,specie
371,Stück::N,хэсэг,pezzo
372,Teil::N,хувь,parte
373,Teil::N,хэсэг,parte
374,Hälfte::N,хагас,metà
375,Kreis::N,тойрог,cìrcolo
376,Kreis::N,хүрээ,cìrcolo
377,Kreuz::N,загалмай,croce
378,Linie::N,шугам,lìnea
379,Strich::N,зураас,tratto
380,Abstand::N,зай,distanza
381,Entfernung::N,зай,distanza
382,Entfernung::N,зай,lontananza
383,Entfernung::N,хол ойр,distanza
384,Entfernung::N,хол ойр,lontananza
385,Gegend::N,хавь,regione
386,Gegend::N,газар,regione
387,Platz::N,зай,posto
388,Platz::N,зай,spazio
389,Platz::N,завсар,posto
390,Platz::N,завсар,spazio
391,Ort::N,газар,luogo
392,Ort::N,газар,località
393,Ort::N,байр,luogo
394,Ort::N,байр,località
395,Seite::N,тал,lato
396,Seite::N,тал,parte
397,Seite::N,этгээд,lato
398,Seite::N,этгээд,parte
399,Mitte::N,төв,mezzo
400,Mitte::N,төв,centro
401,Mitte::N,дунд,mezzo
402,Mitte::N,дунд,centro
403,Gegenstand::N,юм,oggetto
404,Sache::N,үйл,cosa
405,Sache::N,хэрэг,cosa
406,Rand::N,зах,orlo
407,Rand::N,зах,bordo
408,Rand::N,хөвөө,orlo
409,Rand::N,хөвөө,bordo
410,Kante::N,ирмэг,spìgolo
411,Ecke::N,өнцөг,canto
412,Spitze::N,үзүүр,punta
413,Ende::N,зах,capo
414,Ende::N,зах,estremità
415,Ende::N,үзүүр,capo
416,Ende::N,үзүүр,estremità
417,Loch::N,цоорхой,buco
418,Loch::N,онгорхой,buco
419,Winkel::N,өнцөг,àngolo
420,Muster::N,хээ,disegno
421,Muster::N,угалз,disegno
422,Größe::N,хэмжээ,taglia
423,Größe::N,хэмжээ,grandezza
424,Länge::N,урт,lunghezza
425,Höhe::N,өндөр,altezza
426,Gewicht::N,жин,peso
427,Menge::N,тоо,quantità
428,Haufen::N,бөөн,cùmulo
429,Haufen::N,бөөн,mucchio
