,Concept_ID,,sv
0,Auge::N,,öga
1,Ohr::N,,öra
2,Nase::N,,näsa
3,Mund::N,,mun
4,Zahn::N,,tand
5,Zunge::N,,tunga
6,Lippe::N,,läpp
7,Wange::N,,kind
8,Gesicht::N,,syn
9,Gesicht::N,,ansikte
10,Stirn::N,,panna
11,Haar::N,,hår
12,Schnurrbart::N,,mustasch
13,Bart::N,,skägg
14,Kinn::N,,haka
15,Kiefer[Anatomie]::N,,käke
16,Kehle::N,,strupe
17,Hals::N,,hals
18,Genick::N,,nacke
19,Kopf::N,,huvud
20,Rücken::N,,rygg
21,Bauch::N,,buk
22,Bauch::N,,mage
23,Nabel::N,,navel
24,Busen::N,,barm
25,Brust::N,,bröst
26,Schulter::N,,skuldra
27,Arm::N,,arm
28,Ellenbogen::N,,armbåge
29,Hand::N,,hand
30,Handfläche::N,,handflata
31,Finger::N,,finger
32,Fingernagel::N,,fingernagel
33,Nagel[Anatomie]::N,,nagel
34,Zeh::N,,tå
35,Fuß::N,,fot
36,Ferse::N,,häl
37,Knie::N,,knä
38,Oberschenkel::N,,lår
39,Bein::N,,ben
40,Körper::N,,kropp
41,Haut::N,,hud
42,Haut::N,,skinn
43,Blut::N,,blod
44,Ader::N,,åder
45,Sehne::N,,sena
46,Knochen::N,,ben
47,Gehirn::N,,hjärna
48,Herz::N,,hjärta
49,Magen::N,,mage
50,Leber::N,,lever
51,Atem::N,,anda
52,Atem::N,,andedräkt
53,Hunger::N,,svält
54,Hunger::N,,hunger
55,Träne::N,,tår
56,Geschmack::N,,smak
57,Geruch::N,,lukt
58,Schlaf::N,,sömn
59,Traum::N,,dröm
60,Himmel::N,,himmel
61,Sonne::N,,sol
62,Mond::N,,måne
63,Stern::N,,stjärna
64,Luft::N,,luft
65,Wind::N,,vind
66,Welle::N,,våg
67,Welle::N,,bölja
68,Wasser::N,,vatten
69,Stein::N,,sten
70,Boden::N,,mark
71,Erde::N,,jord
72,Staub::N,,damm
73,Rauch::N,,rök
74,Funke::N,,gnista
75,Feuer::N,,eld
76,Licht::N,,ljus
77,Schatten::N,,skugga
78,Wetter::N,,väder
79,Nebel::N,,dimma
80,Nebel::N,,töcken
81,Wolke::N,,sky
82,Wolke::N,,moln
83,Regen::N,,regn
84,Schnee::N,,snö
85,Eis::N,,is
86,Frost::N,,frost
87,Kälte::N,,köld
88,Hitze::N,,hetta
89,Raureif::N,,rimfrost
90,Regenbogen::N,,regnbåge
91,Donner::N,,åska
92,Donner::N,,dunder
93,Strömung::N,,strömning
94,Tropfen::N,,dropper
95,Schaum::N,,skum
96,Schmutz::N,,lort
97,Schmutz::N,,smuts
98,See::N,,sjö
99,Sumpf::N,,träsk
100,Moor::N,,myr
101,Moor::N,,mosse
102,Wiese::N,,äng
103,Wald::N,,skog
104,Hügel::N,,höjd
105,Hügel::N,,kulle
106,Anhöhe::N,,höjd
107,Anhöhe::N,,backe
108,Berg::N,,berg
109,Berg::N,,fjäll
110,Gipfel::N,,topp
111,Höhle::N,,håla
112,Höhle::N,,grotta
113,Abhang::N,,slänt
114,Abhang::N,,sluttning
115,Quelle::N,,källa
