,Concept_ID,uk,es
0,Auge::N,око,ojo
1,Ohr::N,вухо,oreja
2,Nase::N,ніс,nariz
3,Mund::N,рот,boca
4,Zahn::N,зуб,diente
5,Zunge::N,язик,lengua
6,Lippe::N,губа,labio
7,Wange::N,щока,mejilla
8,Gesicht::N,обличчя,cara
9,Stirn::N,лоб,frente
10,Haar::N,волосся,cabello
11,Schnurrbart::N,вуса,bigote
12,Bart::N,борода,barba
13,Kinn::N,підборіддя,barbilla
14,Kiefer[Anatomie]::N,щелепа,mandíbula
15,Kehle::N,горло,garganta
16,Hals::N,шия,cuello
17,Genick::N,потилиця,nuca
18,Genick::N,потилиця,cerviz
19,Kopf::N,голова,cabeza
20,Rücken::N,спина,espalda
21,Bauch::N,живіт,vientre
22,Nabel::N,пупок,ombligo
23,Busen::N,груди,pecho
24,Brust::N,груди,pecho
25,Schulter::N,плече,hombro
26,Arm::N,рука,brazo
27,Ellenbogen::N,лікоть,codo
28,Hand::N,рука,mano
29,Handfläche::N,долоня,palma
30,Finger::N,палець,dedo
31,Fingernagel::N,ніготь,uña
32,Nagel[Anatomie]::N,ніготь,uña
33,Zeh::N,палець на нозі,dedo del pie
34,Fuß::N,нога,pie
35,Ferse::N,п’ятка,talón
36,Knie::N,коліно,rodilla
37,Oberschenkel::N,стегно,muslo
38,Bein::N,нога,pierna
39,Körper::N,тіло,cuerpo
40,Haut::N,шкіра,piel
41,Blut::N,кров,sangre
42,Ader::N,вена,vena
43,Sehne::N,сухожилля,tendón
44,Knochen::N,кістка,hueso
45,Gehirn::N,мозок,cerebro
46,Gehirn::N,мозок,encéfalo
47,Herz::N,серце,corazón
48,Magen::N,шлунок,estómago
49,Leber::N,печінка,hígado
50,Atem::N,дихання,aliento
51,Hunger::N,голод,hambre
52,Träne::N,сльоза,lágrima
53,Geschmack::N,смак,gusto
54,Geruch::N,запах,olor
55,Schlaf::N,сон,sueño
56,Schlaf::N,сплячка,sueño
57,Traum::N,сон,sueño
58,Traum::N,сон,ensueño
59,Himmel::N,небо,cielo
60,Sonne::N,сонце,sol
61,Mond::N,місяць,luna
62,Stern::N,зірка,estrella
