,Concept_ID,la,is
0,Auge::N,oculus,auga
1,Ohr::N,auris,eyra
2,Nase::N,nasus,nef
3,Mund::N,os,munnur
4,Zahn::N,dens,tönn
5,Zunge::N,lingua,tunga
6,Lippe::N,labrum,vör
7,Wange::N,gena,kinn
8,Wange::N,gena,vangi
9,Gesicht::N,vultus,andlit
10,Stirn::N,frons,enni
11,Haar::N,capillus,hár
12,Schnurrbart::N,barba labri superioris,yfirskegg
13,Bart::N,barba,skegg
14,Kinn::N,mentum,haka
15,Kiefer[Anatomie]::N,mala,kjálki
16,Kiefer[Anatomie]::N,mala,skoltur
17,Kehle::N,iugulums,kverk
18,Hals::N,collum,háls
19,Genick::N,cervices,hnakki
20,Kopf::N,caput,höfuð
21,Rücken::N,tergum,hryggur
22,Bauch::N,venter,kviður
23,Nabel::N,umbilicus,nafli
24,Busen::N,sinus,barmur
25,Brust::N,pectus,brjóst
26,Schulter::N,umerus,öxl
27,Arm::N,bracchium,armur
28,Ellenbogen::N,cubitum,olnbogi
29,Hand::N,manus,hönd
30,Handfläche::N,palma,lófi
31,Finger::N,digitus,fingur
32,Fingernagel::N,unguiculus,fingurnögl
33,Nagel[Anatomie]::N,unguis,nögl
34,Zeh::N,digitus,tá
35,Fuß::N,pes,fótur
36,Ferse::N,calx,hæll
37,Knie::N,genu,kné
38,Oberschenkel::N,femur,læri
39,Bein::N,crus,fótleggur
40,Körper::N,corpus,búkur
41,Körper::N,corpus,líkami
42,Haut::N,cutis,húð
43,Haut::N,cutis,skinn
44,Haut::N,pellis,húð
45,Haut::N,pellis,skinn
46,Blut::N,sanguis,blóð
47,Ader::N,vena,æð
48,Sehne::N,nervus,sin
49,Knochen::N,os,bein
50,Gehirn::N,cerebrum,heili
51,Herz::N,cor,hjarta
52,Herz::N,animus,hjarta
53,Magen::N,stomachus,magi
54,Leber::N,iecur,lifur
55,Atem::N,spiritus,andi
56,Atem::N,spiritus,andardráttur
57,Hunger::N,fames,hungur
58,Träne::N,lacrima,tár
59,Geschmack::N,sapor,smekkur
60,Geschmack::N,gustus,smekkur
61,Geruch::N,odor,lykt
62,Schlaf::N,somnus,svefn
63,Traum::N,somnium,draumur
64,Himmel::N,caelum,himinn
65,Sonne::N,sol,sól
66,Mond::N,luna,tungl
67,Stern::N,sidus,stjarna
68,Stern::N,stella,stjarna
69,Luft::N,aer,loft
70,Wind::N,ventus,vindur
71,Welle::N,unda,alda
72,Welle::N,unda,bylgja
73,Wasser::N,aqua,vatn
74,Stein::N,lapis,steinn
75,Boden::N,solum,botn
76,Erde::N,terra,jörð
77,Staub::N,pulvis,ryk
78,Staub::N,pulvis,duft
79,Rauch::N,fumus,reykur
80,Funke::N,scintilla,neisti
81,Feuer::N,ignis,eldur
82,Licht::N,lux,ljós
83,Licht::N,lumen,ljós
84,Schatten::N,umbra,skuggi
85,Wetter::N,caelum,veður
86,Wetter::N,tempestas,veður
87,Nebel::N,nebula,þoka
88,Wolke::N,nubes,ský
89,Regen::N,imber,regn
90,Regen::N,pluvia,regn
91,Schnee::N,nix,snjór
92,Eis::N,glacies,ís
93,Frost::N,gelu,frost
94,Kälte::N,frigus,kuldi
95,Hitze::N,calor,hiti
96,Hitze::N,aestus,hiti
97,Raureif::N,pruina,hrím
98,Regenbogen::N,arcus,regnbogi
99,Donner::N,tonitrus,þruma
100,Strömung::N,fluctus,straumur
101,Tropfen::N,gutta,dropi
102,Schaum::N,spuma,froða
103,Schmutz::N,sordes,óhreinindi
104,Schmutz::N,squalor,óhreinindi
105,See::N,lacus,stöðuvatn
106,Sumpf::N,palus,fen
107,Moor::N,palus,mýri
108,Wiese::N,pratum,engi
109,Wald::N,silva,skógur
110,Hügel::N,collis,hæð
111,Hügel::N,collis,hóll
112,Anhöhe::N,specula,hæð
113,Anhöhe::N,specula,hóll
114,Berg::N,mons,fell
115,Berg::N,mons,fjall
116,Gipfel::N,vertex,tindur
117,Höhle::N,caverna,hellir
118,Höhle::N,spelunca,hellir
119,Abhang::N,declivum,hlíð
120,Abhang::N,declivum,brekka
121,Quelle::N,fons,lind
122,Quelle::N,fons,uppspretta
123,Bach::N,rivus,lækur
124,Fluss::N,flumen,á
125,Fluss::N,flumen,fljót
126,Ufer::N,ripa,árbakki
127,Ufer::N,ripa,sjávarbakki
128,Küste::N,litus,strönd
129,Festland::N,continens,meginland
130,Meer::N,mare,haf
131,Meer::N,mare,sjór
132,Bucht::N,sinus,vík
133,Insel::N,insula,eyja
134,Blume::N,flos,blóm
135,Gras::N,herba,gras
136,Gras::N,gramen,gras
137,Wurzel::N,radix,rót
138,Baum::N,arbor,tré
139,Stamm::N,truncus,stofn
140,Rinde::N,cortex,börkur
141,Ast::N,ramus,grein
142,Zweig::N,ramus,angi
143,Zweig::N,ramus,kvistur
144,Blatt::N,folium,blað
145,Birke::N,betulla,birki
146,Kiefer[Baum]::N,pinus,fura
147,Weide[Baum]::N,salix,víðir
148,Tanne::N,abies,greni
149,Horn::N,cornu,horn
150,Feder::N,penna,fjöður
151,Fell::N,pellis,skinn
152,Flügel::N,ala,vængur
153,Klaue::N,unguis,kló
154,Kralle::N,unguis,kló
155,Schwanz::N,cauda,rófa
156,Schwanz::N,cauda,skott
157,Ei::N,ovum,egg
158,Nest::N,nidus,hreiður
159,Bau::N,cavum,greni
160,Bau::N,cavum,bæli
161,Bau::N,latibulum,greni
162,Bau::N,latibulum,bæli
163,Tier::N,bestia,dýr
164,Herde::N,grex,hjörð
165,Kuh::N,vacca,kýr
166,Bulle::N,taurus,boli
167,Pferd::N,equus,hestur
168,Schaf::N,ovis,kind
169,Schwein::N,sus,svín
170,Schwein::N,porcus,svín
171,Hund::N,canis,hundur
172,Katze::N,felis,köttur
173,Bär::N,ursus,björn
174,Eichhörnchen::N,sciurus,íkorni
175,Elch::N,alces,elgur
176,Fuchs::N,vulpes,refur
177,Hase::N,lepus,héri
178,Maus::N,mus,mús
179,Wolf::N,lupus,úlfur
180,Vogel::N,avis,fugl
181,Schwarm::N,examen,sægur
182,Huhn::N,gallina,hæna
183,Hahn::N,gallus,hani
184,Gans::N,anser,gæs
185,Adler::N,aquila,örn
186,Ente::N,anas,önd
187,Eule::N,ulula,uggla
188,Eule::N,noctua,uggla
189,Kranich::N,grus,trana
190,Krähe::N,cornix,kráka
191,Kuckuck::N,cuculus,gaukur
192,Schwan::N,olor,svanur
193,Schwan::N,cycnus,svanur
194,Fisch::N,piscis,fiskur
195,Barsch::N,perca,aborri
196,Hecht::N,esox,gedda
197,Schlange[Tier]::N,serpens,naðra
198,Wurm::N,vermis,ormur
199,Spinne::N,aranea,kónguló
200,Ameise::N,formica,maur
201,Laus::N,pediculus,lús
202,Mücke::N,culex,mý
203,Mücke::N,culex,mýfluga
204,Fliege::N,musca,fluga
205,Schmetterling::N,papilio,fiðrildi
206,Beere::N,baca,ber
207,Apfel::N,malum,epli
208,Pilz::N,fungus,sveppur
209,Zwiebel::N,cepa,laukur
210,Saat::N,seges,fræ
211,Saat::N,seges,útsæði
212,Korn::N,granum,korn
213,Heu::N,faenum,hey
214,Schale::N,putamen,hýði
215,Grube::N,fovea,gryfja
216,Falle::N,pedica,gildra
217,Schlinge::N,laqueus,snara
218,Spur::N,vestigium,spor
219,Asche::N,cinis,aska
220,Dreck::N,lutum,óþverri
221,Eisen::N,ferrum,járn
222,Gold::N,aurum,gull
223,Silber::N,argentum,silfur
224,Kohle::N,carbo,kol
225,Glas::N,vitrum,gler
226,Lehm::N,lutum,leir
227,Sand::N,arena,sandur
228,Mensch::N,homo,maður
229,Mensch::N,homo,manneskja
230,Mann::N,vir,maður
231,Mann::N,vir,karlmaður
232,Frau::N,mulier,kona
233,Kind::N,puer,barn
234,Kind::N,puer,krakki
235,Kind::N,infans,barn
236,Kind::N,infans,krakki
237,Junge::N,puer,drengur
238,Mädchen::N,puella,stelpa
239,Familie::N,familia,fjölskylda
240,Großvater::N,avus,afi
241,Großmutter::N,avia,amma
242,Eltern::N,parentes,foreldrar
243,Vater::N,pater,faðir
244,Mutter::N,mater,móðir
245,Sohn::N,filius,sonur
246,Tochter::N,filia,dóttir
247,Bruder::N,frater,bróðir
248,Schwester::N,soror,systir
249,Onkel::N,patruus,föðurbróðir
250,Onkel::N,avunculus,föðurbróðir
251,Tante::N,amita,frænka
252,Tante::N,amita,móðursystir
253,Ehemann::N,maritus,eiginmaður
254,Ehefrau::N,uxor,eiginkona
255,Freude::N,gaudium,gleði
256,Freude::N,laetitia,gleði
257,Gelächter::N,risus,hlátur
258,Glück::N,felicitas,gæfa
259,Kummer::N,aegritudo,sorg
260,Wunsch::N,voluntas,ósk
261,Wunsch::N,desiderium,ósk
262,Lust::N,libido,fýsn
263,Lust::N,libido,löngun
264,Lust::N,voluptas,fýsn
265,Lust::N,voluptas,löngun
266,Geist::N,mens,andi
267,Geist::N,animus,andi
268,Gedanke::N,sententia,hugsun
269,Gedächtnis::N,memoria,minni
270,Verstand::N,ratio,vit
271,Verstand::N,ingenium,vit
272,Sinn::N,sensus,merking
273,Grund::N,causa,ástæða
274,Wahrheit::N,veritas,sannleikur
275,Gespräch::N,sermo,samtal
276,Märchen::N,fabula,ævintýri
277,Erzählung::N,fabula,saga
278,Erzählung::N,narratio,saga
279,Nachricht::N,nuntius,frétt
280,Neuigkeit::N,novitas,frétt
281,Name::N,nomen,nafn
282,Rätsel::N,aenigma,gáta
283,Rede::N,oratio,ræða
284,Sprache::N,lingua,mál
285,Sprache::N,lingua,tungumál
286,Stimme::N,vox,rödd
287,Wort::N,verbum,orð
288,Wort::N,vocabulum,orð
289,Zeichen::N,signum,tákn
290,Zeichen::N,signum,merki
291,Ruf::N,clamor,kall
292,Lärm::N,strepitus,hávaði
293,Laut::N,sonus,hljóð
294,Ton::N,sonus,tónn
295,Lied::N,carmen,ljóð
296,Lied::N,carmen,söngur
297,Ruhe::N,quies,ró
298,Ruhe::N,quies,kyrrð
299,Leute::N,homines,fólk
300,Volk::N,populus,þjóð
301,Arbeit::N,labor,vinna
302,Gast::N,hospes,gestur
303,Gast::N,conviva,gestur
304,Geschenk::N,munus,gjöf
305,Spiel::N,ludus,leikur
306,Gesellschaft::N,societas,selskapur
307,Hilfe::N,auxilium,hjálp
308,Hilfe::N,subsidium,hjálp
309,Freund::N,amicus,vinur
310,Kamerad::N,socius,félagi
311,Angelegenheit::N,res,mál
312,Angelegenheit::N,res,málefni
