,Concept_ID,cs,ca
0,Auge::N,oko,ull
1,Ohr::N,ucho,orella
2,Nase::N,nos,nas
3,Mund::N,pusa,boca
4,Zahn::N,zub,dent
5,Zunge::N,jazyk,llēngua
6,Lippe::N,ret,llavi
7,Wange::N,tvář,galta
8,Gesicht::N,obličej,cara
9,Stirn::N,čelo,front
10,Haar::N,vlas,cabēll
11,Haar::N,vlasy,cabēll
12,Schnurrbart::N,kníry,bigoti
13,Bart::N,vousy,barba
14,Kinn::N,brada,mentó
15,Kinn::N,brada,barbeta
16,Kiefer[Anatomie]::N,čelist,queix
17,Kiefer[Anatomie]::N,čelist,mandíbula
18,Kehle::N,hrdlo,gola
19,Kehle::N,hrdlo,gorja
20,Hals::N,krk,coll
21,Genick::N,týl,nuca
22,Kopf::N,hlava,cap
23,Rücken::N,záda,esquena
24,Rücken::N,hřbet,esquena
25,Bauch::N,břicho,panxa
26,Nabel::N,pupek,llombrígol
27,Busen::N,ňadra,pit
28,Busen::N,ňadra,mama
29,Brust::N,prsa,pit
30,Schulter::N,plece,espatlla
31,Schulter::N,rameno,espatlla
32,Arm::N,ruka,braç
33,Ellenbogen::N,loket,colze
34,Hand::N,ruka,mà
35,Handfläche::N,dlaň,palma
36,Finger::N,prst,dit
37,Fingernagel::N,nehet,ungla
38,Nagel[Anatomie]::N,nehet,ungla
39,Zeh::N,prst u nohy,dit del peu
40,Fuß::N,noha,peu
41,Ferse::N,pata,taló
42,Knie::N,koleno,genoll
43,Oberschenkel::N,stehno,cuixa
44,Bein::N,noha,cama
45,Körper::N,tělo,cos
46,Haut::N,kůže,pell
47,Blut::N,krev,sang
48,Ader::N,céva,vena
49,Sehne::N,šlacha,tendó
50,Knochen::N,kost,os
51,Gehirn::N,mozek,cervell
52,Herz::N,srdce,cor
53,Magen::N,žaludek,estómac
54,Leber::N,játra,fetge
55,Atem::N,dech,alè
56,Atem::N,dech,hàlit
57,Hunger::N,hlad,fam
58,Hunger::N,hlad,gana
59,Träne::N,slza,llàgrima
60,Geschmack::N,vkus,gust
61,Geschmack::N,vkus,sabor
62,Geruch::N,vůně,olor
63,Geruch::N,zápach,olor
64,Schlaf::N,spánek,son
65,Traum::N,sen,somni
66,Himmel::N,nebe,celm
67,Sonne::N,slunce,sol
68,Mond::N,měsíc,lluna
69,Stern::N,hvězda,estel
70,Stern::N,hvězda,estrella
71,Luft::N,vzduch,aire
72,Wind::N,vítr,vent
73,Welle::N,vlna,ona
74,Wasser::N,voda,āigua
75,Stein::N,kámen,pedra
76,Boden::N,půda,sòl
77,Erde::N,země,terra
78,Staub::N,prach,pols
79,Rauch::N,dým,fum
80,Rauch::N,kouř,fum
81,Funke::N,jiskra,guspira
82,Funke::N,jiskra,centella
83,Feuer::N,oheň,foc
84,Licht::N,světlo,llum
85,Schatten::N,stín,ombra
86,Wetter::N,počasí,temps
87,Nebel::N,mlha,boira
88,Wolke::N,mrak,núvol
89,Wolke::N,oblak,núvol
90,Regen::N,déšť,pluja
91,Schnee::N,sníh,neu
92,Eis::N,led,gel
93,Eis::N,led,glaç
94,Frost::N,mráz,glaçada
95,Kälte::N,chlad,fred
96,Hitze::N,horko,calor
97,Raureif::N,jinovatka,gebre
98,Regenbogen::N,duha,arc iris
99,Donner::N,hrom,tro
100,Strömung::N,proudění,corrent
101,Tropfen::N,kapka,gota
102,Schaum::N,pěna,escuma
103,Schmutz::N,špína,brutícia
104,See::N,jezero,llac
105,Sumpf::N,močál,pantà
106,Sumpf::N,bažina,pantà
107,Moor::N,bažina,pantà
108,Moor::N,slatina,pantà
109,Wiese::N,louka,prat
110,Wiese::N,louka,prada
111,Wald::N,les,bosc
112,Hügel::N,kopec,puig
113,Hügel::N,kopec,pujol
114,Anhöhe::N,pahorek,turó
115,Berg::N,hora,muntanya
116,Gipfel::N,vrchol,cim
117,Höhle::N,jeskyně,cova
118,Abhang::N,svah,coster
119,Abhang::N,stráň,coster
120,Quelle::N,pramen,font
121,Bach::N,potok,riera
122,Fluss::N,řeka,riu
123,Ufer::N,břeh,riba
124,Küste::N,pobřeží,costa
125,Festland::N,souš,terra ferma
126,Festland::N,pevnina,terra ferma
127,Meer::N,moře,mar
128,Bucht::N,záliv,cala
129,Bucht::N,záliv,badia
130,Bucht::N,zátoka,cala
131,Bucht::N,zátoka,badia
132,Insel::N,ostrov,illa
133,Blume::N,květina,flor
134,Gras::N,tráva,herba
135,Wurzel::N,kořen,rel
136,Wurzel::N,kořen,arrel
137,Baum::N,strom,arbre
138,Stamm::N,kmen,tronc
139,Rinde::N,kůra,escorça
140,Ast::N,větev,branca
141,Zweig::N,větev,ram
142,Blatt::N,lupen,fulla
143,Birke::N,bříza,bedoll
144,Kiefer[Baum]::N,sosna,pi
145,Kiefer[Baum]::N,borovice,pi
146,Weide[Baum]::N,vrba,salze
147,Tanne::N,jedle,avet
148,Horn::N,roh,corn
149,Horn::N,roh,banya
150,Feder::N,pero,ploma
151,Fell::N,srst,pell
152,Flügel::N,křídlo,ala
153,Klaue::N,dráp,urpa
154,Klaue::N,pazneht,urpa
155,Kralle::N,dráp,grapa
156,Schwanz::N,ocas,cua
157,Ei::N,vejce,ou
158,Nest::N,hnízdo,niu
159,Bau::N,nora,cau
160,Tier::N,zvíře,animāl
161,Herde::N,stádo,ramat
162,Kuh::N,kráva,vaca
163,Bulle::N,býk,toro
164,Pferd::N,kůň,cavāll
165,Schaf::N,ovce,be
166,Schaf::N,ovce,ovella
167,Schwein::N,vepř,bacó
168,Schwein::N,prase,bacó
169,Hund::N,pes,ca
170,Hund::N,pes,gos
171,Katze::N,kočka,gat
172,Bär::N,medvěd,ós
173,Eichhörnchen::N,veverka,esquirol
174,Elch::N,los,ant
175,Fuchs::N,liška,guilla
176,Hase::N,zajíc,llebre
177,Maus::N,myš,ratolí
178,Wolf::N,vlk,llop
179,Vogel::N,pták,au
180,Vogel::N,pták,ocēll
181,Schwarm::N,roj,bandada
182,Schwarm::N,hejno,bandada
183,Huhn::N,kuře,gallina
184,Huhn::N,slepice,gallina
185,Hahn::N,kohout,gall
186,Gans::N,husa,oca
187,Adler::N,orel,àguila
188,Ente::N,kachna,ànec
189,Eule::N,sova,òliba
190,Eule::N,sova,mussol
191,Kranich::N,jeřáb,grua
192,Krähe::N,vrána,cornella
193,Kuckuck::N,kukačka,cucut
194,Schwan::N,labuť,cigne
195,Fisch::N,ryba,peix
196,Barsch::N,okoun,perca
197,Hecht::N,štika,lluç
198,Schlange[Tier]::N,had,serp
199,Wurm::N,červ,cuc
200,Spinne::N,pavouk,aranya
201,Ameise::N,mravenec,formiga
202,Laus::N,veš,poll
203,Mücke::N,komár,mosquit
204,Fliege::N,moucha,mosca
205,Schmetterling::N,motýl,papallona
206,Beere::N,bobule,baia
207,Apfel::N,jablko,poma
208,Pilz::N,houba,bolet
209,Zwiebel::N,cibule,ceba
210,Saat::N,osivo,sembra
211,Korn::N,zrno,gra
212,Heu::N,seno,fenc
213,Schale::N,slupka,closca
214,Schale::N,skořápka,closca
215,Grube::N,jáma,sot
216,Grube::N,jáma,clot
217,Falle::N,past,trampa
218,Falle::N,léčka,trampa
219,Schlinge::N,smyčka,baga
220,Spur::N,stopa,traça
221,Asche::N,popel,cendra
222,Dreck::N,špína,llot
223,Eisen::N,železo,ferro
224,Gold::N,zlato,or
225,Silber::N,stříbro,plata
226,Kohle::N,uhlí,carbó
227,Glas::N,sklo,vidre
228,Lehm::N,jíl,fang
229,Lehm::N,jíl,argila
230,Lehm::N,hlína,fang
231,Lehm::N,hlína,argila
232,Sand::N,písek,arena
233,Mensch::N,člověk,humà
234,Mensch::N,člověk,persona
235,Mann::N,muž,home
236,Frau::N,žena,dona
237,Kind::N,dítě,nen
238,Junge::N,hoch,noi
239,Junge::N,chlapec,noi
240,Mädchen::N,děvče,noia
241,Familie::N,rodina,família
242,Großvater::N,děd,avi
243,Großvater::N,dědeček,avi
