,Concept_ID,ko,pl
0,Auge::N,눈,oko
1,Ohr::N,귀,ucho
2,Nase::N,코,nos
3,Mund::N,입,usta
4,Zahn::N,이,ząb
5,Zunge::N,혀,język
6,Lippe::N,입술,warga
7,Wange::N,뺨,policzek
8,Gesicht::N,얼굴,twarz
9,Stirn::N,이마,czoło
10,Haar::N,털,włos
11,Haar::N,털,włosy
12,Schnurrbart::N,윗수몀,wąsy
13,Schnurrbart::N,코밑수염,wąsy
14,Bart::N,수엄,broda
15,Kinn::N,아래턱,podbródek
16,Kiefer[Anatomie]::N,턱,czeluść
17,Kehle::N,인후,gardło
18,Hals::N,목,szyja
19,Genick::N,먹덜이,kark
20,Kopf::N,머리,głowa
21,Rücken::N,든,plecy
22,Rücken::N,든,grzbiet
23,Bauch::N,배,brzuch
24,Nabel::N,배꼽,pępek
25,Busen::N,가슴속,biust
26,Brust::N,가슴,pierś
27,Schulter::N,어깨,bark
28,Schulter::N,어깨,ramię
29,Arm::N,팔,ręka
30,Arm::N,팔,ramię
31,Ellenbogen::N,팔쿰치,łokieć
32,Hand::N,손,dłoń
33,Handfläche::N,손바닥,dłoń
34,Finger::N,속가락,palec
35,Fingernagel::N,손톱,paznokieć
36,Nagel[Anatomie]::N,손톱,paznokieć
37,Zeh::N,발가락,palec
38,Fuß::N,발,stopa
39,Ferse::N,발꿈치,pięta
40,Knie::N,무릎,kolano
41,Oberschenkel::N,허벅다리,udo
42,Bein::N,다리,noga
43,Körper::N,구간,ciało
44,Haut::N,살갗,skóra
45,Blut::N,피,krew
46,Ader::N,정맥,żyła
47,Sehne::N,현,ścięgno
48,Knochen::N,뼈,kość
49,Gehirn::N,뇌,mózg
50,Gehirn::N,뇌수,mózg
51,Herz::N,염통,serce
52,Magen::N,위,żołądek
53,Leber::N,간,wątroba
54,Atem::N,기식,dech
55,Atem::N,기식,oddech
56,Hunger::N,공복,głód
57,Träne::N,눈물,łza
58,Geschmack::N,기호,smak
59,Geruch::N,냄새,woń
60,Geruch::N,냄새,zapach
61,Schlaf::N,수면,sen
62,Traum::N,쿰,sen
63,Himmel::N,하늘,niebo
64,Sonne::N,해,słońce
65,Mond::N,달,księżyc
66,Stern::N,별,gwiazda
67,Luft::N,동준,powietrze
68,Luft::N,가스채,powietrze
69,Wind::N,바람,wiatr
70,Welle::N,물결,fala
71,Wasser::N,물,woda
72,Stein::N,돌,kamień
73,Boden::N,바닥,grunt
74,Erde::N,흙,ziemia
75,Staub::N,먼지,pył
76,Staub::N,먼지,kurz
77,Rauch::N,연기,dym
78,Funke::N,불티,iskra
79,Feuer::N,불,ogień
80,Licht::N,불,światło
81,Schatten::N,어스레함,cień
82,Wetter::N,기상,pogoda
83,Nebel::N,안개,mgła
84,Wolke::N,구름,obłok
85,Wolke::N,구름,chmura
86,Regen::N,비,deszcz
87,Schnee::N,눈,śnieg
88,Eis::N,얼음,lód
89,Frost::N,혹한,mróz
90,Kälte::N,추위,chłód
91,Kälte::N,차가움,chłód
92,Hitze::N,고온,gorąco
93,Hitze::N,더위,gorąco
94,Regenbogen::N,무지개,tęcza
95,Donner::N,뇌명,grzmot
96,Strömung::N,유동,nurt
97,Tropfen::N,물방울,kropla
98,Schaum::N,포말,piana
99,Schmutz::N,때,brud
100,See::N,호수,jezioro
101,Sumpf::N,습지,bagno
102,Moor::N,저습지,bagno
103,Wiese::N,목초지,łąka
104,Wald::N,숲,las
105,Hügel::N,언덕,pagórek
106,Anhöhe::N,언덕,wzgórze
107,Berg::N,산,góra
108,Gipfel::N,졀졍,szczyt
109,Gipfel::N,졀졍,wierzchołek
110,Höhle::N,공동,pieczara
111,Abhang::N,몰매,stok
112,Abhang::N,몰매,zbocze
113,Quelle::N,근원,zdrój
114,Quelle::N,근원,źródło
115,Bach::N,내,potok
116,Bach::N,내,strumień
117,Fluss::N,강,rzeka
118,Ufer::N,강변,brzeg
119,Ufer::N,바닷가,brzeg
120,Küste::N,해변,wybrzeże
121,Küste::N,해변가,wybrzeże
122,Festland::N,본토,ląd
123,Meer::N,바다,morze
124,Bucht::N,협만,zatoka
125,Insel::N,섬,wyspa
126,Blume::N,꽃,kwiat
127,Gras::N,풀,trawa
128,Wurzel::N,뿌리,korzeń
129,Baum::N,나무,drzewo
130,Stamm::N,대,pień
131,Rinde::N,나무껍질,kora
132,Ast::N,가지,gałąź
133,Zweig::N,가지,gałąź
134,Blatt::N,잎,liść
135,Birke::N,자작나무,brzoza
136,Kiefer[Baum]::N,소나무,sosna
137,Weide[Baum]::N,쉬양버들,wierzba
138,Tanne::N,전나무,jodła
139,Horn::N,뿔,róg
140,Feder::N,깃털,pióro
141,Fell::N,피혁모피,futro
142,Flügel::N,날개,skrzydło
143,Klaue::N,갈고리 발톺,szpon
144,Kralle::N,발툭,pazur
145,Schwanz::N,꼬리,ogon
146,Ei::N,알,jajko
147,Nest::N,보금자리,gniazdo
148,Bau::N,굴,nora
149,Tier::N,짐승,zwierzę
150,Herde::N,가축의떼,stado
151,Herde::N,가축의떼,trzoda
152,Kuh::N,암소,krowa
153,Bulle::N,황소,byk
154,Pferd::N,말,koń
155,Schaf::N,양,owca
156,Schwein::N,돼지,świnia
157,Hund::N,개,pies
158,Katze::N,고양이,kot
159,Katze::N,고양이,kotka
160,Bär::N,콤,niedźwiedż
161,Eichhörnchen::N,다람쥐,wiewiórka
162,Elch::N,고라니,łóś
163,Fuchs::N,여우,lis
164,Hase::N,토끼,zając
165,Maus::N,쥐,mysz
166,Wolf::N,늑대,wilk
167,Vogel::N,새,ptak
168,Schwarm::N,뗴,stado
169,Huhn::N,암탉,kura
170,Hahn::N,수탉,kogut
171,Gans::N,거위,gęś
172,Adler::N,수리,orzeł
173,Ente::N,오리,kaczka
174,Eule::N,부엉이,sowa
175,Kranich::N,두루미,żuraw
176,Krähe::N,까마귀,wrona
177,Kuckuck::N,뻐꾸기,kukułka
178,Schwan::N,배조,łabędż
179,Fisch::N,물고기,ryba
180,Barsch::N,농어,okoń
181,Hecht::N,에속스,szczupak
182,Schlange[Tier]::N,뱀,wąż
183,Schlange[Tier]::N,뱀,żmija
184,Wurm::N,벌레,robak
185,Spinne::N,거미,pająk
186,Ameise::N,개미,mrówka
187,Laus::N,이,wesz
188,Mücke::N,모기,komar
189,Fliege::N,날기,mucha
190,Schmetterling::N,나비,motyl
191,Beere::N,장과,jagoda
192,Apfel::N,사과,jabłko
193,Pilz::N,고방이,grzyb
194,Zwiebel::N,양파,cebula
195,Saat::N,씨,siew
196,Korn::N,알맹이,ziarno
197,Heu::N,건초,siano
198,Schale::N,피상,łupina
199,Falle::N,함정,pułapka
200,Schlinge::N,올가미,sidła
201,Schlinge::N,멜빵붕대,sidła
202,Spur::N,발지국,ślad
203,Asche::N,재,popiół
204,Dreck::N,똥,brud
205,Dreck::N,오물,brud
206,Eisen::N,쇠,żelazo
207,Eisen::N,철,żelazo
208,Gold::N,항금,złoto
209,Silber::N,은,srebro
210,Kohle::N,슻,węgiel
211,Glas::N,유리,szkło
212,Lehm::N,찰흙,glina
213,Sand::N,모래,piasek
214,Mensch::N,사람,człowiek
215,Mann::N,남자,mężczyzna
216,Frau::N,여자,kobieta
217,Kind::N,아이,dziecko
218,Junge::N,소녁,chłopak
219,Junge::N,소녁,chłopiec
220,Mädchen::N,소녀,dziewczynka
221,Familie::N,가족,rodzina
222,Großvater::N,할아버지,dziadek
223,Großmutter::N,할머니,babka
224,Eltern::N,어버오,rodzice
225,Vater::N,아버지,ojciec
226,Mutter::N,어머니,matka
227,Sohn::N,아들,syn
228,Tochter::N,딸기,córka
229,Bruder::N,형제,brat
230,Schwester::N,누이,siostra
231,Onkel::N,백부,wuj
232,Onkel::N,백부,stryj
233,Tante::N,아주머니,ciotka
234,Ehemann::N,남편,mąż
235,Ehefrau::N,아내,żona
236,Freude::N,기쁨,radość
237,Gelächter::N,웃음,śmiech
238,Glück::N,즐거움,szczęście
239,Kummer::N,슬픔,zmartwienie
240,Wunsch::N,소망,życzenie
241,Geist::N,할기,duch
242,Gedanke::N,상념,myśl
243,Gedächtnis::N,기억,pamięć
244,Verstand::N,분별,rozum
245,Verstand::N,지능,rozum
246,Sinn::N,센스,zmysł
247,Grund::N,까닭,powód
248,Wahrheit::N,참,prawda
249,Wahrheit::N,진실,prawda
250,Gespräch::N,대화,rozmowa
251,Märchen::N,동화,bajka
252,Erzählung::N,이야기,opowiadanie
253,Neuigkeit::N,뉴스,nowina
254,Name::N,이름,imię
255,Rätsel::N,수수께끼,zagadka
256,Rede::N,연설,mowa
257,Sprache::N,말,język
258,Stimme::N,목소리,głos
259,Wort::N,낱말,słowo
260,Zeichen::N,신호,znak
261,Ruf::N,부름,wołanie
262,Lärm::N,소동,hałas
263,Lärm::N,소동,zgiełk
264,Laut::N,음성,dźwięk
265,Ton::N,목소리,ton
266,Ton::N,목소리,dźwięk
267,Lied::N,노래,pieśń
268,Lied::N,노래,piosenka
269,Ruhe::N,쉼,spokój
270,Leute::N,사람들,ludzie
271,Volk::N,국중,naród
272,Arbeit::N,근로,praca
273,Arbeit::N,근로,robota
274,Arbeit::N,너무,praca
275,Arbeit::N,너무,robota
