,Concept_ID,hi,ab
0,Auge::N,आँख,ала
1,Auge::N,चक्षु,ала
2,Ohr::N,कान,алымҳа
3,Ohr::N,कर्ण,алымҳа
4,Nase::N,नाक,аҧынҵа
5,Nase::N,नासा,аҧынҵа
6,Mund::N,मुख,аҧышə
7,Mund::N,मुँह,аҧышə
8,Zahn::N,दंत,ахаҧыц
9,Zahn::N,दाँत,ахаҧыц
10,Zunge::N,जीभ,абз
11,Zunge::N,ज़बान,абз
12,Zunge::N,जिह्वा,абз
13,Lippe::N,ओंठ,ақьышə
14,Lippe::N,होंठ,ақьышə
15,Wange::N,गाल,аӡамҩа
16,Wange::N,कपोल,аӡамҩа
17,Gesicht::N,मुँह,аҿы
18,Gesicht::N,चेहरा,аҿы
19,Stirn::N,माथा,алахь
20,Stirn::N,मस्तक,алахь
21,Haar::N,बाल,ахəыц
22,Schnurrbart::N,मूँछें,аҧаҵа
23,Bart::N,दाढ़ी,ажакьа
24,Kinn::N,चिबुक,ацламкəыгə
25,Kiefer[Anatomie]::N,जबड़ा,ацламҳəа
26,Kehle::N,गला,ахəда
27,Hals::N,गला,ахəда
28,Hals::N,गरदन,ахəда
29,Genick::N,गरदन,ахəдаџьал
30,Genick::N,ग्रीवा,ахəдаџьал
31,Kopf::N,सिर,ахы
32,Kopf::N,शीर्ष,ахы
33,Rücken::N,पीठ,азқəа
34,Bauch::N,उदर,амгəа
35,Nabel::N,नाभि,аҷапан
36,Nabel::N,ढोंढी,аҷапан
37,Busen::N,कुच,агəыҧҳəы
38,Busen::N,स्तन,агəыҧҳəы
39,Brust::N,वक्ष,агəышҧы
40,Schulter::N,कंधा,ажəҩахыр
41,Schulter::N,स्कंध,ажəҩахыр
42,Arm::N,बाँह,амахəар
43,Arm::N,बाज़ू,амахəар
44,Ellenbogen::N,कुहनी,амашьхəылҵ
45,Hand::N,हाथ,анапы
46,Hand::N,हस्त,анапы
47,Handfläche::N,हथेली,анапсаргəыҵа
48,Finger::N,उँगली,анацəа
49,Finger::N,अँगुली,анацəа
50,Fingernagel::N,नख,анапхыц
51,Fingernagel::N,नाख़ून,анапхыц
52,Nagel[Anatomie]::N,नख,ашьапхыц
53,Nagel[Anatomie]::N,नाख़ून,ашьапхыц
54,Zeh::N,उँगली,ашьацəа
55,Zeh::N,पाँव की उँगली,ашьацəа
56,Fuß::N,चरण,ашьапсыргəыҵа
57,Fuß::N,पाँव,ашьапсыргəыҵа
58,Ferse::N,एड़ी,ашьхəа
59,Knie::N,जानु,ашьамхы
60,Knie::N,घुटना,ашьамхы
61,Oberschenkel::N,उरु,ауаҭəа
62,Bein::N,टाँग,ашьапы
63,Körper::N,तन,ацəеижь
64,Körper::N,देह,ацəеижь
65,Körper::N,शरीर,ацəеижь
66,Haut::N,चर्म,ацəа
67,Haut::N,त्वचा,ацəа
68,Blut::N,लहू,ашьа
69,Blut::N,ख़ून,ашьа
70,Ader::N,रग,ада
71,Ader::N,शिरा,ада
72,Sehne::N,कंडरा,адаш
73,Sehne::N,स्नायु,адаш
74,Knochen::N,अस्थि,абаҩ
75,Gehirn::N,दिमाग़,ахшлыбаҩ
76,Gehirn::N,दिमाग़,ахшыбаҩ
77,Gehirn::N,मस्तिष्क,ахшлыбаҩ
78,Gehirn::N,मस्तिष्क,ахшыбаҩ
79,Herz::N,दिल,агəы
80,Herz::N,हृदय,агəы
81,Magen::N,मेदा,аца
82,Magen::N,मेदा,ацар
83,Magen::N,अमाशय,аца
84,Magen::N,अमाशय,ацар
85,Leber::N,जिगर,агəаҵəа
86,Leber::N,यकृत्,агəаҵəа
87,Atem::N,दम,аҧсыҧлагаҩгара
88,Atem::N,साँस,аҧсыҧлагаҩгара
89,Atem::N,श्वास,аҧсыҧлагаҩгара
90,Hunger::N,भूख,амла
91,Hunger::N,क्षुधा,амла
92,Träne::N,आँसू,алабжыш
93,Träne::N,अश्रु,алабжыш
94,Geschmack::N,स्वाद,агьама
95,Geschmack::N,ज़ायक़ा,агьама
96,Geruch::N,बू,афҩы
97,Geruch::N,गंध,афҩы
98,Schlaf::N,नींद,ацəа
99,Schlaf::N,निद्रा,ацəа
100,Traum::N,सपना,аҧхыӡ
101,Traum::N,स्वप्न,аҧхыӡ
102,Himmel::N,आकाश,ажəҩан
103,Himmel::N,आसमान,ажəҩан
104,Sonne::N,रवि,амра
105,Sonne::N,सूरज,амра
106,Sonne::N,सूर्य,амра
107,Mond::N,चाँद,амза
108,Mond::N,चंद्र,амза
109,Stern::N,तारा,аеҵəа
110,Stern::N,सितारा,аеҵəа
111,Luft::N,हवा,аҳаир
112,Luft::N,वायु,аҳаир
113,Wind::N,पाद,аҧша
114,Welle::N,लहर,ацəқəырҧа
115,Welle::N,तरंग,ацəқəырҧа
116,Wasser::N,जल,аӡы
117,Wasser::N,पानी,аӡы
118,Stein::N,पत्थर,ахаҳə
119,Boden::N,मिट्टी,адгьыл
120,Erde::N,भूमि,адгьыл
121,Erde::N,ज़मीन,адгьыл
122,Staub::N,धूल,асаба
123,Rauch::N,धूआँ,алҩа
124,Rauch::N,धुम्र,алҩа
125,Funke::N,चिनगारी,акəиц
126,Funke::N,चिनगारी,ацҧхь
127,Funke::N,स्फुलिंग,акəиц
128,Funke::N,स्फुलिंग,ацҧхь
129,Feuer::N,आग,амца
130,Feuer::N,आतिश,амца
131,Feuer::N,अग्नि,амца
132,Licht::N,रोशनी,алашара
133,Licht::N,प्रकाश,алашара
134,Schatten::N,छाया,ашəшьыра
135,Schatten::N,परछाई,ашəшьыра
136,Wetter::N,ऋतु,амш
137,Wetter::N,मौसम,амш
138,Nebel::N,धुँध,анаҟəа
139,Nebel::N,कुहरा,анаҟəа
140,Wolke::N,मेघ,аҧсҭҳəа
141,Wolke::N,अभ्र,аҧсҭҳəа
142,Regen::N,मेंह,ақəа
143,Regen::N,बारिश,ақəа
