,Concept_ID,mn,pl
0,Auge::N,нүд,oko
1,Ohr::N,чих,ucho
2,Nase::N,хамар,nos
3,Mund::N,ам,usta
4,Zahn::N,шүд,ząb
5,Zunge::N,хэл,język
6,Lippe::N,уруул,warga
7,Wange::N,хацар,policzek
8,Gesicht::N,царай,twarz
9,Gesicht::N,нүүр,twarz
10,Stirn::N,дух,czoło
11,Haar::N,үс,włos
12,Haar::N,үс,włosy
13,Schnurrbart::N,дээд сахал,wąsy
14,Schnurrbart::N,живэр сахал,wąsy
15,Bart::N,сахал,broda
16,Kinn::N,эрүү,podbródek
17,Kiefer[Anatomie]::N,эрүү,czeluść
18,Kehle::N,хоолой,gardło
19,Hals::N,хүзүү,szyja
20,Genick::N,шил,kark
21,Genick::N,хүзүү,kark
22,Kopf::N,толгой,głowa
23,Rücken::N,ар,plecy
24,Rücken::N,ар,grzbiet
25,Rücken::N,нуруу,plecy
26,Rücken::N,нуруу,grzbiet
27,Bauch::N,хэвлий,brzuch
28,Bauch::N,гэдэс,brzuch
29,Nabel::N,хүйс,pępek
30,Busen::N,хөх,biust
31,Brust::N,цээж,pierś
32,Schulter::N,мөр,bark
33,Schulter::N,мөр,ramię
34,Schulter::N,бугалга,bark
35,Schulter::N,бугалга,ramię
36,Arm::N,гар,ręka
37,Arm::N,гар,ramię
38,Ellenbogen::N,тохой,łokieć
39,Hand::N,гар,dłoń
40,Hand::N,алга,dłoń
41,Handfläche::N,алга,dłoń
42,Finger::N,хуруу,palec
43,Fingernagel::N,хурууны хумс,paznokieć
44,Nagel[Anatomie]::N,хумс,paznokieć
45,Zeh::N,хуруу,palec
46,Fuß::N,хөл,stopa
47,Ferse::N,өсгий,pięta
48,Knie::N,өвдөг,kolano
49,Oberschenkel::N,гуя,udo
50,Bein::N,хөл,noga
51,Körper::N,бие,ciało
52,Haut::N,арьс,skóra
53,Blut::N,цус,krew
54,Ader::N,судас,żyła
55,Sehne::N,бүлх,ścięgno
56,Sehne::N,шандас,ścięgno
57,Knochen::N,яс,kość
58,Gehirn::N,тархи,mózg
59,Herz::N,зүрх,serce
60,Magen::N,ходоод,żołądek
61,Leber::N,элэг,wątroba
62,Atem::N,амьсгаа,dech
63,Atem::N,амьсгаа,oddech
64,Hunger::N,өлсгөлөн,głód
65,Träne::N,нулимс,łza
66,Geschmack::N,амт,smak
67,Geruch::N,үнэр,woń
68,Geruch::N,үнэр,zapach
69,Schlaf::N,нойр,sen
70,Traum::N,зүүд,sen
71,Himmel::N,тэнгэр,niebo
72,Himmel::N,огторгуй,niebo
73,Sonne::N,нар,słońce
74,Mond::N,сар,księżyc
75,Stern::N,од,gwiazda
76,Luft::N,агаар,powietrze
77,Wind::N,салхи,wiatr
78,Welle::N,долгио,fala
79,Welle::N,давалгаа,fala
80,Wasser::N,ус,woda
81,Stein::N,чулуу,kamień
82,Boden::N,хөрс,grunt
83,Erde::N,газар,ziemia
84,Erde::N,шороо,ziemia
85,Staub::N,тоос,pył
86,Staub::N,тоос,kurz
87,Rauch::N,утаа,dym
88,Funke::N,оч,iskra
89,Feuer::N,гал,ogień
90,Licht::N,гэрэл,światło
91,Licht::N,гэгээ,światło
92,Schatten::N,сүүдэр,cień
93,Wetter::N,тэнгэр,pogoda
94,Wetter::N,цаг уур,pogoda
95,Nebel::N,будан,mgła
96,Wolke::N,үүл,obłok
97,Wolke::N,үүл,chmura
98,Regen::N,бороо,deszcz
99,Schnee::N,цас,śnieg
100,Eis::N,мөс,lód
101,Frost::N,хүйт,mróz
102,Kälte::N,хүйт,chłód
103,Hitze::N,халуун,gorąco
104,Raureif::N,цан,szron
105,Raureif::N,хяруу,szron
106,Regenbogen::N,солонго,tęcza
107,Donner::N,тэнгэрийн дуу,grzmot
108,Strömung::N,урсгал,nurt
109,Tropfen::N,дусал,kropla
110,Schaum::N,хөөс,piana
111,Schmutz::N,хир,brud
112,Schmutz::N,шавхай,brud
113,See::N,нуур,jezioro
114,Sumpf::N,намаг,bagno
115,Sumpf::N,балчиг,bagno
116,Moor::N,хүлрийн намаг,bagno
117,Wiese::N,нуга,łąka
118,Wald::N,ой,las
119,Hügel::N,болдог,pagórek
120,Anhöhe::N,гүвээ,wzgórze
121,Berg::N,уул,góra
122,Gipfel::N,орой,szczyt
123,Gipfel::N,орой,wierzchołek
124,Gipfel::N,оргил,szczyt
125,Gipfel::N,оргил,wierzchołek
126,Höhle::N,агуй,pieczara
127,Abhang::N,хүр,stok
128,Abhang::N,хүр,zbocze
129,Quelle::N,булаг,zdrój
130,Quelle::N,булаг,źródło
131,Bach::N,горхи,potok
132,Bach::N,горхи,strumień
133,Fluss::N,гол,rzeka
134,Fluss::N,мөрөн,rzeka
135,Ufer::N,эрэг,brzeg
136,Küste::N,эрэг,wybrzeże
137,Festland::N,хуурай газар,ląd
138,Meer::N,далай,morze
139,Meer::N,тэнгис,morze
140,Bucht::N,булан,zatoka
141,Bucht::N,далайн тохой,zatoka
142,Insel::N,арал,wyspa
143,Blume::N,цэцэг,kwiat
144,Gras::N,өвс,trawa
145,Gras::N,ногоо,trawa
146,Wurzel::N,үндэс,korzeń
147,Baum::N,мод,drzewo
148,Stamm::N,иш,pień
149,Stamm::N,гуалин,pień
150,Rinde::N,холтос,kora
151,Ast::N,гишүү,gałąź
152,Zweig::N,салаа,gałąź
153,Blatt::N,навч,liść
154,Birke::N,хус,brzoza
155,Kiefer[Baum]::N,нарс,sosna
156,Weide[Baum]::N,уд,wierzba
157,Weide[Baum]::N,бургас,wierzba
158,Tanne::N,гачуур,jodła
159,Horn::N,эвэр,róg
160,Feder::N,өд,pióro
161,Fell::N,арьс,futro
162,Flügel::N,жигүүр,skrzydło
163,Flügel::N,далавч,skrzydło
164,Klaue::N,савар,szpon
165,Klaue::N,хумс,szpon
166,Kralle::N,савар,pazur
167,Schwanz::N,сүүл,ogon
168,Ei::N,өндөг,jajko
169,Nest::N,үүр,gniazdo
170,Bau::N,нүх,nora
171,Bau::N,элүү,nora
172,Tier::N,амьтан,zwierzę
173,Tier::N,адгуус,zwierzę
174,Herde::N,сүрэг,stado
175,Herde::N,сүрэг,trzoda
176,Kuh::N,үнээ,krowa
177,Bulle::N,бух,byk
178,Pferd::N,морь,koń
179,Pferd::N,адуу,koń
180,Schaf::N,хонь,owca
181,Schwein::N,гахай,świnia
182,Hund::N,нохой,pies
183,Katze::N,муур,kot
184,Katze::N,муур,kotka
185,Katze::N,мигуй,kot
186,Katze::N,мигуй,kotka
187,Bär::N,баавгай,niedźwiedż
188,Eichhörnchen::N,хэрэм,wiewiórka
189,Elch::N,хандгай,łóś
190,Fuchs::N,үнэг,lis
191,Hase::N,туулай,zając
192,Maus::N,хулгана,mysz
193,Wolf::N,чоно,wilk
194,Vogel::N,шувуу,ptak
195,Schwarm::N,сүрэг,stado
196,Huhn::N,тахиа,kura
197,Hahn::N,эр тахиа,kogut
198,Gans::N,галуу,gęś
199,Adler::N,бүргэд,orzeł
200,Ente::N,нугас,kaczka
201,Eule::N,ууль,sowa
202,Kranich::N,тогоруу,żuraw
203,Krähe::N,хэрээ,wrona
204,Kuckuck::N,хөхөө,kukułka
205,Schwan::N,хун,łabędż
206,Fisch::N,загас,ryba
207,Barsch::N,алгана,okoń
208,Hecht::N,цурхай,szczupak
209,Schlange[Tier]::N,могой,wąż
210,Schlange[Tier]::N,могой,żmija
211,Wurm::N,өт,robak
212,Wurm::N,хорхой,robak
213,Spinne::N,аалз,pająk
214,Ameise::N,шоргоолж,mrówka
215,Laus::N,бөөс,wesz
216,Mücke::N,шумуул,komar
217,Fliege::N,ялаа,mucha
218,Schmetterling::N,эрвээхэй,motyl
219,Beere::N,жимсгэнэ,jagoda
220,Apfel::N,алим,jabłko
221,Pilz::N,мөөг,grzyb
222,Zwiebel::N,сонгино,cebula
223,Saat::N,тариа,siew
224,Korn::N,үр,ziarno
225,Korn::N,мөхлөг,ziarno
226,Heu::N,өвс,siano
227,Schale::N,хальс,łupina
228,Grube::N,алам,dół
229,Grube::N,алам,jama
230,Grube::N,нүх,dół
231,Grube::N,нүх,jama
232,Falle::N,хавх,pułapka
233,Falle::N,занга,pułapka
234,Schlinge::N,урхи,sidła
235,Spur::N,мөр,ślad
236,Asche::N,үнс,popiół
237,Dreck::N,хир,brud
238,Eisen::N,төмөр,żelazo
239,Gold::N,алт,złoto
240,Silber::N,мөнгө,srebro
