,Concept_ID,uk,ru
0,Auge::N,око,глаз
1,Ohr::N,вухо,ухо
2,Nase::N,ніс,нос
3,Mund::N,рот,рот
4,Zahn::N,зуб,зуб
5,Zunge::N,язик,язык
6,Lippe::N,губа,губа
7,Wange::N,щока,щека
8,Gesicht::N,обличчя,лицо
9,Stirn::N,лоб,лоб
10,Haar::N,волосся,волос
11,Haar::N,волосся,волосы
12,Schnurrbart::N,вуса,ус
13,Schnurrbart::N,вуса,усы
14,Bart::N,борода,борода
15,Kinn::N,підборіддя,подбородок
16,Kiefer[Anatomie]::N,щелепа,челюсть
17,Kehle::N,горло,горло
18,Hals::N,шия,шея
19,Genick::N,потилиця,затылок
20,Kopf::N,голова,голова
21,Rücken::N,спина,спина
22,Bauch::N,живіт,живот
23,Nabel::N,пупок,пупок
24,Busen::N,груди,женская грудь
25,Brust::N,груди,грудь
26,Schulter::N,плече,плечо
27,Arm::N,рука,рука
28,Ellenbogen::N,лікоть,локоть
29,Hand::N,рука,кисть
30,Handfläche::N,долоня,ладонь
31,Finger::N,палець,палец
32,Fingernagel::N,ніготь,ноготь
33,Nagel[Anatomie]::N,ніготь,ноготь
34,Zeh::N,палець на нозі,палец
35,Fuß::N,нога,ступня
36,Ferse::N,п’ятка,пята
37,Ferse::N,п’ятка,пятка
38,Knie::N,коліно,колено
39,Oberschenkel::N,стегно,бедро
40,Bein::N,нога,нога
41,Körper::N,тіло,тело
42,Haut::N,шкіра,кожа
43,Blut::N,кров,кровь
44,Ader::N,вена,вена
45,Ader::N,вена,сосуд
46,Sehne::N,сухожилля,жила
47,Sehne::N,сухожилля,тетива
48,Sehne::N,сухожилля,сухожилие
49,Knochen::N,кістка,кость
50,Gehirn::N,мозок,мозг
51,Herz::N,серце,сердце
52,Magen::N,шлунок,желудок
53,Leber::N,печінка,печень
54,Atem::N,дихання,дух
55,Atem::N,дихання,дыхание
56,Hunger::N,голод,голод
57,Träne::N,сльоза,слеза
58,Geschmack::N,смак,вкус
59,Geruch::N,запах,запах
60,Schlaf::N,сон,сон
61,Schlaf::N,сплячка,сон
62,Traum::N,сон,сновидение
63,Himmel::N,небо,небо
64,Sonne::N,сонце,солнце
65,Mond::N,місяць,луна
66,Stern::N,зірка,звезда
67,Luft::N,повітря,воздух
68,Wind::N,вітер,ветер
69,Welle::N,хвиля,волна
70,Wasser::N,вода,вода
71,Stein::N,камінь,камень
72,Boden::N,ґрунт,почва
73,Erde::N,земля,земля
74,Staub::N,пил,пыль
75,Rauch::N,дим,дым
