,Concept_ID,te,ady
0,Auge::N,కన్ను,нэ
1,Ohr::N,చెవి,тхьакӏу́м
2,Nase::N,ముక్కు,пэ
3,Mund::N,నోరు,жэ
4,Zahn::N,పల్లు,цэ
5,Zunge::N,నాలుక,бзэгу
6,Lippe::N,పెదవి,ӏупшӏэ́
7,Wange::N,చెంప,нэкӏу́шъу
8,Gesicht::N,ముఖము,нэ́гу
9,Stirn::N,నుదురు,натӏэ́
10,Haar::N,వెండ్రుక,шъхьацы́
11,Schnurrbart::N,మీసము,
12,Bart::N,గడ్డము,жакӏэ́
13,Kinn::N,గడ్డము,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,దౌడ,жэпкъы́
15,Kehle::N,గొంతు,чый
16,Hals::N,మెడ,пшъэ
17,Genick::N,మూపు,шъхьэпхэтыку
18,Kopf::N,తల,шъхьэ́
19,Rücken::N,వెన్ను,кӏыбы́
20,Bauch::N,కడుపు,ныбэ́
21,Nabel::N,బొడ్డు,
22,Busen::N,స్తనము,бгъэ́
23,Brust::N,ఱొమ్ము,бгъэ́
24,Schulter::N,భుజము,блыпкъ
25,Arm::N,చేయి,ӏэ
26,Ellenbogen::N,మోచేయి,ӏэнтэ́гъу
27,Hand::N,చేయి,ӏэтхьэцу
28,Handfläche::N,అరచేయు,ӏэ́гу
29,Finger::N,చేతిప్రేలు,ӏэхъуа́мб
30,Fingernagel::N,గోరు,ӏэбжъа́н
31,Nagel[Anatomie]::N,గోరు,ӏэбжъа́н
32,Zeh::N,కాలిప్రేలు,ӏэхъуа́мб
33,Fuß::N,అడుగు,лъэгу
34,Ferse::N,మడమ,лъэдакъэ
35,Knie::N,మోకాలు,лъагуа́ндж
36,Oberschenkel::N,తొడ,ко
37,Bein::N,కాలు,лъакъо́
38,Körper::N,కాయము,пкъышъол
39,Haut::N,చర్మము,кӏы́шъу
40,Blut::N,రక్తము,лъы
41,Ader::N,సిర,льытф
42,Sehne::N,స్నాయువు,фэ
43,Knochen::N,ఎముక,къупшъхьэ́
44,Gehirn::N,మెదడు,куцӏы
45,Herz::N,హృదయము,гу
46,Magen::N,కడుపు,мышкӏу
47,Leber::N,కాలేయము,шӏу
48,Atem::N,ఉపిరి,къэщэныр
49,Hunger::N,ఆకలి,гъаблэ́
50,Träne::N,కన్నీటిచుక్క,нэпсы
51,Geschmack::N,రుచి,ӏэшӏугъа́кӏ
52,Geruch::N,వాసన,мэ
53,Schlaf::N,నిద్ర,пчыхьы́пӏ
54,Traum::N,కల,пчыхьы́пӏ
55,Himmel::N,ఆకాశము,уашъо́
56,Sonne::N,సూర్యుడు,тыгъэ
57,Mond::N,చంద్రుడు,мазэ
58,Stern::N,నక్షత్రము,жъуагъо́
59,Luft::N,గాలి,жьы
60,Wind::N,వీచుచున్నగాలి,жьыбгъэ́
61,Welle::N,అల,ор
62,Welle::N,అల,оры
63,Wasser::N,నీరు,псы
64,Stein::N,ఱాయి,мыжъо́
65,Boden::N,నేల,чӏ́ыгу
66,Erde::N,మన్ను,чӏ́ыгу
67,Staub::N,దుమ్ము,сап
68,Rauch::N,పొగ,ӏугъо́
69,Funke::N,అగ్నికణము,мэшӏуа́ч
70,Feuer::N,అగ్ని,машӏо́
71,Licht::N,కాంతి,нэфы
72,Licht::N,కాంతి,нэфын
73,Schatten::N,నీడ,жьау́
74,Schatten::N,నీడ,ныбжьыкъу
75,Wetter::N,వాతావరణ స్థితి,
76,Nebel::N,పొగమంచు,пща́гъу
77,Wolke::N,మేఘము,ошъуапщэ
78,Regen::N,వాన,ощхы
79,Schnee::N,హిమము,осы́
80,Eis::N,మంచుగడ్డ,мылы
81,Frost::N,పేరిన మంచు,
82,Kälte::N,చలి,чъыӏэ́
83,Hitze::N,వేడిమి,фэба́е
84,Raureif::N,మంచు,
85,Regenbogen::N,ఇంద్రధనుస్సు, лэгъупэкъо́пс
86,Donner::N,ఉరుము,шыблэ́
87,Strömung::N,ప్రవాహము,ток
88,Tropfen::N,చుక్క,ткӏопс
89,Tropfen::N,చుక్క,гъуаткӏу
90,Schaum::N,నురుగు,тхъурбэ
91,Schmutz::N,మైల,псынжъы
92,See::N,సరస్సు,хыку́м
93,See::N,సరస్సు,псыхъура́й
94,Sumpf::N,చిత్తడినేల,орыжъ
95,Moor::N,చిత్తడినేల,орыжъ
96,Wiese::N,పచ్చిక బయలు,хъупӏэ́
97,Wiese::N,పచ్చిక బయలు,мэкъупӏ
98,Wald::N,అడవి,мэзы́
99,Hügel::N,చివ్నకొండ,ӏуашъхь
100,Anhöhe::N,కొండ,чӏыӏэтыгъ
101,Berg::N,పర్వతము,къушъхьэ́
102,Gipfel::N,శిఖరము,шыгу
103,Höhle::N,గుహ,гъочӏэгъ
104,Abhang::N,ఏటవాలు,чапэ
105,Quelle::N,మూలము,псынэчэ́чъ
106,Bach::N,కాలువ,псышкуашку
107,Fluss::N,నది,псыхъо́
108,Ufer::N,తీరము,нэпкъы
109,Küste::N,తీరము,ӏушъо
110,Festland::N,భూమి,чӏл́ыгу
111,Meer::N,సముద్రము,хы
112,Bucht::N,మరుగు,хыблыгу
113,Insel::N,దీవి,хыгъэхъу́н
114,Blume::N,పుష్పము,къэгъа́гь
115,Gras::N,పచ్చగడ్డి,уцы́
116,Wurzel::N,వేరు,лъапсэ́
117,Baum::N,చెట్టు,чъыгы́
118,Stamm::N,చెట్టుబోదె,пкъы
119,Rinde::N,చెట్టుపట్ట,пхъашъо́
120,Ast::N,కొమ్మ,куамэ
121,Zweig::N,చివుకు,къутамэ́
122,Blatt::N,ఆకు,тхьап
123,Birke::N,తరహా చెట్టు,пчэн
124,Kiefer[Baum]::N,దేవదారు చెట్టు,сэснэй
125,Weide[Baum]::N,జాతిచెట్టు,пце́л
126,Tanne::N,దేవదారుచెట్టు,ель
127,Horn::N,కొమ్ము,бжъэ
128,Feder::N,ఈక,къамӏы́й
129,Fell::N,తోలు,шъо
130,Flügel::N,ఱెక్క,тамэ́
131,Klaue::N,వంకరగోరు,лъэбжъа́н
132,Kralle::N,వంకరగోరు,лъакъо
133,Schwanz::N,తోక,кӏэ
134,Ei::N,గ్రుడ్డు,кӏэнкӏэ́
135,Nest::N,పక్షిగూడు,набгъо́
136,Bau::N,గుహ,гъу
137,Bau::N,గుహ,бы
138,Tier::N,జంతువు,псэу́шъхь
139,Herde::N,మంద,ӏэхъогъу
140,Kuh::N,ఆవు,чэмы́
141,Bulle::N,గిత్త,цу
142,Pferd::N,గుఱ్ఱము,шы
143,Schaf::N,గొఱ్ఱె,мэлы́
144,Schwein::N,పంది,къо
145,Hund::N,కుక్క,бьэ
146,Katze::N,పిల్లి,чэты́у
147,Bär::N,ఎలుగుబంటి,мышъэ́
148,Eichhörnchen::N,ఉడుత,цызэ́
149,Elch::N,కణంజు,лось
150,Fuchs::N,గుంటనక్క,баджэ́
151,Hase::N,కుందేలు,тхьакӏумкӏы́хь
152,Maus::N,చిట్టెలుక,цыгъо́
153,Wolf::N,తోడేలు,тыгъу́жъ
154,Vogel::N,పక్షి,бзы́у
155,Schwarm::N,గుంపు,отэр
156,Huhn::N,కోడిపిల్ల,чэты́
157,Hahn::N,కోడివుంజు,атакъэ́
158,Gans::N,ఆడుబాతు,къа́з
159,Adler::N,గ్రద్ద,
160,Ente::N,పాట్టిబాతు,псычэ́т
161,Eule::N,గ్రుడ్లగూబ,тыгъурыгъу
162,Kranich::N,కొంగ,къэрэ́у
163,Krähe::N,కాకి,къолэ́жъ
164,Kuckuck::N,కోయల,куку́у
165,Schwan::N,హంస,
166,Fisch::N,చేప,пцэжъы́й
167,Barsch::N,ఒకచేఁప,тхыкъэц
168,Hecht::N,గండుమీను,лэнд
169,Schlange[Tier]::N,పాము,блэ́
170,Wurm::N,పురుగు,хьамлыу
171,Spinne::N,సాలె పురుగు,бэдж
172,Ameise::N,చీమ,къамзэ́гу
173,Laus::N,పేను,цӏэ
174,Mücke::N,చీకటీగ,аргъо́й
175,Fliege::N,ఈగ,бадзэ́
176,Schmetterling::N,సీతాకోకచిలుక,хьампӏыра́шъу
177,Beere::N,కాయ,маткӏо
178,Apfel::N,ఆపిల్ పండు,мыӏэры́с
179,Pilz::N,కుక్కగొడుగు,хьаӏу
180,Zwiebel::N,నీరుల్లి,бжьыны́
181,Saat::N,విత్తనము,чылапхъ
182,Korn::N,గింజ,цэ
183,Heu::N,ఎండుగడ్డి,мэкъу
184,Schale::N,పొట్టు,кӏы́шъу
185,Grube::N,గొయ్యి,машэ́
186,Falle::N,బోను,зэраубытырэ́ ӏэмэпсы́м
187,Schlinge::N,ఉరి,бзыуубыт
188,Spur::N,జాడ,ужы
189,Spur::N,జాడ,лъэуж
190,Asche::N,బూడిద,яжьэ́
191,Dreck::N,ముఱికి,псынжъы
192,Eisen::N,ఇనుము,гыучӏы́
193,Eisen::N,ఇనుము,къэнджа́л
194,Gold::N,బంగారము,дышъэ́
195,Silber::N,వెండి,тыжьы́н
196,Kohle::N,నేలబొగ్గు,шӏомыкӏ
197,Glas::N,గాజు,апч
198,Lehm::N,బంకమన్ను,етӏагъо́
199,Sand::N,ఇసుక,пшахъо
