,Concept_ID,az,mdf
0,Auge::N,göz,сельме
1,Ohr::N,qulaq,пиле
2,Nase::N,burun,шалхка
3,Mund::N,ağız,курга
4,Zahn::N,diş,пей
5,Zunge::N,dil,кяль
6,Lippe::N,dodaq,търва́
7,Wange::N,yanaq,щёка
8,Gesicht::N,üz,шама
9,Stirn::N,alın,коня
10,Haar::N,saç,шя́ярь
11,Schnurrbart::N,bığ,уса́
12,Bart::N,saqqal,сакал
13,Kinn::N,çənə,ула
14,Kiefer[Anatomie]::N,çənə,саласка
15,Kehle::N,boğaz,кълдома
16,Kehle::N,boğaz,кърга́парь
17,Hals::N,boyun,сялдаз
18,Genick::N,ənsə,шовонь
19,Kopf::N,baş,пря
20,Rücken::N,bel,копорь
21,Bauch::N,qarın,пеке
22,Nabel::N,göbək,по́кон
23,Busen::N,məmə,потя
24,Brust::N,döş,мяште
25,Schulter::N,çiyin,лафту
26,Arm::N,qol,кядь
27,Ellenbogen::N,dirsək,кенерьба́карь
28,Hand::N,əl,кядь
29,Handfläche::N,ovuc,кядьлапш
30,Finger::N,barmaq,сур
31,Fingernagel::N,barmaq dırnağı,кенже
32,Nagel[Anatomie]::N,dırnak,кенже
33,Zeh::N,ayaq barmağı,пильгосу́р
34,Fuß::N,ayaq,пильге
35,Fuß::N,ayaq,пильгелапа
36,Ferse::N,daban,кочкяря
37,Knie::N,diz,эль
38,Knie::N,diz,пълма́нжа
39,Oberschenkel::N,bud,пильгепукша
40,Bein::N,qıç,пильге
41,Körper::N,əndam,ро́нга
42,Körper::N,əndam,по́нда
43,Haut::N,dəri,киське
44,Blut::N,qan,вер
45,Ader::N,damar,сан
46,Ader::N,damar,верза́н
47,Sehne::N,vətər,коське сан
48,Knochen::N,sümük,пакарь
49,Gehirn::N,beyin,уй
50,Herz::N,ürək,седи
51,Magen::N,mədə,коткърдазь
52,Leber::N,qara ciyər,макса
53,Atem::N,nəfəs,лекома
54,Atem::N,nəfəs,ваймонь тарксема
55,Hunger::N,aclıq,вачеши
56,Träne::N,göz yaşı,сельмове́дь
57,Geschmack::N,tam,таньф
58,Geschmack::N,ləzzət,таньф
59,Geruch::N,qoxu,шине
60,Schlaf::N,yuxu,удома́
61,Traum::N,röya,он
62,Himmel::N,göy,менель
63,Himmel::N,səma,менель
64,Sonne::N,günəş,ши
65,Mond::N,ay,ков
66,Stern::N,ulduz,тяште
67,Luft::N,hava,кожф
68,Wind::N,yel,варма
69,Wind::N,külək,варма
70,Welle::N,dalğa,тавла
71,Wasser::N,su,ведь
72,Stein::N,daş,кев
73,Boden::N,yer,мода
74,Boden::N,yer,потмакс
75,Boden::N,zəmin,мода
76,Boden::N,zəmin,потмакс
77,Erde::N,yer torpaq,мода
78,Erde::N,yer torpaq,мастор
79,Staub::N,toz,пуль
80,Rauch::N,tüstü,качам
81,Funke::N,qığılcım,ця́тка
82,Feuer::N,od,тол
83,Licht::N,işıq,ва́лда
84,Schatten::N,kölgə,цильф
85,Wetter::N,hava,уша
86,Nebel::N,duman,тума́н
87,Wolke::N,bulud,ковол
88,Regen::N,yağış,пизем
89,Regen::N,yağmur,пизем
90,Schnee::N,qar,лов
91,Eis::N,buz,эй
92,Frost::N,ayaz,ке́льме
93,Kälte::N,soyuq,якшама
94,Hitze::N,coşğunluq,пси
95,Raureif::N,qırov,леш
96,Regenbogen::N,göy qurşağı,а́тямъёнга
97,Donner::N,göy gurultusu,атям
98,Strömung::N,axın,шудема́
99,Tropfen::N,damcı,путькс
100,Tropfen::N,damcı,пътняфкс
101,Schaum::N,köpük,шов
102,Schmutz::N,çamır,ърда́з
103,See::N,göl,эрьхке
104,Sumpf::N,bataqlıq,шяй
105,Moor::N,bataqlıq,шяй
106,Wiese::N,çəmən,луга
107,Wald::N,meşə,вирь
108,Hügel::N,təpə,губо́р
109,Hügel::N,təpə,пандоня
110,Anhöhe::N,təpə,губо́р
111,Berg::N,dağ,панда
112,Gipfel::N,zirvə,пря
113,Höhle::N,mağara,у́нда
114,Abhang::N,yamac,па́нда ша́ма
115,Quelle::N,bulaq,эшиня
116,Bach::N,kiçik çay,шудерькс
117,Fluss::N,çay,ляй
118,Ufer::N,kənar,търва́
119,Küste::N,sahil,ляйтърва́
120,Festland::N,materik,мода
121,Meer::N,dəniz,моря
122,Bucht::N,körfəz,ведьуське
123,Insel::N,ada,цёнга
124,Blume::N,çiçək,панчф
125,Gras::N,ot,тише
126,Wurzel::N,kök,юр
127,Wurzel::N,kök,ункс
128,Baum::N,ağac,шуфта
129,Stamm::N,gövdə,ро́нга
130,Rinde::N,qabıq,кер
131,Ast::N,şax,морга
132,Zweig::N,budaq,тарад
133,Blatt::N,yarpaq,лопа
134,Birke::N,tozağacı,ке́лу
135,Kiefer[Baum]::N,şam,пиче
136,Weide[Baum]::N,söyüd,каль
137,Tanne::N,küknar,куз
138,Horn::N,buynuz,сюра
139,Feder::N,tük,толга
140,Feder::N,lələk,толга
141,Fell::N,xəz,кедь
142,Flügel::N,qanad,паця
143,Klaue::N,pəncə,кенже
144,Kralle::N,dırnaq,кенже
145,Schwanz::N,quyruq,пула
146,Ei::N,yumurta,ал
147,Nest::N,yuva,пиза
148,Bau::N,yuva,пиза
149,Tier::N,heyvan,жува́та
150,Herde::N,sürü,нал
151,Herde::N,sürü,стада
152,Kuh::N,inək,скал
153,Kuh::N,inək,тракс
154,Bulle::N,öküz,бука
155,Pferd::N,at,лишме
156,Schaf::N,qoyun,уча́
157,Schwein::N,donuz,тува
158,Hund::N,it,пине
159,Hund::N,köpək,пине
160,Katze::N,pişik,катоня
161,Katze::N,pişik,аваката
162,Bär::N,ayı,офта
163,Eichhörnchen::N,dələ,ур
164,Elch::N,sığın,ся́рда
165,Fuchs::N,tülkü,келазь
166,Hase::N,dovşan,ну́мол
167,Maus::N,siçan,шеер
168,Wolf::N,qurd,върьгаз
169,Vogel::N,quş,нармонь
170,Schwarm::N,sürü,ко́вол
171,Schwarm::N,sürü,ме́швеле
172,Huhn::N,toyuq,сараз
173,Hahn::N,xoruz,а́тякш
174,Gans::N,qaz,маци
175,Adler::N,qartal,куцькан
176,Adler::N,qaraquş,куцькан
177,Ente::N,ördək,яксярга
178,Eule::N,bayquş,ко́рож
179,Kranich::N,durna,ка́рга
180,Krähe::N,qarğa,ва́рси
181,Kuckuck::N,ququ,ку́ку
182,Schwan::N,qu quşu,ло́ксти
183,Fisch::N,balıq,кал
184,Barsch::N,tar,о́кунь
185,Hecht::N,durnabalığı,щу́ка
186,Schlange[Tier]::N,ilan,куй
187,Wurm::N,qurd,сукс
188,Spinne::N,hörümçək,унжа́
189,Ameise::N,qarışqa,панжам
190,Laus::N,bit,си
191,Mücke::N,ağcaqanad,ся́ське
192,Fliege::N,milçək,кару
193,Schmetterling::N,kəpənək,ме́лав
194,Beere::N,gilə,и́мож
195,Apfel::N,alma,марь
196,Pilz::N,göbələk,панга
197,Zwiebel::N,soğan,шурьхкя́
198,Saat::N,əkin,видьмот
199,Korn::N,taxıl,сёра
200,Heu::N,quru ot,тише
201,Schale::N,qabıq,кедь
202,Grube::N,çuxur,лотка
203,Falle::N,tələ,туфкс
204,Falle::N,tələ,кунда́ма
205,Falle::N,duzaq,туфкс
206,Falle::N,duzaq,кунда́ма
207,Schlinge::N,ilmək,килькш
208,Spur::N,iz,пильгоки́
209,Asche::N,kül,кулу
210,Dreck::N,kir,ърда́з
211,Eisen::N,dəmir,кшни
212,Gold::N,altun,ока
213,Gold::N,altun,золота
