,Concept_ID,el,lt
0,Auge::N,μάτι,akis
1,Auge::N,οφθαλμός,akis
2,Ohr::N,αυτί,ausis
3,Nase::N,μύτη,nosis
4,Mund::N,στόμα,burna
5,Zahn::N,δόντι,dantis
6,Zunge::N,γλώσσα,liežuvis
7,Lippe::N,χείλος,lūpa
8,Wange::N,παρειά,žandas
9,Wange::N,παρειά,skruostas
10,Wange::N,μάγουλο,žandas
11,Wange::N,μάγουλο,skruostas
12,Gesicht::N,πρόσωπο,veidas
13,Stirn::N,μέτωπο,kakta
14,Haar::N,μαλλιά,plaukai
15,Schnurrbart::N,μουστάκι,ūsai
16,Bart::N,γένια,barzda
17,Kinn::N,πιγούνι,smakras
18,Kiefer[Anatomie]::N,σαγόνι,žandikaulis
19,Kehle::N,λαρύγγι,gerklė
20,Hals::N,λαιμός,kaklas
21,Genick::N,σβέρκος,sprandas
22,Kopf::N,κεφάλι,galva
23,Rücken::N,ράχη,nugara
24,Bauch::N,κοιλιά,pilvas
25,Nabel::N,αφαλός,bamba
26,Busen::N,στήθος,krūtinė
27,Brust::N,στήθος,krūtis
28,Schulter::N,ώμος,petys
29,Arm::N,χέρι,ranka
30,Arm::N,μπράτςο,ranka
31,Ellenbogen::N,αγκώνας,alkūnė
32,Hand::N,χέρι,ranka
33,Hand::N,χέρι,plaštaka
34,Handfläche::N,παλάμη,delnas
35,Handfläche::N,παλάμη,plaštaka
36,Finger::N,δάχτυλο,pirštas
37,Fingernagel::N,νύχι,nagas
38,Nagel[Anatomie]::N,νύχι,nagas
39,Zeh::N,δάχτυλο του ποδιού,pirštas
40,Fuß::N,πόδι,pėda
41,Ferse::N,φτέρνα,kulnas
42,Knie::N,γόνατο,kelis
43,Oberschenkel::N,μηρός,kulšis
44,Oberschenkel::N,μηρός,šlaunis
45,Bein::N,πόδι,koja
46,Körper::N,σώμα,kūnas
47,Körper::N,κορμί,kūnas
48,Haut::N,πετσί,oda
49,Blut::N,αίμα,kraujas
50,Ader::N,φλέβα,kraujagyslė
51,Sehne::N,νεύρο,sausgyslė
52,Sehne::N,τένοντας,sausgyslė
53,Knochen::N,οστό,kaulas
54,Knochen::N,κόκκαλο,kaulas
55,Gehirn::N,μυαλό,smegenys
56,Gehirn::N,εγκέφαλος,smegenys
57,Herz::N,καρδιά,širdis
58,Magen::N,στομάχι,skrandis
59,Leber::N,ήπαρ,kepenys
60,Leber::N,συκωτί,kepenys
61,Atem::N,αναπνοή,kvapas
62,Hunger::N,πείνα,badas
63,Hunger::N,πείνα,alkis
