,Concept_ID,tr,ce
182,Gans::N,kaz,гӏаз
183,Adler::N,kartal,aьрзу
184,Adler::N,karakuş,aьрзу
185,Ente::N,ördek,бад
186,Eule::N,baykuş,бухӏа
187,Kranich::N,turna,гӏаргӏули
188,Krähe::N,karga,къиг
189,Kuckuck::N,guguk,aттйокх
190,Schwan::N,kuğu,гӏургӏаз
191,Fisch::N,balık,чӏара
192,Barsch::N,hani,окунь
193,Barsch::N,levrek,окунь
194,Hecht::N,turnabalığı,гӏазкхийн чӏара
195,Schlange[Tier]::N,yılan,лаьхьа
196,Wurm::N,kurt,нӏаьна
197,Wurm::N,solucan,нӏаьна
198,Spinne::N,örümcek,гезг
199,Ameise::N,karınca,зингат
200,Laus::N,bit,меза
201,Laus::N,bit,гӏениг
202,Mücke::N,sivrisinek,чуьрк
203,Fliege::N,sinek,моза
204,Schmetterling::N,kelebek,полла
205,Beere::N,tane,цӏазам
206,Apfel::N,elma,ӏаж
207,Pilz::N,mantar,жӏаьлин нускал
208,Zwiebel::N,soğan,xох
209,Saat::N,ekin,чlу
210,Korn::N,tane,буьртиг
211,Heu::N,kuru ot,йол
212,Schale::N,kabuk,пардо
213,Grube::N,çukur,ор
214,Falle::N,tuzak,кӏело
215,Schlinge::N,ilmik,
216,Spur::N,iz,лар
217,Asche::N,kül,чим
218,Dreck::N,pislik,мода
219,Eisen::N,demir,эчиг
220,Gold::N,altın,деши
221,Silber::N,gümüş,дети
222,Kohle::N,kömür,кӏора
223,Glas::N,cam,aнгали
224,Lehm::N,balçık,поппар
225,Sand::N,kum,гӏум
226,Mensch::N,insan,адам
227,Mann::N,adam,майра
228,Mann::N,erkek,майра
229,Frau::N,bayan,зуда
230,Kind::N,çocuk,бер
231,Junge::N,erkek çocuk,жимха
232,Mädchen::N,kız,жима йоӏ
233,Familie::N,aile,доьзал
234,Großvater::N,dede,ненада
235,Großvater::N,büyükbaba,ненада
236,Großmutter::N,nine,денана
237,Großmutter::N,büyükanne,денана
238,Eltern::N,ebeveyn,да-нана
239,Eltern::N,ana baba,да-нана
240,Vater::N,ata,да
241,Vater::N,baba,да
242,Mutter::N,ana,нана
243,Mutter::N,anne,нана
244,Sohn::N,oğul,кӏант
245,Tochter::N,kız,йоӏ
246,Tochter::N,kız evlât,йоӏ
247,Bruder::N,abi,ваша
248,Bruder::N,erkek kardeş,ваша
