,Concept_ID,ba,uz
0,Auge::N,күҙ,ko'z
1,Ohr::N,ҡолаҡ,quloq
2,Nase::N,танау,burun
3,Mund::N,ауыҙ,og'iz
4,Zahn::N,теш,tish
5,Zunge::N,тел,til
6,Lippe::N,ирен,dudoq
7,Wange::N,яцаҡтар,bet
8,Gesicht::N,бит,yuz
9,Stirn::N,маңлай,manglay
10,Haar::N,сәс,soch
11,Schnurrbart::N,мылтыҡ,mo'ylov
12,Bart::N,һаҡал,soqol
13,Kinn::N,эйэк,ängak
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,iyak
15,Kehle::N,тамаҡ,bo'g'iz
16,Hals::N,муйын,bo'yin
17,Genick::N,соңҡа,gardan
18,Kopf::N,баш,bosh
19,Rücken::N,арҡа,orqa
20,Bauch::N,ҡорһаҡ,qorin
21,Nabel::N,кендек,kindik
22,Busen::N,күкрәк,ämchak
23,Brust::N,түш,ko'krak
24,Schulter::N,яурын,elka
25,Arm::N,ҡул,bilak
26,Ellenbogen::N,терһәк,tirsak
27,Hand::N,ҡул,qo'l
28,Hand::N,ҡул суғы,qo'l
29,Handfläche::N,ус төбө,kaft
30,Finger::N,бармаҡ,barmoq
31,Fingernagel::N,тырнаҡ,tirnoq
32,Nagel[Anatomie]::N,тырнаҡ,tirnoq
33,Zeh::N,бармаҡ,oyoq barmog'i
34,Fuß::N,табан,oyoq
35,Ferse::N,үксә,tovon
36,Knie::N,тубыҡ,tiz
37,Oberschenkel::N,сандыр,son
38,Bein::N,аяҡ,oyoq
39,Körper::N,тән,badna
40,Haut::N,тире,teri
41,Blut::N,ҡан,qon
42,Ader::N,тамыр,qon tomir
43,Sehne::N,һеңер,tomir
44,Sehne::N,тарамыш,tomir
45,Knochen::N,һойәк,suyak
46,Gehirn::N,мейе,miya
47,Herz::N,йорәк,qalb
48,Magen::N,ашҡаҙан,oshqozon
49,Leber::N,бауыр,bag'ir
50,Atem::N,һулыш,dam
51,Hunger::N,аслыҡ,ochlik
52,Träne::N,күҙ иәше,yosh
53,Geschmack::N,тәм,tam
54,Geruch::N,еҫ,jid
55,Schlaf::N,йоҡлау,uyqu
56,Traum::N,төш,tush
57,Himmel::N,күк,osmon
58,Sonne::N,ҡояш,quyosh
59,Mond::N,ай,oy
60,Stern::N,йондоҙ,yulduz
61,Luft::N,һауа,havo
62,Wind::N,ел,el
63,Welle::N,тулҡын,to'lqin
64,Wasser::N,һыу,suv
65,Stein::N,таш,tosh
66,Boden::N,тупраҡ,tuproq
67,Erde::N,балсҡ,er
68,Staub::N,туҙан,chang
69,Rauch::N,төтөн,tutun
70,Funke::N,осҡон,yalt
71,Feuer::N,ут,o't
72,Licht::N,яҡтылыҡ,yorug'
73,Schatten::N,күләгә,soya
74,Wetter::N,һауа торошо,havo
75,Nebel::N,төман,tuman
76,Wolke::N,болот,bulut
77,Regen::N,ямғыр,yomg'ir
78,Schnee::N,ҡар,qor
79,Eis::N,боҙ,muz
80,Frost::N,һалҡын,ajoz
81,Kälte::N,һыуыҡ,ajoz
82,Hitze::N,томра,issiq
83,Hitze::N,эҫелек,issiq
84,Raureif::N,ҡырау,qirov
85,Regenbogen::N,йәйғор,kamalak
86,Donner::N,күк күкрәү,guldur
87,Strömung::N,ағым,oqim
88,Tropfen::N,тамсы,tomchi
89,Schaum::N,күбек,ko'pik
90,Schmutz::N,батҡаҡ,gard
91,See::N,күл,ko'l
92,Sumpf::N,һаҙлык,botqoq
93,Moor::N,һаҙ,qir-adir
94,Wiese::N,болон,o'tzor
95,Wald::N,урман,o'rmon
96,Hügel::N,түбә,tepa
97,Anhöhe::N,түбә,adir
98,Anhöhe::N,ҡалҡыулыҡ,adir
99,Berg::N,тау,tog'
100,Gipfel::N,түбә,cho'qqi
101,Höhle::N,мәмерйә,kavak
102,Abhang::N,ипкен,to'sh
103,Quelle::N,шишмә,buloq
104,Bach::N,шишмә,o'zan
105,Fluss::N,йылға,daryo
106,Ufer::N,яр,sohil
107,Küste::N,яр буйы,qirg'oq
108,Festland::N,ҡоро ер,materik
109,Meer::N,диңгез,dengiz
110,Bucht::N,бухта,qo'ltiq
111,Insel::N,үтрау,orol
112,Blume::N,сәскә,gul
113,Gras::N,үлән,sabza
114,Wurzel::N,тамыр,tub
115,Wurzel::N,тамыр,tomir
116,Baum::N,ағас,daraxt
117,Stamm::N,олон,o'simta
118,Stamm::N,көбәк,o'simta
119,Rinde::N,ҡабыҡ,qobiq
120,Ast::N,ботаҡ,shox
121,Zweig::N,ботаҡ,butoq
122,Zweig::N,тармаҡ,butoq
123,Blatt::N,япраҡ,barg
124,Birke::N,ҡайын,qayin
125,Kiefer[Baum]::N,ҡарғай,qarag'ay
126,Weide[Baum]::N,тал,shum
127,Tanne::N,шыршы,archa
128,Horn::N,мөғөҙ,mugiz
129,Feder::N,ҡауырһын,par
130,Fell::N,тире,mo'yna
131,Flügel::N,ҡанат,qanot
132,Klaue::N,тырнаҡ,tirnoq
133,Kralle::N,аяҡ,tirnoq
134,Schwanz::N,ҡойроҡ,quyruq
135,Ei::N,йомортҡа,tuxum
136,Nest::N,оя,oshyon
137,Bau::N,оң,o'pqon
138,Tier::N,жайуан,hayvon
139,Tier::N,йыртҡыс,hayvon
140,Herde::N,көтөү,gala
141,Kuh::N,һыйыр,inak
142,Bulle::N,үгеҙ,ho'kiz
143,Pferd::N,ат,ot
144,Schaf::N,һарыҡ,qo'y
145,Schwein::N,сусҡа,cho'chqa
146,Hund::N,эт,it
147,Katze::N,бесәй,mushuk
148,Bär::N,айыу,ayiq
149,Eichhörnchen::N,тейен,tiyin
150,Elch::N,мышы,los
151,Fuchs::N,төлкө,tulki
152,Hase::N,ҡуян,kuyon
153,Maus::N,сысҡан,sichqon
154,Wolf::N,бүре,bo'ri
155,Vogel::N,ҡош,qush
156,Schwarm::N,көтөү,to'da
157,Huhn::N,тауыҡ,tovuq
158,Hahn::N,әтәс,xo'roz
159,Gans::N,ҡаҙ,g'oz
160,Adler::N,бөркөт,burgut
161,Ente::N,өйрәк,o'rdak
162,Eule::N,өкө,boyo'g'li
163,Eule::N,ябалаҡ,boyo'g'li
164,Kranich::N,торна,turna
165,Krähe::N,ҡарға,qarg'a
166,Kuckuck::N,кәкүк,kakku
167,Schwan::N,аҡҡош,oqkush
168,Fisch::N,балыҡ,baliq
169,Barsch::N,алабуға,olabug'a
170,Hecht::N,суртан,cho'rtan
