,Concept_ID,hy,da
0,Auge::N,աչք,øje
1,Ohr::N,ականջ,øre
2,Nase::N,քիթ,næse
3,Mund::N,բերան,mund
4,Zahn::N,ատամ,tand
5,Zunge::N,լեզու,tunge
6,Lippe::N,շրթունք,læbe
7,Wange::N,այտ,kind
8,Wange::N,թուշ,kind
9,Gesicht::N,դեմք,ansigt
10,Stirn::N,ճակատ,pande
11,Haar::N,մազ,hår
12,Schnurrbart::N,բեղ,overskæg
13,Bart::N,մորուք,skæg
14,Kinn::N,կզակ,hage
15,Kiefer[Anatomie]::N,ծնոտ,kæbe
16,Kehle::N,կոկորդ,strube
17,Hals::N,վիզ,hals
18,Hals::N,պարանոց,hals
19,Genick::N,ծոծրակ,nakke
20,Kopf::N,գլուխ,hoved
21,Rücken::N,մեջք,ryg
22,Bauch::N,փոր,mave
23,Bauch::N,որովայն,mave
24,Nabel::N,պորտ,navle
25,Busen::N,ծոց,barm
26,Brust::N,կուրծք,bryst
27,Schulter::N,ուս,skulder
28,Arm::N,թեւ,arm
29,Arm::N,բազուկ,arm
30,Ellenbogen::N,արմունկ,albue
31,Hand::N,ձեռք,hånd
32,Handfläche::N,ափ,håndflade
33,Finger::N,մատ,finger
34,Fingernagel::N,եղունգ,fingernegl
35,Nagel[Anatomie]::N,եղունգ,negl
36,Zeh::N,ոտքի մատ,tå
37,Fuß::N,ոտք,fod
38,Ferse::N,գարշապար,hæl
39,Knie::N,ծունկ,knæ
40,Oberschenkel::N,ազդր,lår
41,Bein::N,ոտք,ben
42,Körper::N,մարմին,krop
43,Körper::N,մարմին,legeme
44,Haut::N,մաշկ,hud
45,Blut::N,արյուն,blod
46,Ader::N,երակ,åre
47,Sehne::N,ջիղ,sene
48,Sehne::N,ձգտան,sene
49,Knochen::N,ոսկոր,ben
50,Gehirn::N,խելք,hjerne
51,Herz::N,սիրտ,hjerte
52,Magen::N,ստամոքս,mave
53,Leber::N,լյարդ,lever
54,Atem::N,շունչ,ånde
55,Hunger::N,քաղց,sult
56,Träne::N,արտասուք,tåre
57,Geschmack::N,համ,smag
58,Geschmack::N,բուրմունք,smag
59,Geruch::N,հոտ,lugt
60,Geruch::N,բուրում,lugt
61,Schlaf::N,քուն,søvn
62,Traum::N,երազ,drøm
63,Himmel::N,երկինք,himmel
64,Sonne::N,արեւ,sol
65,Mond::N,լուսին,måne
66,Stern::N,աստղ,stjerne
67,Luft::N,օդ,luft
68,Wind::N,քամի,vind
69,Welle::N,ալիք,bølge
70,Wasser::N,ջուր,vand
71,Stein::N,քար,sten
72,Boden::N,գետին,jord
73,Erde::N,հող,jord
74,Staub::N,փոշի,støv
75,Rauch::N,ծուխ,røg
76,Funke::N,կայծ,gnist
77,Feuer::N,կրակ,ild
