,Concept_ID,es,ps
0,Auge::N,ojo,سترګه
1,Ohr::N,oreja,غوږ
2,Nase::N,nariz,پوزه
3,Mund::N,boca,خوله
4,Zahn::N,diente,غاښ
5,Zunge::N,lengua,جبه
6,Lippe::N,labio,شونډه
7,Wange::N,mejilla,باړخو
8,Gesicht::N,cara,مخ
9,Stirn::N,frente,تندی
10,Stirn::N,frente,وچولی
11,Haar::N,cabello,وېښته
12,Schnurrbart::N,bigote,برېت
13,Bart::N,barba,ږیره
14,Kinn::N,barbilla,زنه
15,Kiefer[Anatomie]::N,mandíbula,جامه
16,Kehle::N,garganta,غاړه
17,Hals::N,cuello,غاړه
18,Genick::N,nuca,ورمېږ
19,Genick::N,cerviz,ورمېږ
20,Kopf::N,cabeza,سر
21,Rücken::N,espalda,شا
22,Bauch::N,vientre,نس
23,Bauch::N,vientre,ګېډه
24,Nabel::N,ombligo,نوم
25,Busen::N,pecho,تی
26,Brust::N,pecho,سینه
27,Schulter::N,hombro,اوږه
28,Arm::N,brazo,لاس
29,Ellenbogen::N,codo,څنګل
30,Hand::N,mano,لاس
31,Handfläche::N,palma,ورغوی
32,Finger::N,dedo,ګوته
33,Fingernagel::N,uña,نوک
34,Nagel[Anatomie]::N,uña,نوک
35,Zeh::N,dedo del pie,ګوته
36,Fuß::N,pie,پښه
37,Ferse::N,talón,پونده
38,Knie::N,rodilla,زنګون
39,Oberschenkel::N,muslo,پتون
40,Bein::N,pierna,پښه
41,Körper::N,cuerpo,ځان
42,Haut::N,piel,پوټکی
43,Blut::N,sangre,وینه
44,Ader::N,vena,رګ
45,Sehne::N,tendón,پله
46,Knochen::N,hueso,هډوکی
47,Gehirn::N,cerebro,ماغزه
48,Gehirn::N,encéfalo,ماغزه
49,Herz::N,corazón,زړه
50,Magen::N,estómago,معده
51,Leber::N,hígado,ينه
52,Leber::N,hígado,ځیګر
53,Atem::N,aliento,نفس
54,Hunger::N,hambre,ولږه
55,Träne::N,lágrima,اوښکه
56,Geschmack::N,gusto,مزه
57,Geschmack::N,gusto,خوند
58,Geruch::N,olor,بوی
59,Schlaf::N,sueño,خوب
60,Traum::N,sueño,خوب
61,Traum::N,ensueño,خوب
62,Himmel::N,cielo,اسمان
63,Sonne::N,sol,لمر
64,Mond::N,luna,سپوږمۍ
65,Stern::N,estrella,ستوری
66,Luft::N,aire,هوا
67,Wind::N,viento,ورښ
68,Welle::N,ola,موج
69,Welle::N,onda,موج
70,Wasser::N,agua,اوبه
71,Stein::N,piedra,ډبره
72,Boden::N,suelo,مځکه
73,Erde::N,tierra,خاوره
74,Staub::N,polvo,ګرد
75,Staub::N,polvo,خاوره
76,Rauch::N,humo,دود
77,Rauch::N,humo,لوګی
78,Funke::N,chispa,سپرغۍ
79,Feuer::N,fuego,اور
80,Licht::N,luz,رڼا
81,Schatten::N,sombra,سیوری
82,Wetter::N,tiempo,هوا
83,Nebel::N,niebla,لړه
84,Wolke::N,nube,ورېځ
85,Regen::N,lluvia,وریا
86,Regen::N,lluvia,باران
87,Schnee::N,nieve,واوره
88,Eis::N,hielo,یخ
89,Eis::N,hielo,کنګل
90,Frost::N,helada,یخ
91,Kälte::N,frío,ساړه
92,Hitze::N,calor,تودوخي
93,Raureif::N,escarcha,سپینه پرخه
94,Regenbogen::N,arco iris,بوډۍ ټال
95,Regenbogen::N,arco iris,سره زرغونه
96,Donner::N,trueno,تالنده
97,Strömung::N,corriente,بهېدنه
98,Tropfen::N,gota,قطره
99,Tropfen::N,gota,څاڅکی
100,Schaum::N,espuma,ځګ
101,Schmutz::N,suciedad,ناپاکي
102,See::N,lago,جهیل
103,Sumpf::N,pantano,جبه
104,Moor::N,turbera,جبه
105,Wiese::N,prado,چمن
106,Wiese::N,prado,شنېلی
107,Wiese::N,pradera,چمن
108,Wiese::N,pradera,شنېلی
109,Wald::N,bosque,ځنګل
110,Hügel::N,colina,تپه
111,Anhöhe::N,cerro,غونډۍ
112,Berg::N,monte,غ‍‍‍‍‍ر
113,Berg::N,montaña,غ‍‍‍‍‍ر
114,Gipfel::N,cima,څوکه
115,Gipfel::N,cumbre,څوکه
116,Höhle::N,cueva,کاز
117,Höhle::N,caverna,کاز
118,Abhang::N,cuesta,لمن
119,Abhang::N,declive,لمن
120,Quelle::N,fuente,چینه
121,Quelle::N,manantial,چینه
122,Bach::N,arroyo,واله
123,Fluss::N,río,سیند
124,Ufer::N,orilla,غاړه
125,Küste::N,costa,ساحل
126,Festland::N,tierra firme,وچه
127,Meer::N,mar,بحر
128,Meer::N,mar,سمندر
129,Bucht::N,cala,کارۍ
130,Bucht::N,bahía,کارۍ
131,Insel::N,isla,ټاپو
132,Insel::N,isla,جزيره
133,Blume::N,flor,ګل
134,Gras::N,hierba,واښه
135,Wurzel::N,raíz,ریښه
136,Baum::N,árbol,ونه
137,Stamm::N,tronco,ډډ
138,Rinde::N,corteza,پوستکی
139,Ast::N,rama,ښاخ
140,Zweig::N,ramo,څانګه
141,Blatt::N,hoja,پاڼه
142,Birke::N,abedul,توس
143,Kiefer[Baum]::N,pino,نښتر
144,Weide[Baum]::N,sauce,وله
145,Tanne::N,abeto,ناجو
146,Horn::N,asta,ښکر
147,Horn::N,cuerno,ښکر
148,Feder::N,pluma,بڼکه
149,Fell::N,piel,پوستکی
150,Flügel::N,ala,وزر
151,Klaue::N,garra,پنجه
152,Klaue::N,garra,منګول
153,Kralle::N,uña,پنجه
154,Kralle::N,uña,منګول
155,Kralle::N,garra,پنجه
156,Kralle::N,garra,منګول
157,Schwanz::N,cola,لکۍ
158,Ei::N,huevo,وۍ
159,Ei::N,huevo,هګۍ
160,Nest::N,nido,جاله
161,Bau::N,madriguera,کاز
162,Tier::N,animal,ژوی
163,Tier::N,animal,حیوان
164,Herde::N,rebaño,رمه
165,Herde::N,rebaño,غېله
166,Kuh::N,vaca,غوا
167,Bulle::N,toro,غوئی
168,Pferd::N,caballo,آس
169,Schaf::N,oveja,پسه
170,Schwein::N,cerdo,سرکوزی
171,Hund::N,perro,سپی
172,Katze::N,gato,پشه
