,Concept_ID,is,kl
0,Auge::N,auga,isi
1,Ohr::N,eyra,siut
2,Nase::N,nef,
3,Mund::N,munnur,paaq
4,Mund::N,munnur,qaneq
5,Zahn::N,tönn,kigut
6,Zunge::N,tunga,oqaq
7,Lippe::N,vör,qarloq
8,Wange::N,kinn,ersaq
9,Wange::N,vangi,ersaq
10,Gesicht::N,andlit,kiinaq
11,Stirn::N,enni,qaaq
12,Haar::N,hár,meqqoq
13,Schnurrbart::N,yfirskegg,
14,Bart::N,skegg,umik
15,Kinn::N,haka,talloq
16,Kiefer[Anatomie]::N,kjálki,alleroq
17,Kiefer[Anatomie]::N,skoltur,alleroq
18,Kehle::N,kverk,malaq
19,Hals::N,háls,qungaseq
20,Genick::N,hnakki,pukusuk
21,Kopf::N,höfuð,niaqoq
22,Rücken::N,hryggur,qimerlut
23,Bauch::N,kviður,naaq
24,Nabel::N,nafli,qalaseq
25,Busen::N,barmur,iviangeq
26,Brust::N,brjóst,iviangeq
27,Schulter::N,öxl,ersik
28,Schulter::N,öxl,assaqqoq
29,Arm::N,armur,taleq
30,Ellenbogen::N,olnbogi,ikusik
31,Hand::N,hönd,assak
32,Handfläche::N,lófi,itumak
33,Finger::N,fingur,inuak
34,Fingernagel::N,fingurnögl,kikiak
35,Nagel[Anatomie]::N,nögl,kukik
36,Zeh::N,tá,isigak
37,Fuß::N,fótur,
38,Ferse::N,hæll,kimmik
39,Knie::N,kné,seeqqoq
40,Oberschenkel::N,læri,uppat
41,Oberschenkel::N,læri,quttoraq
42,Bein::N,fótleggur,isigak
43,Körper::N,búkur,timi
44,Körper::N,líkami,timi
45,Haut::N,húð,mattak
46,Haut::N,skinn,mattak
47,Blut::N,blóð,aak
48,Ader::N,æð,taqaq
49,Sehne::N,sin,ujalu
50,Sehne::N,sin,ujaloq
51,Knochen::N,bein,saanikut
52,Gehirn::N,heili,qarasaq
53,Herz::N,hjarta,uummat
54,Magen::N,magi,aqajaroq
55,Leber::N,lifur,tinguk
56,Atem::N,andi,anerneq
57,Atem::N,andardráttur,anerneq
58,Hunger::N,hungur,kaanneq
59,Träne::N,tár,qia
60,Träne::N,tár,qiak
61,Geschmack::N,smekkur,qilanaartuut
62,Geruch::N,lykt,tipi
63,Geruch::N,lykt,tipik
64,Schlaf::N,svefn,
65,Traum::N,draumur,sinnattoq
66,Traum::N,draumur,sinnattugaq
67,Himmel::N,himinn,qilak
68,Sonne::N,sól,seqineq
69,Mond::N,tungl,qaammat
70,Stern::N,stjarna,ulloriaq
71,Luft::N,loft,silaannaq
72,Wind::N,vindur,anori
73,Wind::N,vindur,anorsarik
74,Welle::N,alda,aalappaa
75,Welle::N,bylgja,aalappaa
76,Wasser::N,vatn,imeq
77,Stein::N,steinn,ujarak
78,Boden::N,botn,nateq
79,Erde::N,jörð,issoq
80,Staub::N,ryk,pujualanerit
81,Staub::N,ryk,pujoralanerit
82,Staub::N,duft,pujualanerit
83,Staub::N,duft,pujoralanerit
84,Rauch::N,reykur,iseq
85,Rauch::N,reykur,pujoq
86,Funke::N,neisti,illoorneq
87,Feuer::N,eldur,inneq
88,Licht::N,ljós,qaamaneq
89,Schatten::N,skuggi,tarraq
90,Wetter::N,veður,sila
91,Nebel::N,þoka,pujoq
92,Wolke::N,ský,nuia
93,Regen::N,regn,sialuk
94,Schnee::N,snjór,aput
95,Eis::N,ís,siku
96,Frost::N,frost,issi
97,Frost::N,frost,issik
98,Kälte::N,kuldi,issi
99,Hitze::N,hiti,kianneq
100,Hitze::N,hiti,kiassuseq
101,Raureif::N,hrím,kaneq
102,Regenbogen::N,regnbogi,neriusaaq
103,Donner::N,þruma,kalleq
104,Strömung::N,straumur,
105,Tropfen::N,dropi,kuseriarneq
106,Schaum::N,froða,qapuk
107,Schmutz::N,óhreinindi,minguk
108,See::N,stöðuvatn,taseq
109,Sumpf::N,fen,maqulluk
110,Moor::N,mýri,
111,Wiese::N,engi,masarsuk
112,Wald::N,skógur,
113,Hügel::N,hæð,qattuneq
114,Hügel::N,hæð,majuariaq
115,Hügel::N,hæð,majorajaaq
116,Hügel::N,hæð,qaqqannguaq
117,Hügel::N,hóll,qattuneq
118,Hügel::N,hóll,majuariaq
119,Hügel::N,hóll,majorajaaq
120,Hügel::N,hóll,qaqqannguaq
121,Anhöhe::N,hæð,
122,Anhöhe::N,hóll,
123,Berg::N,fell,qaqqaq
124,Berg::N,fjall,qaqqaq
125,Gipfel::N,tindur,
126,Höhle::N,hellir,qaarusuk
127,Abhang::N,hlíð,ippik
128,Abhang::N,hlíð,sivinganeq
129,Abhang::N,hlíð,sivingajaaq
130,Abhang::N,hlíð,kussangajaaq
131,Abhang::N,brekka,ippik
132,Abhang::N,brekka,sivinganeq
133,Abhang::N,brekka,sivingajaaq
134,Abhang::N,brekka,kussangajaaq
135,Quelle::N,lind,
136,Quelle::N,uppspretta,
137,Bach::N,lækur,kuunnguaq
138,Fluss::N,á,kuuk
139,Fluss::N,fljót,kuuk
140,Ufer::N,árbakki,sissap sinaa
141,Ufer::N,sjávarbakki,sissap sinaa
142,Küste::N,strönd,sineriak
143,Festland::N,meginland,
144,Meer::N,haf,imaq
145,Meer::N,sjór,imaq
146,Bucht::N,vík,ikeq
147,Bucht::N,vík,kangerluk
148,Bucht::N,vík,kangerliumaneq
149,Insel::N,eyja,qeqertaq
150,Blume::N,blóm,naasoq
151,Gras::N,gras,ivigaq
152,Wurzel::N,rót,niulutaq
153,Baum::N,tré,orpik
154,Stamm::N,stofn,kanaartaq
155,Rinde::N,börkur,ameraq
156,Ast::N,grein,avalequt
157,Zweig::N,angi,avalequt
158,Zweig::N,kvistur,avalequt
159,Blatt::N,blað,pilutaq
160,Birke::N,birki,patitsit
161,Kiefer[Baum]::N,fura,
162,Weide[Baum]::N,víðir,palleq
163,Tanne::N,greni,orsuerneq
164,Horn::N,horn,nassuk
165,Feder::N,fjöður,suluk
166,Fell::N,skinn,ameq
167,Flügel::N,vængur,suluk
168,Flügel::N,vængur,isaroq
169,Klaue::N,kló,kukik
170,Kralle::N,kló,kukik
171,Schwanz::N,rófa,pamioq
172,Schwanz::N,rófa,paperuusaq
173,Schwanz::N,skott,pamioq
174,Schwanz::N,skott,paperuusaq
175,Ei::N,egg,mannik
176,Nest::N,hreiður,ullut
177,Bau::N,greni,ini
178,Bau::N,bæli,ini
179,Tier::N,dýr,uumasoq
180,Herde::N,hjörð,unguukkat
181,Kuh::N,kýr,ussik
182,Bulle::N,boli,angukulak
183,Bulle::N,boli,anguteralak
184,Bulle::N,boli,angutikulooq
185,Pferd::N,hestur,
186,Schaf::N,kind,sava
187,Schwein::N,svín,puuluki
188,Hund::N,hundur,qimmeq
189,Katze::N,köttur,puisaaq
190,Bär::N,björn,allaq
191,Eichhörnchen::N,íkorni,sissinnguaq
192,Elch::N,elgur,
193,Fuchs::N,refur,terianniaq
194,Hase::N,héri,ukaleq
195,Maus::N,mús,teriannguaq
196,Wolf::N,úlfur,amaroq
197,Vogel::N,fugl,timmiaq
198,Schwarm::N,sægur,
199,Huhn::N,hæna,kukkukooq
200,Huhn::N,hæna,marloraaqaaq
201,Hahn::N,hani,kiasiusaq
202,Gans::N,gæs,nerleq
203,Adler::N,örn,nattoralik
204,Ente::N,önd,
205,Eule::N,uggla,uppik
206,Kranich::N,trana,qorlorfik
207,Krähe::N,kráka,tuluatsiaq
208,Kuckuck::N,gaukur,kukkooq
209,Schwan::N,svanur,qussuk
210,Fisch::N,fiskur,aalisagaq
211,Barsch::N,aborri,
212,Hecht::N,gedda,
213,Schlange[Tier]::N,naðra,pulateriarsuk
214,Schlange[Tier]::N,naðra,pulateriaarsuk
215,Wurm::N,ormur,
216,Spinne::N,kónguló,aasiaq
217,Spinne::N,kónguló,nissavaarsuk
218,Ameise::N,maur,uniaaluk
219,Laus::N,lús,kumak
220,Mücke::N,mý,ippernaq
221,Mücke::N,mýfluga,ippernaq
222,Fliege::N,fluga,ippernaq
223,Schmetterling::N,fiðrildi,paluaq
224,Schmetterling::N,fiðrildi,pakkaluaq
225,Schmetterling::N,fiðrildi,utsuppaluaq
226,Schmetterling::N,fiðrildi,taqaleqisaaq
227,Beere::N,ber,paarmaq
228,Beere::N,ber,paarngaq
229,Apfel::N,epli,iipili
230,Pilz::N,sveppur,anngiusaq
231,Zwiebel::N,laukur,uanitsoq
232,Saat::N,fræ,naatsiiassaq
233,Saat::N,útsæði,naatsiiassaq
234,Korn::N,korn,maannineq
235,Heu::N,hey,
236,Schale::N,hýði,niutsivik
237,Schale::N,hýði,ilulissaq qaartussaq
238,Grube::N,gryfja,itersaq
239,Falle::N,gildra,pualavoq
240,Schlinge::N,snara,orseq
241,Schlinge::N,snara,norloq
242,Spur::N,spor,tumaa
243,Asche::N,aska,arsat
244,Dreck::N,óþverri,minguk
245,Eisen::N,járn,savimineq
246,Eisen::N,járn,saffiugassaq
247,Gold::N,gull,kuulti
248,Silber::N,silfur,siilviuvoq
249,Kohle::N,kol,aamarsuit aamaruutissat
250,Glas::N,gler,igalaaq
251,Glas::N,gler,imertarfik
252,Glas::N,gler,igalaamineq
253,Lehm::N,leir,marraq
254,Sand::N,sandur,sioqqat
255,Mensch::N,maður,inuk
256,Mensch::N,maður,silamiu
257,Mensch::N,manneskja,inuk
258,Mensch::N,manneskja,silamiu
259,Mann::N,maður,angut
260,Mann::N,karlmaður,angut
261,Frau::N,kona,arnaq
262,Kind::N,barn,meeraq
263,Kind::N,krakki,meeraq
264,Junge::N,drengur,nukappiaraq
265,Mädchen::N,stelpa,arnannguaq
266,Familie::N,fjölskylda,ilaqutakka
267,Familie::N,fjölskylda,ilaqutariit
268,Großvater::N,afi,aatak
269,Großmutter::N,amma,aanaq
270,Eltern::N,foreldrar,angajoqqaat
271,Vater::N,faðir,ataata
272,Vater::N,faðir,ataataq
273,Mutter::N,móðir,anaana
274,Sohn::N,sonur,erneq
275,Tochter::N,dóttir,panik
276,Bruder::N,bróðir,ani
277,Bruder::N,bróðir,aqqaluk
278,Bruder::N,bróðir,qatanngut
279,Schwester::N,systir,naja
280,Schwester::N,systir,aleqa
281,Schwester::N,systir,qatanngut
282,Onkel::N,föðurbróðir,akkak
283,Tante::N,frænka,aja
284,Tante::N,frænka,ajak
285,Tante::N,frænka,atsak
286,Tante::N,móðursystir,aja
287,Tante::N,móðursystir,ajak
288,Tante::N,móðursystir,atsak
289,Ehemann::N,eiginmaður,ui
290,Ehefrau::N,eiginkona,nuliaq
291,Freude::N,gleði,tipaatsussuseq
292,Gelächter::N,hlátur,illaq
293,Glück::N,gæfa,usornaat
294,Glück::N,gæfa,usornarsuseq
295,Kummer::N,sorg,
296,Wunsch::N,ósk,kissaat
297,Lust::N,fýsn,illigussuseq
