,Concept_ID,lez,da
233,Kummer::N,дерт,sorg
234,Kummer::N,хажалат,sorg
235,Wunsch::N,мурад,ønske
236,Lust::N,гьевес,lyst
237,Geist::N,руьгь,ånd
238,Gedanke::N,фикир,tanke
239,Verstand::N,акьул,forstand
240,Sinn::N,мана,mening
241,Sinn::N,мана,betydning
242,Grund::N,себеб,grund
243,Wahrheit::N,керчек,sandhed
244,Wahrheit::N,гьакъикъат,sandhed
245,Gespräch::N,ихтилат,samtale
246,Märchen::N,мах,eventyr
247,Erzählung::N,кьиса,fortælling
248,Nachricht::N,хабар,efterretning
249,Neuigkeit::N,цӏийи хабар,nyhed
250,Name::N,тӏвар,navn
251,Rätsel::N,мискӏал,gåde
252,Rede::N,рахун,tale
253,Sprache::N,чӏал,sprog
254,Stimme::N,ван,stemme
255,Wort::N,гаф,ord
256,Zeichen::N,ишара,tegn
257,Ruf::N,эвер,råb
258,Lärm::N,ван-сес,larm
259,Laut::N,ван,lyd
260,Laut::N,сес,lyd
261,Ton::N,ван-сес,tone
262,Lied::N,мани,sang
263,Ruhe::N,ласвал,ro
264,Ruhe::N,ласвал,hvile
265,Ruhe::N,фаракъат,ro
266,Ruhe::N,фаракъат,hvile
267,Ruhe::N,асайиш,ro
268,Ruhe::N,асайиш,hvile
269,Leute::N,инсанар,folk
270,Leute::N,инсанар,mennesker
271,Volk::N,халкь,folk
272,Arbeit::N,кӏвалах,arbejde
273,Gast::N,мугьман,gæst
274,Geschenk::N,савкьат,gave
275,Spiel::N,къугъун,leg
276,Gesellschaft::N,жемят,selskab
277,Gesellschaft::N,общество,selskab
278,Hilfe::N,куьмек,hjælp
279,Freund::N,дуст,ven
280,Kamerad::N,яр-дуст,kammerat
281,Angelegenheit::N,кар,sag
282,Angelegenheit::N,кар,anliggende
283,Anzahl::N,сан,antal
284,Anzahl::N,кьадар,antal
285,Art::N,жуьре,art
286,Stück::N,кӏус,stykke
287,Teil::N,пай,del
288,Hälfte::N,зур,halvdel
289,Hälfte::N,зур пай,halvdel
290,Kreis::N,круг,cirkel
291,Kreis::N,чкаяр,cirkel
292,Kreis::N,элкъвей цӏар,cirkel
293,Kreuz::N,хаш,kors
294,Kreuz::N,хаш,kryds
295,Linie::N,цӏар,linie
296,Strich::N,цӏар,streg
297,Abstand::N,ара,afstand
298,Entfernung::N,мензил,afstand
299,Gegend::N,чка,egn
300,Platz::N,ара,plads
301,Ort::N,чка,sted
302,Seite::N,пад,side
303,Mitte::N,юкь,midte
304,Gegenstand::N,затӏ,genstand
305,Sache::N,шей,sag
306,Sache::N,затӏ,sag
307,Rand::N,къерех,rand
308,Kante::N,син,kant
309,Ecke::N,пӏипӏ,hjørne
310,Spitze::N,кӏвенкӏв,spids
311,Ende::N,кьил,ende
312,Loch::N,тӏеквен,hul
313,Winkel::N,пӏипӏ,vinkel
314,Muster::N,гишир,mønster
315,Größe::N,кьадар,størrelse
316,Länge::N,яргъивал,længde
317,Höhe::N,кьакьанвал,højde
318,Gewicht::N,заланвал,vægt
319,Menge::N,кьадар,mængde
320,Haufen::N,хара,bunke
321,Reihe::N,жерге,række
322,Boot::N,луьткве,båd
323,Ruder::N,кьусу,åre
324,Schlitten::N,гъелерар,kælk
325,Schlitten::N,гъелерар,slæde
326,Lagerfeuer::N,цӏай,lejrbål
327,Last::N,заланвал,last
328,Last::N,заланвал,byrde
329,Gang::N,ериш,gang
330,Schritt::N,къадам,skridt
331,Norden::N,кефер,nord
332,Norden::N,кефер пад,nord
333,Süden::N,кьибле,syd
334,Westen::N,рагъакӏидай пад,vest
335,Osten::N,рагъэкъечӏдай пад,øst
336,Holz::N,кӏарас,træ
337,Brett::N,кьул,bræt
338,Brett::N,тахта,bræt
339,Stütze::N,даях,støtte
340,Stange::N,юрк,stang
341,Stock::N,лаш,stok
342,Stab::N,юрк,stav
343,Rohr::N,турба,rør
344,Haus::N,ужагъ,hus
345,Heim::N,кӏвал,hjem
346,Ofen::N,пич,ovn
347,Fußboden::N,кӏвалин ччил,gulv
348,Tisch::N,стол,bord
349,Stuhl::N,стул,stol
350,Wiege::N,кьеб,vugge
351,Bett::N,тахт,seng
352,Regal::N,кьацӏ,reol
353,Kiste::N,ящик,kasse
354,Fenster::N,дакӏар,vindue
355,Tür::N,рак,dør
356,Tor::N,варар,port
357,Zaun::N,пару,stakit
358,Dach::N,къав,tag
359,Leiter::N,гурар,stige
360,Besen::N,таран кул,kost
361,Spaten::N,ппер,spade
