,Concept_ID,ba,pl
0,Auge::N,күҙ,oko
1,Ohr::N,ҡолаҡ,ucho
2,Nase::N,танау,nos
3,Mund::N,ауыҙ,usta
4,Zahn::N,теш,ząb
5,Zunge::N,тел,język
6,Lippe::N,ирен,warga
7,Wange::N,яцаҡтар,policzek
8,Gesicht::N,бит,twarz
9,Stirn::N,маңлай,czoło
10,Haar::N,сәс,włos
11,Haar::N,сәс,włosy
12,Schnurrbart::N,мылтыҡ,wąsy
13,Bart::N,һаҡал,broda
14,Kinn::N,эйэк,podbródek
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,czeluść
16,Kehle::N,тамаҡ,gardło
17,Hals::N,муйын,szyja
18,Genick::N,соңҡа,kark
19,Kopf::N,баш,głowa
20,Rücken::N,арҡа,plecy
21,Rücken::N,арҡа,grzbiet
22,Bauch::N,ҡорһаҡ,brzuch
23,Nabel::N,кендек,pępek
24,Busen::N,күкрәк,biust
25,Brust::N,түш,pierś
26,Schulter::N,яурын,bark
27,Schulter::N,яурын,ramię
28,Arm::N,ҡул,ręka
29,Arm::N,ҡул,ramię
30,Ellenbogen::N,терһәк,łokieć
31,Hand::N,ҡул,dłoń
32,Hand::N,ҡул суғы,dłoń
33,Handfläche::N,ус төбө,dłoń
34,Finger::N,бармаҡ,palec
35,Fingernagel::N,тырнаҡ,paznokieć
36,Nagel[Anatomie]::N,тырнаҡ,paznokieć
37,Zeh::N,бармаҡ,palec
38,Fuß::N,табан,stopa
39,Ferse::N,үксә,pięta
40,Knie::N,тубыҡ,kolano
41,Oberschenkel::N,сандыр,udo
42,Bein::N,аяҡ,noga
43,Körper::N,тән,ciało
44,Haut::N,тире,skóra
45,Blut::N,ҡан,krew
46,Ader::N,тамыр,żyła
47,Sehne::N,һеңер,ścięgno
48,Sehne::N,тарамыш,ścięgno
49,Knochen::N,һойәк,kość
50,Gehirn::N,мейе,mózg
51,Herz::N,йорәк,serce
52,Magen::N,ашҡаҙан,żołądek
53,Leber::N,бауыр,wątroba
54,Atem::N,һулыш,dech
55,Atem::N,һулыш,oddech
56,Hunger::N,аслыҡ,głód
57,Träne::N,күҙ иәше,łza
58,Geschmack::N,тәм,smak
59,Geruch::N,еҫ,woń
60,Geruch::N,еҫ,zapach
61,Schlaf::N,йоҡлау,sen
62,Traum::N,төш,sen
63,Himmel::N,күк,niebo
64,Sonne::N,ҡояш,słońce
65,Mond::N,ай,księżyc
66,Stern::N,йондоҙ,gwiazda
67,Luft::N,һауа,powietrze
68,Wind::N,ел,wiatr
69,Welle::N,тулҡын,fala
70,Wasser::N,һыу,woda
71,Stein::N,таш,kamień
72,Boden::N,тупраҡ,grunt
73,Erde::N,балсҡ,ziemia
74,Staub::N,туҙан,pył
75,Staub::N,туҙан,kurz
76,Rauch::N,төтөн,dym
77,Funke::N,осҡон,iskra
78,Feuer::N,ут,ogień
79,Licht::N,яҡтылыҡ,światło
80,Schatten::N,күләгә,cień
81,Wetter::N,һауа торошо,pogoda
82,Nebel::N,төман,mgła
83,Wolke::N,болот,obłok
84,Wolke::N,болот,chmura
85,Regen::N,ямғыр,deszcz
86,Schnee::N,ҡар,śnieg
87,Eis::N,боҙ,lód
88,Frost::N,һалҡын,mróz
89,Kälte::N,һыуыҡ,chłód
90,Hitze::N,томра,gorąco
91,Hitze::N,эҫелек,gorąco
92,Raureif::N,ҡырау,szron
93,Regenbogen::N,йәйғор,tęcza
94,Donner::N,күк күкрәү,grzmot
95,Strömung::N,ағым,nurt
96,Tropfen::N,тамсы,kropla
97,Schaum::N,күбек,piana
98,Schmutz::N,батҡаҡ,brud
99,See::N,күл,jezioro
100,Sumpf::N,һаҙлык,bagno
101,Moor::N,һаҙ,bagno
102,Wiese::N,болон,łąka
103,Wald::N,урман,las
104,Hügel::N,түбә,pagórek
