,Concept_ID,az,ml
0,Auge::N,göz,കണ്ണ്
1,Ohr::N,qulaq,ചെവി
2,Nase::N,burun,മൂക്ക്
3,Mund::N,ağız,വായ
4,Zahn::N,diş,പല്ല്
5,Zunge::N,dil,നാക്ക്
6,Lippe::N,dodaq,ചുണ്ട്
7,Wange::N,yanaq,കവിൾത്തടം
8,Gesicht::N,üz,മുഖം
9,Stirn::N,alın,നെറ്റി
10,Haar::N,saç,തലമുടി
11,Schnurrbart::N,bığ,മീശ
12,Bart::N,saqqal,താടിരോമം
13,Kinn::N,çənə,താടി
14,Kiefer[Anatomie]::N,çənə,താടിയെല്ല്
15,Kehle::N,boğaz,കണ്ഠനാളം
16,Hals::N,boyun,കഴുത്ത്
17,Genick::N,ənsə,പിടലി
18,Kopf::N,baş,തല
19,Rücken::N,bel,മുതുക്
20,Bauch::N,qarın,നയറ്
21,Nabel::N,göbək,നാഭി
22,Busen::N,məmə,സ്തനം
23,Brust::N,döş,സ്തനം
24,Schulter::N,çiyin,തോൾ
25,Arm::N,qol,കൈ
26,Ellenbogen::N,dirsək,കൈമുട്ട്
27,Hand::N,əl,കൈ
28,Handfläche::N,ovuc,ഉള്ളം കൈ
29,Finger::N,barmaq,വിരൽ
30,Fingernagel::N,barmaq dırnağı,നഖം
31,Nagel[Anatomie]::N,dırnak,നഖം
32,Zeh::N,ayaq barmağı,കാൽവിരൽ
33,Fuß::N,ayaq,കാൽപ്പാദം
34,Ferse::N,daban,ഉപ്പൂറ്റി
35,Knie::N,diz,കാൽമുട്ട്
36,Oberschenkel::N,bud,തുട
37,Bein::N,qıç,കാൽ
38,Körper::N,əndam,ശരീരം
39,Haut::N,dəri,ചർമ്മം
40,Blut::N,qan,രക്തം
41,Ader::N,damar,ഞരമ്പ്
42,Sehne::N,vətər,സ്നായു
43,Knochen::N,sümük,അസ്ഥി
44,Gehirn::N,beyin,തലച്ചോറ്
45,Herz::N,ürək,ഹൃദയം
46,Magen::N,mədə,വയർ
47,Leber::N,qara ciyər,കരൾ
48,Atem::N,nəfəs,ശ്വാസം
49,Hunger::N,aclıq,വിശപ്പ്
50,Träne::N,göz yaşı,കണ്ണീർ
51,Geschmack::N,tam,രുചി
52,Geschmack::N,ləzzət,രുചി
53,Geruch::N,qoxu,ഗന്ധം
54,Schlaf::N,yuxu,ഉറകും
55,Traum::N,röya,സ്വപ്നം
56,Himmel::N,göy,ആകാശം
57,Himmel::N,səma,ആകാശം
58,Sonne::N,günəş,സൂര്യൻ
59,Mond::N,ay,ചന്ദ്രൻ
60,Stern::N,ulduz,നക്ഷത്രം
61,Luft::N,hava,കാറ്റ്
62,Wind::N,yel,കാറ്റ്
63,Wind::N,külək,കാറ്റ്
64,Welle::N,dalğa,തിരമാല
65,Wasser::N,su,വെള്ളം
66,Stein::N,daş,ശില
67,Stein::N,daş,കല്ല്
68,Boden::N,yer,തറ
69,Boden::N,yer,നിലം
70,Boden::N,zəmin,തറ
71,Boden::N,zəmin,നിലം
72,Erde::N,yer torpaq,മണ്ണ്
73,Staub::N,toz,പൊടി
74,Rauch::N,tüstü,പുക
75,Funke::N,qığılcım,തീപ്പൊരി
76,Feuer::N,od,തീ
77,Licht::N,işıq,വിളക്ക്
78,Licht::N,işıq,സൂര്യപ്രകാശം
79,Schatten::N,kölgə,തണൽ
80,Wetter::N,hava,കാലാവസ്ഥ
81,Nebel::N,duman,മൂടൽമഞ്ഞ്
82,Wolke::N,bulud,മേഘം
83,Regen::N,yağış,മഴ
84,Regen::N,yağmur,മഴ
85,Schnee::N,qar,മഞ്ഞ്
86,Eis::N,buz,ഐസ്
87,Frost::N,ayaz,മൂടൽമഞ്ഞ്
88,Kälte::N,soyuq,തണുപ്പ്
89,Hitze::N,coşğunluq,ചൂട്
90,Raureif::N,qırov,കോടമഞ്ഞ്
91,Regenbogen::N,göy qurşağı,മഴവില്ല്
92,Donner::N,göy gurultusu,ഇടി
93,Strömung::N,axın,പ്രവാഹം
94,Tropfen::N,damcı,തുള്ളി
95,Schaum::N,köpük,നുര
96,Schmutz::N,çamır,അഴുക്ക്
97,See::N,göl,തടാകം
98,Sumpf::N,bataqlıq,ചതുപ്പുനിലം
99,Moor::N,bataqlıq,പാഴ്നിലം
100,Wiese::N,çəmən,പുൽത്തകിടി
101,Wald::N,meşə,വനം
102,Wald::N,meşə,കാട്
103,Hügel::N,təpə,കുന്ന്
104,Anhöhe::N,təpə,ഉയർന്ന ഭൂമി
105,Berg::N,dağ,പർവ്വതം
106,Gipfel::N,zirvə,ഉച്ചകോടി
107,Höhle::N,mağara,ഗുഹ
108,Abhang::N,yamac,ചരിവ്
109,Quelle::N,bulaq,ഉറവിടം
110,Bach::N,kiçik çay,അരുവി
111,Fluss::N,çay,നദി
112,Ufer::N,kənar,തീരം
113,Küste::N,sahil,കടൽത്തീരം
114,Festland::N,materik,കര
115,Meer::N,dəniz,കടൽ
116,Bucht::N,körfəz,ഉൾക്കടല്
117,Insel::N,ada,ദ്വീപ്
118,Blume::N,çiçək,പൂവ്
119,Gras::N,ot,പുല്ല്
120,Wurzel::N,kök,വേര്
121,Baum::N,ağac,മരം
122,Stamm::N,gövdə,തായ്ത്തടി
123,Rinde::N,qabıq,പട്ട
124,Ast::N,şax,ശാഖ
125,Zweig::N,budaq,ശാഖ
126,Blatt::N,yarpaq,ഇല
127,Birke::N,tozağacı,പൂവരശ്
128,Kiefer[Baum]::N,şam,പൈൻമരം
129,Weide[Baum]::N,söyüd,വില്ലോ
130,Tanne::N,küknar,ദേവദാരു
131,Horn::N,buynuz,മൃഗത്തിൻറെ കൊമ്പ്
132,Feder::N,tük,തൂവൽ
133,Feder::N,lələk,തൂവൽ
134,Fell::N,xəz,മൃദുരോമം
135,Flügel::N,qanad,ചിറക്
136,Klaue::N,pəncə,നഖം
137,Kralle::N,dırnaq,നഖം
138,Schwanz::N,quyruq,വാൽ
139,Ei::N,yumurta,മുട്ട
140,Nest::N,yuva,കൂട്
141,Bau::N,yuva,മാളം
142,Tier::N,heyvan,മൃഗം
143,Herde::N,sürü,കൂട്ടം
144,Kuh::N,inək,പശു
145,Bulle::N,öküz,കാള
146,Pferd::N,at,കുതിര
147,Schaf::N,qoyun,ആട്
148,Schwein::N,donuz,പന്നി
149,Hund::N,it,നായ്
150,Hund::N,köpək,നായ്
151,Katze::N,pişik,പൂച്ച
152,Bär::N,ayı,കരടി
153,Eichhörnchen::N,dələ,അണ്ണാൻ
154,Elch::N,sığın,കടമാന്
155,Fuchs::N,tülkü,കുറുക്കൻ
156,Hase::N,dovşan,മുയൽ
157,Maus::N,siçan,ചുണ്ടലി
158,Wolf::N,qurd,ചെന്നായ
159,Vogel::N,quş,പക്ഷി
160,Schwarm::N,sürü,കൂട്ടം
161,Huhn::N,toyuq,കോഴി
162,Hahn::N,xoruz,പൂവൻകോഴി
163,Gans::N,qaz,അരയന്നം
164,Adler::N,qartal,കഴുകൻ
165,Adler::N,qaraquş,കഴുകൻ
166,Ente::N,ördək,താറാവ്
167,Eule::N,bayquş,മൂങ്ങ
168,Kranich::N,durna,കൊക്ക്
169,Krähe::N,qarğa,കാക്ക
170,Kuckuck::N,ququ,കുയിൽ
171,Schwan::N,qu quşu,അരയന്നം
172,Fisch::N,balıq,മത്സ്യം
173,Barsch::N,tar,ഒരിനം മത്സ്യം
174,Hecht::N,durnabalığı,ഒരു മത്സ്യം
175,Schlange[Tier]::N,ilan,പാമ്പ്
176,Wurm::N,qurd,വിര
177,Spinne::N,hörümçək,ചിലന്തി
178,Ameise::N,qarışqa,ഉറുമ്പ്
179,Laus::N,bit,പേന്
180,Mücke::N,ağcaqanad,മശകം
181,Fliege::N,milçək,ഈച്ച
182,Schmetterling::N,kəpənək,ചിത്രശലഭം
183,Beere::N,gilə,ബെറി
184,Apfel::N,alma,ആപ്പിൾ
185,Pilz::N,göbələk,കൂൺ
186,Zwiebel::N,soğan,സവാള
187,Saat::N,əkin,വിത്ത്
188,Korn::N,taxıl,ധാന്യം
189,Heu::N,quru ot,വയ്ക്കോൽ
190,Schale::N,qabıq,തൊലി
191,Grube::N,çuxur,കുഴി
192,Falle::N,tələ,കെണി
193,Falle::N,duzaq,കെണി
194,Schlinge::N,ilmək,കുടുക്ക്
195,Spur::N,iz,ചുവട്
196,Asche::N,kül,ചാരം
197,Dreck::N,kir,അഴുക്ക്
198,Eisen::N,dəmir,ഇരുമ്പ്
199,Gold::N,altun,സ്വർണ്ണം
200,Silber::N,gümüş,വെള്ളി
201,Kohle::N,kömür,കൽക്കരി
202,Glas::N,şüşə,ഗ്ലാസ്
203,Lehm::N,gil,കളിമണ്ണ്
204,Lehm::N,palçıq,കളിമണ്ണ്
205,Sand::N,qum,മണൽ
206,Mensch::N,adam,മനുഷ്യർ
207,Mensch::N,insan,മനുഷ്യർ
208,Mann::N,kişi,പുരുഷൻ
209,Frau::N,qadın,സ്ത്രീ
210,Kind::N,uşaq,കുഞ്ഞ്
211,Junge::N,oğlan,ആൺകുട്ടി
212,Mädchen::N,qız,പെൺകുട്ടി
213,Familie::N,ailə,കുടുംബം
214,Großvater::N,baba,അപ്പൂപ്പൻ
215,Großmutter::N,nənə,അമ്മുമ്മ
216,Eltern::N,valideyn,മാതാപിതാക്കള്
217,Vater::N,ata,അച്ഛൻ
218,Mutter::N,ana,അമ്മ
219,Sohn::N,oğul,മകൻ
220,Tochter::N,qız,മകൾ
221,Bruder::N,qardaş,ചേട്ടൻ
222,Bruder::N,qardaş,അനിയൻ
223,Schwester::N,bacı,ചേച്ചി
224,Schwester::N,bacı,അനിയത്തി
225,Onkel::N,əmi,അമ്മാവൻ
226,Onkel::N,dayı,അമ്മാവൻ
227,Tante::N,bibi,മാമി
228,Ehemann::N,ər,ഭർത്താവ്
229,Ehefrau::N,arvad,ഭാര്യ
230,Freude::N,nəşə,ആഹ്ലാദം
231,Freude::N,sevinc,ആഹ്ലാദം
232,Gelächter::N,gülüş,ചിരിയുടെ ശബ്ദം
233,Gelächter::N,qəhqəhə,ചിരിയുടെ ശബ്ദം
234,Glück::N,səadət,സന്തോഷം
235,Glück::N,səadət,സന്തുഷ്ടി
236,Glück::N,xoşbəxtlik,സന്തോഷം
237,Glück::N,xoşbəxtlik,സന്തുഷ്ടി
238,Kummer::N,qəm,ശോകം
239,Kummer::N,kədər,ശോകം
240,Wunsch::N,arzu,ആഗ്രഹം
241,Lust::N,həvəs,ആഗ്രഹം
