,Concept_ID,udm,et
0,Auge::N,син,silm
1,Ohr::N,пель,kõrv
2,Nase::N,ныр,nina
3,Mund::N,ым,suu
4,Zahn::N,пинь,hammas
5,Zunge::N,кыл,keel
6,Lippe::N,ымдур,huul
7,Wange::N,бам,põsk
8,Gesicht::N,ымныр,nägu
9,Stirn::N,кымес,otsmik
10,Haar::N,йырси,juus
11,Schnurrbart::N,мыйык,vurrud
12,Schnurrbart::N,мыйык,vuntsid
13,Bart::N,туш,habe
14,Kinn::N,ангес,lõug
15,Kiefer[Anatomie]::N,ан,lõualuu
16,Kiefer[Anatomie]::N,анлы,lõualuu
17,Kehle::N,гульым,kõri
18,Hals::N,чырты,kael
19,Genick::N,йырбер,kukal
20,Kopf::N,йыр,pea
21,Rücken::N,мыш,selg
22,Bauch::N,кӧт,kõht
23,Nabel::N,гогы,naba
24,Busen::N,ноны,rind
25,Brust::N,мӧля,rind
26,Schulter::N,пельпум,õlg
27,Arm::N,суй,käsivars
28,Ellenbogen::N,гырпум,küünarnukk
29,Hand::N,ки,käsi
30,Handfläche::N,ки пыдэс,pihk
31,Handfläche::N,кырым пыдэс,pihk
32,Finger::N,чиньы,sõrm
33,Fingernagel::N,гижы,küüs
34,Fingernagel::N,гиждӥнь,küüs
35,Nagel[Anatomie]::N,гижы,küüs
36,Zeh::N,пыдчиньы,varvas
37,Fuß::N,пыд,jalg
38,Ferse::N,пыдбер,kand
39,Knie::N,пыдес,põlv
40,Oberschenkel::N,макес,reis
41,Bein::N,пыд,jalg
42,Körper::N,мугор,ihu
43,Körper::N,мугор,keha
44,Körper::N,вылтыр,ihu
45,Körper::N,вылтыр,keha
46,Haut::N,ку,nahk
47,Blut::N,вир,veri
48,Ader::N,вирсэр,veen
49,Sehne::N,вуж,kõõlus
50,Knochen::N,лы,luu
51,Gehirn::N,вим,aju
52,Herz::N,сюлэм,süda
53,Magen::N,ӝуш,magu
54,Leber::N,мус,maks
55,Atem::N,лул,hingeõhk
56,Atem::N,лул,hingamine
57,Atem::N,шокан,hingeõhk
58,Atem::N,шокан,hingamine
59,Hunger::N,кӧтсюман,nälg
60,Träne::N,синкыли,pisar
61,Geschmack::N,шӧм,maitse
