,Concept_ID,uz,ta
0,Auge::N,ko'z,கண்
1,Ohr::N,quloq,காது
2,Nase::N,burun,மூக்கு
3,Mund::N,og'iz,வாய்
4,Zahn::N,tish,பல்
5,Zunge::N,til,நாக்கு
6,Lippe::N,dudoq,உதடு
7,Wange::N,bet,கன்னம்
8,Gesicht::N,yuz,முகம்
9,Stirn::N,manglay,முன்னெற்றி
10,Haar::N,soch,முடி
11,Schnurrbart::N,mo'ylov,மீசை
12,Bart::N,soqol,தாடி
13,Kinn::N,ängak,கீழதாடை
14,Kiefer[Anatomie]::N,iyak,தாடை
15,Kehle::N,bo'g'iz,தொண்டை
16,Hals::N,bo'yin,கழுத்து
17,Genick::N,gardan,கழுத்து
18,Kopf::N,bosh,தலை
19,Rücken::N,orqa,முதுகு
20,Bauch::N,qorin,வயிறு
21,Nabel::N,kindik,தொப்புள்
22,Busen::N,ämchak,மார்பகம்
23,Brust::N,ko'krak, மார்பு
24,Schulter::N,elka,தோள்பட்டை
25,Arm::N,bilak,கரம்
26,Ellenbogen::N,tirsak,முழங்கை
27,Hand::N,qo'l,கை
28,Handfläche::N,kaft,உள்ளங்கை
29,Finger::N,barmoq,விரல்
30,Fingernagel::N,tirnoq,விரல் நகம்
31,Nagel[Anatomie]::N,tirnoq,நகம்
32,Zeh::N,oyoq barmog'i,கால்விரல்
33,Fuß::N,oyoq,கால்
34,Ferse::N,tovon,குதிகால்
35,Knie::N,tiz,முழங்கால்
36,Oberschenkel::N,son,தொடை
37,Bein::N,oyoq,கால்
38,Körper::N,badna,உடல்
39,Haut::N,teri,சருமம்
40,Blut::N,qon,இரத்தம்
41,Ader::N,qon tomir,நாளம்
42,Sehne::N,tomir,தசைநார்
43,Knochen::N,suyak,எலுமபு
44,Gehirn::N,miya,மூனை
45,Herz::N,qalb,இதயம
46,Magen::N,oshqozon,வயிறு
47,Leber::N,bag'ir,கல்லீரல்
48,Atem::N,dam,மூச்சு
49,Hunger::N,ochlik,பசி
50,Träne::N,yosh,கண்ணீர்
51,Geschmack::N,tam,நறுமணம்
52,Geruch::N,jid,துர்நாற்றம்
53,Schlaf::N,uyqu,தூக்கம்
54,Traum::N,tush,கனவு
55,Himmel::N,osmon,வானம்
56,Sonne::N,quyosh,சூரியன்
57,Mond::N,oy,சந்திரன்
58,Stern::N,yulduz,நட்சத்திரம்
59,Luft::N,havo,காறறு
60,Wind::N,el,காற்று
61,Welle::N,to'lqin,அலை
62,Wasser::N,suv,நீர்
63,Stein::N,tosh,கல்
64,Boden::N,tuproq,தரை
65,Erde::N,er,மண்
66,Staub::N,chang,தூசி
67,Rauch::N,tutun,புகை
68,Funke::N,yalt,தீப்பொறி
69,Feuer::N,o't,தீ
70,Licht::N,yorug',வெளிச்சம்
71,Schatten::N,soya,நிழல்
72,Wetter::N,havo,வானிலை
73,Nebel::N,tuman,பனிமூட்டம்
74,Wolke::N,bulut,மேகம்
75,Regen::N,yomg'ir,மழை
76,Schnee::N,qor,உறைபனி
77,Eis::N,muz,பனிக்கட்டி
78,Frost::N,ajoz,உறைபனி
79,Kälte::N,ajoz,குளிர்ந்த
80,Hitze::N,issiq,சூடு
81,Raureif::N,qirov,உறைபனி வெண்திரை
82,Regenbogen::N,kamalak,வானவில்
83,Donner::N,guldur,இடி
84,Strömung::N,oqim,நீரோட்டம்
