,Concept_ID,az,myv
0,Auge::N,göz,сельме
1,Ohr::N,qulaq,пиле
2,Nase::N,burun,судо
3,Mund::N,ağız,курго
4,Zahn::N,diş,пей
5,Zunge::N,dil,кель
6,Lippe::N,dodaq,турва
7,Wange::N,yanaq,чамабока
8,Wange::N,yanaq,чамаумарь
9,Gesicht::N,üz,чама
10,Stirn::N,alın,коня
11,Haar::N,saç,черь
12,Schnurrbart::N,bığ,ус
13,Schnurrbart::N,bığ,муюк
14,Bart::N,saqqal,сакал
15,Kinn::N,çənə,уло
16,Kiefer[Anatomie]::N,çənə,пейпакар
17,Kiefer[Anatomie]::N,çənə,пейловажа
18,Kehle::N,boğaz,кирьгапарь
19,Hals::N,boyun,кирьга
20,Genick::N,ənsə,човонь
21,Kopf::N,baş,пря
22,Rücken::N,bel,копорь
23,Bauch::N,qarın,пеке
24,Nabel::N,göbək,почо
25,Busen::N,məmə,поте
26,Brust::N,döş,меште
27,Schulter::N,çiyin,лавтов
28,Arm::N,qol,кедь
29,Ellenbogen::N,dirsək,кенерепакарь
30,Hand::N,əl,кедь
31,Handfläche::N,ovuc,кедькуншка
32,Handfläche::N,ovuc,кедьлапушка
33,Finger::N,barmaq,сур
34,Fingernagel::N,barmaq dırnağı,кенже
35,Nagel[Anatomie]::N,dırnak,кенже
36,Zeh::N,ayaq barmağı,пильге сур
37,Fuß::N,ayaq,пильге
38,Ferse::N,daban,кочкаря
39,Knie::N,diz,эле
40,Knie::N,diz,эзне
41,Knie::N,diz,кумажа
42,Oberschenkel::N,bud,качо
43,Bein::N,qıç,пильге
44,Körper::N,əndam,рунго
45,Haut::N,dəri,киське
46,Blut::N,qan,верь
47,Ader::N,damar,сан
48,Sehne::N,vətər,коське сан
49,Knochen::N,sümük,пакарь
50,Gehirn::N,beyin,удем
51,Herz::N,ürək,седей
52,Magen::N,mədə,пеке
53,Leber::N,qara ciyər,максо
54,Atem::N,nəfəs,лексема
55,Atem::N,nəfəs,оймень таргсема
56,Hunger::N,aclıq,вачочи
57,Träne::N,göz yaşı,селведь
58,Geschmack::N,tam,тансть
59,Geschmack::N,ləzzət,тансть
60,Geruch::N,qoxu,чине
61,Schlaf::N,yuxu,удома
62,Traum::N,röya,он
63,Himmel::N,göy,менель
64,Himmel::N,səma,менель
65,Sonne::N,günəş,чи
66,Mond::N,ay,ков
67,Stern::N,ulduz,теште
68,Luft::N,hava,кошт
69,Wind::N,yel,варма
70,Wind::N,külək,варма
71,Welle::N,dalğa,толкун
72,Wasser::N,su,ведь
73,Stein::N,daş,кев
74,Boden::N,yer,мода
75,Boden::N,zəmin,мода
76,Erde::N,yer torpaq,мастор
77,Staub::N,toz,пуль
78,Rauch::N,tüstü,качамо
79,Funke::N,qığılcım,сятко
80,Feuer::N,od,тол
81,Licht::N,işıq,валдо
82,Schatten::N,kölgə,сулей
83,Schatten::N,kölgə,сулейкс
84,Wetter::N,hava,ушо
85,Nebel::N,duman,сув
86,Wolke::N,bulud,пель
87,Regen::N,yağış,пиземс
88,Regen::N,yağmur,пиземс
89,Schnee::N,qar,лов
90,Eis::N,buz,эй
91,Frost::N,ayaz,кельме
92,Kälte::N,soyuq,якшамо
93,Hitze::N,coşğunluq,пси
94,Raureif::N,qırov,лекш
95,Regenbogen::N,göy qurşağı,пурьгинечирьке
96,Regenbogen::N,göy qurşağı,пурьгинеёнкс
97,Donner::N,göy gurultusu,пурьгине
98,Strömung::N,axın,чудема
99,Strömung::N,axın,чудевкс
100,Tropfen::N,damcı,петнявкс
101,Schaum::N,köpük,чов
102,Schmutz::N,çamır,рудаз
103,See::N,göl,эрьке
104,Sumpf::N,bataqlıq,чей
105,Moor::N,bataqlıq,чей
106,Wiese::N,çəmən,луга
107,Wald::N,meşə,вирь
108,Hügel::N,təpə,губорь
109,Hügel::N,təpə,пандыне
110,Anhöhe::N,təpə,губорь
111,Anhöhe::N,təpə,пандыне
112,Berg::N,dağ,пандо
113,Gipfel::N,zirvə,пря
114,Höhle::N,mağara,пещера
115,Abhang::N,yamac,пандочама
116,Quelle::N,bulaq,ушодкс
117,Bach::N,kiçik çay,чудикерькс
118,Fluss::N,çay,лей
119,Ufer::N,kənar,чире
120,Küste::N,sahil,лейчире
121,Festland::N,materik,мода
122,Meer::N,dəniz,моря
123,Bucht::N,körfəz,усия
124,Insel::N,ada,усия
125,Blume::N,çiçək,цеця
126,Gras::N,ot,тикше
127,Wurzel::N,kök,юр
128,Wurzel::N,kök,ундокс
129,Baum::N,ağac,чувто
130,Stamm::N,gövdə,рунго
131,Rinde::N,qabıq,суд
132,Rinde::N,qabıq,керь
133,Ast::N,şax,морго
134,Zweig::N,budaq,тарад
135,Blatt::N,yarpaq,лопа
136,Birke::N,tozağacı,килей
137,Kiefer[Baum]::N,şam,пиче
138,Weide[Baum]::N,söyüd,каль
139,Tanne::N,küknar,куз
140,Horn::N,buynuz,сюро
141,Feder::N,tük,толга
142,Feder::N,lələk,толга
143,Fell::N,xəz,пона
144,Flügel::N,qanad,сёлмо
145,Klaue::N,pəncə,кенже
146,Kralle::N,dırnaq,кенже
147,Schwanz::N,quyruq,пуло
148,Ei::N,yumurta,ал
149,Nest::N,yuva,пизэ
150,Bau::N,yuva,варя
151,Bau::N,yuva,пизе
152,Tier::N,heyvan,ракша
153,Herde::N,sürü,стада
154,Kuh::N,inək,скал
155,Bulle::N,öküz,бука
156,Pferd::N,at,лишме
157,Schaf::N,qoyun,реве
158,Schwein::N,donuz,туво
159,Hund::N,it,пине
160,Hund::N,it,киска
161,Hund::N,köpək,пине
162,Hund::N,köpək,киска
163,Katze::N,pişik,псака
164,Bär::N,ayı,овто
165,Eichhörnchen::N,dələ,ур
166,Elch::N,sığın,сярдо
167,Fuchs::N,tülkü,ривезь
168,Hase::N,dovşan,нумоло
169,Maus::N,siçan,чеерь
170,Wolf::N,qurd,верьгиз
171,Vogel::N,quş,нармунь
172,Schwarm::N,sürü,полк
173,Schwarm::N,sürü,стада
174,Huhn::N,toyuq,сараз
175,Hahn::N,xoruz,атякш
176,Gans::N,qaz,гала
177,Gans::N,qaz,мацей
178,Adler::N,qartal,куцькан
179,Adler::N,qartal,тумоатякш
180,Adler::N,qaraquş,куцькан
181,Adler::N,qaraquş,тумоатякш
182,Ente::N,ördək,яксярго
183,Eule::N,bayquş,корж
184,Kranich::N,durna,карго
185,Krähe::N,qarğa,варака
186,Kuckuck::N,ququ,куко
187,Schwan::N,qu quşu,локсей
188,Fisch::N,balıq,кал
189,Barsch::N,tar,окунь
190,Hecht::N,durnabalığı,щука
191,Schlange[Tier]::N,ilan,гуй
192,Wurm::N,qurd,сукс
193,Spinne::N,hörümçək,шанжав
194,Ameise::N,qarışqa,коткудав
195,Laus::N,bit,сий
196,Mücke::N,ağcaqanad,сеське
197,Fliege::N,milçək,карво
198,Schmetterling::N,kəpənək,нимиляв
199,Beere::N,gilə,умарь
200,Apfel::N,alma,умарь
201,Pilz::N,göbələk,панго
202,Zwiebel::N,soğan,чурька
203,Saat::N,əkin,видьметь
204,Korn::N,taxıl,сюро
205,Heu::N,quru ot,тикше
206,Schale::N,qabıq,кедь
207,Schale::N,qabıq,ваткавкс
208,Grube::N,çuxur,латко
209,Falle::N,tələ,тувор
210,Falle::N,tələ,кундамка
211,Falle::N,duzaq,тувор
212,Falle::N,duzaq,кундамка
213,Schlinge::N,ilmək,килькш
214,Spur::N,iz,челькс
215,Spur::N,iz,пильгеки
216,Asche::N,kül,кулов
