,Concept_ID,kn,sv
0,Auge::N,ಕಣ್ಣು,öga
1,Ohr::N,ಕಿವಿ,öra
2,Nase::N,ಮೂಗು,näsa
3,Mund::N,ಬಾಯಿ,mun
4,Zahn::N,ಹಲ್ಲು,tand
5,Zunge::N,ನಾಲಿಗೆ,tunga
6,Lippe::N,ತುಟಿ,läpp
7,Wange::N,ಗಲ್ಲ,kind
8,Gesicht::N,ಮುಖ,syn
9,Gesicht::N,ಮುಖ,ansikte
10,Stirn::N,ಹಣೆ,panna
11,Haar::N,ಕೂದಲು,hår
12,Schnurrbart::N,ಮೀಸೆ,mustasch
13,Bart::N,ಗಡ್ಡ,skägg
14,Kinn::N,ಗದ್ದ,haka
15,Kiefer[Anatomie]::N,ದವಡೆ,käke
16,Kehle::N,ಗಂಟಲು,strupe
17,Hals::N,ಕೊರಳು,hals
18,Genick::N,ಹಿಂಗತ್ತು,nacke
19,Kopf::N,ತಲೆ,huvud
20,Rücken::N,ಬೆನ್ನು,rygg
21,Bauch::N,ಹೊಟ್ಟೆ,buk
22,Bauch::N,ಹೊಟ್ಟೆ,mage
23,Nabel::N,ಹೊಕ್ಕುಳು,navel
24,Busen::N,ಸ್ತನ,barm
25,Brust::N,ಎದೆ,bröst
26,Schulter::N,ಭುಜ,skuldra
27,Arm::N,ತೋಳು,arm
28,Ellenbogen::N,ಮೊಣಕೈ,armbåge
29,Hand::N,ಕೈ,hand
30,Handfläche::N,ಅಂಗೈ,handflata
31,Finger::N,ಕೈಬೆರಳು,finger
32,Fingernagel::N,ಉಗುರು,fingernagel
33,Nagel[Anatomie]::N,ಉಗುರು,nagel
34,Zeh::N,ಕಾಲ್ಬೆರಳು,tå
35,Fuß::N,ಪಾದ,fot
36,Ferse::N,ಹಿಮ್ಮಡಿ,häl
37,Knie::N,ಮಂಡಿ,knä
38,Oberschenkel::N,ತೊಡೆ,lår
39,Bein::N,ಕಾಲು,ben
40,Körper::N,ದೇಹ,kropp
41,Haut::N,ಚರ್ಮ,hud
42,Haut::N,ಚರ್ಮ,skinn
43,Blut::N,ರಕ್ತ,blod
44,Ader::N,ನರ,åder
45,Sehne::N,ನರ,sena
46,Knochen::N,ಮೂಳೆ,ben
47,Gehirn::N,ಮಿದುಳು,hjärna
48,Herz::N,ಹೃದಯ,hjärta
49,Magen::N,ಉದರ,mage
50,Leber::N,ಯಕೃತ್ತು,lever
51,Atem::N,ಉಸಿರು,anda
52,Atem::N,ಉಸಿರು,andedräkt
53,Hunger::N,ಹಸಿವು,svält
54,Hunger::N,ಹಸಿವು,hunger
55,Träne::N,ಕಣ್ಣೀರು,tår
56,Geschmack::N,ರುಚಿ,smak
57,Geruch::N,ವಾಸನೆ,lukt
58,Schlaf::N,ನಿದ್ರೆ,sömn
59,Traum::N,ಕನಸು,dröm
60,Himmel::N,ಬಾನು,himmel
61,Sonne::N,ಸೂರ್ಯ,sol
62,Mond::N,ಚಂದ್ರ,måne
63,Stern::N,ಚುಕ್ಕಿ,stjärna
64,Luft::N,ವಾಯು,luft
65,Wind::N,ಗಾಳಿ,vind
66,Welle::N,ಅಲೆ,våg
67,Welle::N,ಅಲೆ,bölja
68,Wasser::N,ನೀರು,vatten
69,Stein::N,ಕಲ್ಲು,sten
70,Boden::N,ನೆಲ,mark
71,Erde::N,ಭೂಮಿ,jord
72,Staub::N,ದೂಳು,damm
73,Rauch::N,ಹೊಗೆ,rök
74,Funke::N,ಕಿಡಿ,gnista
75,Feuer::N,ಬೆಂಕಿ,eld
76,Licht::N,ಬೆಳಕು,ljus
77,Schatten::N,ನೆರಳು,skugga
78,Wetter::N,ಹವ,väder
79,Nebel::N,ಮಂಜು,dimma
80,Nebel::N,ಮಂಜು,töcken
81,Wolke::N,ಮೋಡ,sky
82,Wolke::N,ಮೋಡ,moln
83,Regen::N,ಮಳೆ,regn
84,Schnee::N,ಹಿಮ,snö
85,Eis::N,ಮಂಜುಗಡ್ಡೆ,is
86,Frost::N,ಮಂಜು,frost
87,Kälte::N,ಹಿಮ,köld
88,Hitze::N,ಉಷ್ಣ,hetta
89,Raureif::N,ಇಬ್ಬನಿ,rimfrost
90,Regenbogen::N,ಇಂದ್ರಚಾಪ,regnbåge
91,Donner::N,ಗುಡುಗು,åska
92,Donner::N,ಗುಡುಗು,dunder
93,Strömung::N,ಪ್ರವಾಹ,strömning
94,Tropfen::N,ತೊಟ್ಟು,dropper
95,Schaum::N,ನೊರೆ,skum
96,Schmutz::N,ಕಸ,lort
97,Schmutz::N,ಕಸ,smuts
98,See::N,ಸರೋವರ,sjö
99,Sumpf::N,ಜೌಗುಸ್ಥಳ,träsk
100,Moor::N,ಬಂಜರು ಭೂಮಿ,myr
101,Moor::N,ಬಂಜರು ಭೂಮಿ,mosse
102,Wiese::N,ಹುಲ್ಲುಗಾವಲು,äng
103,Wald::N,ಕಾಡು,skog
104,Hügel::N,ಗುಡ್ಡೆ,höjd
105,Hügel::N,ಗುಡ್ಡೆ,kulle
106,Anhöhe::N,ದಿಬ್ಬ,höjd
107,Anhöhe::N,ದಿಬ್ಬ,backe
108,Berg::N,ಮಲೆ,berg
109,Berg::N,ಮಲೆ,fjäll
110,Berg::N,ಪರ್ವತ,berg
111,Berg::N,ಪರ್ವತ,fjäll
112,Gipfel::N,ಶೃಂಗ,topp
113,Höhle::N,ಗುಹೆ,håla
114,Höhle::N,ಗುಹೆ,grotta
115,Abhang::N,ಇಳಿಜಾರು,slänt
116,Abhang::N,ಇಳಿಜಾರು,sluttning
117,Quelle::N,ಮೂಲ,källa
118,Bach::N,ತೊರೆ,bäck
119,Fluss::N,ನದಿ,älv
120,Fluss::N,ನದಿ,flod
121,Ufer::N,ತೀರ,strand
122,Küste::N,ದಂಡೆ,kust
123,Festland::N,ಭೂಮಿ,fastland
124,Meer::N,ಕಡಲು,hav
125,Bucht::N,ಖಾರಿ,vik
126,Bucht::N,ಖಾರಿ,bukt
127,Insel::N,ದ್ವೀಪ,ö
128,Blume::N,ಸುಮ,blomma
