,Concept_ID,bg,fi
0,Auge::N,око,silmä
1,Ohr::N,ухо,korva
2,Nase::N,нос,nenä
3,Mund::N,уста,suu
4,Zahn::N,зъб,hammas
5,Zunge::N,език,kieli
6,Lippe::N,устна,huuli
7,Wange::N,буза,poski
8,Gesicht::N,лице,naama
9,Gesicht::N,лице,kasvot
10,Gesicht::N,образ,naama
11,Gesicht::N,образ,kasvot
12,Stirn::N,чело,otsa
13,Haar::N,коса,hius
14,Haar::N,коса,tukka
15,Haar::N,косъм,hius
16,Haar::N,косъм,tukka
17,Schnurrbart::N,мустаци,viikset
18,Bart::N,брада,parta
19,Kinn::N,брада,leuka
20,Kinn::N,брадичка,leuka
21,Kiefer[Anatomie]::N,челюст,leukaluu
22,Kehle::N,гърло,kurkku
23,Hals::N,врат,kaula
24,Genick::N,тил,niska
25,Kopf::N,глава,pää
26,Rücken::N,гръб,selkä
27,Bauch::N,корем,maha
28,Bauch::N,корем,vatsa
29,Nabel::N,пъп,napa
30,Busen::N,бозка,rinta
31,Brust::N,гръд,rinta
32,Schulter::N,рамо,olka
33,Schulter::N,рамо,hartia
34,Schulter::N,рамо,olkapää
35,Schulter::N,плещи,olka
36,Schulter::N,плещи,hartia
37,Schulter::N,плещи,olkapää
38,Arm::N,ръка,käsivarsi
39,Ellenbogen::N,лакът,kyynärpää
40,Hand::N,ръка,käsi
41,Hand::N,китка,käsi
42,Handfläche::N,длан,kämmen
43,Finger::N,пръст,sormi
44,Fingernagel::N,нокът,kynsi
45,Nagel[Anatomie]::N,нокът,kynsi
46,Zeh::N,пръст на крак,varvas
47,Fuß::N,крак,jalka
48,Fuß::N,нога,jalka
49,Ferse::N,пета,kantapää
50,Knie::N,коляно,polvi
51,Oberschenkel::N,бедро,reisi
52,Bein::N,крак,jalka
53,Bein::N,нога,jalka
54,Körper::N,тяло,keho
55,Körper::N,тяло,ruumis
56,Haut::N,кожа,iho
57,Blut::N,кръв,veri
58,Ader::N,вена,suoni
59,Ader::N,артерия,suoni
60,Sehne::N,жила,jänne
61,Sehne::N,сухожилие,jänne
62,Knochen::N,кост,luu
