,Concept_ID,,ab
0,Auge::N,,ала
1,Ohr::N,,алымҳа
2,Nase::N,,аҧынҵа
3,Mund::N,,аҧышə
4,Zahn::N,,ахаҧыц
5,Zunge::N,,абз
6,Lippe::N,,ақьышə
7,Wange::N,,аӡамҩа
8,Gesicht::N,,аҿы
9,Stirn::N,,алахь
10,Haar::N,,ахəыц
11,Schnurrbart::N,,аҧаҵа
12,Bart::N,,ажакьа
13,Kinn::N,,ацламкəыгə
14,Kiefer[Anatomie]::N,,ацламҳəа
15,Kehle::N,,ахəда
16,Hals::N,,ахəда
17,Genick::N,,ахəдаџьал
18,Kopf::N,,ахы
19,Rücken::N,,азқəа
20,Bauch::N,,амгəа
21,Nabel::N,,аҷапан
22,Busen::N,,агəыҧҳəы
23,Brust::N,,агəышҧы
24,Schulter::N,,ажəҩахыр
25,Arm::N,,амахəар
26,Ellenbogen::N,,амашьхəылҵ
27,Hand::N,,анапы
28,Handfläche::N,,анапсаргəыҵа
29,Finger::N,,анацəа
30,Fingernagel::N,,анапхыц
31,Nagel[Anatomie]::N,,ашьапхыц
32,Zeh::N,,ашьацəа
33,Fuß::N,,ашьапсыргəыҵа
34,Ferse::N,,ашьхəа
35,Knie::N,,ашьамхы
36,Oberschenkel::N,,ауаҭəа
37,Bein::N,,ашьапы
38,Körper::N,,ацəеижь
39,Haut::N,,ацəа
40,Blut::N,,ашьа
41,Ader::N,,ада
42,Sehne::N,,адаш
43,Knochen::N,,абаҩ
44,Gehirn::N,,ахшлыбаҩ
45,Gehirn::N,,ахшыбаҩ
46,Herz::N,,агəы
47,Magen::N,,аца
48,Magen::N,,ацар
49,Leber::N,,агəаҵəа
50,Atem::N,,аҧсыҧлагаҩгара
51,Hunger::N,,амла
52,Träne::N,,алабжыш
53,Geschmack::N,,агьама
54,Geruch::N,,афҩы
55,Schlaf::N,,ацəа
56,Traum::N,,аҧхыӡ
57,Himmel::N,,ажəҩан
58,Sonne::N,,амра
59,Mond::N,,амза
60,Stern::N,,аеҵəа
61,Luft::N,,аҳаир
62,Wind::N,,аҧша
63,Welle::N,,ацəқəырҧа
64,Wasser::N,,аӡы
65,Stein::N,,ахаҳə
66,Boden::N,,адгьыл
67,Erde::N,,адгьыл
68,Staub::N,,асаба
69,Rauch::N,,алҩа
70,Funke::N,,акəиц
71,Funke::N,,ацҧхь
