,Concept_ID,en,av
0,Auge::N,eye,
1,Ohr::N,ear,гӏин
2,Nase::N,nose,мегӏер
3,Mund::N,mouth,кӏал
4,Zahn::N,tooth,гӏус
5,Zunge::N,tongue,мацӏ
6,Lippe::N,lip,кӏветӏ
7,Wange::N,cheek,гӏоно
8,Gesicht::N,face,гьумер
9,Stirn::N,forehead,нодо
10,Haar::N,hair,рас
11,Schnurrbart::N,moustache,михъ
12,Bart::N,beard,мегеж
13,Kinn::N,chin,нилъу
14,Kiefer[Anatomie]::N,jaw,чанагъ
15,Kehle::N,throat,щекъер
16,Hals::N,neck,габур
17,Genick::N,nape,гъванща
18,Kopf::N,head,бетӏер
19,Rücken::N,back,мугъ
20,Rücken::N,spine,мугъ
21,Bauch::N,belly,чехь
22,Nabel::N,navel,цӏину
23,Busen::N,bosom,керен
24,Brust::N,chest,керен
25,Brust::N,breast,керен
26,Schulter::N,shoulder,гъажазубетӏер
27,Arm::N,arm,гъеж
28,Ellenbogen::N,elbow,гӏункӏрукь
29,Hand::N,hand,квер
30,Handfläche::N,palm,огъохъат
31,Handfläche::N,palm,жанисахъат
32,Finger::N,finger,килищ
33,Fingernagel::N,fingernail,малъ
34,Nagel[Anatomie]::N,nail,малъ
35,Zeh::N,toe,килищ
36,Fuß::N,foot,хӏетӏ
37,Fuß::N,foot,хӏетӏе
38,Ferse::N,heel,эгъе
39,Knie::N,knee,наку
40,Oberschenkel::N,thigh,мачӏ
41,Bein::N,leg,бох
42,Körper::N,body,къаркъала
43,Haut::N,skin,тӏом
44,Blut::N,blood,би
45,Ader::N,vein,бидурихь
46,Sehne::N,sinew,
47,Knochen::N,bone,ракьа
48,Gehirn::N,brain,гӏадалнах
49,Herz::N,heart,ракӏ
50,Magen::N,stomach,кванирукъ
51,Leber::N,liver,тӏул
52,Atem::N,breath,хӏухь
53,Hunger::N,hunger,ракъи
54,Träne::N,tear,магӏу
55,Geschmack::N,flavour,тату
56,Geschmack::N,flavor,тату
57,Geruch::N,odour,махӏ
58,Geruch::N,odor,махӏ
59,Schlaf::N,sleep,макьу
60,Traum::N,dream,макьу
61,Himmel::N,sky,зоб
62,Sonne::N,sun,бакъ
63,Mond::N,moon,моцӏ
64,Stern::N,star,цӏва
65,Luft::N,air,гьава
66,Wind::N,wind,гьури
67,Welle::N,wave,карачел
68,Wasser::N,water,лъим
69,Stein::N,stone,гьецӏо
70,Boden::N,soil,ракь
71,Boden::N,ground,ракь
72,Erde::N,earth,ракь
73,Erde::N,earth,дуниял
74,Staub::N,dust,хӏур
75,Rauch::N,smoke,кӏкӏуй
76,Funke::N,spark,
77,Feuer::N,fire,цӏа
78,Licht::N,light,канлъи
79,Schatten::N,shadow,рагӏад
80,Wetter::N,weather,гьава-бакъ
81,Nebel::N,fog,гӏодобнакӏкӏ
82,Wolke::N,cloud,накӏкӏ
83,Regen::N,rain,цӏад
84,Schnee::N,snow,гӏазу
85,Eis::N,ice,цӏер
86,Frost::N,frost,замгьари
87,Kälte::N,chill,квач
88,Hitze::N,heat,багӏари
89,Raureif::N,hoarfrost,мартӏ
90,Regenbogen::N,rainbow,нур
91,Regenbogen::N,rainbow,чамбара
92,Donner::N,thunder,гъугъай
93,Donner::N,thunder,гъугъади
94,Strömung::N,current,чвахи
95,Tropfen::N,drop,резел
96,Tropfen::N,drop,тӏинкӏ
97,Tropfen::N,drop,къатӏра
98,Tropfen::N,drop,тӏенкӏел
99,Schaum::N,foam,полоп
100,Schmutz::N,dirt,чороклъи
101,See::N,lake,хӏор
102,Sumpf::N,swamp,хьуцӏ
103,Moor::N,moor,
104,Wiese::N,meadow,мегъ
105,Wiese::N,meadow,гӏурдаллъи
106,Wald::N,forest,рохь
107,Hügel::N,hill,гохӏ
108,Anhöhe::N,elevation,сийитма
109,Berg::N,mountain,мегӏер
110,Gipfel::N,summit,тӏогь
111,Höhle::N,cave,нохъо
112,Abhang::N,slope,лабаллъи
113,Quelle::N,source,ицц
114,Bach::N,brook,лъар
115,Fluss::N,river,гӏор
116,Ufer::N,shore,рагӏал
117,Küste::N,coast,рагӏал
118,Festland::N,land,ракь
119,Festland::N,land,ракъдаллъи
120,Meer::N,sea,ралъад
121,Bucht::N,cove,кӏветӏ
122,Insel::N,island,чӏинкӏиллъи
123,Blume::N,flower,тӏегь
