,Concept_ID,hy,mrj
0,Auge::N,աչք,сӹнзӓ
1,Ohr::N,ականջ,пӹлӹш
2,Nase::N,քիթ,нер
3,Mund::N,բերան,ышма
4,Zahn::N,ատամ,пӱ
5,Zunge::N,լեզու,йӹлмӹ
6,Lippe::N,շրթունք,тӹрвӹ
7,Wange::N,այտ,шӹргӹ
8,Wange::N,թուշ,шӹргӹ
9,Gesicht::N,դեմք,лицӓ
10,Stirn::N,ճակատ,лепкӓ
11,Haar::N,մազ,ӱп
12,Schnurrbart::N,բեղ,öрш
13,Bart::N,մորուք,пандаш
14,Kinn::N,կզակ,онгылаш
15,Kiefer[Anatomie]::N,ծնոտ,пӱ арата
16,Kehle::N,կոկորդ,логер
17,Hals::N,վիզ,шӱ
18,Hals::N,պարանոց,шӱ
19,Genick::N,ծոծրակ,ланга
20,Kopf::N,գլուխ,вуй
21,Rücken::N,մեջք,туп
22,Bauch::N,փոր,мӹшкӹр
23,Bauch::N,որովայն,мӹшкӹр
24,Nabel::N,պորտ,кӹлӹмдӹ
25,Busen::N,ծոց,цӹзӹ
26,Brust::N,կուրծք,мел
27,Schulter::N,ուս,ӹнгӹжӓ
28,Arm::N,թեւ,кид
29,Arm::N,բազուկ,кид
30,Ellenbogen::N,արմունկ,кӹнервуй
31,Hand::N,ձեռք,лапа
32,Handfläche::N,ափ,кид лапа
33,Finger::N,մատ,парня
34,Fingernagel::N,եղունգ,кӹч
35,Nagel[Anatomie]::N,եղունգ,кӹч
36,Zeh::N,ոտքի մատ,парня
37,Fuß::N,ոտք,ял лапа
38,Ferse::N,գարշապար,ялгавал
39,Ferse::N,գարշապար,ял кавал
40,Knie::N,ծունկ,пылвуй
41,Oberschenkel::N,ազդր,ӓрдӹ
42,Bein::N,ոտք,ял
43,Körper::N,մարմին,монгыр
44,Haut::N,մաշկ,кавашты
45,Blut::N,արյուն,вӹр
46,Ader::N,երակ,вӹршӓр
47,Sehne::N,ջիղ,кукшышӱн
48,Sehne::N,ձգտան,кукшышӱн
49,Knochen::N,ոսկոր,лу
50,Gehirn::N,խելք,вим
51,Herz::N,սիրտ,шӱм
52,Magen::N,ստամոքս,шӱм
53,Leber::N,լյարդ,мокш
54,Atem::N,շունչ,шӱлӹш
55,Hunger::N,քաղց,шужымаш
56,Träne::N,արտասուք,сӹнзӓвӹд
57,Geschmack::N,համ,тот
58,Geschmack::N,բուրմունք,тот
59,Geruch::N,հոտ,пыш
60,Geruch::N,բուրում,пыш
61,Schlaf::N,քուն,ом
62,Traum::N,երազ,ом
63,Himmel::N,երկինք,пӹлгом
64,Sonne::N,արեւ,кечӹ
65,Mond::N,լուսին,тӹлзӹ
66,Stern::N,աստղ,шӹдӹр
67,Luft::N,օդ,юж
68,Luft::N,օդ,воздух
69,Wind::N,քամի,мардеж
70,Welle::N,ալիք,ко
71,Welle::N,ալիք,коэ
72,Wasser::N,ջուր,вӹд
73,Stein::N,քար,кӱ
74,Boden::N,գետին,рок
75,Erde::N,հող,свет
76,Staub::N,փոշի,пырак
77,Rauch::N,ծուխ,шӹкш
78,Funke::N,կայծ,ип
79,Funke::N,կայծ,тылип
80,Feuer::N,կրակ,тыл
81,Feuer::N,հրդեհ,тыл
82,Licht::N,լույս,соты
83,Licht::N,լույս,валгыды
84,Schatten::N,ստվեր,ӹмӹл
85,Wetter::N,եղանակ,игечӹ
86,Nebel::N,մեգ,тӹтӹрӓ
87,Nebel::N,մառախուղ,тӹтӹрӓ
88,Wolke::N,ամպ,пӹл
89,Regen::N,անձրև,юр
90,Schnee::N,ձյուն,лым
91,Eis::N,սառույց,и
92,Frost::N,սառնամանիք,ӱштӹ
93,Kälte::N,դող,ӱштӹ
94,Hitze::N,շոգ,шокшы
95,Raureif::N,ցօղեղեամ,пöрш
96,Regenbogen::N,ծիածան,шанавӹл
97,Donner::N,որոտ,хӹдӹртӹш
98,Strömung::N,հոսանք,йогы
99,Tropfen::N,կաթիլ,капльы
100,Tropfen::N,կաթիլ,капльык
101,Schaum::N,փրփուր,шонг
102,Schmutz::N,կեղտ,лявӹрӓ
103,See::N,լիճ,йӓр
104,Sumpf::N,ճահիճ,лӱкӹ
105,Moor::N,ճահիճ,куп
106,Wiese::N,մարգագետին,алык
107,Wald::N,անտառ,шӹргӹ
108,Hügel::N,բլուր,пӱгӹрикӓ
109,Anhöhe::N,բարձունք,кӱкшикӓ
110,Berg::N,լեռ,кырык
111,Gipfel::N,գագաթ,неркӓ
112,Gipfel::N,կատար,неркӓ
113,Höhle::N,քարայր,ы́раж
114,Abhang::N,լանջ,полом
115,Abhang::N,զառիվայր,полом
116,Quelle::N,աղբյուր,вӹдсӹнзӓ
117,Bach::N,վտակ,ӓнгӹр
118,Fluss::N,գետ,вӹд
119,Ufer::N,ծովափ,сир
120,Küste::N,ափ,сир
121,Küste::N,ծովափ,сир
122,Festland::N,ցամաք,мӱлӓндӹ
123,Meer::N,ծով,тангыж
124,Bucht::N,հաչիւն,вӹдъял
125,Insel::N,վղզի,острок
126,Blume::N,ծաղիկ,пеледӹш
127,Gras::N,խոտ,шуды
128,Wurzel::N,արմատ,важ
129,Baum::N,ծառ,пушӓнгӹ
130,Stamm::N,իրան,пушӓнгӹ тӹнг
