,Concept_ID,ko,cy
0,Auge::N,눈,llygad
1,Ohr::N,귀,clust
2,Nase::N,코,trwyn
3,Mund::N,입,ceg
4,Zahn::N,이,dant
5,Zunge::N,혀,tafod
6,Lippe::N,입술,gwefus
7,Wange::N,뺨,boch
8,Gesicht::N,얼굴,wyneb
9,Stirn::N,이마,talcen
10,Haar::N,털,blew
11,Schnurrbart::N,윗수몀,mwstas
12,Schnurrbart::N,코밑수염,mwstas
13,Bart::N,수엄,barf
14,Kinn::N,아래턱,gên
15,Kiefer[Anatomie]::N,턱,gên
16,Kehle::N,인후,gwddf
17,Hals::N,목,gwddf
18,Genick::N,먹덜이,gwar
19,Genick::N,먹덜이,gwegil
20,Kopf::N,머리,pen
21,Rücken::N,든,cefn
22,Bauch::N,배,bol
23,Nabel::N,배꼽,bogail
24,Busen::N,가슴속,bron
25,Brust::N,가슴,brest
26,Schulter::N,어깨,ysgwydd
27,Arm::N,팔,braich
28,Ellenbogen::N,팔쿰치,penelin
29,Hand::N,손,llaw
30,Handfläche::N,손바닥,palf
31,Finger::N,속가락,bys
32,Fingernagel::N,손톱,ewin
33,Nagel[Anatomie]::N,손톱,ewin
34,Zeh::N,발가락,bys troed
35,Fuß::N,발,troed
36,Ferse::N,발꿈치,sawdl
37,Knie::N,무릎,glin
38,Oberschenkel::N,허벅다리,clun
39,Bein::N,다리,coes
40,Körper::N,구간,corff
41,Haut::N,살갗,croen
42,Blut::N,피,gwaed
43,Ader::N,정맥,gwythïen
44,Sehne::N,현,gewyn
45,Knochen::N,뼈,asgwrn
46,Gehirn::N,뇌,ymennydd
47,Gehirn::N,뇌수,ymennydd
48,Herz::N,염통,calon
49,Magen::N,위,cylla
50,Magen::N,위,stumog
51,Leber::N,간,iau
52,Atem::N,기식,anadl
53,Hunger::N,공복,newyn
54,Träne::N,눈물,deigryn
55,Geschmack::N,기호,cyflas
56,Geruch::N,냄새,aroglau
57,Schlaf::N,수면,cwsg
58,Traum::N,쿰,breuddwyd
59,Himmel::N,하늘,awyr
60,Sonne::N,해,haul
61,Mond::N,달,lleuad
62,Stern::N,별,seren
63,Luft::N,동준,awyr
64,Luft::N,가스채,awyr
65,Wind::N,바람,gwynt
66,Welle::N,물결,ton
67,Wasser::N,물,dŵr
68,Stein::N,돌,carreg
69,Boden::N,바닥,llawr
70,Erde::N,흙,pridd
71,Staub::N,먼지,llwch
72,Rauch::N,연기,mwg
