,Concept_ID,et,udm
0,Auge::N,silm,син
1,Ohr::N,kõrv,пель
2,Nase::N,nina,ныр
3,Mund::N,suu,ым
4,Zahn::N,hammas,пинь
5,Zunge::N,keel,кыл
6,Lippe::N,huul,ымдур
7,Wange::N,põsk,бам
8,Gesicht::N,nägu,ымныр
9,Stirn::N,otsmik,кымес
10,Haar::N,juus,йырси
11,Schnurrbart::N,vurrud,мыйык
12,Schnurrbart::N,vuntsid,мыйык
13,Bart::N,habe,туш
14,Kinn::N,lõug,ангес
15,Kiefer[Anatomie]::N,lõualuu,ан
16,Kiefer[Anatomie]::N,lõualuu,анлы
17,Kehle::N,kõri,гульым
18,Hals::N,kael,чырты
19,Genick::N,kukal,йырбер
20,Kopf::N,pea,йыр
21,Rücken::N,selg,мыш
22,Bauch::N,kõht,кӧт
23,Nabel::N,naba,гогы
24,Busen::N,rind,ноны
25,Brust::N,rind,мӧля
26,Schulter::N,õlg,пельпум
27,Arm::N,käsivars,суй
28,Ellenbogen::N,küünarnukk,гырпум
29,Hand::N,käsi,ки
30,Handfläche::N,pihk,ки пыдэс
31,Handfläche::N,pihk,кырым пыдэс
32,Finger::N,sõrm,чиньы
33,Fingernagel::N,küüs,гижы
34,Fingernagel::N,küüs,гиждӥнь
35,Nagel[Anatomie]::N,küüs,гижы
36,Zeh::N,varvas,пыдчиньы
37,Fuß::N,jalg,пыд
38,Ferse::N,kand,пыдбер
39,Knie::N,põlv,пыдес
40,Oberschenkel::N,reis,макес
41,Bein::N,jalg,пыд
42,Körper::N,ihu,мугор
43,Körper::N,ihu,вылтыр
44,Körper::N,keha,мугор
45,Körper::N,keha,вылтыр
46,Haut::N,nahk,ку
47,Blut::N,veri,вир
48,Ader::N,veen,вирсэр
49,Sehne::N,kõõlus,вуж
50,Knochen::N,luu,лы
51,Gehirn::N,aju,вим
52,Herz::N,süda,сюлэм
53,Magen::N,magu,ӝуш
54,Leber::N,maks,мус
55,Atem::N,hingeõhk,лул
56,Atem::N,hingeõhk,шокан
57,Atem::N,hingamine,лул
58,Atem::N,hingamine,шокан
59,Hunger::N,nälg,кӧтсюман
60,Träne::N,pisar,синкыли
61,Geschmack::N,maitse,шӧм
62,Geruch::N,lõhn,зын
63,Schlaf::N,uni,вӧт
64,Traum::N,unenägu,уйвӧт
65,Himmel::N,taevas,ин
66,Sonne::N,päike,шунды
67,Mond::N,kuu,толэзь
68,Stern::N,täht,кизили
69,Luft::N,õhk,омыр
70,Wind::N,tuul,тӧл
71,Welle::N,laine,тулкым
72,Wasser::N,vesi,ву
73,Stein::N,kivi,из
74,Boden::N,maa,музъем
75,Boden::N,pinnas,музъем
76,Erde::N,maa,му
77,Staub::N,põrm,пыль
78,Rauch::N,suits,ӵын
79,Funke::N,säde,гизьы
80,Feuer::N,tuli,тыл
81,Licht::N,valgus,тыл
82,Schatten::N,vari,вужер
83,Wetter::N,ilm,куазь
84,Nebel::N,udu,бус
85,Wolke::N,pilv,пилем
86,Regen::N,sadu,зор
87,Schnee::N,lumi,лымы
88,Eis::N,jää,йӧ
89,Frost::N,pakane,кезьыт
90,Kälte::N,külm,кезьыт
91,Kälte::N,külmus,кезьыт
92,Hitze::N,kuumus,пӧсь
93,Hitze::N,palavus,пӧсь
94,Raureif::N,härmatis,гӧр
95,Regenbogen::N,vikerkaar,вуюись
96,Donner::N,kõu,гудыри
97,Donner::N,müristamine,гудыри
98,Strömung::N,voolus,бызён
99,Strömung::N,jõevool,бызён
100,Tropfen::N,tilk,шапык
101,Schaum::N,vaht,шукы
102,Schmutz::N,pori,нӧд
103,Schmutz::N,pori,дэри
104,Schmutz::N,mustus,нӧд
105,Schmutz::N,mustus,дэри
106,See::N,järv,ты
107,Sumpf::N,soo,нюр
108,Moor::N,raba,нюр
109,Wiese::N,aas,возь
110,Wiese::N,aas,возьвыл
111,Wiese::N,nurm,возь
112,Wiese::N,nurm,возьвыл
113,Wald::N,mets,сик
114,Wald::N,mets,нюлэс
115,Hügel::N,küngas,выр
116,Hügel::N,küngas,вырйыл
117,Anhöhe::N,küngas,выр
118,Anhöhe::N,küngas,вырйыл
119,Berg::N,mägi,гурезь
120,Gipfel::N,mäetipp,йыл
121,Höhle::N,koobas,гу
122,Abhang::N,nõlvak,бам
123,Quelle::N,allikas,ошмес
124,Bach::N,oja,пичи шур
125,Fluss::N,jõgi,шур
126,Ufer::N,kallas,ярдур
127,Küste::N,rannik,вудур
128,Festland::N,mander,мувыр
129,Festland::N,maismaa,мувыр
130,Meer::N,meri,зарезь
131,Bucht::N,laht,вукож
132,Insel::N,saar,вумуӵ
133,Insel::N,saar,шормуӵ
134,Blume::N,lill,сяська
135,Gras::N,rohi,турын
136,Wurzel::N,juur,выжы
137,Baum::N,puu,пу
138,Stamm::N,tüvi,модос
139,Rinde::N,koor,сул
140,Ast::N,oks,ул
141,Zweig::N,oks,вай
142,Blatt::N,leht,куар
143,Birke::N,kask,кызьпу
144,Kiefer[Baum]::N,mänd,пужым
145,Weide[Baum]::N,paju,бадьпу
146,Tanne::N,nulg,кыз
147,Horn::N,sarv,сюр
148,Feder::N,sulg,тылы
149,Fell::N,karvkate,ку
150,Fell::N,karusnahk,ку
151,Flügel::N,tiib,бурд
152,Flügel::N,tiivik,бурд
153,Klaue::N,küüs,гижы
154,Kralle::N,küünis,пыд
155,Schwanz::N,saba,быж
156,Ei::N,muna,пуз
157,Ei::N,muna,кукей
158,Nest::N,pesa,кар
159,Nest::N,pesa,пузкар
160,Bau::N,urg,кар
161,Bau::N,urg,гу
162,Tier::N,loom,пӧйшур
163,Herde::N,kari,уллё
164,Kuh::N,lehm,скал
165,Bulle::N,pull,ош
166,Bulle::N,pull,пороз
167,Pferd::N,hobune,вал
168,Schaf::N,lammas,ыж
169,Schwein::N,siga,парсь
170,Hund::N,koer,пуны
171,Katze::N,kass,коӵыш
172,Bär::N,karu,гондыр
173,Eichhörnchen::N,orav,коньы
174,Elch::N,põder,койык
175,Fuchs::N,rebane,ӟичы
176,Hase::N,jänes,кеч
177,Maus::N,hiir,шыр
178,Wolf::N,hunt,кион
179,Vogel::N,lind,тылобурдо
180,Schwarm::N,parv,уллё
181,Huhn::N,kana,курег
182,Hahn::N,kukk,атас
183,Gans::N,hani,ӟазег
184,Adler::N,kotkas,ӧрзи
185,Ente::N,part,ӵӧж
186,Eule::N,kakk,кучыран
187,Eule::N,öökull,кучыран
188,Kranich::N,kurg,тури
189,Krähe::N,vares,куака
190,Kuckuck::N,kägu,кикы
191,Schwan::N,luik,юсь
192,Fisch::N,kala,чорыг
193,Barsch::N,ahven,юш
194,Hecht::N,haug,чипей
195,Schlange[Tier]::N,uss,кый
196,Wurm::N,uss,нумыр
197,Wurm::N,vagel,нумыр
198,Spinne::N,ämblik,чонари
199,Ameise::N,sipelgas,кузьыли
200,Laus::N,täi,тэй
201,Mücke::N,sääsk,нымы
202,Mücke::N,sääsk,чибинь
203,Fliege::N,kärbes,кут
204,Schmetterling::N,liblikas,бубыли
205,Beere::N,mari,узы-боры
206,Apfel::N,õun,яблок
207,Pilz::N,seen,губи
208,Zwiebel::N,sibul,сугон
209,Saat::N,seeme,кидыс
210,Korn::N,iva,тысь
211,Korn::N,tera,тысь
212,Heu::N,hein,турын
213,Schale::N,koor,кыд
214,Grube::N,kaevand,гу
215,Grube::N,kaevand,гоп
216,Falle::N,lõks,налик
217,Falle::N,püünis,налик
218,Schlinge::N,aas,гиӟ
219,Schlinge::N,aas,герд
220,Spur::N,jälg,пытьы
221,Spur::N,jälg,бервыл
222,Asche::N,tuhk,пень
223,Dreck::N,saast,дэри
224,Dreck::N,mustus,дэри
225,Eisen::N,raud,корт
226,Gold::N,kuld,зарни
227,Silber::N,hõbe,азвесь
228,Kohle::N,süsi,эгыр
229,Glas::N,klaas,стекло
230,Glas::N,klaas,пияла
231,Lehm::N,savi,сюй
232,Sand::N,liiv,луо
233,Mensch::N,inimene,мурт
234,Mensch::N,inimene,адями
235,Mann::N,mees,воргорон
236,Frau::N,naine,кышномурт
237,Kind::N,laps,нуны
238,Kind::N,laps,пинал
239,Junge::N,poiss,пи
240,Mädchen::N,tüdruk,ныл
241,Familie::N,perekond,семья
242,Großvater::N,vanaisa,песятай
243,Großvater::N,vanaisa,пересь атай
244,Großmutter::N,vanaema,песянай
245,Großmutter::N,vanaema,пересь анай
246,Eltern::N,vanemad,атай-анай
247,Eltern::N,vanemad,бубы-мумы
248,Vater::N,isa,айы
249,Vater::N,isa,атай
250,Mutter::N,ema,мумы
251,Sohn::N,poeg,пи
252,Tochter::N,tütar,ныл
253,Bruder::N,vend,агай
254,Schwester::N,õde,апа
255,Schwester::N,õde,сузэр
256,Onkel::N,onu,агай
257,Tante::N,tädi,апа
258,Tante::N,tädi,кенак
259,Ehemann::N,mees,карт
260,Ehemann::N,abikaasa,карт
261,Ehefrau::N,naine,кышно
262,Ehefrau::N,abikaasa,кышно
263,Freude::N,rõõm,шумпотон
264,Gelächter::N,naer,горем
265,Glück::N,õnn,шуд
266,Kummer::N,mure,кайгу
267,Kummer::N,mure,куректон
268,Kummer::N,kurbus,кайгу
269,Kummer::N,kurbus,куректон
270,Wunsch::N,soov,мылпотон
271,Lust::N,himu,потон
272,Geist::N,vaim,лул
273,Gedanke::N,mõte,малпан
274,Gedächtnis::N,mälu,йырсазь
275,Gedächtnis::N,mälu,тодэваён
276,Verstand::N,aru,йырвизь
277,Verstand::N,mõistus,йырвизь
278,Sinn::N,tähendus,смысл
279,Grund::N,põhjus,муг
280,Grund::N,põhjus,ньӧм
281,Wahrheit::N,tõde,зэм
282,Wahrheit::N,tõde,шонер
283,Gespräch::N,kõne,вераськон
284,Gespräch::N,vestlus,вераськон
285,Märchen::N,muinasjutt,выжыкыл
286,Erzählung::N,jutustus,верос
287,Nachricht::N,teade,ивор
288,Neuigkeit::N,uudis,выльивор
289,Name::N,nimi,ним
290,Rätsel::N,mõistatus,мадькыл
291,Rede::N,kõne,верам
292,Sprache::N,keel,кыл
293,Stimme::N,hääl,куара
294,Wort::N,sõna,кыл
295,Zeichen::N,märk,пус
296,Zeichen::N,märk,тодмет
297,Ruf::N,hüüe,ӧтён
298,Ruf::N,hüüe,чортон
299,Lärm::N,müra,ӵашетон
300,Laut::N,hääl,куара
301,Ton::N,toon,куара
302,Lied::N,laul,кырӟан
303,Ruhe::N,rahu,чалмыт улон
304,Ruhe::N,vaikus,чалмыт улон
305,Leute::N,inimesed,адямиос
306,Volk::N,rahvas,калык
307,Arbeit::N,töö,уж
308,Gast::N,külaline,куно
309,Geschenk::N,kingitus,салам
310,Geschenk::N,kingitus,кузьым
311,Spiel::N,mäng,шудон
312,Gesellschaft::N,selts,калык
313,Hilfe::N,abi,юрттон
314,Freund::N,sõber,эш
315,Freund::N,sõber,юлтош
316,Kamerad::N,sõber,тодмо
317,Angelegenheit::N,asi,уж
318,Anzahl::N,arv,лыд
319,Anzahl::N,hulk,лыд
320,Art::N,liik,тус
321,Stück::N,tükk,юдэс
322,Teil::N,osa,люкет
323,Hälfte::N,pool,ӝыны
324,Kreis::N,ring,котырес
325,Kreuz::N,rist,крест
326,Linie::N,joon,гож
327,Strich::N,joon,гож
328,Abstand::N,vahe,вис
329,Abstand::N,vahe,кусып
330,Entfernung::N,kaugus,кусып
331,Entfernung::N,vahemaa,кусып
332,Gegend::N,ümbrus,инты
333,Platz::N,ruum,инты
334,Ort::N,paik,инты
335,Ort::N,paik,места
336,Seite::N,pool,пал
337,Mitte::N,keskpaik,шор
338,Gegenstand::N,ese,арбери
339,Sache::N,ese,котыр
340,Rand::N,äär,дур
341,Rand::N,äär,шаер
342,Rand::N,serv,дур
343,Rand::N,serv,шаер
344,Kante::N,kant,дур
345,Ecke::N,nurk,сэрег
346,Spitze::N,teravik,йыл
347,Ende::N,ots,пум
348,Ende::N,jupp,пум
349,Loch::N,auk,пась
350,Winkel::N,nurk,сэрег
351,Muster::N,muster,пужы
352,Größe::N,suurus,быдӟала
353,Länge::N,pikkus,кузьдала
354,Höhe::N,kõrgus,ӝуждала
355,Gewicht::N,kaal,сектала
356,Gewicht::N,kaal,секытлык
357,Gewicht::N,raskus,сектала
358,Gewicht::N,raskus,секытлык
359,Menge::N,arv,лыд
360,Menge::N,arv,лыдпус
361,Menge::N,hulk,лыд
362,Menge::N,hulk,лыдпус
363,Haufen::N,hunnik,люк
364,Reihe::N,rivi,чур
365,Boot::N,paat,пыж
366,Boot::N,paat,лодка
367,Ruder::N,aer,полыс
368,Schlitten::N,saan,додьы
369,Ski::N,suusk,куас
370,Lagerfeuer::N,lõke,тылскем
371,Last::N,koorem,секыт
372,Gang::N,käik,ветлон
373,Schritt::N,samm,вамыш
374,Norden::N,põhi,уйпал
375,Süden::N,lõuna,лымшор
376,Westen::N,lääs,шунды пуксён
377,Osten::N,ida,шунды ӝужан
378,Holz::N,puu,пу
379,Brett::N,saelaud,пул
380,Platte::N,plaat,плита
381,Stütze::N,tugi,пыкет
382,Stange::N,latt,пуӵ
383,Stange::N,teivas,пуӵ
384,Stock::N,kepp,боды
385,Stab::N,varras,пуӵ
386,Stab::N,varras,боды
387,Rohr::N,toru,труба
388,Haus::N,maja,юрт
389,Heim::N,kodu,корка
390,Ofen::N,ahi,гур
391,Fußboden::N,põrand,выж
392,Tisch::N,laud,ӝӧк
393,Stuhl::N,tool,пукон
394,Wiege::N,häll,кӧкы
395,Wiege::N,häll,зыбка
396,Wiege::N,kätki,кӧкы
397,Wiege::N,kätki,зыбка
398,Bett::N,voodi,валес
399,Regal::N,riiul,ӝажы
400,Kiste::N,kast,ящик
401,Fenster::N,aken,укно
402,Fenster::N,aken,косяк
403,Tür::N,uks,ӧс
404,Tor::N,värav,ӟезьы
405,Zaun::N,aed,забор
406,Zaun::N,tara,забор
407,Dach::N,katus,липет
408,Leiter::N,redel,падӟа
409,Besen::N,luud,ӵужон
410,Besen::N,luud,исьнер
411,Spaten::N,labidas,лопатка
412,Schaufel::N,kühvel,ютырон
413,Gabel::N,kahvel,тэчы
414,Gabel::N,kahvel,вилка
415,Löffel::N,lusikas,пуньы
