,Concept_ID,ba,vep
0,Auge::N,күҙ,sil'm
1,Ohr::N,ҡолаҡ,korv
2,Nase::N,танау,nena
3,Mund::N,ауыҙ,su
4,Zahn::N,теш,pi
5,Zahn::N,теш,hambaz
6,Zunge::N,тел,kel'
7,Lippe::N,ирен,hul'
8,Wange::N,яцаҡтар,modpolišk
9,Gesicht::N,бит,mod
10,Stirn::N,маңлай,oc
11,Haar::N,сәс,tuk
12,Haar::N,сәс,hibuz
13,Schnurrbart::N,мылтыҡ,habinod
14,Bart::N,һаҡал,bard
15,Kinn::N,эйэк,löug
16,Kiefer[Anatomie]::N,яңаҡ һөйәге,hambazlu
17,Kehle::N,тамаҡ,kurk
18,Hals::N,муйын,kagl
19,Genick::N,соңҡа,tagarai
20,Kopf::N,баш,pä
21,Rücken::N,арҡа,sel'g
22,Bauch::N,ҡорһаҡ,vac
23,Bauch::N,ҡорһаҡ,koht
24,Nabel::N,кендек,naba
25,Busen::N,күкрәк,niža
26,Brust::N,түш,rind
27,Schulter::N,яурын,oug
28,Arm::N,ҡул,käzi
29,Ellenbogen::N,терһәк,künambruz
30,Hand::N,ҡул,käzi
31,Hand::N,ҡул,käzitera
32,Hand::N,ҡул суғы,käzi
33,Hand::N,ҡул суғы,käzitera
34,Handfläche::N,ус төбө,kämen
35,Finger::N,бармаҡ,sor'm
36,Fingernagel::N,тырнаҡ,künz'
37,Nagel[Anatomie]::N,тырнаҡ,künz'
38,Zeh::N,бармаҡ,barbaz
39,Fuß::N,табан,jaug
40,Ferse::N,үксә,kand
41,Knie::N,тубыҡ,komb
42,Knie::N,тубыҡ,pol'v
43,Oberschenkel::N,сандыр,riiže
44,Bein::N,аяҡ,jaug
45,Körper::N,тән,hibj
46,Haut::N,тире,nahk
47,Blut::N,ҡан,čak
48,Blut::N,ҡан,veri
49,Ader::N,тамыр,son'
50,Sehne::N,һеңер,jände
51,Sehne::N,тарамыш,jände
52,Knochen::N,һойәк,lu
53,Gehirn::N,мейе,aivod
54,Herz::N,йорәк,südäin
55,Magen::N,ашҡаҙан,südäikoht
56,Leber::N,бауыр,maks
57,Atem::N,һулыш,hengaiduz
58,Hunger::N,аслыҡ,näl'g
59,Träne::N,күҙ иәше,kündal'
60,Geschmack::N,тәм,magu
61,Geruch::N,еҫ,haju
62,Schlaf::N,йоҡлау,uni
63,Traum::N,төш,unikuva
64,Himmel::N,күк,taivaz
65,Sonne::N,ҡояш,päiväine
66,Mond::N,ай,kudmaine
67,Stern::N,йондоҙ,tähtaz
68,Luft::N,һауа,il'm
69,Wind::N,ел,döl
70,Wind::N,ел,tullei
71,Welle::N,тулҡын,ald
72,Welle::N,тулҡын,laineh
73,Wasser::N,һыу,vezi
74,Stein::N,таш,kivi
75,Boden::N,тупраҡ,ma
76,Boden::N,тупраҡ,pohj
77,Erde::N,балсҡ,ma
78,Staub::N,туҙан,pölü
79,Rauch::N,төтөн,savu
80,Funke::N,осҡон,kibin
81,Feuer::N,ут,lämoi
82,Licht::N,яҡтылыҡ,vauktuz
83,Schatten::N,күләгә,pil'vez
84,Schatten::N,күләгә,kuvahaine
85,Wetter::N,һауа торошо,sä
86,Nebel::N,төман,sumeg
87,Wolke::N,болот,pil'v
88,Regen::N,ямғыр,vihm
89,Schnee::N,ҡар,lumi
90,Eis::N,боҙ,jä
91,Frost::N,һалҡын,hala
92,Frost::N,һалҡын,pakaine
93,Kälte::N,һыуыҡ,vilu
94,Hitze::N,томра,räk
95,Hitze::N,эҫелек,räk
96,Raureif::N,ҡырау,hüde
97,Regenbogen::N,йәйғор,jumalanbembel'
98,Donner::N,күк күкрәү,juru
99,Donner::N,күк күкрәү,jumalanjuru
100,Strömung::N,ағым,joksmuz
101,Tropfen::N,тамсы,tilkuine
102,Schaum::N,күбек,vaht
103,Schmutz::N,батҡаҡ,redu
104,Schmutz::N,батҡаҡ,pačak
105,See::N,күл,järv
106,Sumpf::N,һаҙлык,so
107,Moor::N,һаҙ,so
108,Wiese::N,болон,nit
109,Wald::N,урман,mec
110,Hügel::N,түбә,kukaz
111,Anhöhe::N,түбә,kukaz
112,Anhöhe::N,ҡалҡыулыҡ,kukaz
113,Berg::N,тау,mägi
114,Gipfel::N,түбә,ladv
115,Höhle::N,мәмерйә,mägionduz
116,Abhang::N,ипкен,paute
117,Quelle::N,шишмә,lähte
118,Bach::N,шишмә,oja
119,Fluss::N,йылға,jogi
120,Ufer::N,яр,rand
121,Küste::N,яр буйы,randišt
122,Festland::N,ҡоро ер,kuivma
123,Meer::N,диңгез,meri
124,Bucht::N,бухта,laht
125,Insel::N,үтрау,sar'
126,Blume::N,сәскә,änik
127,Gras::N,үлән,hein
128,Wurzel::N,тамыр,jur'
129,Baum::N,ағас,pu
130,Stamm::N,олон,tüvi
131,Stamm::N,көбәк,tüvi
132,Rinde::N,ҡабыҡ,kor'
133,Ast::N,ботаҡ,oks
134,Zweig::N,ботаҡ,oks
135,Zweig::N,ботаҡ,barb
136,Zweig::N,тармаҡ,oks
137,Zweig::N,тармаҡ,barb
138,Blatt::N,япраҡ,lehtez
139,Birke::N,ҡайын,koiv
140,Kiefer[Baum]::N,ҡарғай,pedai
141,Weide[Baum]::N,тал,raid
142,Tanne::N,шыршы,kuz'
143,Horn::N,мөғөҙ,sar'v
