,Concept_ID,kk,ga
0,Auge::N,көз,súil
1,Ohr::N,құлақ,cluas
2,Nase::N,мұрын,soc
3,Mund::N,ауыз,béal
4,Zahn::N,тіс,fiacail
5,Zunge::N,тіл,teanga
6,Lippe::N,ерін,liopa
7,Wange::N,ұрт,grua
8,Wange::N,ұрт,leiceann
9,Gesicht::N,бет-аузы,éadan
10,Gesicht::N,бет-аузы,aghaidh
11,Stirn::N,маңдай,baithis
12,Stirn::N,маңдай,clár éadain
13,Haar::N,қыл,gruaig
14,Schnurrbart::N,мұрт,croiméal
15,Bart::N,сақал,féasóg
16,Kinn::N,иек,smig
17,Kiefer[Anatomie]::N,жақ,giall
18,Kehle::N,алқым,scornach
19,Hals::N,мойын,muinéal
20,Genick::N,желке,baic
21,Kopf::N,кәллә,ceann
22,Rücken::N,арқа,droim
23,Bauch::N,қарын,bolg
24,Nabel::N,кіндік,imleacán
25,Busen::N,омырау,cíoch
26,Brust::N,кеуде,brollach
27,Schulter::N,иық,gualainn
28,Arm::N,қол,lámh
29,Ellenbogen::N,шынтақ,uillinn
30,Hand::N,қол,lámh
31,Handfläche::N,алақан,bos
32,Finger::N,саусақ,méar
33,Fingernagel::N,тырнақ,ionga
34,Nagel[Anatomie]::N,тырнақ,ionga
35,Zeh::N,тырнақ,ladhar
36,Zeh::N,тұяқ,ladhar
37,Fuß::N,аяқ-басы,cos
38,Fuß::N,аяқ-басы,troigh
39,Ferse::N,өкше,sáil
40,Ferse::N,өкшелік,sáil
41,Knie::N,тізе,glúin
42,Oberschenkel::N,жамбас,ceathrú
43,Bein::N,аяқ,cos
44,Körper::N,дене,corp
45,Körper::N,дене,colainn
46,Haut::N,тері,cneas
47,Haut::N,тері,craiceann
48,Blut::N,қан,fuil
49,Ader::N,көктамыр,
50,Ader::N,күретамыр,
51,Sehne::N,сіңір,teannán
52,Sehne::N,сіңір,féitheog
53,Knochen::N,жілік,cnámh
54,Gehirn::N,ми,inchinn
55,Herz::N,жүрек,croí
56,Magen::N,асқазан,bolg
57,Magen::N,асқазан,goile
58,Leber::N,бауыр,ae
