,Concept_ID,udm,vep
0,Auge::N,син,sil'm
1,Ohr::N,пель,korv
2,Nase::N,ныр,nena
3,Mund::N,ым,su
4,Zahn::N,пинь,pi
5,Zahn::N,пинь,hambaz
6,Zunge::N,кыл,kel'
7,Lippe::N,ымдур,hul'
8,Wange::N,бам,modpolišk
9,Gesicht::N,ымныр,mod
10,Stirn::N,кымес,oc
11,Haar::N,йырси,tuk
12,Haar::N,йырси,hibuz
13,Schnurrbart::N,мыйык,habinod
14,Bart::N,туш,bard
15,Kinn::N,ангес,löug
16,Kiefer[Anatomie]::N,ан,hambazlu
17,Kiefer[Anatomie]::N,анлы,hambazlu
18,Kehle::N,гульым,kurk
19,Hals::N,чырты,kagl
20,Genick::N,йырбер,tagarai
21,Kopf::N,йыр,pä
22,Rücken::N,мыш,sel'g
23,Bauch::N,кӧт,vac
24,Bauch::N,кӧт,koht
25,Nabel::N,гогы,naba
26,Busen::N,ноны,niža
27,Brust::N,мӧля,rind
28,Schulter::N,пельпум,oug
29,Arm::N,суй,käzi
30,Ellenbogen::N,гырпум,künambruz
31,Hand::N,ки,käzi
32,Hand::N,ки,käzitera
33,Handfläche::N,ки пыдэс,kämen
34,Handfläche::N,кырым пыдэс,kämen
35,Finger::N,чиньы,sor'm
36,Fingernagel::N,гижы,künz'
37,Fingernagel::N,гиждӥнь,künz'
38,Nagel[Anatomie]::N,гижы,künz'
39,Zeh::N,пыдчиньы,barbaz
40,Fuß::N,пыд,jaug
41,Ferse::N,пыдбер,kand
42,Knie::N,пыдес,komb
43,Knie::N,пыдес,pol'v
44,Oberschenkel::N,макес,riiže
45,Bein::N,пыд,jaug
46,Körper::N,мугор,hibj
47,Körper::N,вылтыр,hibj
48,Haut::N,ку,nahk
49,Blut::N,вир,čak
50,Blut::N,вир,veri
51,Ader::N,вирсэр,son'
52,Sehne::N,вуж,jände
53,Knochen::N,лы,lu
54,Gehirn::N,вим,aivod
55,Herz::N,сюлэм,südäin
56,Magen::N,ӝуш,südäikoht
57,Leber::N,мус,maks
58,Atem::N,лул,hengaiduz
59,Atem::N,шокан,hengaiduz
60,Hunger::N,кӧтсюман,näl'g
61,Träne::N,синкыли,kündal'
62,Geschmack::N,шӧм,magu
63,Geruch::N,зын,haju
64,Schlaf::N,вӧт,uni
65,Traum::N,уйвӧт,unikuva
66,Himmel::N,ин,taivaz
67,Sonne::N,шунды,päiväine
68,Mond::N,толэзь,kudmaine
69,Stern::N,кизили,tähtaz
70,Luft::N,омыр,il'm
71,Wind::N,тӧл,döl
72,Wind::N,тӧл,tullei
73,Welle::N,тулкым,ald
74,Welle::N,тулкым,laineh
75,Wasser::N,ву,vezi
76,Stein::N,из,kivi
77,Boden::N,музъем,ma
78,Boden::N,музъем,pohj
79,Erde::N,му,ma
80,Staub::N,пыль,pölü
81,Rauch::N,ӵын,savu
82,Funke::N,гизьы,kibin
83,Feuer::N,тыл,lämoi
84,Licht::N,тыл,vauktuz
85,Schatten::N,вужер,pil'vez
86,Schatten::N,вужер,kuvahaine
87,Wetter::N,куазь,sä
88,Nebel::N,бус,sumeg
89,Wolke::N,пилем,pil'v
90,Regen::N,зор,vihm
91,Schnee::N,лымы,lumi
92,Eis::N,йӧ,jä
93,Frost::N,кезьыт,hala
94,Frost::N,кезьыт,pakaine
95,Kälte::N,кезьыт,vilu
96,Hitze::N,пӧсь,räk
97,Raureif::N,гӧр,hüde
98,Regenbogen::N,вуюись,jumalanbembel'
99,Donner::N,гудыри,juru
100,Donner::N,гудыри,jumalanjuru
101,Strömung::N,бызён,joksmuz
102,Tropfen::N,шапык,tilkuine
103,Schaum::N,шукы,vaht
104,Schmutz::N,нӧд,redu
105,Schmutz::N,нӧд,pačak
106,Schmutz::N,дэри,redu
107,Schmutz::N,дэри,pačak
108,See::N,ты,järv
109,Sumpf::N,нюр,so
110,Moor::N,нюр,so
111,Wiese::N,возь,nit
112,Wiese::N,возьвыл,nit
113,Wald::N,сик,mec
114,Wald::N,нюлэс,mec
115,Hügel::N,выр,kukaz
116,Hügel::N,вырйыл,kukaz
117,Anhöhe::N,выр,kukaz
118,Anhöhe::N,вырйыл,kukaz
119,Berg::N,гурезь,mägi
120,Gipfel::N,йыл,ladv
121,Höhle::N,гу,mägionduz
122,Abhang::N,бам,paute
123,Quelle::N,ошмес,lähte
124,Bach::N,пичи шур,oja
125,Fluss::N,шур,jogi
126,Ufer::N,ярдур,rand
127,Küste::N,вудур,randišt
128,Festland::N,мувыр,kuivma
129,Meer::N,зарезь,meri
130,Bucht::N,вукож,laht
131,Insel::N,вумуӵ,sar'
132,Insel::N,шормуӵ,sar'
133,Blume::N,сяська,änik
134,Gras::N,турын,hein
135,Wurzel::N,выжы,jur'
136,Baum::N,пу,pu
137,Stamm::N,модос,tüvi
138,Rinde::N,сул,kor'
139,Ast::N,ул,oks
140,Zweig::N,вай,oks
141,Zweig::N,вай,barb
142,Blatt::N,куар,lehtez
143,Birke::N,кызьпу,koiv
144,Kiefer[Baum]::N,пужым,pedai
145,Weide[Baum]::N,бадьпу,raid
146,Tanne::N,кыз,kuz'
147,Horn::N,сюр,sar'v
148,Feder::N,тылы,höuneh
149,Fell::N,ку,nahk
150,Flügel::N,бурд,suug
151,Klaue::N,гижы,künz'
152,Kralle::N,пыд,künz'
153,Schwanz::N,быж,händ
154,Ei::N,пуз,muna
155,Ei::N,кукей,muna
156,Nest::N,кар,peza
157,Nest::N,пузкар,peza
158,Bau::N,кар,uru
159,Bau::N,гу,uru
160,Tier::N,пӧйшур,živat
161,Herde::N,уллё,kogo
162,Kuh::N,скал,lehm
163,Bulle::N,ош,härg
164,Bulle::N,пороз,härg
165,Pferd::N,вал,hebo
166,Schaf::N,ыж,lambaz
167,Schwein::N,парсь,siga
168,Hund::N,пуны,koir
169,Katze::N,коӵыш,kaži
170,Bär::N,гондыр,kondi
171,Eichhörnchen::N,коньы,orav
172,Elch::N,койык,hirb'
173,Fuchs::N,ӟичы,reboi
174,Hase::N,кеч,jäniš
175,Maus::N,шыр,hir'
176,Wolf::N,кион,händikaz
177,Vogel::N,тылобурдо,lind
178,Schwarm::N,уллё,parveh
179,Huhn::N,курег,kana
180,Hahn::N,атас,kukoi
181,Gans::N,ӟазег,hanh'
182,Adler::N,ӧрзи,orl
183,Ente::N,ӵӧж,sorz
184,Eule::N,кучыран,hir'pulo
185,Kranich::N,тури,kurg
186,Krähe::N,куака,variš
187,Kuckuck::N,кикы,kägi
188,Schwan::N,юсь,joucen
189,Fisch::N,чорыг,kala
190,Barsch::N,юш,ahven
191,Hecht::N,чипей,haug'
192,Schlange[Tier]::N,кый,kü
193,Schlange[Tier]::N,кый,mado
194,Wurm::N,нумыр,mado
195,Spinne::N,чонари,hämähouk
196,Ameise::N,кузьыли,murahaine
197,Laus::N,тэй,täi
198,Mücke::N,нымы,säs'k
199,Mücke::N,чибинь,säs'k
200,Fliege::N,кут,kärbhaine
201,Schmetterling::N,бубыли,lipkaine
202,Beere::N,узы-боры,marj
203,Apfel::N,яблок,jablok
204,Pilz::N,губи,sen'
205,Pilz::N,губи,babuk
206,Zwiebel::N,сугон,lauk
207,Saat::N,кидыс,semned
208,Korn::N,тысь,jüvä
209,Korn::N,тысь,vill'
210,Heu::N,турын,hein
211,Schale::N,кыд,kor'
212,Grube::N,гу,kop
213,Grube::N,гоп,kop
214,Falle::N,налик,rida
215,Schlinge::N,гиӟ,rihm
216,Schlinge::N,герд,rihm
217,Spur::N,пытьы,jäl'g
218,Spur::N,бервыл,jäl'g
219,Asche::N,пень,tuhk
220,Dreck::N,дэри,redu
221,Dreck::N,дэри,pačak
222,Eisen::N,корт,raud
223,Gold::N,зарни,kuld
224,Silber::N,азвесь,hobed
225,Kohle::N,эгыр,hil'
226,Glas::N,стекло,stökol
227,Glas::N,пияла,stökol
228,Lehm::N,сюй,savi
229,Sand::N,луо,lete
230,Mensch::N,мурт,mez'
231,Mensch::N,мурт,ristit
232,Mensch::N,адями,mez'
233,Mensch::N,адями,ristit
234,Mann::N,воргорон,mez'
235,Frau::N,кышномурт,naine
236,Kind::N,нуны,laps'
237,Kind::N,пинал,laps'
238,Junge::N,пи,poig
239,Junge::N,пи,prihaine
240,Mädchen::N,ныл,neičukaine
241,Familie::N,семья,kanz
242,Familie::N,семья,pereh
243,Großvater::N,песятай,ded
244,Großvater::N,пересь атай,ded
245,Großmutter::N,песянай,bab
246,Großmutter::N,пересь анай,bab
247,Eltern::N,атай-анай,vanhembad
248,Eltern::N,атай-анай,kazvatajad
249,Eltern::N,бубы-мумы,vanhembad
250,Eltern::N,бубы-мумы,kazvatajad
251,Vater::N,айы,tat
252,Vater::N,атай,tat
253,Mutter::N,мумы,mam
254,Sohn::N,пи,poig
255,Tochter::N,ныл,tütär
256,Bruder::N,агай,veik
257,Bruder::N,агай,vell'
258,Schwester::N,апа,čiža
259,Schwester::N,апа,sizar
260,Schwester::N,сузэр,čiža
261,Schwester::N,сузэр,sizar
262,Onkel::N,агай,däd'
263,Tante::N,апа,tädi
264,Tante::N,кенак,tädi
265,Ehemann::N,карт,mužik
266,Ehefrau::N,кышно,ak
267,Freude::N,шумпотон,ilo
268,Freude::N,шумпотон,ihastuz
269,Gelächter::N,горем,nagr
270,Glück::N,шуд,oza
271,Kummer::N,кайгу,gor'a
272,Kummer::N,куректон,gor'a
273,Wunsch::N,мылпотон,taht
274,Lust::N,потон,himo
275,Geist::N,лул,heng
276,Gedanke::N,малпан,meletuz
277,Gedächtnis::N,йырсазь,mušt
278,Gedächtnis::N,тодэваён,mušt
279,Verstand::N,йырвизь,mel'
280,Sinn::N,смысл,jüvä
281,Grund::N,муг,sü
282,Grund::N,ньӧм,sü
283,Wahrheit::N,зэм,tozi
284,Wahrheit::N,шонер,tozi
285,Gespräch::N,вераськон,lodu
286,Gespräch::N,вераськон,pagin
287,Märchen::N,выжыкыл,sarn
288,Erzählung::N,верос,sanutez
289,Nachricht::N,ивор,tedotuz
290,Neuigkeit::N,выльивор,uzištuz
291,Name::N,ним,nimi
292,Rätsel::N,мадькыл,ozoitez
293,Rede::N,верам,pagin
294,Rede::N,верам,sanad
295,Sprache::N,кыл,kel'
296,Stimme::N,куара,än'
297,Wort::N,кыл,sana
