,Concept_ID,et,te
0,Auge::N,silm,కన్ను
1,Ohr::N,kõrv,చెవి
2,Nase::N,nina,ముక్కు
3,Mund::N,suu,నోరు
4,Zahn::N,hammas,పల్లు
5,Zunge::N,keel,నాలుక
6,Lippe::N,huul,పెదవి
7,Wange::N,põsk,చెంప
8,Gesicht::N,nägu,ముఖము
9,Stirn::N,otsmik,నుదురు
10,Haar::N,juus,వెండ్రుక
11,Schnurrbart::N,vurrud,మీసము
12,Schnurrbart::N,vuntsid,మీసము
13,Bart::N,habe,గడ్డము
14,Kinn::N,lõug,గడ్డము
15,Kiefer[Anatomie]::N,lõualuu,దౌడ
16,Kehle::N,kõri,గొంతు
17,Hals::N,kael,మెడ
18,Genick::N,kukal,మూపు
19,Kopf::N,pea,తల
20,Rücken::N,selg,వెన్ను
21,Bauch::N,kõht,కడుపు
22,Nabel::N,naba,బొడ్డు
23,Busen::N,rind,స్తనము
24,Brust::N,rind,ఱొమ్ము
25,Schulter::N,õlg,భుజము
26,Arm::N,käsivars,చేయి
27,Ellenbogen::N,küünarnukk,మోచేయి
28,Hand::N,käsi,చేయి
29,Handfläche::N,pihk,అరచేయు
30,Finger::N,sõrm,చేతిప్రేలు
31,Fingernagel::N,küüs,గోరు
32,Nagel[Anatomie]::N,küüs,గోరు
33,Zeh::N,varvas,కాలిప్రేలు
34,Fuß::N,jalg,అడుగు
35,Ferse::N,kand,మడమ
36,Knie::N,põlv,మోకాలు
37,Oberschenkel::N,reis,తొడ
38,Bein::N,jalg,కాలు
39,Körper::N,ihu,కాయము
40,Körper::N,keha,కాయము
41,Haut::N,nahk,చర్మము
42,Blut::N,veri,రక్తము
43,Ader::N,veen,సిర
44,Sehne::N,kõõlus,స్నాయువు
45,Knochen::N,luu,ఎముక
46,Gehirn::N,aju,మెదడు
47,Herz::N,süda,హృదయము
48,Magen::N,magu,కడుపు
49,Leber::N,maks,కాలేయము
50,Atem::N,hingeõhk,ఉపిరి
51,Atem::N,hingamine,ఉపిరి
52,Hunger::N,nälg,ఆకలి
53,Träne::N,pisar,కన్నీటిచుక్క
54,Geschmack::N,maitse,రుచి
55,Geruch::N,lõhn,వాసన
56,Schlaf::N,uni,నిద్ర
57,Traum::N,unenägu,కల
58,Himmel::N,taevas,ఆకాశము
59,Sonne::N,päike,సూర్యుడు
60,Mond::N,kuu,చంద్రుడు
61,Stern::N,täht,నక్షత్రము
62,Luft::N,õhk,గాలి
63,Wind::N,tuul,వీచుచున్నగాలి
64,Welle::N,laine,అల
65,Wasser::N,vesi,నీరు
66,Stein::N,kivi,ఱాయి
67,Boden::N,maa,నేల
68,Boden::N,pinnas,నేల
69,Erde::N,maa,మన్ను
70,Staub::N,põrm,దుమ్ము
71,Rauch::N,suits,పొగ
72,Funke::N,säde,అగ్నికణము
73,Feuer::N,tuli,అగ్ని
74,Licht::N,valgus,కాంతి
75,Schatten::N,vari,నీడ
76,Wetter::N,ilm,వాతావరణ స్థితి
77,Nebel::N,udu,పొగమంచు
78,Wolke::N,pilv,మేఘము
79,Regen::N,sadu,వాన
80,Schnee::N,lumi,హిమము
81,Eis::N,jää,మంచుగడ్డ
82,Frost::N,pakane,పేరిన మంచు
83,Kälte::N,külm,చలి
84,Kälte::N,külmus,చలి
85,Hitze::N,kuumus,వేడిమి
86,Hitze::N,palavus,వేడిమి
87,Raureif::N,härmatis,మంచు
88,Regenbogen::N,vikerkaar,ఇంద్రధనుస్సు
89,Donner::N,kõu,ఉరుము
90,Donner::N,müristamine,ఉరుము
91,Strömung::N,voolus,ప్రవాహము
92,Strömung::N,jõevool,ప్రవాహము
93,Tropfen::N,tilk,చుక్క
94,Schaum::N,vaht,నురుగు
95,Schmutz::N,pori,మైల
96,Schmutz::N,mustus,మైల
97,See::N,järv,సరస్సు
98,Sumpf::N,soo,చిత్తడినేల
99,Moor::N,raba,చిత్తడినేల
100,Wiese::N,aas,పచ్చిక బయలు
101,Wiese::N,nurm,పచ్చిక బయలు
