,Concept_ID,zh,ce
0,Auge::N,眼睛,бӏаьрг
1,Ohr::N,耳朵,лерг
2,Nase::N,鼻子,мара
3,Mund::N,嘴,бага
4,Zahn::N,牙齿,церг
5,Zunge::N,舌头,мотт
6,Lippe::N,嘴唇,балда
7,Wange::N,面颊,бесни
8,Gesicht::N,脸,юьхь
9,Stirn::N,额,хьаж
10,Haar::N,头发,мас
11,Schnurrbart::N,髭须,мекх
12,Bart::N,胡子,маж
13,Kinn::N,下巴,чӏениг
14,Kiefer[Anatomie]::N,颌,мочхал
15,Kehle::N,嗓子,къамкъарг
16,Hals::N,颈,ворта
17,Genick::N,后颈,кӏесаркӏаг
18,Kopf::N,头,корта
19,Rücken::N,背,букъ
20,Bauch::N,肚子,кийра
21,Nabel::N,肚脐,цӏонга
22,Busen::N,胸脯,зударийн накха
23,Brust::N,胸,накха
24,Schulter::N,肩膀,белш
25,Arm::N,臂膀,пхьарс
26,Ellenbogen::N,肘,пхьаьрсан гола
27,Hand::N,手,куьг
28,Handfläche::N,手掌,кераюкъ
29,Finger::N,手指,пӏелг
30,Fingernagel::N,指甲,мӏара
31,Nagel[Anatomie]::N,指甲,мӏара
32,Zeh::N,脚趾,кога пӏелг
33,Fuß::N,脚,ког
34,Ferse::N,后跟,кӏажа
35,Knie::N,膝,гола
36,Oberschenkel::N,大腿,варе
37,Bein::N,腿,ког
38,Körper::N,身体,хӏума
39,Haut::N,皮肤,чкъор
40,Blut::N,血,цӏий
41,Ader::N,血管,пха
42,Sehne::N,腱,хьорзам
43,Knochen::N,骨,даьӏахк
44,Gehirn::N,脑,хье
45,Herz::N,心,дог
46,Magen::N,胃,зорх
47,Leber::N,肝,доӏах
48,Atem::N,呼吸,садеӏар
49,Hunger::N,饿,мацалла
50,Träne::N,眼泪,бӏаьрхи
51,Geschmack::N,味道,чам
52,Geruch::N,气味,хьожа
53,Schlaf::N,睡眠,наб
54,Traum::N,梦,гӏан
55,Himmel::N,天空,стигал
56,Sonne::N,太阳,малх
57,Mond::N,月亮,бутт
58,Stern::N,星,седа
59,Luft::N,空气,xӏаваъ
60,Wind::N,风,мох
61,Welle::N,波,тулгӏе
62,Wasser::N,水,хи
63,Stein::N,石头,тӏулг
64,Boden::N,地面,цӏенкъа
65,Erde::N,地,латта
66,Staub::N,灰尘,чан
67,Rauch::N,烟,кӏур
68,Funke::N,火花,суй
69,Feuer::N,火,цӏе
70,Licht::N,光,серло
71,Schatten::N,影子,ӏиндагӏ
72,Wetter::N,天气,хенан хӏоттам
73,Nebel::N,雾,дохк
74,Wolke::N,云,марха
75,Regen::N,雨,догӏа
76,Schnee::N,雪,ло
77,Eis::N,冰,ша
78,Frost::N,霜冻,шело
79,Kälte::N,寒冷,шело
80,Hitze::N,炎热,йовхо
81,Raureif::N,霜,йис
82,Regenbogen::N,虹,стелаӏад
83,Donner::N,雷,ткъес
84,Strömung::N,水流,дӏаэхар
85,Strömung::N,水流,дӏасалелар
86,Tropfen::N,滴,тӏадам
87,Schaum::N,泡沫,чопа
88,Schmutz::N,赃物,хатт
89,See::N,湖,ӏам
90,Sumpf::N,沼泽,уьшал
91,Moor::N,沼泽,уьшал
92,Wiese::N,草地,бай
93,Wald::N,森林,хьун
94,Hügel::N,丘陵,гу
95,Hügel::N,丘陵,шу
96,Hügel::N,丘陵,барз
97,Anhöhe::N,山丘,акъари
98,Berg::N,山,лам
99,Gipfel::N,峰,бохь
100,Höhle::N,洞穴,хьех
101,Abhang::N,斜坡,басе
102,Quelle::N,泉,шовда
103,Bach::N,溪,татол
104,Fluss::N,河流,хи
105,Ufer::N,岸,хийист
106,Küste::N,海岸,йист
107,Festland::N,大陆,латта
108,Meer::N,海,xӏорд
109,Bucht::N,海湾,чож
110,Insel::N,岛,гӏайре
111,Blume::N,花,зезаг
112,Gras::N,草,буц
113,Wurzel::N,根,орам
114,Baum::N,树,дитт
115,Stamm::N,树干,гӏад
116,Stamm::N,树干,тайпа
