,Concept_ID,eu,bg
0,Auge::N,begi,око
1,Ohr::N,belarri,ухо
2,Nase::N,sudur,нос
3,Mund::N,aho,уста
4,Zahn::N,hortz,зъб
5,Zunge::N,mihi,език
6,Lippe::N,ezpain,устна
7,Wange::N,masail,буза
8,Gesicht::N,aurpegi,лице
9,Gesicht::N,aurpegi,образ
10,Stirn::N,bekoki,чело
11,Haar::N,ile,коса
12,Haar::N,ile,косъм
13,Haar::N,bilo,коса
14,Haar::N,bilo,косъм
15,Schnurrbart::N,bibote,мустаци
16,Schnurrbart::N,sudurpeko,мустаци
17,Bart::N,bizar,брада
18,Kinn::N,kokots,брада
19,Kinn::N,kokots,брадичка
20,Kiefer[Anatomie]::N,masailezur,челюст
21,Kehle::N,eztarri,гърло
22,Hals::N,sama,врат
23,Genick::N,garondo,тил
24,Kopf::N,buru,глава
25,Rücken::N,bizkar,гръб
26,Bauch::N,sabel,корем
27,Nabel::N,zilbor,пъп
28,Busen::N,titi,бозка
29,Busen::N,ugatz,бозка
30,Brust::N,bular,гръд
31,Schulter::N,besaburu,рамо
32,Schulter::N,besaburu,плещи
33,Arm::N,beso,ръка
34,Ellenbogen::N,ukondo,лакът
35,Hand::N,esku,ръка
36,Hand::N,esku,китка
37,Handfläche::N,ahur,длан
38,Finger::N,hatz,пръст
39,Fingernagel::N,azazkal,нокът
40,Nagel[Anatomie]::N,azazkal,нокът
41,Zeh::N,behatz,пръст на крак
42,Fuß::N,oin,крак
43,Fuß::N,oin,нога
44,Ferse::N,orpo,пета
45,Ferse::N,oinburu,пета
46,Knie::N,belaun,коляно
47,Oberschenkel::N,izter,бедро
48,Bein::N,zango,крак
49,Bein::N,zango,нога
50,Körper::N,soin,тяло
51,Haut::N,azal,кожа
52,Blut::N,odol,кръв
53,Ader::N,zain,вена
54,Ader::N,zain,артерия
55,Sehne::N,gihar-zain,жила
56,Sehne::N,gihar-zain,сухожилие
57,Knochen::N,hezur,кост
58,Gehirn::N,garun,мозък
59,Gehirn::N,burmuin,мозък
60,Herz::N,bihotz,сърце
61,Magen::N,urdail,стомах
62,Leber::N,gibel,черен дроб
63,Atem::N,hats,дишане
64,Atem::N,arnasa,дишане
65,Hunger::N,gose,глад
66,Träne::N,malko,сълза
67,Geschmack::N,dasta,вкус
68,Geruch::N,usain,миризма
69,Schlaf::N,lo,сън
70,Traum::N,amets,сън
71,Himmel::N,zeru,небе
72,Sonne::N,eguzki,слънце
73,Mond::N,ilargi,луна
74,Mond::N,ilargi,месец
75,Stern::N,izar,звезда
76,Luft::N,aire,въздух
77,Wind::N,haize,вятър
78,Welle::N,uhin,вълна
79,Welle::N,olatu,вълна
80,Wasser::N,ur,вода
81,Stein::N,harri,камък
82,Boden::N,lur,земя
83,Boden::N,lur,почва
84,Boden::N,zoru,земя
85,Boden::N,zoru,почва
86,Erde::N,lur,земя
87,Erde::N,lur,почва
88,Staub::N,hauts,прах
89,Rauch::N,ke,дим
90,Rauch::N,ke,пушек
91,Funke::N,zirta,искра
92,Funke::N,txinparta,искра
93,Feuer::N,su,огън
94,Licht::N,argi,светлина
95,Schatten::N,itzal,сянка
96,Schatten::N,geriza,сянка
97,Wetter::N,eguraldi,време
98,Nebel::N,laino,мъгла
99,Wolke::N,hodei,облак
100,Regen::N,euri,дъжд
101,Schnee::N,elur,сняг
102,Eis::N,horma,лед
103,Frost::N,izotzaldi,мраз
104,Kälte::N,hotz,студ
105,Hitze::N,bero,жега
106,Hitze::N,bero,горещина
107,Raureif::N,antzigar,скреж
108,Raureif::N,antzigar,слана
109,Regenbogen::N,ostadar,дъга
110,Regenbogen::N,ortzadar,дъга
111,Donner::N,ostots,гръм
112,Donner::N,ihurtzuri,гръм
