,Concept_ID,la,el
0,Auge::N,oculus,μάτι
1,Auge::N,oculus,οφθαλμός
2,Ohr::N,auris,αυτί
3,Nase::N,nasus,μύτη
4,Mund::N,os,στόμα
5,Zahn::N,dens,δόντι
6,Zunge::N,lingua,γλώσσα
7,Lippe::N,labrum,χείλος
8,Wange::N,gena,παρειά
9,Wange::N,gena,μάγουλο
10,Gesicht::N,vultus,πρόσωπο
11,Stirn::N,frons,μέτωπο
12,Haar::N,capillus,μαλλιά
13,Schnurrbart::N,barba labri superioris,μουστάκι
14,Bart::N,barba,γένια
15,Kinn::N,mentum,πιγούνι
16,Kiefer[Anatomie]::N,mala,σαγόνι
17,Kehle::N,iugulums,λαρύγγι
18,Hals::N,collum,λαιμός
19,Genick::N,cervices,σβέρκος
20,Kopf::N,caput,κεφάλι
21,Rücken::N,tergum,ράχη
22,Bauch::N,venter,κοιλιά
23,Nabel::N,umbilicus,αφαλός
24,Busen::N,sinus,στήθος
25,Brust::N,pectus,στήθος
26,Schulter::N,umerus,ώμος
27,Arm::N,bracchium,χέρι
28,Arm::N,bracchium,μπράτςο
29,Ellenbogen::N,cubitum,αγκώνας
30,Hand::N,manus,χέρι
31,Handfläche::N,palma,παλάμη
32,Finger::N,digitus,δάχτυλο
33,Fingernagel::N,unguiculus,νύχι
34,Nagel[Anatomie]::N,unguis,νύχι
35,Zeh::N,digitus,δάχτυλο του ποδιού
36,Fuß::N,pes,πόδι
37,Ferse::N,calx,φτέρνα
38,Knie::N,genu,γόνατο
39,Oberschenkel::N,femur,μηρός
40,Bein::N,crus,πόδι
41,Körper::N,corpus,σώμα
42,Körper::N,corpus,κορμί
43,Haut::N,cutis,πετσί
44,Haut::N,pellis,πετσί
45,Blut::N,sanguis,αίμα
46,Ader::N,vena,φλέβα
47,Sehne::N,nervus,νεύρο
48,Sehne::N,nervus,τένοντας
49,Knochen::N,os,οστό
50,Knochen::N,os,κόκκαλο
51,Gehirn::N,cerebrum,μυαλό
52,Gehirn::N,cerebrum,εγκέφαλος
53,Herz::N,cor,καρδιά
54,Herz::N,animus,καρδιά
55,Magen::N,stomachus,στομάχι
56,Leber::N,iecur,ήπαρ
57,Leber::N,iecur,συκωτί
58,Atem::N,spiritus,αναπνοή
59,Hunger::N,fames,πείνα
60,Träne::N,lacrima,δάκρυ
61,Geschmack::N,sapor,γεύση
62,Geschmack::N,gustus,γεύση
63,Geruch::N,odor,οσμή
64,Geruch::N,odor,μυρωδία
65,Schlaf::N,somnus,ύπνος
66,Traum::N,somnium,όνειρο
67,Himmel::N,caelum,ουρανός
68,Sonne::N,sol,ήλιος
69,Mond::N,luna,σελήνη
70,Mond::N,luna,φεγγάρι
71,Stern::N,sidus,άστρο
72,Stern::N,sidus,αστέρι
73,Stern::N,stella,άστρο
74,Stern::N,stella,αστέρι
75,Luft::N,aer,αέρας
76,Wind::N,ventus,αέρας
77,Wind::N,ventus,άνεμος
78,Welle::N,unda,κύμα
79,Wasser::N,aqua,νερό
80,Stein::N,lapis,πέτρα
81,Boden::N,solum,χώμα
82,Erde::N,terra,γη
83,Staub::N,pulvis,σκόνη
84,Rauch::N,fumus,καπνός
85,Funke::N,scintilla,σπίθα
86,Funke::N,scintilla,σπινθήρας
87,Feuer::N,ignis,φωτιά
88,Licht::N,lux,φως
89,Licht::N,lumen,φως
90,Schatten::N,umbra,σκιά
91,Schatten::N,umbra,ίσκιος
92,Wetter::N,caelum,καιρός
93,Wetter::N,tempestas,καιρός
94,Nebel::N,nebula,ομίχλη
95,Wolke::N,nubes,σύννεφο
96,Regen::N,imber,βροχή
97,Regen::N,pluvia,βροχή
98,Schnee::N,nix,χιόνι
99,Eis::N,glacies,πάγος
100,Frost::N,gelu,παγωνία
101,Kälte::N,frigus,κρύο
102,Kälte::N,frigus,ψύχος
103,Hitze::N,calor,ζέστη
104,Hitze::N,aestus,ζέστη
105,Raureif::N,pruina,πάχνη
106,Regenbogen::N,arcus,ουράνιο τόξο
107,Donner::N,tonitrus,βροντή
108,Strömung::N,fluctus,ρεύμα
109,Tropfen::N,gutta,στάλα
