,Concept_ID,be,tt
0,Auge::N,вока,күз
1,Ohr::N,вуха,колак
2,Nase::N,нос,борын
3,Mund::N,рот,авыз
4,Mund::N,рот,тамак
5,Zahn::N,зуб,теш
6,Zunge::N,язык,тел
7,Lippe::N,губа,ирен
8,Wange::N,шчака,яңак
9,Gesicht::N,твар,йөз
10,Stirn::N,лоб,маңгай
11,Haar::N,волас,чәч
12,Haar::N,валасы,чәч
13,Schnurrbart::N,вус,мыек
14,Schnurrbart::N,вусы,мыек
15,Bart::N,барада,сакал
16,Kinn::N,падбародак,ияк
17,Kiefer[Anatomie]::N,сківіца,казналык
18,Kehle::N,горла,тамак
19,Hals::N,шыя,бугаз
20,Genick::N,патыліца,җилкә
21,Kopf::N,галава,баш
22,Rücken::N,спіна,сырт
23,Bauch::N,жывот,корсак
24,Nabel::N,пупок,кендек
25,Busen::N,грудзі,түш
26,Brust::N,грудзі,имчәк
27,Brust::N,грудзі,күкрәк
28,Schulter::N,плячо,иңбаш
29,Schulter::N,плячо,кулбаш
30,Arm::N,рука,кул
31,Ellenbogen::N,локаць,терсәк
32,Hand::N,кісць,кул
33,Handfläche::N,далонь,уч
34,Finger::N,палец,бармак
35,Fingernagel::N,ногаць,тырнак
36,Nagel[Anatomie]::N,ногаць,тырнак
37,Zeh::N,палец,бармак
38,Fuß::N,нага,табан
39,Ferse::N,пята,үкчә
40,Ferse::N,пятка,үкчә
41,Knie::N,калена,тез
42,Oberschenkel::N,бядро,бот
43,Oberschenkel::N,сцягно,бот
44,Bein::N,нага,аяк
45,Körper::N,цела,тән
46,Körper::N,цела,җисем
47,Haut::N,скура,тире
48,Blut::N,кроў,кан
49,Ader::N,вена,тамыр
50,Ader::N,сасуд,тамыр
51,Sehne::N,жыла,сеңер
52,Sehne::N,цеціва,сеңер
53,Sehne::N,сухажылле,сеңер
54,Knochen::N,косць,сөяк
55,Gehirn::N,мозг,ми
56,Herz::N,сэрца,йөрәк
57,Magen::N,страўнік,ашказаны
58,Leber::N,печань,бавыр
59,Atem::N,дыханне,сулыш
60,Hunger::N,голад,ачлык
