,Concept_ID,lez,el
0,Auge::N,вил,μάτι
1,Auge::N,вил,οφθαλμός
2,Ohr::N,яб,αυτί
3,Nase::N,нер,μύτη
4,Mund::N,сив,στόμα
5,Zahn::N,сас,δόντι
6,Zahn::N,свах,δόντι
7,Zunge::N,мез,γλώσσα
8,Lippe::N,пӏуз,χείλος
9,Wange::N,хъвехъ,παρειά
10,Wange::N,хъвехъ,μάγουλο
11,Gesicht::N,ччин,πρόσωπο
12,Stirn::N,пел,μέτωπο
13,Haar::N,чӏар,μαλλιά
14,Schnurrbart::N,спел,μουστάκι
15,Schnurrbart::N,спелар,μουστάκι
16,Bart::N,ччуру,γένια
17,Kinn::N,чене,πιγούνι
18,Kiefer[Anatomie]::N,чене,σαγόνι
19,Kehle::N,туьд,λαρύγγι
20,Hals::N,гардан,λαιμός
21,Genick::N,кьам,σβέρκος
22,Kopf::N,кьил,κεφάλι
23,Rücken::N,далу,ράχη
24,Bauch::N,руфун,κοιλιά
25,Nabel::N,пицӏ,αφαλός
26,Busen::N,мам,στήθος
27,Brust::N,хур,στήθος
28,Schulter::N,къуьн,ώμος
29,Arm::N,гъил,χέρι
30,Arm::N,гъил,μπράτςο
31,Ellenbogen::N,кьуьнт,αγκώνας
32,Hand::N,капаш,χέρι
33,Handfläche::N,капан юкь,παλάμη
34,Finger::N,тӏуб,δάχτυλο
35,Fingernagel::N,кек,νύχι
36,Nagel[Anatomie]::N,кек,νύχι
37,Zeh::N,кул,δάχτυλο του ποδιού
38,Fuß::N,кӏвач,πόδι
39,Ferse::N,дабан,φτέρνα
40,Knie::N,мет,γόνατο
41,Bein::N,кӏвач,πόδι
42,Körper::N,беден,σώμα
43,Körper::N,беден,κορμί
44,Haut::N,хам,πετσί
45,Blut::N,иви,αίμα
46,Ader::N,дамар,φλέβα
47,Sehne::N,кьуру дамар,νεύρο
48,Sehne::N,кьуру дамар,τένοντας
49,Knochen::N,кӏараб,οστό
50,Knochen::N,кӏараб,κόκκαλο
51,Gehirn::N,мефт,μυαλό
52,Gehirn::N,мефт,εγκέφαλος
53,Herz::N,рикӏ,καρδιά
54,Magen::N,хук,στομάχι
55,Leber::N,лекь,ήπαρ
56,Leber::N,лекь,συκωτί
57,Atem::N,ял,αναπνοή
58,Atem::N,нефес,αναπνοή
59,Hunger::N,каш,πείνα
60,Träne::N,вилин нагъв,δάκρυ
61,Geschmack::N,дад,γεύση
62,Geschmack::N,тӏям,γεύση
63,Geruch::N,ни,οσμή
64,Geruch::N,ни,μυρωδία
65,Schlaf::N,ахвар,ύπνος
66,Traum::N,ахвар,όνειρο
67,Himmel::N,цав,ουρανός
68,Sonne::N,рагъ,ήλιος
69,Mond::N,варз,σελήνη
70,Mond::N,варз,φεγγάρι
71,Stern::N,гъед,άστρο
72,Stern::N,гъед,αστέρι
73,Luft::N,гьава,αέρας
74,Wind::N,гар,αέρας
75,Wind::N,гар,άνεμος
